stringsfile version 1
4199
str_no_string NO_STRING!
str_npc_bashe_personalityclash2_speech_b When_all_the_dust_settled,_{s11}_turned_on_me_and_told_me_not_to_'tempt_the_wrath_of_the_Heavens'_with_my_'hubris.'_I_responded_that_he_should_care_about_the_men_he_coldly_killed_after_the_battle_is_over,_which_I_think_angers_the_Gods_a_lot_more_than_battlefield_small_talk._Then_{s11}_turned_red_like_a_virgin's_face_and_would_have_struck_me_had_I_not_artfully_dodged_out_of_his_away._Tell_him_to_lighten_up,_will_you?
str_npc_sange_personalityclash2_speech_b When_all_the_dust_settled,_{s11}_turned_on_me_and_told_me_not_to_'tempt_the_wrath_of_the_Heavens'_with_my_'hubris.'_I_responded_that_she_should_care_about_the_men_she_coldly_killed_after_the_battle_is_over,_which_I_think_angers_the_Gods_a_lot_more_than_battlefield_small_talk._Then_{s11}_turned_red_like_a_virgin's_face_and_would_have_struck_me_had_I_not_artfully_dodged_out_of_her_away._Tell_him_to_lighten_up,_will_you?
str_npc_paintrain_personalityclash2_speech_b Captain._I_can_no_longer_abide_the_rank_ignorance_of_{s11}.
str_npc_hammertime_personalityclash2_speech_b Captain._I_can_no_longer_abide_the_rank_ignorance_of_{s11}.
str_npc_tank_personalityclash2_speech_b Captain._I_can_no_longer_abide_the_rank_ignorance_of_{s11}.
str_npc_backwoodsharry_personalityclash2_speech_b Captain._I_can_no_longer_abide_the_rank_ignorance_of_{s11}.
str_npc_deadeye_personalityclash2_speech_b Captain._I_can_no_longer_abide_the_rank_ignorance_of_{s11}.
str_npc_probulator_personalityclash2_speech_b Captain._I_can_no_longer_abide_the_rank_ignorance_of_{s11}.
str_npc_grim_personalityclash2_speech_b Captain._I_can_no_longer_abide_the_rank_ignorance_of_{s11}.
str_npc_enchantress_personalityclash2_speech_b Captain._I_can_no_longer_abide_the_rank_ignorance_of_{s11}.
str_npc1_personalitymatch_speech Chief._{s11}_didn't_do_badly_in_that_last_fight_at_all._He's_a_good_egg,_that_one.
str_npc2_personalitymatch_speech {Sir/Madame}._I_just_wanted_to_tell_you_that_{s11}_may_be_a_rough_sort,_and_I'll_venture_a_complete_drunkard_as_well,_but_I'm_proud_to_call_him_my_companion.
str_npc3_personalitymatch_speech Hello,_{sir/madame}!_I_had_just_wanted_to_tell_you_that_{s11}_is_a_most_gallant_and_brave_warrior._Did_you_see_him_in_our_last_battle?
str_npc4_personalitymatch_speech Excuse_me,_{sir/madame}._I_just_wanted_to_say_a_word_in_praise_of_{s11}._He_did_well_in_that_last_battle.
str_npc5_personalitymatch_speech That_was_a_fine_battle,_{playername}!_{s11}_is_a_good_companion_to_have_by_our_side_in_a_fight.
str_npc6_personalitymatch_speech Dryhten._Sometimes_I_am_troubled_by_all_this_non-Visigothic_bloodshed,_although_I_know_that_proud_warlords_must_be_humbled,_and_cruel_bandits_tamed,_if_we_are_to_restore_peace_to_Britannia_and_Hibernia.
str_npc7_personalitymatch_speech Warlord._I_was_just_talking_to_{s11}._He_might_be_an_incisive_man,_but_he_holds_no_prejudice_for_me_being_a_woman_or_a_Pict.
str_npc8_personalitymatch_speech A_fine_battle_that_was,_warlord._And_I_have_to_say,_I_greatly_enjoy_the_company_of_Liuva,_for_he_is_a_fine_commander_of_men.
str_npc9_personalitymatch_speech Warlord._{s11}_acquitted_herself_well_in_that_fight_back_there._A_fine,_modest_maiden_she_is,_if_I_dare_say_so_myself.
str_npc10_personalitymatch_speech Dryhten!_I_wish_you_joy_in_your_victory!_Say,_I_really_like_the_company_of_that_lady_Gwenllian._Even_though_she_is_a_Briton,_I_see_that_she_is_extremely_devoted_to_the_safety_of_our_shield-wall.
str_npc11_personalitymatch_speech Oh_{handsome/beauty},_I_could_not_praise_you_more_for_having_men_of_such_quality_as_Ceawlin_within_our_shield-wall._I_do_not_care_that_he_is_a_Saxon,_and_supposedly,_an_enemy_of_my_people.
str_npc12_personalitymatch_speech A_bloody_business,_warlord,_a_bloody_business_--_although_a_necessary_one,_of_course._{s11},_I_believe,_shares_my_ambivalence_about_this_constant_fighting,_at_least_against_non-Visigoths,_as_he_always_insists_on_saying.
str_npc13_personalitymatch_speech Dryhten,_It_is_a_pleasure_going_into_battle_with_a_fine_Frisian_noble_like_{s11}_by_my_side.
str_npc14_personalitymatch_speech You_have_earned_your_name_today,_oh_valorous_one!_And_{s11},_too!_I_like_that_one._He_knows_the_great_poems_and_plays_of_the_ancient_Greeks,_which_appeals_to_an_artistic_soul_like_my_own.
str_npc15_personalitymatch_speech Warlord._I_was_just_having_a_word_with_{s11}_after_our_last_battle,_and_it_strikes_me_that_the_man_has_got_a_good_head_on_his_shoulders.
str_npc16_personalitymatch_speech I_must_tell_you_that_even_though_Bridei_looks_like_a_simple_barbarian,_I_can_see_in_her_heart_that_she_has,_maybe_unknown_to_herself,_a_good_Christian_soul.
str_npc_bashe_personalitymatch_speech You_have_earned_your_name_today,_{sir/madame}!_And_{s11},_too!_I_like_that_one,_a_strong_companion_in_the_battlefield.
str_npc_sange_personalitymatch_speech You_have_earned_your_name_today,_{sir/madame}!_And_{s11},_too!_I_like_that_one,_a_strong_companion_in_the_battlefield.
str_npc_paintrain_personalitymatch_speech I_was_just_having_a_chat_with_{s11},_I_think_she_is_my_ideal_woman.
str_npc_hammertime_personalitymatch_speech I_was_just_having_a_chat_with_{s11},_she_is_so..._so.._oh.
str_npc_tank_personalitymatch_speech I_was_just_having_a_chat_with_{s11},_she_shall_be_mine.
str_npc_backwoodsharry_personalitymatch_speech {s11}_is_a_beauty._He_looked_at_me,_I_think_that_I_like_him_
str_npc_deadeye_personalitymatch_speech I_was_just_having_a_chat_with_{s11},_she_will_be_a_pretty_woman.
str_npc_probulator_personalitymatch_speech I_was_just_having_a_chat_with_{s11},_as_we_picked_through_the_bodies_after_our_last_little_scrap.
str_npc_grim_personalitymatch_speech I_was_just_having_a_chat_with_{s11},_as_we_picked_through_the_bodies_after_our_last_little_scrap.
str_npc_enchantress_personalitymatch_speech I_was_just_having_a_chat_with_{s11},_as_we_picked_through_the_bodies_after_our_last_little_scrap.
str_npc1_personalitymatch_speech_b Without_good_honest_souls_like_him_to_bring_beer_and_wine_from_faraway_lands_into_Britannia_and_Hibernia,_fine_drinkers_like_me_would_have_a_hard_time_in_life,_I'll_warrant._I'm_glad_to_have_him_with_us.
str_npc2_personalitymatch_speech_b Based_on_how_he_did_in_that_last_fight,_I'd_say_that_I'd_trust_my_back_to_him_any_day,_for_he_also_knows_how_to_share_tales_and_legends_by_the_campfire_after_a_fine_battle._I_already_promised_to_take_him_to_a_Nordic_tavern_someday.
str_npc3_personalitymatch_speech_b I_also_confess_that_I_find_him_a_truly_delightful_companion,_a_man_of_both_wit_and_manners._Perhaps,_perhaps..._Ah,_but_I_say_too_much._Good_day,_{sir/madame}.
str_npc4_personalitymatch_speech_b You_chose_well_to_enlist_him_in_our_shield-wall._He_knows_a_thing_or_two_about_a_fight,_and_is_a_fine_Brythonic_warrior_just_like_myself._I_tell_you,_the_noble_blood_that_runs_through_his_veins,_just_like_in_mine,_makes_him_a_truly_admirable_companion.
str_npc5_personalitymatch_speech_b It_is_clear_from_his_battle_prowess_that_he_is_a_true_a_descendant_of_a_brave_warrior_from_the_former_Kingdom_of_Goddodin,_and_he_already_honors,_in_the_battlefield,_the_greatness_of_his_lineage.
str_npc6_personalitymatch_speech_b I_must_say_that_{s11}_is_a_source_of_great_comfort_to_me._I_have_told_him_of_my_sin,_and_he_said_to_me_that_Christ_will_forgive_my_transgression,_if_I_truly_repent_and_truly_desire_such_forgiveness._He_is_wise,_and_I_am_glad_that_he_is_with_us.
str_npc7_personalitymatch_speech_b He_preaches_to_me_just_like_to_anyone_else,_and_told_me_that_even_if_my_body_is_covered_by_war_tattoos,_God_can_still_see_the_good_intentions_within_my_heart._I_am_not_sure_I_completely_liked_what_he_said_--_for_I_am_a_warrior,_not_a_simple_housemaid_--,_but,_still,_I_feel_I_can_trust_that_priest_and_his_teachings.
str_npc8_personalitymatch_speech_b We_are_both_foreigners_in_Britannia_and_Hibernia,_and,_as_such,_can_both_easily_perceive_the_many_tactical_flaws_the_warriors_of_this_land_commit_during_battle._Our_shield-wall_is_much_stronger_with_him_in_it.
str_npc9_personalitymatch_speech_b Were_she_not_a_mere_slave,_I_might_ask_for_her_hand._It_is_a_pity_that_she_is_not_a_free,_pure_woman._But_speaking_with_her_is_a_pleasant_way_to_pass_time_on_the_march.
str_npc10_personalitymatch_speech_b Actually,_I_see_that_she_is_extremely_devoted_to_you._Please,_dryhten,_dont_get_so_blushed._A_devoted_woman_like_that_can_be_more_valuable_than_a_hundred_warriors.
str_npc11_personalitymatch_speech_b He_is_clearly_a_warrior_that_has_profound_respect_and_obedience_to_you._This,_of_course,_makes_me_extremely_happy._If_only_all_of_our_warriors_were_like_him,_the_lands_of_Britannia_and_Hibernia_would_soon_bow_to_your_magnificent_greatness.
str_npc12_personalitymatch_speech_b It_saddens_him_deeply_to_take_the_lives_of_his_fellow_men,_however_just_the_cause._He_and_I_have_talked_together_of_a_brighter_future,_of_the_need_to_unite_these_petty_warring_kingdoms_of_Britannia_and_Hibernia,_so_that_we_may_bring_this_time_of_troubles_to_an_end.
str_npc13_personalitymatch_speech_b He_is_a_professional_soldier,_not_just_a_warrior_with_no_tactical_knowledge,_and_though_he_may_not_be_as_fast_on_his_feet_as_some_others,_he_knows_the_wisdom_of_holding_together_in_a_disciplined_battle-line,_something_usually_ignored_by_those_foolish_Britons._You_showed_good_sense_in_bringing_him_into_this_shield-wall.
str_npc14_personalitymatch_speech_b The_tales_from_his_lands_that_he_likes_to_recite_by_the_campfire_also_teach_a_lot_about_battles_and_warfare_in_general._I_especially_enjoy_the_heroic_deeds_that_happened_during_the_War_of_Troy._Soon,_our_shield-wall_will_be_a_legend_as_glorious_and_famous_as_the_heroes_of_Agamemnon's_time.
str_npc15_personalitymatch_speech_b Even_though_he_seems_to_be_nothing_more_than_a_proud_leader_of_men,_he_understands_that_war,_like_any_other_affair,_requires_careful_planning_and_preparation,_and_a_firm_grasp_of_strategic_principals._A_fine_proof_of_that_is_how_interested_he_got_into_the_military_aspects_of_the_siege_of_Troy,_as_I_was_telling_him_that_tale_the_other_day.
str_npc16_personalitymatch_speech_b She_is_open_to_hear_the_teachings_of_Christ,_and_I_believe_that,_given_due_time,_she_will_completely_convert_herself_to_the_true_faith._She_is_the_living_proof_that_the_message_of_God_is_universal.
str_npc_bashe_personalitymatch_speech_b He_is_a_professional_soldier,_and_a_great_killer_of_men._You_showed_good_sense_in_bringing_him_into_this_shield-wall.
str_npc_sange_personalitymatch_speech_b He_is_a_professional_soldier,_and_a_great_killer_of_men._You_showed_good_sense_in_bringing_him_into_this_shield-wall.
str_npc_paintrain_personalitymatch_speech_b Have_you_heard_her_speak?_Is_she_a_angel?
str_npc_hammertime_personalitymatch_speech_b {s11}_is_a_very_special_and_unique_woman._I_am_thinking_of_composing_a_poem_for_her.
str_npc_tank_personalitymatch_speech_b {s11}_sang_for_me._She_is_pretty.
str_npc_backwoodsharry_personalitymatch_speech_b {s11}_told_me_that_when_we_finish_this_trip_with_you,_we_can_get_married.
str_npc_deadeye_personalitymatch_speech_b Yesterday,_I_passed_the_night_with_Inka._Only_I_have_to_tell_her_a_couple_of_nice_things_and_she_is_mine.
str_npc_probulator_personalitymatch_speech_b {s11}_is_a_good_friend.
str_npc_grim_personalitymatch_speech_b {s11}_is_a_good_friend.
str_npc_enchantress_personalitymatch_speech_b {s11}_is_a_good_friend.
str_npc1_retirement_speech I'm_a_bit_tired_of_marching_up_and_down_the_land,_shedding_my_blood_for_someone_else's_cause._The_loot_is_good,_but_I_think_I've_got_enough_of_that,_now._I'm_going_to_head_back_to_the_nearest_town,_dig_myself_deep_within_the_first_tavern_I_find,_and_drink_half_the_loot_I've_amassed_during_my_stay_in_this_shield-wall._I_think_a_deserve_a_vacation,_after_all.
str_npc2_retirement_speech I'm_getting_a_bit_tired_of_the_warrior's_life._I'm_going_to_invest_my_share_of_our_loot_into_a_cargo_of_goods_--_furs,_linens,_and_dyes_probably_--_and_take_them_back_over_the_sea_to_the_Northland._I_would_like_to_thank_you_again_for_taking_me_on,_and_wish_you_the_best_of_luck.
str_npc3_retirement_speech I_am_afraid_I_have_something_to_tell_you._I_have_decided_that_the_warrior's_life,_even_if_better_than_a_slave's_one,_is_not_for_me._One_final_time_I_thank_you_for_freeing_me,_but_it_is_time_for_me_to_find_myself_a_more_peaceful_way_of_life._I_may_have_enough_money_to_start_myself_up_as_a_merchant._I_hope_you_will_not_be_angry,_{sir/madame}.
str_npc4_retirement_speech I_have_fought_with_you_honorably,_as_befits_a_son_of_the_House_of_Gwawrddur,_but_I_am_not_altogether_satisfied_with_your_leadership._I_will_quest_again,_in_search_of_my_long_lost_father._May_I_find_either_him,_or_glorious_death_during_my_travels._Farewell,_dryhten.
str_npc5_retirement_speech {Sir/Madame}_--_since_I_have_joined_your_shield-wall,_I_have_fought_for_you_fiercely,_and_loyally._But_you_have_not_always_rewarded_my_service_with_the_kind_of_leadership_that_I_deserve._So_I_am_going_home,_in_the_hope_that_my_exile_sentence_may_somehow_be_lifted.
str_npc6_retirement_speech I_joined_this_shield-wall_in_the_hope_that_you_would_lead_me_out_of_darkness,_and_indeed_I_have_found_a_measure_of_peace_here._But_I_have_some_qualms_about_your_leadership_because,_mostly,_we_have_not_killed_enough_Visigoths._Thus,_I_have_begun_to_suspect_that_the_path_to_redemption_can_be_found_elsewhere.
str_npc7_retirement_speech I_am_tired_of_this_squalid_life_of_endless_warfare,_seeing_weak_men_debased_by_fear,_greed,_lust,_and_a_hundred_other_cowardices._I_have_money_in_my_purse._I_am_going_north,_back_to_the_Picts,_to_assemble_my_own_raiding_party._I_shall_give_rest_to_neither_Briton_nor_Saxon,_but_you_shall_still_have_my_peace.
str_npc8_retirement_speech I_have_fought_in_your_shield-wall,_and_done_well_by_it._But_your_leadership_is_not_always_to_my_liking,_and_anyways_I_have_another_task._I_will_take_what_plunder_I_have_won_and_raise_a_shield-wall_of_my_own._Then_I_will_sail_to_Frisia,_where_I_shall_become_King_or_die_trying._I_wish_you_well.
str_npc9_retirement_speech We_have_fought_well_together,_and_earned_ourselves_much_glory._But_I_have_some_reservations_about_your_leadership,_and_at_any_rate_have_to_kill_that_witch-snake_spouse_of_my_father._I_will_be_leaving_you._Perhaps_we_will_meet_again.
str_npc10_retirement_speech I've_had_enough_of_tromping_up_and_down_the_length_and_breadth_of_Britannia_and_Hibernia._I've_got_enough_to_buy_a_small_bit_of_land_somewhere_far_from_those_hateful_Britons_and_Mercians,_so_I_think_I'll_give_that_a_try._So_long,_and_best_of_luck_to_you.
str_npc11_retirement_speech You_have_been_very_kind_to_me_this_whole_time._But_I..._I_am_unable_to_endure_the_pain_of_love._I_beg_your_pardon,_but_I_can_no_longer_have_you_in_my_sight,_since_I_now_know_I_will_forever_be_nothing_more_than_another_member_of_this_shield-wall_to_you._So_I'll_be_off,_although_I_don't_know_where_to_go._Farewell,_my_dear.
str_npc12_retirement_speech I've_done_all_right_in_your_shield-wall._I've_filled_my_belly,_put_some_gold_in_my_purse,_and_broadened_my_knowledge_of_wounds_and_injury_--_I_can't_complain_about_that!_But_I_think_right_now_that_service_in_this_shield-wall_is_holding_me_back._I_have_a_duty_to_share_my_findings_with_other_leeches,_and_for_that_I_need_to_hire_scribes_that_have_an_excellent_understanding_of_Latin,_who_are_rare_in_Britannia_and_Hibernia._I_shall_be_going_home
str_npc13_retirement_speech I_would_like_to_inform_you_that_I_wish_to_sever_our_relationship._I_intend_to_seek_alternative_employment._You_have_too_many_connections_with_those_ridiculous_Britons,_and_share_with_them_the_lack_of_will_to_correctly_understand_the_art_of_war.
str_npc14_retirement_speech As_the_luster_of_your_name_grows_ever_brighter,_I_fear_that_my_own_reputation_will_seem_pale_in_comparison,_as_the_moon_is_outshined_by_the_sun._I_have_decided_to_strike_out_on_my_own._The_very_best_of_luck_to_you!
str_npc15_retirement_speech I_appreciate_that_you_took_me_on,_but_I'm_not_altogether_happy_about_how_things_have_worked_out._I'm_going_to_head_off_elsewhere_--_maybe_go_home_to_Creta,_maybe_find_another_job,_I_haven't_quite_decided_yet.
str_npc16_retirement_speech You_and_your_men_are_a_lost_cause_to_the_faith._I_see_that_your_souls_are_already_taken_by_the_Devil,_since_many_of_you_uphold_the_ways_of_the_old_false_pagan_gods._Even_my_word_was_unable_to_change_you_and_your_evil_manners_-_so,_I_can_only_hope_that_God_will_have_mercy_upon_your_terrible_sins._I_leave_now.
str_npc_bashe_retirement_speech {Sir/Madame}_I_have_decided_to_leave_this_joke_you_call_a_shield-wall._I_can_no_longer_stand_your_filthy_company._Farewell.
str_npc_sange_retirement_speech {Sir/Madame}_I_have_decided_to_leave_this_joke_you_call_a_shield-wall._I_can_no_longer_stand_your_filthy_company._Farewell.
str_npc_paintrain_retirement_speech I_appreciate_your_friendship,_Captain,_but_it's_time_for_me_to_leave_you.
str_npc_hammertime_retirement_speech I_appreciate_your_friendship,_Captain,_but_it's_time_for_me_to_leave_you.
str_npc_tank_retirement_speech I_appreciate_your_friendship,_Captain,_but_it's_time_for_me_to_leave_you.
str_npc_backwoodsharry_retirement_speech I_appreciate_your_friendship,_Captain,_but_it's_time_for_me_to_leave_you.
str_npc_deadeye_retirement_speech I_appreciate_your_friendship,_Captain,_but_it's_time_for_me_to_leave_you.
str_npc_probulator_retirement_speech I_appreciate_your_friendship,_Captain,_but_it's_time_for_me_to_leave_you.
str_npc_grim_retirement_speech I've_grown_tired_of_marching_up_and_down_the_land,_shedding_my_blood_for_someone_else's_cause._The_loot_is_good,_but_I_think_I've_got_enough_of_that,_for_now._Fare_thee_well.
str_npc_enchantress_retirement_speech I_appreciate_your_friendship,_Captain,_but_it's_time_for_me_to_leave_you._Slan.
str_npc1_rehire_speech Chief_--_it's_good_to_see_you_again._I_know_we've_had_our_differences_in_the_past,_but_I_now_recognize_that_those_were_some_of_the_best_days_I've_known._And,_to_tell_you_the_truth,_I've_had_a_bit_of_difficulty_finding_work,_since_most_people_do_not_understand_how_important_ale_is._Listen,_if_you'd_be_willing_to_have_me_back,_I'd_be_willing_to_sign_up_with_your_shield-wall_again.
str_npc2_rehire_speech {Sir/Madame}!_It's_good_to_see_you_again._But_I'll_confess_--_I've_been_looking_for_you._I_bought_a_load_of_goods_like_I_told_you_I_would,_loaded_them_up,_and_took_them_back_across_the_sea_--_but_wouldn't_you_know_it,_I_was_hit_again_by_another_terrible_storm,_and_lost_it_all._I_guess_I'm_just_destined_to_fight_for_my_fortune._Also,_people_tell_me_that_you've_done_very_well_for_yourself._So_tell_me,_{sir/madame},_would_you_have_me_back?
str_npc3_rehire_speech Well,_hello_{sir/madame}!_It_is_very_good_to_see_you_again._I_have_not_fared_so_well_since_we_parted,_I_am_afraid._My_savings_from_the_time_we_travelled_together,_which_I_hoped_would_give_me_a_start_in_trading,_have_not_been_enough_to_start_a_decent_business._And,_I_must_say,_I_fear_being_eventually_found_by_my_old_master,_and_turned_again_into_a_slave._Perhaps_I_am_better_suited_to_war_than_to_commerce,_to_share_a_meal_over_a_campfire_with_rough_fellows_than_to_drink_mead._{Sir/Madame},_I_must_ask_you_--_will_you_take_me_back?
str_npc4_rehire_speech Why_hello,_dryhten._It's_been_a_while._You've_done_well_for_yourself,_I_hear._For_my_part,_I've_been_unable_to_find_my_father._I_thought_I_might_take_up_the_sword_once_more_by_your_side,_and_destiny_might_eventually_lead_us_to_him._I_know_there's_been_some_bad_blood_between_us,_but_I'd_be_honored_to_fight_in_your_ranks_once_again.
str_npc5_rehire_speech {playername}!_Your_fame_grows_ever_greater_--_even_as_far_as_my_homeland,_beyond_the_mountains._I'd_returned_there,_hoping_that_my_exile_would_end._Well,_it_did_not_--_even_before_I_set_foot_in_my_valley,_I_had_word_from_my_family_that_there_were_warriors_looking_for_me_incase_I_came_across_the_kingdom's_border._So_I_came_back_again,_hoping_you_might_forget_any_harsh_words_I_had_spoken,_to_see_if_I_could_fight_with_you_once_again.
str_npc6_rehire_speech It_is_good_to_see_you,_dryhten._Everywhere_I_go,_men_are_in_awe_of_your_deeds._I_have_not_had_it_so_well_since_I_left._Wherever_I_go,_I_feel_my_demons_returning._My_soul_is_in_turmoil._For_reasons_that_I_cannot_fully_explain,_I_had_found_peace_in_your_shield-wall,_even_if_I_we_had_not_killed_enough_Visigoths._Will_you_allow_me_to_serve_with_you_once_again?
str_npc7_rehire_speech Warlord!_It_is_good_to_see_you._Unfortunately,_even_with_all_the_money_I_saved_from_my_share_of_the_loot,_the_absurd_taunt_of_being_a_traitor_still_lingered_upon_me._So,_no_Pictish_warrior_considered_joining_a_war_band_lead_by_me._Damn,_that's_just_the_way_life_goes,_I_guess._Will_you_have_me_back?
str_npc8_rehire_speech Greetings_to_you,_{playername}._I_was_wondering_if_the_harsh_words_spoken_between_us_in_the_past_could_be_forgotten._I_have_been_hunting_among_the_Saxons_here,_to_see_if_I_could_find_enough_men_to_take_all_the_lands_of_Frisia._But_I_could_not_find_enough_men_to_crew_a_longship,_and_those_whom_I_gathered_quickly_got_bored_and_wandered_off_--_not,_I_will_add,_before_they_drank_away_such_gold_as_I_had_accumulated._So_I_thought_back_to_the_battles_we_fought_together._Those_were_good_days,_and_profitable_ones_too.
str_npc9_rehire_speech My_dear,_dear_{man/lady}!_So_good_it_is_to_see_you!_I_have_sought_service_with_the_lords_of_this_land,_but_have_been_most_grieviously_disappointed._Half_of_them_ask_me_to_carry_gifts_to_fellow_lords,_as_though_I_were_a_simple_errand_boy,_or_beat_down_lazy_peasants,_as_though_I_were_a_farm_overseer._One_even_asked_me_to_murder_one_of_his_rivals!_Those_are_no_activities_for_a_brave_warrior_like_myself._I_have_looked_for_you,_to_see_if_you_would_wish_me_to_join_you_again.
str_npc10_rehire_speech Dryhten!_It's_good_to_see_you._You_see,_it_turns_out_I'm_not_much_of_a_farmer._Too_soft_on_the_hired_hands,_I_figure._I_let_them_rob_me_blind._I_guess_fighting_is_what_I_know_best,_even_if_sided_by_Britons_and_Mercians._So_tell_me,_dryhten,_are_you_still_looking_for_good_men?
str_npc11_rehire_speech {Handsome/Beauty}_I_thought_a_lot_since_our_departure,_and_now_I_know_in_my_heart_that_even_if_sometimes_we_cannot_get_what_we_most_desire,_It_is_better_to_live_by_its_side_than_far_away_from_it._And_there_might_still_be_some_hope_left,_after_all._So,_my_dear,_would_you_take_me_back?
str_npc12_rehire_speech Warlord!_It's_a_fine_thing_to_see_an_honest_face_like_yours._This_world_is_full_of_lies._I_went_Rome_to_publish_my_findings,_hired_some_scribes_and_made_a_handful_of_codices,_and_waited_for_the_commissions._But_it_turns_out_that_the_philosophers_don't_care_about_real_medical_knowledge,_and_instead_prefer_to_discuss_quasi-magical_theories._I'll_keep_trying,_but_first_I_need_a_bit_of_money_in_my_pocket._Are_you_looking_for_a_leech?
str_npc13_rehire_speech Dryhten._It_is_good_to_see_you._When_last_we_parted,_I_was_ready_to_swear_that_I_would_not_serve_you_again,_but_perhaps_I_judged_you_too_harshly._All_over_Britannia_and_Hibernia,_men_sing_your_praises._I_have_tried_serving_in_other_lords'_armies,_and_believe_me,_what_I_have_seen_of_them_restores_my_opinion_of_your_leadership._If_you_would_have_me_in_your_shield-wall,_I_would_fight_for_you_again.
str_npc14_rehire_speech Well_hello_there,_oh_valorous_one._I_had_been_hoping_to_see_you_again._Everywhere_I_go,_I_hear_tales_and_songs_of_your_deeds._I_will_admit_that_I_felt_a_twinge_of_regret_that_we_had_parted_ways,_and,_I'll_confess,_a_twinge_of_jealousy_as_well_at_your_reputation._I_thought_that_once_again_I_might_fight_by_your_side,_and_thus_bask_in_the_reflection_of_your_glory._Perhaps_we_might_ride_together_again,_for_a_little_while?
str_npc15_rehire_speech Why_hello,_{playername}._I_can't_say_I'm_entirely_displeased_to_see_you._You_see,_I_could_not_find_a_ship_to_take_me_to_the_continent,_and_so_I_took_on_another_contract_before_I_left,_and_sure_enough,_when_it_came_time_to_collect_the_pay,_the_lord_had_nothing_but_talk_and_excuses_and_petty_little_complaints_about_my_handiwork._I_can't_say_I_was_always_happy_in_your_shield-wall,_but_at_least_I_put_gold_directly_into_my_purse_after_every_battle._You_still_offering_work?
str_npc16_rehire_speech I_am_here_to_offer_another_chance_to_you_and_your_men._An_angel_came_to_me_in_a_dream,_and_told_me_the_future_of_your_immortal_soul,_the_angel_said_that_its_only_chance_of_eventually_going_to_Heaven,_lies_entirely_upon_my_work_as_a_preacher._You_are_my_responsibility._So,_I_beg_you_to_accept_me_again_in_your_shield-wall_and_that_this_time,_maybe,_you_will_pay_heed_to_the_word_of_God.
str_npc_bashe_rehire_speech Well_hello_there_{sir/madame}._Well,_I_was_wrong._You_are_not_that_filthy,_nor_completely_intolerable._Perhaps_we_might_ride_together_again,_for_a_little_while?
str_npc_sange_rehire_speech Well_hello_there_{sir/madame}._Well,_I_was_wrong._You_are_not_that_filthy,_nor_completely_intolerable._Perhaps_we_might_ride_together_again,_for_a_little_while?
str_npc_paintrain_rehire_speech It_is_good_indeed_to_see_you_again,_Captain._Perhaps_we_can_help_one_another_again?
str_npc_hammertime_rehire_speech It_is_good_indeed_to_see_you_again,_Captain._Perhaps_we_can_help_one_another_again?
str_npc_tank_rehire_speech It_is_good_indeed_to_see_you_again,_Captain._Perhaps_we_can_help_one_another_again?
str_npc_backwoodsharry_rehire_speech It_is_good_indeed_to_see_you_again,_Captain._Perhaps_we_can_help_one_another_again?
str_npc_deadeye_rehire_speech It_is_good_indeed_to_see_you_again,_Captain._Perhaps_we_can_help_one_another_again?
str_npc_probulator_rehire_speech It_is_good_indeed_to_see_you_again,_Captain._Perhaps_we_can_help_one_another_again?
str_npc_grim_rehire_speech It_does_my_heart_good_to_see_you_again!_Do_you_have_a_need_for_a_spearman_or_skirmisher?
str_npc_enchantress_rehire_speech It_is_good_indeed_to_see_you_again,_Captain._Perhaps_we_can_help_one_another_again?
str_npc1_home_intro Chief,_we_are_very_close_to_Seals-Ey._The_tavern_in_that_town_is_the_best_place_in_the_whole_world_for_drinking_ale._You_should_definitely_pay_a_visit_there_as_soon_as_possible.
str_npc2_home_intro We're_approaching_Cantwareburh._That's_where_I_was_headed_when_that_terrible_storm_struck_my_ship_and_everything_I_had_capsized_along.
str_npc3_home_intro Can_you_smell_that?_Mistletoe,_crabapples,_and_butter:_it's_the_scent_of_Hibernia._I_spent_many_a_happy_summer_here_when_I_was_a_girl,_playing_outside_the_cottage_of_my_old_grandma.
str_npc4_home_intro We_are_very_close_to_Caer_Sws,_a_magnificent_Brythonic_fortress.
str_npc5_home_intro Oh,_we_are_nearing_Dol_Is,_one_of_the_mightiest_cities_of_Dumnonia._I_have_served_in_the_shield-wall_of_its_lord,_as_a_dryhten,_long_before_I_was_forced_into_exile.
str_npc6_home_intro We_are_nearing_Eoferwic,_in_the_Kingdom_of_Bernaccia._This_city_was_originally_founded_by_a_Roman_legion,_and_holds_an_honor_no_other_place_in_all_of_Britannia_and_Hibernia_have_ever_come_close_of_achieving.
str_npc7_home_intro Pay_attention,_and_be_careful._We_are_now_in_Pictland,_near_Dun_Taruo._The_Kingdom_of_Cait_is,_with_Fortriu,_the_most_powerful_of_Pictavia,_which_is_our_term_for_Pictland.
str_npc8_home_intro We_are_now_in_the_lands_held_by_the_Kingdom_of_Gewissae,_home_of_the_bravest_of_the_Angles_and_Saxons.
str_npc9_home_intro Behold_the_horizon,_for_there_lies_the_fortress_of_Rendlaesham,_seat_of_power_to_the_kings_of_East_Engla.
str_npc10_home_intro Look_out,_we_are_approaching_the_trading_town_of_Lundenwic,_home_to_the_Saxons_of_East_Seaxna._This_beautiful_site_has_a_glorious_past,_and,_I_might_bet,_a_bright_future.
