3604
qstr_Breaking_camp... Breaking_camp...
qstr_Leave_Friese._Your_re Leave_Friese._Your_relationship_with_the_jarl_has_ended_badly._He_accuses_you_of_ruining_his_plans_to_take_the_throne._It_is_best_not_to_cross_paths_with_him_again_for_a_long_time_--_or_until_you_are_able_to_regain_his_friendship.
qstr_You_are_bold_rat_to_ You_are_bold,_rat,_to_talk_to_me_like_that_after_what_you've_done._To_honor_services_provided,_I_will_give_you_a_few_days_head_start._Then_you_will_have_assassins_after_you,_for_I_will_put_a_price_on_your_head._You'll_have_to_sleep_with_one_eye_open_and_a_knife_under_your_pillow.^If_you_do_not_leave_Friese_or_we_meet_in_person,_I_will_kill_you_with_my_bare_hands.
qstr_Leave_Friese._Your_rel Leave_Friese._Your_relationship_with_the_jarl_has_ended_badly._You_are_now_enemies._He_will_send_assassins_after_you,_and_he_will_not_have_compassion_if_he_finds_you_in_his_way.
qstr_No_you_are_a_fool._T No,_you_are_a_fool._These_men_were_going_to_take_and_fortify_the_village,_then_wait_for_more_troops_from_Danmark._Now_that's_impossible._You've_ended_my_dreams._Sigurd_'Snake_in_the_Eye'_will_think_I'm_a_traitor_and_he_will_want_my_head_because_of_you._To_honor_services_provided,_I_will_give_you_a_few_days_head_start._Then_you_will_have_assassins_after_you,_for_I_will_put_a_price_on_your_head._You'll_have_to_sleep_with_one_eye_open_and_a_knife_under_your_pillow.^If_you_do_not_leave_Friese_or_we_meet_in_person,_I_will_kill_you_with_my_bare_hands.
qstr_Investigate_events_i Investigate_events_in_{s3}.
qstr_Help_defend_{s3}. Help_defend_{s3}.
qstr_The_king_does_not_be The_king_does_not_believe_you._You_need_evidence_of_treason._Maybe_Thonkrik_from_{s3}_can_help_you.
qstr_It_seems_you_will_not It_seems_you_will_not_have_the_help_of_the_king._You'll_have_to_talk_to_{s11}_'Snake_in_the_Eye'_directly.
qstr_{s10}_won_t_support_y {s10}_won't_support_you_with_{s9}.
qstr_I_did_not_want_to_ki I_did_not_want_to_kill_Atli,_but_I_had_no_alternative._(Phlegmatic)
qstr_I_am_aware_of_the_se I_am_aware_of_the_seriousness_of_this_danger._You_do_not_need_to_remind_me._(Melancholic)
qstr_I_did_this_for_you._ I_did_this_for_you._Without_me,_the_letter_would_be_Sigurd's,_to_take_the_throne._(Choleric)
qstr_Come_on_sire_I_left_ Come_on,_sire,_I_left_no_witnesses._The_Assembly_will_not_blame_me_for_anything._(Sanguine)
qstr_I_see._Well_it_is_yo I_see._Well,_it_is_your_neck.
qstr_Well_if_Ulf_doesn_t_ Well,_if_Ulf_doesn't_testify_against_you_and_some_jarls_support_you,_you_might_have_a_chance.
qstr_Mark_my_words_{reg59 Mark_my_words,_{reg59?woman:man}._If_Sigurd_gets_this_throne,_your_life_won't_be_worth_anything._Do_not_tell_me_what_you_do_for_me_when_you_are_in_fact_protecting_only_your_interests.
qstr_Remember_that_I_am_t Remember_that_I_am_the_king_when_you_address_me.
qstr_It_seems_that_everyt It_seems_that_everything_is_ready_for_your_trial._{s10}_will_send_a_messenger_to_warn_you_as_soon_as_your_presence_is_required_by_the_Assembly.
qstr_{s9}_wants_you_back_ {s9}_wants_you_back_with_{s11}.
qstr_{s9}_wants_you_to_me {s9}_wants_you_to_meet_{s11}_of_West_Seaxe_in_{s3}_and_give_him_a_letter_calling_for_a_truce.
qstr___You_perceive_that_ --You_perceive_that_your_news_has_disturbed_him_deeply.--
qstr_I_guess_you_ve_weigh I_guess_you've_weighed_all_the_options_before_making_your_decision._(Phlegmatic)
qstr_So_all_is_not_lost!_ So_all_is_not_lost!_(Melancholic)
qstr_Retreat_is_dishonora Retreat_is_dishonorable._Were_I_running_this_army,_I_would_lead_it_to_victory._(Choleric)
qstr_Come_come._Retreat?_ Come,_come._Retreat?_Are_you_a_coward?_(Sanguine)
qstr_We_must_be_realistic We_must_be_realistic._Otherwise,_we_may_lose_everything_we've_got.
qstr_You_need_not_be_so_d You_need_not_be_so_dramatic._Nothing_has_been_lost,_dammit!_I'm_just_posing_the_most_logical_strategy.
qstr_Well_I_happen_to_lik Well,_I_happen_to_like_people_with_guts._Listen_carefully,_because_I_think_this_will_interest_you.
qstr_No_I_d_rather_be_a_c No,_I'd_rather_be_a_clever_man_than_a_dead_one._And_watch_your_words!_Remember_that_you're_talking_to_one_of_the_sons_of_Ragnar._If_all_of_Northhymbre_could_not_answer_for_insulting_our_family,_what_chance_do_you_think_you_would_have?
qstr_{s9}_wants_you_hunt_ {s9}_wants_you_hunt_and_destroy_the_West_Seaxe_foraging_party_near_{s3}.
qstr_{s9}_wants_you_deliv {s9}_wants_you_deliver_a_message_to_his_brothers_in_{s3},_advising_them_that_no_reinforcements_from_Danmark_are_coming_and_that_Bjorn_will_request_a_meeting_with_the_Saxons_for_a_truce_and_retreat_from_Mierce.
qstr___You_perceive_your_ --You_perceive_your_news_has_disturbed_him_deeply._He_snorts_like_a_bull_before_answering.--
qstr___He_looks_into_your_ --He_looks_into_your_eyes_with_deep_concern_and_then_calls_a_servant_to_read_the_letter_aloud_to_the_end._Then_Rathbarth_looks_at_you_and_smiles.--
qstr___He_bites_his_lower --He_bites_his_lower_lip_a_few_seconds,_thinking.--
qstr_Note_1:_You_gave_the Note_1:_You_gave_the_letter_to_Ragnar's_sons._{s9}_thanked_you,_and_now_you're_helping_him.
qstr___He_rests_a_hand_on --He_rests_a_hand_on_your_shoulder.--
qstr___He_laughs_loudly._ --He_laughs_loudly.--
qstr_{s9}_wants_you_find_ {s9}_wants_you_find_and_speak_with_{s3}_of_the_{s4}_to_give_him_your_oath_of_homage._Then,_he_wants_you_to_return_for_an_assignment.
qstr_As_he_rejoins_his_br As_he_rejoins_his_brothers_to_decide_what_to_do_about_the_letter_of_Bodo,_{s11}_has_asked_you_to_go_to_the_Kingdom_of_Alban,_conquer_{s3}_and_keep_it_twenty_days_to_weaken_the_Picts_and_secure_the_rear_of_the_Danish_in_Northhymbre.
qstr___He_takes_a_deep_bre --He_takes_a_deep_breath.--
qstr___He_smiles_pleased. --He_smiles,_pleased.--
qstr_The_time_to_meet_wit The_time_to_meet_with_the_troops_from_the_Kingdom_of_Asturias_has_arrived._Bodo's_letter_indicates_that_they_will_dock_at_{s3},_and_{s11}_wants_you_go_there_and_meet_with_them._There_is_a_traitor._Use_him_to_gain_favor_with_the_Asturian_troops_and_bring_them_to_the_side_of_the_sons_of_Ragnar._But_if_you_fail_to_convince_them,_{s11}_wants_them_destroyed.^^But_before_you_leave_Englaland,_you_must_go_to_{s3}_and_talk_to_the_old_captain_at_the_port,_as_{s11}_has_gathered_men_and_ships_to_help_you_in_Douar-an-Enez.
qstr_The_king_wants_no_le The_king_wants_no_letters._You_have_been_sent_to_speak_to_his_brother,_{s11}.
qstr___He_takes_the_letter_ --He_takes_the_letter_from_your_hands,_and_you_see_his_fingers_are_stained_with_ink._Aelfred_reads_the_letter_slowly,_absorbing_with_interest_all_that_it_contains._After_reading_it,_without_saying_anything,_Aelfred_calls_Bodo_and_takes_him_aside_a_few_meters,_where_they_talk_a_long_time._--
qstr_Note_1:_You_gave_the_ Note_1:_You_gave_the_letter_to_West_Seaxe._{s9}_thanked_you,_and_now_you're_helping_him.
qstr___For_a_moment_he_sh --For_a_moment,_he_shows_surprise.--
qstr___He_studies_you_slo --He_studies_you_slowly,_like_examining_a_horse.--
qstr_{s9}_wants_you_to_fi {s9}_wants_you_to_find_and_speak_with_{s3}_of_the_{s4},_to_give_him_your_oath_of_homage._Then,_he_wants_you_to_return_for_an_assignment.
qstr_{s11}_has_asked_you_ {s11}_has_asked_you_to_go_to_the_land_of_the_Welsh._You_are_to_conquer_{s3}_and_keep_it_twenty_days.
qstr_The_time_to_meet_with The_time_to_meet_with_the_troops_from_the_Kingdom_of_Asturias_has_arrived._Bodo's_letter_indicates_that_they_will_dock_at_{s3},_and_{s11}_wants_you_go_there_and_meet_with_them._There_is_a_traitor._You_have_to_expose_him_and_destroy_him_diplomatically,_without_breaking_relations_with_the_Asturians.^^{s11}_has_gathered_men_and_ships_to_help_you_in_Douar-an-Enez._You_must_go_to_{s3}_and_talk_to_the_old_captain_at_the_port.
qstr___He_snaps_his_finge --He_snaps_his_fingers.--
qstr_You_must_enter_the_s You_must_enter_the_service_of_{s11},_ready_for_the_battle_ahead.
qstr___He_looks_at_you_co --He_looks_at_you_condescendingly.--
qstr___He_scratches_his_c --He_scratches_his_chin_thoughtfully._He_is_a_very_thin_young_man_of_only_twenty_years,_but_already_commands_respect.--
qstr_{s13}_asked_you_to_ga {s13}_asked_you_to_gather_{reg3}_head_of_cattle_and_deliver_them_in_Aescesdun._Then,_back_to_him._
qstr_{s13}_asked_you_to_gat {s13}_asked_you_to_gather_{reg3}_head_of_cattle_and_deliver_them_in_Aescesdun._Then,_back_to_him.
qstr___He_puts_his_hand_on_ --He_puts_his_hand_on_your_shoulder_and_looks_into_your_eyes.--
qstr_You_ve_joined_your_a You've_joined_your_army_to_that_of_{s11},_which_awaits_the_arrival_of_the_great_Danish_army._It_seems_that_the_fate_of_West_Seaxe_will_be_decided_soon.
qstr___He_pats_your_back. --He_pats_your_back.--
qstr_You_must_enter_the_se You_must_enter_the_service_of_{s11}_and_prepare_for_the_battle_ahead.
qstr___Halfdan_laughs_lou --Halfdan_laughs_loudly.--
qstr___He_confidently_tou --He_confidently_tousles_your_hair.--
qstr_{s13}_asked_you_to_gath {s13}_asked_you_to_gather_{reg3}_head_of_cattle_and_deliver_them_in_Readingum._Then,_back_to_him.
qstr___He_hugs_you_tightl --He_hugs_you_tightly,_like_a_bear.--
qstr_You_ve_joined_your_ar You've_joined_your_army_to_that_of_{s11},_which_is_ready_to_march_on_the_Saxons_in_Aescesdun._It_seems_that_the_fate_of_West_Seaxe_will_be_decided_soon.
qstr_{s9}_told_you_that_S {s9}_told_you_that_Sven_Bull_Neck_has_gone_to_Readingum,_where_he_has_taken_over._It's_time_to_finish_what_started_on_the_Woden_Ric._Sven_Bull_Neck_cannot_escape_again._Go_to_Readingum.
qstr_You_already_have_my_ You_already_have_my_permission_to_do_this._Please_do_not_keep_bothering_me_with_the_same_matter.
qstr_You_are_an_enemy_of_ You_are_an_enemy_of_my_kingdom.
qstr_You_must_earn_my_tru You_must_earn_my_trust_if_you_want_to_recruit_men_in_my_land._Now,_our_relations_are_bad.
qstr_I_don_t_know_if_I_tr I_don't_know_if_I_trust_you_enough_to_take_men_from_my_land_and_lead_them_into_battle._Prove_yourself_first,_then_come_back_and_ask_again.^^(150_or_more_Renown)
qstr_No._I_do_not_know_wh No._I_do_not_know_who_you_are._You_must_earn_my_trust_if_you_want_to_recruit_men_in_my_land.^^(150_or_more_Renown_and_5_or_more_positive_relation_needed)
qstr_Well_I_ve_come_to_kn Well,_I've_come_to_know_you,_and_it_pleases_me_to_allow_it._Therefore,_I_hereby_give_notice_that,_if_a_man_wants_to_join_you,_he_will_be_free_to_do_so,_provided,_as_ever,_that_he_is_free_of_commitments_to_another_lord.
qstr_{!}DEBUG_:_result_fo {!}DEBUG_:_result_for_political_is_{reg3}
qstr_you you
qstr_{!}DEBUG_:_result_for {!}DEBUG_:_result_for_new_liege_:_{reg31}
qstr_{!}DEBUG_:_result_for_ {!}DEBUG_:_result_for_old_liege_:_{reg32}
qstr_You_are_challenging_ You_are_challenging_me_to_a_duel?_How_droll!_As_you_wish,_{playername},_it_will_be_good_sport_to_bash_your_head_in.
qstr_{s16}_and_{s17} {s16}_and_{s17}
qstr_{!}{s16}_{s17} {!}{s16},_{s17}
qstr_Very_well_I_will_acc Very_well,_I_will_accept_you_back_into_my_ranks,_if_you're_ready_to_swear_your_solemn_oath_once_more.
qstr_A_pardon_will_only_b A_pardon_will_only_be_possible_if_you_are_willing_to_cede_{s17}_to_me._Do_you_agree_my_terms?
qstr_No._There_is_no_chan No._There_is_no_chance_of_peace_between_us._I_am_not_interested.
qstr_I_may_be_able_to_hel I_may_be_able_to_help_you_with_such_a_delicate_situation._Do_you_have_{reg7}_peningas_on_you?
qstr_I_have_heard_of_your I_have_heard_of_your_mistreatment_of_my_subjects,_{playername}._I'm_pretty_sure_people_still_remember_what_you_did_to_them...^^But_that's_all_in_the_past_now,_so_just_hand_me_the_money._Did_I_hear_{reg7}_peningas?
qstr_{playername}_your_tr {playername},_your_treatment_of_my_subjects_was_atrocious_in_the_past,_but_such_is_war._I'm_willing_to_help_you_in_this_matter._Hand_me_that_purse_with_{reg7}_peningas,_and_I'll_take_care_of_the_business.
qstr_{playername}_we_all_ {playername},_we_all_make_mistakes_in_our_lives,_and_while_your_treatment_of_my_subjects_was_bad,_I_don't_hold_grudges._I_will_help_you_to_restore_people's_believe_in_you_as_a_just_ruler._Allow_me_to_take_that_purse_with_{reg7}_peningas,_and_I'll_take_care_of_the_business.
qstr_Rumor_has_it_that_{s Rumor_has_it_that_{s35}_just_took_the_money_and_didn't_even_bother_talking_to_people.
qstr_Rumor_has_it_that_{s3 Rumor_has_it_that_{s35}_kept_the_money_for_himself.
qstr_{s34} {s34}
qstr_Your_efforts_to_brib Your_efforts_to_bribe_local_population_were_unsuccessful.
qstr_{!}DEBUG_:_Initiativ {!}DEBUG_:_Initiative_{reg4},_helpfulness_{reg5}
qstr_{!}DEBUG____ai_behav {!}DEBUG_--_ai_behavior:_{reg0},_ai_object:_{reg1}
qstr_Our_marshal_{s1} Our_marshal,_{s1}
qstr_We_are_not_at_war_wi We_are_not_at_war_with_anyone.
qstr_go_on_the_offensive_ go_on_the_offensive_now.
qstr_act_to_defend_our_la act_to_defend_our_lands.
qstr_take_more_time_to_ga take_more_time_to_gather_the_army.
qstr_You_promised_to_help You_promised_to_help_{s13}_claim_the_throne_of_the_{s14}.
qstr_What_do_you_say_to_e What_do_you_say_to_entering_the_service_of_the_{s9}_as_a_mercenary_captain?_I_have_no_doubt_that_you_would_be_up_to_the_task.
qstr_{s8}_asked_you_to_tr {s8}_asked_you_to_track_down_a_group_of_masterless_men_who_looted_his_village,_{s9}.
qstr_{s9}_asked_you_to_ta {s9}_asked_you_to_take_a_message_to_{s13}._{s13}_was_believed_to_be_at_{s4}_when_you_were_given_this_quest.
qstr_{s9}_asked_you_to_tak {s9}_asked_you_to_take_a_message_to_{s13}_of_the_{s15}._{s13}_was_believed_to_be_at_{s4}_when_you_were_given_this_quest.
qstr_{s11}_asked_you_to_e {s11}_asked_you_to_escort_the_Bishop_from_{s22}_to_{s14}.
qstr_{s11}_asked_you_to_r {s11}_asked_you_to_raid_a_monastery_at_{s14},_near_{s34},_and_bring_him_{reg33}_peningas.
qstr_{s11}_asked_you_to_es {s11}_asked_you_to_escort_his_{s17}_{s13}_to_{s14}.
qstr_{s13}_asked_you_to_d {s13}_asked_you_to_deal_with_the_bandits_who_are_occupying_the_village_of_{s15}_and_then_report_back_to_him.
qstr_{s9}_asked_you_to_ra {s9}_asked_you_to_raise_{reg1}_{s14}_and_bring_them_to_him.
qstr_{s9}_asked_you_to_co {s9}_asked_you_to_collect_taxes_from_{s3}._He_offered_to_leave_you_one-fifth_of_all_the_money_you_collect_there.
qstr_{s9}_asked_you_to_hu {s9}_asked_you_to_hunt_down_a_fugitive_named_{s4}._He_is_currently_believed_to_be_in_{s3}.
qstr_{s9}_asked_you_to_as {s9}_asked_you_to_assassinate_a_local_merchant_at_{s3}.
qstr_{s9}_has_asked_you_t {s9}_has_asked_you_to_meet_with_a_spy_in_{s13}.
qstr_{s11}_asked_you_to_f {s11}_asked_you_to_follow_the_spy_that_will_leave_{s12}._Be_careful_not_to_let_the_spy_see_you_on_the_way,_or_he_may_get_suspicious_and_turn_back._Once_the_spy_meets_with_his_accomplice,_you_are_to_capture_them_and_bring_them_back_to_{s11}.
qstr_{s11}_asked_you_to_c {s11}_asked_you_to_capture_a_lord_from_the_{s13},_any_lord,_and_then_drag_your_victim_back_to_{s11}_for_safekeeping.
qstr_{s9}_asked_you_to_le {s9}_asked_you_to_lend_your_companion_{s3}_to_him_for_a_week.
qstr_{s9}_asked_you_to_col {s9}_asked_you_to_collect_the_debt_of_{reg4}_peningas_{s3}_owes_to_him._{s3}_was_at_{s4}_when_you_were_given_this_quest.
qstr_{s11}_gave_you_a_fak {s11}_gave_you_a_fake_letter_to_fool_{s13}_into_banishing_his_vassal_{s16}._You_are_to_go_near_{s14},_give_the_letter_to_one_of_your_{s15}_and_send_him_into_the_town_as_a_messenger,_believing_his_orders_to_be_genuine.
qstr_{s9}_has_requested_y {s9}_has_requested_you_to_bring_him_{reg1}_{s3}_as_prisoners.
qstr_Lend_your_experience Lend_your_experienced_surgeon_{s3}_to_{s1}.
qstr_Oh_Dear!_We_have_bee Oh,_Dear!_We_have_been_given_a_boy!
qstr_Oh_Dear!_We_have_rec Oh,_Dear!_We_have_received_a_girl!
qstr_Oh_Dear!_Twins_are_b Oh,_Dear!_Twins_are_bestowed_upon_us.
qstr_Oh_dear_{playername} Oh_dear_{playername},_I'm_so_tired._(She_smiles_at_you)._Be_patient,_for_the_child_must_be_carried_for_nine_months.
qstr_I_m_thinking_of_a_na I'm_thinking_of_a_name_for_the_child._If_we_have_a_boy,_his_name_will_be_{playername},_but_if_we_have_a_girl,_her_name_will_be_like_mine.
qstr_I_m_fine._I_will_not I'm_fine._I_will_not_pay_any_attention_to_the_banter_of_the_servants._The_child_isn't_the_son_of_our_swineherd.
qstr_Time_flies_away_from Time_flies_away_from_war,_fear_and_the_rigors_of_travel..._In_nine_months,_you_will_have_a_child.
qstr_{!}DEBUG____{reg4}_h {!}DEBUG_--_{reg4}_hours_since_last_feast_for_the_{s4}
qstr_Then_take_it_with_my Then_take_it,_with_my_eternal_thanks._You_are_a_noble_{reg59?woman:man}._I_will_never_forget_that_you_helped_me_in_my_time_of_need.
qstr_Forgive_me_{playerna Forgive_me,_{playername},_but_I_must_insist_you_accept_it._The_money_means_little_to_me,_and_I_owe_you_so_much._Here,_take_it,_and_let_us_speak_no_more_of_this.
qstr_{playername}_what_a_ {playername},_what_a_dear_{reg59?woman:man}_you_are,_but_I_will_not_allow_you_to_refuse_this._I_owe_you_far_more_than_I_can_say,_and_I_am_sure_you_can_put_this_money_to_far_better_use_than_I.
qstr_I_know_you_re_at_war I_know,_you're_at_war_with_his_kingdom,_so_you_may_have_a_problem_giving_him_my_message,_or_perhaps_your_bravery_would_desert_you.
qstr_{s11}_asked_you_to_d {s11}_asked_you_to_deliver_a_message_to_{s3}.
qstr_Oh_{playername}_my_h Oh,_{playername},_my_husband_is_too_busy_with_the_affairs_of_the_state._Would_you_be_so_kind_to_bring_me_{reg25}_{reg1?pieces:piece}_of_{s17}?
qstr_Oh_{playername}_coul Oh,_{playername},_could_you_do_me_a_little_favor?_I_saw_a_trader_the_other_day,_selling_some_novelties_out_by_the_gate._Unfortunately,_I_can't_spend_money_freely._Would_you_be_so_kind_and_bring_me_{reg25}_{reg1?pieces:piece}_of_{s17}?
qstr_{s11}_asked_you_to_b {s11}_asked_you_to_bring_her_{reg25}_{reg1?pieces:piece}_of_{s17}.
qstr_Oh_{playername}_my_hu Oh,_{playername},_my_husband,_{s15},_is_too_busy_with_the_affairs_of_the_state,_and_I_would_like_to_have_a_surprise_party_set_up_in_his_honor._Would_you_be_so_kind_as_to_bring_me_{reg25}_{reg1?bottles:bottle}_of_{s17}_and_2_pieces_of_cheese?
qstr_Oh_{playername}_could Oh,_{playername},_could_you_do_me_a_little_favor?_I_have_some_of_my_lady_friends_here_visiting,_and_I_would_like_to_have_a_small_party_in_their_honor._Unfortunately,_I_can't_spend_money_freely._Would_you_be_so_kind_and_bring_me_{reg25}_{reg1?bottles:bottle}_of_{s17}_and_2_pieces_of_cheese?
qstr_{s11}_asked_you_to_br {s11}_asked_you_to_bring_her_{reg25}_{reg1?bottles:bottle}_of_{s17}_and_2_pieces_of_cheese.
qstr_{s11}_asked_you_to_re {s11}_asked_you_to_rescue_her_{s17},_{s13},_from_{s14}_by_switching_clothes_and_taking_his_place_in_prison.
qstr_{s11}_asked_you_to_res {s11}_asked_you_to_rescue_her_{s17},_{s13},_from_{s14}.
qstr_{s12}_asked_you_to_d {s12}_asked_you_to_deliver_a_message_to_{s13},_who_is_imprisoned_at_{s14}.
qstr_You_agreed_to_challe You_agreed_to_challenge_{s13}_to_defend_{s11}'s_honour.
qstr_{s11}_asked_you_to_di {s11}_asked_you_to_discretely_eliminate_her_'ghost'_ex-lover,_who_is_believed_to_be_in_{s33}.
qstr_{s5}__Persuasion_str {s5}_(Persuasion_strength:_{reg5})
qstr_Persuasion_Attempt Persuasion_Attempt
qstr_I_think_your_dilemma I_think_your_dilemma_can_be_solved_for_{reg22}_peningas.
qstr_Thank_you_for_the_wa Thank_you_for_the_warning._{reg22}_peningas_will_make_me_forget_everything.
qstr_Pay_{reg22}_peningas Pay_{reg22}_peningas_for_your_rudeness_or_else...
qstr_{reg22}_peningas_is_ {reg22}_peningas_is_the_price_of_my_silence._Otherwise...
qstr_I_understand_you_wer I_understand_you_were_forced_to_do_it,_but_I'm_entitled_to_compensation,_and_I_think_{reg22}_peningas_will_be_acceptable._I_would_hate_to_tell_on_you,_but_I_have_no_choice_either.
qstr_Prepare_to_die_you_i Prepare_to_die,_you,_insolent_crook!
qstr_Ah_a_duel._Well_if_y Ah,_a_duel._Well,_if_you_insist,_{playername},_I_will_oblige.
qstr_Hmm_are_you_sure?_I_ Hmm,_are_you_sure?_I_don't_think_you_would_want_to_ruin_our_relationship_completely...
qstr_Hmm_isn_t_this_all_a Hmm,_isn't_this_all_a_bit_rash?_Perhaps_you_and_I_can_solve_this_problem_in_a_more_rewarding_fashion...
qstr_I_always_knew_{playe I_always_knew,_{playername},_that_you_were_of_such_poor_moral_fiber._Truly,_only_the_lowest_of_the_low_would_attempt_to_besmirch_and_blackmail_someone_so_clearly_superior_to_{reg59?him:her}._But,_alas,_however_serious_this_accusation,_it_is_hardly_worth_my_time_to_answer.
qstr_{playername}_is_it_w {playername},_is_it_worth_it_to_come_to_blows_over_this?_I_admitted_that_was_wrong_of_me_to_do_such_a_thing._What_else_do_you_want?
qstr_I_can_pay_you_{reg22 I_can_pay_you_{reg22}_peningas_for_your_troubles_and_not_a_penny_more!
qstr_Given_my_poor_financ Given_my_poor_finances,_I_think_{reg22}_peningas_for_your_troubles_would_be_enough.
qstr_I_only_have_mere_{re I_only_have_mere_{reg22}_peningas._Take_them_and_leave_me_alone.
qstr_I_have_no_money_to_p I_have_no_money_to_pay_you.
qstr_Bless_you_{playernam Bless_you,_{playername}._This_is_an_honorable_decision,_and_I_will_remember_it.
qstr_This_is_not_only_an_ This_is_not_only_an_honorable_decision_but_a_sign_of_your_political_maturity,_{playername}.
qstr_Well_thank_you_{play Well,_thank_you,_{playername}._I_surely_appreciate_your_kindness.
qstr_Maybe_I_was_wrong_ab Maybe_I_was_wrong_about_you,_{playername}._Only_time_will_tell.
qstr_Welcome_to_Maedelste Welcome_to_Maedelstede,_where_foreigners_are_welcome_--_especially_if_they_bring_silver.
qstr_My_mead_hall_is_the_ My_mead_hall_is_the_biggest_in_town._You_are_welcome_here.
qstr_Make_yourselves_comf Make_yourselves_comfortable._I_will_give_you_drink_and_accommodation.
qstr_has_put_together_a_b has_put_together_a_bounty_on_some_bandits_who_have_raided_one_of_his_villages.
qstr_This_is_not_that_sim This_is_not_that_simple,_but_I_can_give_it_a_try._I_think_300_peningas_should_suffice._What_faction_are_you_talking_about?
qstr_Aha_my_favorite_one. Aha,_my_favorite_one._I_think_150_peningas_should_suffice._Can_you_tell_me_what_the_lord's_faction_is?
qstr_Doable_since_so_many Doable,_since_so_many_lords_are_only_too_eager_to_pull_their_swords_out._Two_hundred_and_fifty_peningas_will_be_plenty,_I_think._What_is_the_first_lord's_faction?
qstr_You_get_an_elite_Sax You_get_an_elite_Saxon_sword.
qstr_You_get_a_Long_Seax. You_get_a_Long_Seax.
qstr_You_get_a_beautiful_ You_get_a_beautiful_Long_Axe.
qstr_You_get_a_great_long You_get_a_great_long_bow.
qstr_You_get_an_expensive You_get_an_expensive_mail.
qstr_You_get_an_expensive_ You_get_an_expensive_mail_shirt.
qstr_You_get_an_expensive_h You_get_an_expensive_helmet.
qstr_{!}DEBUG:_Gossip_for {!}DEBUG:_Gossip_for_troop_{reg3}
qstr_{!}DEBUG:_{s3} {!}DEBUG:_{s3}
qstr_A_villager_from_{s7} A_villager_from_{s7}_begged_you_to_save_their_village_from_the_bandits_that_took_refuge_there.
qstr_Hey_what_do_you_want Hey,_what_do_you_want?_We're_drinking.
qstr_Are_you_looking_for_ Are_you_looking_for_men_who_are_willing_to_risk_their_skin_for_glory_and_wealth?
qstr_There_is_food_and_dr There_is_food_and_drink_for_all._Do_you_want_to_join_in?
qstr_You_chose_well_{reg5 You_chose_well,_{reg59?madam:sir}._My_lads_know_how_to_keep_their_word_and_earn_their_pay.
qstr_Well_done_{reg59?mad Well_done,_{reg59?madam:sir}._Keep_the_money_and_wine_coming_our_way,_and_there's_no_foe_in_the_world_you_need_fear.
qstr_We_are_at_your_servi We_are_at_your_service,_{reg59?madam:sir}._Point_us_in_the_direction_of_those_who_need_hurting,_and_we'll_do_the_rest.
qstr_Oh..._well..._I_do_n Oh..._well..._I_do_not_know_..._I'm_probably_fine._(Phlegmatic)
qstr_Even_bad_dreams_spea Even_bad_dreams_speak_to_us._I_like_to_listen._Perhaps_learn_something._(Melancholic)
qstr_Yes_I_had_a_nightmar Yes,_I_had_a_nightmare,_but_now_I'm_awake._All_that_matters_is_what's_ahead._(Choleric)
qstr_All_is_well._Believe All_is_well._Believe_me,_it_was_just_a_stupid_nightmare!_(Sanguine)
qstr_No_need_to_get_shy!_ No_need_to_get_shy!_At_any_rate,_it's_good_to_see_you_up_and_about,_friend.
qstr_I_prefer_not_to_drea I_prefer_not_to_dream._They_bring_too_many_memories_and_longings._Well,_it's_good_to_see_you_up_and_about,_friend.
qstr_Yes_we_are_finally_n Yes,_we_are_finally_near_Friese._There,_after_all_these_days,_we_will_part,_for_my_journey_continues_on_towards_West_Seaxe._For_now,_it's_good_to_see_you_up_and_about,_friend.
qstr_I_agree_completely._ I_agree_completely._Fortunately,_I_usually_do_not_remember_my_dreams_when_I_wake._Well,_it's_good_to_see_you_up_and_about,_friend.
qstr___She_has_aged_sever --She_has_aged_several_years_since_her_illness_began._She's_so_frail_that_she_looks_like_she_would_break_if_you_touched_her._This_is_not_the_woman_you_know;_just_a_vague_memory_of_her,_but_she's_still_your_mother.--
qstr___She_smiles_and_look --She_smiles_and_looks_at_you_with_love--
qstr___She_looks_past_you --She_looks_past_you--
qstr___She_opens_her_eyes --She_opens_her_eyes,_looks_at_you._Her_hands_shake--
qstr___She_shifts_her_gaz --She_shifts_her_gaze_to_the_sea._She_is_crying.--
qstr___He_smiles_and_show --He_smiles_and_shows_you_the_rudder.--
qstr___He_stares_at_you_f --He_stares_at_you_for_a_second,_then_lets_out_a_chuckle.--
qstr___He_nods.__ --He_nods.--
qstr___You_notice_his_han --You_notice_his_hands_shaking_from_nervousness.--
qstr___Now_he_looks_scare --Now_he_looks_scared.--
qstr___He_scratches_his_b --He_scratches_his_back_and_then_smiles.--
qstr___He_touches_the_hil --He_touches_the_hilt_of_his_sword.--
qstr_After_traveling_for_ After_traveling_for_several_days,_you_came_to_Douar-an-Enez_and_met_with_the_Asturians._But_while_you_were_trying_to_convince_them_to_join_Ragnar's_sons,_Bodo_took_command_and_ordered_an_attack_on_your_fleet._You_must_return_to_your_fleet_and_fight!
qstr_After_traveling_for_s After_traveling_for_several_days,_you_came_to_Douar-an-Enez_and_met_with_the_Asturians._You_unmasked_the_traitor,_Silo,_but_it_was_too_late!_The_Danish_are_attacking_your_fleet._You_must_hurry_and_save_your_men!
qstr_You_are_now_a_Christ You_are_now_a_Christian.
