stringsfile version 1
3761
str_no_string {!}NO_STRING!
str_npc1_personalityclash2_speech_b I_have_no_interest_in_becoming_a_Christian._In_my_opinion,_this_priest_only_can_only_bring_us_bad_luck._Maybe_we_should_burn_him.
str_npc2_personalityclash2_speech_b The_enemy_was_bearing_down_on_us,_and_he_says,_'A_great_warrior_does_not_drink_mead_in_battle.'_Next_time_I_will_step_aside,_and_let_him_take_a_spear_in_the_gut.
str_npc3_personalityclash2_speech_b After_our_last_victory,_I_was_picking_through_the_slain,_and_that_Frisian_called_Reginhard_pushed_me_aside,_saying_that_looting_was_not_for_me,_a_simple_slave_girl_that_has_just_been_permitted_to_travel_with_the_army._However,_I_believe_that_if_I_battle_in_the_shield_wall,_I_deserve_my_share_of_the_loot,_just_like_any_other_warrior._Even_though_I_might_be_less_experienced_than_the_others,_I_also_risked_my_life.
str_npc4_personalityclash2_speech_b Finally,_you_will_have_to_deal_with_that_northern_woman._She_must_remember_her_place_or_be_whipped.
str_npc5_personalityclash2_speech_b As_far_as_I_understand,_she_is_but_a_woman._Yet,_when_I_ordered_her_to_fetch_me_a_bowl_of_that_fine_stew_last_night,_she_refused_and_said_that_I_should_get_it_myself._I_was_too_tired_to_slap_her_properly_for_her_impudence,_so_I_let_it_go,_but_I_will_not_tolerate_such_disrespect_in_the_future.
str_npc6_personalityclash2_speech_b We_should_not_tolerate_that_bastard_in_our_shield_wall._The_battle_is_no_place_for_mockers;_no_true_warrior_insults_a_fallen_foe._Please,_let_me_kill_this_idiot._Allow_me_to_appease_my_tortured_soul_with_this_sinner's_blood.
str_npc7_personalityclash2_speech_b He_also_insists_that_I_should_address_him_as_'my_lord,'_instead_of_his_ridiculous_name._I_tell_you,_one_day,_when_I_have_my_own_band_of_warriors,_I_will_hunt_him_down_and_ask_him_how_much_better_a_warrior_he_is_with_my_axe_buried_in_his_skull.
str_npc8_personalityclash2_speech_b As_we_were_cleaning_our_weapons_after_that_last_battle,_I_remarked_that_I_thought_her_a_handsome_girl_and_that_I_would_happily_find_her_a_place_with_one_of_my_renters._I_explained_to_her_that,_although_I,_myself,_am_looking_for_a_wife,_I_will_marry_only_a_free_woman._I_thought_it_was_a_very_generous_offer,_a_man_and_land._An_army_slave_is_hardly_going_to_find_herself_awash_in_prospects,_but_rather_than_thank_me,_she_simply_turned_her_back_without_a_word._It_was_only_out_of_respect_for_your_leadership_that_I_did_not_immediately_try_to_teach_her_some_manners._I_really_think_you_should_discipline_your_slaves_better.
str_npc9_personalityclash2_speech_b I_appreciate_that_he_is_willing_to_risk_his_life_in_battle,_but_that_alone_does_not_make_a_warrior._He_is_not_of_noble_birth._He_may_fight_with_us_as_an_auxiliary,_as_a_favor,_but_he_should_not_attempt_to_steal_glory_from_his_betters.
str_npc10_personalityclash2_speech_b In_that_last_battle,_as_always,_he_kept_singing_and_praising_himself_as_the_glorious_commander_that_lead_us_all_to_victory,_fame,_and_fortune._I_am_sorry,_but_if_he_is_our_leader_instead_of_you,_I_am_ready_to_go_find_my_fortune_somewhere_else.
str_npc11_personalityclash2_speech_b As_far_as_I_know,_he_is_an_exiled_man_that_will_never_find_peace_nor_truly_be_allowed_to_return_to_his_homeland._All_because_he_was_unable_to_obey_his_jarl._Well,_if_he_can't_obey_even_his_rightful_jarl,_what_says_that_he_shall_obey_you?_Please,_don't_take_me_wrong,_{reg59?my_pretty:handsome},_but_I_think_he_is_a_danger_to_us_all._I_think_you_had_best_be_rid_of_him.
str_npc12_personalityclash2_speech_b Warlord,_if_that_man_knew_the_slightest_thing_about_medical_matters,_he_would_know_that_one_should_never_undermine_a_patient's_confidence_in_his_doctor,_particularly_not_during_a_complicated_operation._He_should_stick_to_military_matters_only._If_you_would_be_kind_enough_to_dismiss_him_from_this_shield_wall,_you_would_be_doing_all_of_us_a_great_service.
str_npc13_personalityclash2_speech_b He_keeps_saying_that_I'd_better_watch_my_back,_for_someday_he_will_stick_his_spear_deep_into_my_dark_Svia_heart._He_has_sworn_to_kill_me_in_the_next_battle._You_had_better_keep_a_close_eye_on_this_fool.
str_npc14_personalityclash2_speech_b In_our_last_battle,_while_I_was_singing_about_the_many_battles_that_your_leadership,_alongside_my_courage,_allowed_us_to_turn_into_victories,_he_spat_on_the_ground_and_told_me_to_keep_my_'arrogant_yapper'_shut._If_this_man_does_not_understand_the_legendary_nature_of_our_feats,_then_he_should_not_be_allowed_to_share_our_future_glory_and_fortune.
str_npc15_personalityclash2_speech_b {s11}_responded_that_Hippocrates_was_an_'antiquated_know-nothing,'_incomparable_to_the_knowledgeable_Galenus._Strategos,_no_true_medic_would_have_such_disrespect_for_the_great_masters_of_the_past._I_do_not_believe_you_should_employ_such_an_obvious_impostor.
str_npc16_personalityclash2_speech_b This_awful_woman_has_openly_declared_that_she_follows_the_pagan_gods_Odin_and_Thor,_and_that_the_teachings_of_Christ_are_nothing_more_than_the_babblings_of_weak_men._She_even_made_an_absurd_remark_suggesting_that_I,_a_holy_priest,_brought_us_all_bad_luck_with_my_'gibberish_preaching.'_If_you_have_no_intention_of_leading_all_of_your_men_to_Hell,_this_Norse_woman_should_be_immediately_sent_to_her_afterlife_by_fire.
str_npc1_personalitymatch_speech Warlord,_{s11}_didn't_do_badly_in_that_last_fight_at_all._He's_a_good_egg,_that_one.
str_npc2_personalitymatch_speech {reg59?Madame:Sir},_I_just_wanted_to_tell_you_that_{s11}_may_be_a_rough_sort,_and_I'll_venture_a_complete_drunkard_as_well,_but_I'm_proud_to_call_him_my_companion.
str_npc3_personalitymatch_speech Hello,_{reg59?madame:sir}!_I_had_just_wanted_to_tell_you_that_{s11}_is_a_most_gallant_and_brave_warrior._Did_you_see_him_in_our_last_battle?
str_npc4_personalitymatch_speech I_just_wanted_to_say_a_word_in_praise_of_{s11}._He_did_well_in_that_last_battle.
str_npc5_personalitymatch_speech That_was_a_fine_battle,_{playername}!_{s11}_is_a_good_companion_to_have_by_our_side_in_a_fight.
str_npc6_personalitymatch_speech Sometimes_I_am_troubled_by_all_this_bloodshed,_but_I_know_that_proud_warlords_must_be_humbled_and_cruel_bandits_tamed_if_we_are_to_restore_peace.
str_npc7_personalitymatch_speech Warlord,_I_was_just_talking_to_{s11}._He_might_be_an_outspoken_man,_but_he_holds_no_prejudice_for_me_being_a_woman_or_a_Pict.
str_npc8_personalitymatch_speech A_fine_battle_that_was,_warlord._I_have_to_say,_I_greatly_enjoy_the_company_of_{s11},_for_he_is_a_fine_commander_of_men.
str_npc9_personalitymatch_speech Warlord,_{s11}_acquitted_herself_well_in_that_fight_back_there._A_fine,_modest_maiden_she_is,_if_I_dare_say_so_myself.
str_npc10_personalitymatch_speech Dryhten!_I_wish_you_joy_in_your_victory!_Say,_I_really_like_the_company_of_that_Solveig._I_see_that_she_is_extremely_devoted_to_the_safety_of_our_shield_wall.
str_npc11_personalitymatch_speech Oh_{reg59?my_pretty:handsome},_I_could_not_praise_you_more_for_having_women_of_such_quality_as_{s11}_within_our_shield_wall._I_do_not_care_that_she_is_a_Frisian,_supposedly_weak_and_once_a_slave_to_the_Danish.
str_npc12_personalitymatch_speech A_bloody_business,_warlord,_a_bloody_business_--_although_a_necessary_one,_of_course._{s11},_I_believe,_shares_my_ambivalence_about_this_constant_fighting,_at_least_against_non-Visigoths,_as_he_always_insists_on_saying.
str_npc13_personalitymatch_speech It_is_a_pleasure_going_into_battle_with_a_fine_Frisian_noble_like_{s11}_by_my_side.
str_npc14_personalitymatch_speech You_have_earned_your_name_today,_oh_valorous_one!_And_{s11},_too!_I_like_that_one._He_knows_the_great_poems_and_plays_of_the_ancient_Greeks,_which_appeals_to_an_artistic_soul_like_my_own.
str_npc15_personalitymatch_speech Strategos._I_was_just_having_a_word_with_{s11}_after_our_last_battle,_and_it_strikes_me_that_the_man_has_a_good_head_on_his_shoulders.
str_npc16_personalitymatch_speech I_must_tell_you_that,_even_though_{s11}_behaves_in_a_rough,_unmannered_way,_I_can_see_that,_in_his_heart,_he_has,_maybe_unknown_to_himself,_a_good_Christian_soul.
str_npc1_personalitymatch_speech_b {s11}_is_awesome!_He_is_always_joking,_proud_and_brave,_and_knows_how_to_seduce_girls,_I'll_warrant._I'm_glad_to_have_him_with_us.
str_npc2_personalitymatch_speech_b Based_on_how_he_did_in_that_last_fight,_I'd_say_that_I'd_trust_my_back_to_him_any_day._He_also_knows_how_to_share_tales_and_legends_by_the_camp_fire_after_a_fine_battle._I_already_promised_to_take_him_to_a_Nordic_mead_hall_someday.
str_npc3_personalitymatch_speech_b I_also_confess_that_I_find_him_a_truly_delightful_companion,_a_man_of_both_wit_and_manners._Perhaps,_perhaps..._Ah,_but_I_say_too_much._Good_day,_{reg59?madame:sir}.
str_npc4_personalitymatch_speech_b You_chose_well_to_enlist_him_in_our_shield_wall._He_knows_a_thing_or_two_about_a_fight.
str_npc5_personalitymatch_speech_b It_is_clear_from_his_battle_prowess_that_he_is_a_true_descendant_of_a_brave_warrior._He_honors,_in_the_battlefield,_the_greatness_of_his_lineage.
str_npc6_personalitymatch_speech_b I_must_say_that_{s11}_is_a_source_of_great_comfort_to_me._I_told_him_of_my_sin,_and_he_said_to_me_that_Christ_would_forgive_my_transgression,_if_I_repent_and_truly_desire_such_forgiveness._He_is_wise,_and_I_am_glad_that_he_is_with_us.
str_npc7_personalitymatch_speech_b He_preaches_to_me_just_like_to_anyone_else,_and_told_me_that_even_if_my_body_is_covered_by_war_tattoos,_God_can_still_see_the_good_intentions_within_my_heart._I_am_not_sure_I_completely_liked_what_he_said,_for_I_am_a_warrior,_not_a_simple_housemaid,_but,_still,_I_feel_I_can_trust_that_priest_and_his_teachings.
str_npc8_personalitymatch_speech_b We_are_both_veterans,_and,_as_such,_can_both_easily_perceive_the_many_tactical_flaws_the_warriors_of_this_land_commit_during_battle._Our_shield_wall_is_much_stronger_with_him_in_it.
str_npc9_personalitymatch_speech_b Were_she_not_a_mere_slave,_I_might_ask_for_her_hand._It_is_a_pity_that_she_is_not_a_free,_pure_woman,_but_speaking_with_her_is_a_pleasant_way_to_pass_time_on_the_march.
str_npc10_personalitymatch_speech_b Actually,_I_see_that_she_is_extremely_devoted_to_you._Please,_Dryhten,_don't_let_it_embarrass_you!_A_devoted_woman_like_that_can_be_more_valuable_than_a_hundred_warriors.
str_npc11_personalitymatch_speech_b She_is_clearly_a_survivor_that_has_profound_respect_and_obedience_to_you._This,_of_course,_makes_me_extremely_happy._If_only_all_of_our_people_were_like_her,_someone_who_has_overcome_a_troubled_past_in_the_house_of_the_jarl_of_Kennemer._Those_experiences,_the_difficult_ones,_are_those_that_bring_out_the_best_in_people,_don't_you_think?
str_npc12_personalitymatch_speech_b It_saddens_him_deeply_to_take_the_lives_of_his_fellow_men,_however_just_the_cause._He_and_I_have_talked_together_of_a_brighter_future,_of_the_need_to_unite_these_petty_warring_kingdoms_of_Englaland,_so_that_we_may_bring_this_time_of_troubles_to_an_end.
str_npc13_personalitymatch_speech_b He_has_a_warrior's_heart,_even_though_it_requires_much_more_to_learn_the_art_of_war._Though_he_may_not_be_as_fast_on_his_feet_as_some,_he_knows_the_wisdom_of_holding_together_in_a_disciplined_battle-line._You_showed_good_sense_in_bringing_him_into_this_shield_wall.
str_npc14_personalitymatch_speech_b The_tales_from_his_homeland_that_he_likes_to_recite_by_the_campfire_also_teach_a_lot_about_battles_and_warfare_in_general._I_especially_enjoy_the_heroic_deeds_that_happened_during_the_war_with_Troy._Soon,_our_shield_wall_will_be_a_legend_as_glorious_and_famous_as_the_heroes_of_Agamemnon's_time.
str_npc15_personalitymatch_speech_b Even_though_he_seems_to_be_nothing_more_than_a_proud_leader_of_men,_he_understands_that_war,_like_any_other_affair,_requires_careful_planning_and_preparation_and_a_firm_grasp_of_strategic_principals._A_fine_proof_of_that_is_how_interested_he_got_in_the_military_aspects_of_the_siege_of_Troy,_as_I_was_telling_him_that_tale_the_other_day.
str_npc16_personalitymatch_speech_b {s11}_is_an_intelligent_man_with_great_wisdom._I_like_to_listen_to_him_at_the_camp_fire,_and_he_listens_to_me_when_I_speak_of_Christ._The_truth_is_that_we_have_very_interesting_discussions._You_should_join_us_someday.
str_npc1_retirement_speech I'm_a_bit_tired_of_marching_up_and_down_the_land,_shedding_my_blood_for_someone_else's_cause._The_loot_is_good,_but_I_think_I've_got_enough_of_that,_now._I'm_going_to_head_back_to_my_father's_cave,_near_Hadrian's_Wall._Sorry,_but_this_life_of_adventure_and_danger_is_over_for_me.
str_npc2_retirement_speech I'm_getting_a_bit_tired_of_the_warrior's_life._I'm_going_to_invest_my_share_of_our_loot_in_mead_and_women._I_would_like_to_thank_you_again_for_taking_me_on,_and_wish_you_the_best_of_luck.
str_npc3_retirement_speech I_am_afraid_I_have_something_to_tell_you._I_have_decided_that_the_warrior's_life,_even_if_better_than_a_slave's_one,_is_not_for_me._One_final_time,_I_thank_you_for_freeing_me,_but_it_is_time_for_me_to_find_myself_a_more_peaceful_way_of_life._I_think_I_have_enough_money_to_return_to_my_father,_Thonkrik,_to_start_a_new_life_as_a_merchant._I_hope_you_will_not_be_angry,_{reg59?madame:sir}.
str_npc4_retirement_speech I_have_fought_with_you_honorably,_but_I_am_not_altogether_satisfied_with_your_leadership._Farewell.
str_npc5_retirement_speech {reg59?Madame:Sir},_since_I_joined_your_shield_wall,_I_have_fought_for_you_fiercely_and_loyally,_but_you_have_not_rewarded_my_service_with_the_kind_of_leadership_position_that_I_deserve._So_I_will_hope_that_my_exile_sentence_has_somehow_been_revoked_and_go_home.
str_npc6_retirement_speech I_joined_this_shield_wall_in_the_hope_that_you_would_lead_me_out_of_darkness,_and_indeed,_I_have_found_a_measure_of_peace_here,_but_I_have_some_qualms_about_your_leadership._Mostly,_I_have_begun_to_suspect_that_my_path_to_redemption_can_be_found_elsewhere.
str_npc7_retirement_speech I_am_tired_of_this_squalid_life_of_endless_warfare,_seeing_weak_men_debased_by_fear,_greed,_lust,_and_a_hundred_other_faults._I_have_money_in_my_purse._I_am_going_north,_back_to_Alban,_to_assemble_my_own_raiding_party_of_Scots_and_Picts._I_shall_give_rest_to_neither_Briton_nor_Saxon,_but_you_shall_still_have_my_peace.
str_npc8_retirement_speech I_have_fought_in_your_shield_wall_and_done_well_by_it,_but_your_decisions_are_not_always_to_my_liking._Anyway,_I_have_another_task._I_will_take_what_plunder_I_have_won_and_raise_a_shield_wall_of_my_own._Then_I_will_sail_to_Friese,_where_I_shall_recover_my_land._I_wish_you_well.
str_npc9_retirement_speech We_have_fought_well_together_and_earned_much_glory,_but_I_have_some_reservations_about_your_leadership._At_any_rate,_I_have_to_kill_that_witch-snake_spouse_of_my_father._I_will_be_leaving_you._Perhaps_we_will_meet_again.
str_npc10_retirement_speech I've_had_enough_of_tramping_up_and_down_the_length_and_breadth_of_these_lands._I've_earned_enough_to_buy_a_small_bit_of_land_somewhere_far_from_the_hateful_Welsh,_so_I_think_I'll_give_that_a_try._So_long,_and_best_of_luck_to_you.
str_npc11_retirement_speech You_have_been_very_kind_to_me_this_whole_time,_but_I..._I_am_unable_to_endure_the_pain_of_{reg59?envy:love}._I_beg_your_pardon,_but_I_can_no_longer_have_you_in_my_sight,_since_I_know_I_forever_can_be_nothing_more_than_a_lesser_light_before_you._{reg59?:Moreover,_as_I_am_a_skjaldmo,_I_have_to_preserve_my_virginity._}So_I'll_be_off,_although_I_don't_know_to_where._Farewell,_{reg59?my_pretty:handsome}.
str_npc12_retirement_speech I've_done_all_right_in_your_shield_wall._I've_filled_my_belly,_put_some_silver_in_my_purse,_and_broadened_my_knowledge_of_wounds_and_injury._I_can't_complain_about_that,_but_I_think_right_now_that_service_in_this_shield_wall_is_holding_me_back._I_have_a_duty_to_share_my_findings_with_other_doctors,_and_for_that,_I_need_to_hire_scribes_that_have_an_excellent_understanding_of_Latin._These_are_rare_in_Englaland,_so_I_will_be_going_to_Rome.
str_npc13_retirement_speech I_would_like_to_inform_you_that_I_wish_to_sever_our_relationship._I_intend_to_seek_alternative_employment;_perhaps_join_my_fate_to_that_of_the_Rus.
str_npc14_retirement_speech As_the_lustre_of_your_name_grows_ever_brighter,_I_fear_that_my_own_reputation_will_pale_in_comparison,_as_the_moon_is_outshone_by_the_sun._I_have_decided_to_strike_out_on_my_own._The_very_best_of_luck_to_you!
str_npc15_retirement_speech I_appreciate_that_you_took_me_on,_but_I'm_not_altogether_happy_about_how_things_have_worked_out._I'm_going_to_head_off_elsewhere_--_maybe_go_home_to_Konstantinoupolis,_maybe_find_another_job._I_haven't_quite_decided_yet.
str_npc16_retirement_speech You_and_your_men_are_a_lost_cause_to_the_faith._I_see_that_your_souls_are_already_taken_by_the_Devil,_since_many_of_you_uphold_the_ways_of_the_old_false_pagan_gods._Even_my_word_was_unable_to_change_you_and_your_evil_ways,_so_I_can_only_hope_that_God_will_have_mercy_upon_you_despite_your_terrible_sins._I_leave_now.
str_npc1_rehire_speech Warlord,_it's_good_to_see_you_again._I_know_we_had_our_differences,_but_now_I_recognize_that_those_were_some_of_the_best_days_I've_known._And,_to_tell_you_the_truth,_I've_had_a_bit_of_difficulty_finding_work._Listen,_if_you're_willing_to_have_me_back,_I'd_be_willing_to_sign_up_with_your_shield_wall_again.
str_npc2_rehire_speech {reg59?Madame:Sir}!_It's_good_to_see_you_again!_Actually,_I_confess,_I've_been_looking_for_you._I_spent_all_my_money_and_need_more._I_guess_I'm_just_destined_to_fight_for_a_living._People_tell_me_that_you,_on_the_other_hand,_have_done_very_well_for_yourself._So_tell_me,_{reg59?madame:sir},_will_you_have_me_back?
str_npc3_rehire_speech Well,_hello_{reg59?madame:sir}!_It_is_very_good_to_see_you_again._I_have_not_fared_so_well_since_we_parted,_I_am_afraid._My_savings_from_the_time_we_travelled_together,_which_I_hoped_would_give_me_a_start_in_trading,_have_not_been_enough_to_start_a_decent_business._And,_I_must_say,_I_fear_being_turned_again_into_a_slave._Perhaps_I_am_better_suited_to_war_than_to_commerce,_to_share_a_meal_over_a_campfire_with_rough_fellows_than_to_drink_mead._{reg59?Madame:Sir},_I_must_ask_you_--_will_you_take_me_back?
str_npc4_rehire_speech It's_been_a_while._You've_done_well_for_yourself,_I_hear._I_know_there's_been_some_bad_blood_between_us,_but_I'd_be_honored_to_fight_in_your_ranks_once_again.
str_npc5_rehire_speech {playername}!_Your_fame_grows_ever_greater_--_even_as_far_as_my_homeland,_beyond_the_mountains._I'd_returned_there,_hoping_that_my_exile_would_have_been_forgotten._Well,_it_hadn't._Even_before_I_set_foot_in_my_valley,_I_received_word_from_my_family_that_there_were_warriors_looking_for_me_in_case_I_crossed_the_kingdom's_border._So_I've_returned,_hoping_you_might_forget_any_harsh_words_I_may_have_spoken,_to_see_if_I_could_fight_with_you_once_again.
str_npc6_rehire_speech It_is_good_to_see_you,_{playername}._Everywhere_I_go,_men_are_in_awe_of_your_deeds._I_have_not_had_it_so_well_since_I_left._Wherever_I_go,_I_feel_my_former_demons_returning._My_soul_is_in_turmoil._For_reasons_that_I_cannot_fully_explain,_I_had_found_peace_in_your_company._Will_you_allow_me_to_serve_with_you_once_again?
str_npc7_rehire_speech Warlord!_It_is_good_to_see_you._Unfortunately,_even_with_all_the_money_I_saved_from_my_share_of_the_loot,_the_absurd_taunt_of_being_a_traitor_and_a_woman_was_still_directed_at_me._No_Pictish_warrior_would_consider_joining_a_war_band_lead_by_me._Dammit,_that's_just_the_way_life_goes,_I_guess._Will_you_have_me_back?
str_npc8_rehire_speech Greetings_to_you,_{playername}._I_was_wondering_if_the_harsh_words_between_us_in_the_past_could_be_forgotten._I_could_not_find_thirty_men_to_crew_a_ship,_and_those_whom_I_gathered_quickly_got_bored_and_wandered_off_--_not,_I_will_add,_before_they_drank_away_such_silver_as_I_had_accumulated._Then_I_thought_back_to_the_battles_we_fought_together._Those_were_good_days,_and_profitable_ones,_too.
str_npc9_rehire_speech My_dear,_dear_{reg59?lady:man}!_It_is_so_good_to_see_you!_I_sought_service_with_the_lords_of_this_land,_but_was_grievously_disappointed._Half_of_them_ask_me_to_carry_gifts_to_fellow_lords,_as_if_I_were_a_simple_errand_boy,_or_to_beat_down_lazy_peasants,_as_if_I_were_a_farm_overseer._One_even_asked_me_to_murder_one_of_his_rivals!_Those_are_no_kind_of_activities_for_a_brave_warrior_like_me!_So_I_have_been_seeking_you,_to_see_if_you_might_wish_me_to_join_you_again.
str_npc10_rehire_speech Dryhten!_It's_good_to_see_you_again!_It_turns_out_I'm_not_much_of_a_farmer._Too_soft_on_the_hired_hands,_I_figure._I_let_them_rob_me_blind._I_guess_fighting_is_what_I_know_best,_even_if_accompanied_by_Britons_and_Mercians._So_tell_me,_Dryhten,_are_you_still_looking_for_good_men?
str_npc11_rehire_speech {reg59?My_pretty:Handsome},_I've_thought_a_lot_since_we_parted._Now_I_know_in_my_heart_that,_even_if_sometimes_we_cannot_get_what_we_most_desire,_it_is_better_to_live_close_by_than_far_away_from_it._Perhaps_there_is_hope_left,_after_all,_that_your_company_will_be_good_for_me._So,_{reg59?my_pretty:handsome},_will_you_take_me_back?
str_npc12_rehire_speech Warlord!_It's_a_fine_thing_to_see_an_honest_face_like_yours,_for_this_world_is_so_full_of_lies!_I_went_Rome_to_publish_my_findings,_hired_some_scribes_and_made_a_handful_of_codices._Then_I_waited_for_the_commissions,_but_it_turns_out_that_the_philosophers_don't_care_about_real_medical_knowledge_and_instead_prefer_to_discuss_quasi-magical_theories._I'll_keep_trying,_but_first_need_to_replenish_the_money_in_my_bag._Are_you_looking_for_a_physician?
str_npc13_rehire_speech It_is_so_good_to_see_you._When_last_we_parted,_I_practically_swore_that_I_would_not_serve_you_again._Perhaps_I_judged_you_too_harshly._I_have_tried_serving_in_other_jarls'_armies._Believe_me;_what_I_have_seen_of_them_restores_my_opinion_of_your_leadership._If_you_will_have_me_in_your_shield_wall,_I_will_fight_for_you_again.
str_npc14_rehire_speech Well,_hello_there,_valorous_one!_I_have_been_hoping_to_see_you_again._Everywhere_I_go,_I_hear_tales_and_songs_of_your_deeds._I_admit_that_I_felt_a_twinge_of_regret_that_we_had_parted_ways_and,_I'll_confess_it,_a_twinge_of_jealousy_as_well._I_thought_that_I_might_once_more_fight_by_your_side_and_thus_bask_in_the_reflection_of_your_glory._Perhaps_we_might_ride_together_again_for_a_little_while.
str_npc15_rehire_speech Why_hello,_strategos!_I_can't_say_I'm_displeased_to_see_you_again._You_see,_I_could_not_find_a_ship_to_take_me_to_the_continent,_and_so_I_took_on_another_contract_before_I_left,_and,_sure_enough,_when_it_came_time_to_collect_the_pay,_the_lord_had_nothing_but_talk_and_excuses_and_petty_little_complaints_about_my_handiwork._I_can't_say_I_was_always_happy_in_your_shield_wall,_but_at_least_you_put_silver_directly_into_my_purse_after_every_battle._Are_you_still_offering_work?
str_npc16_rehire_speech I_am_here_to_offer_another_chance_to_you_and_your_men._An_angel_came_to_me_in_a_dream,_and_told_me_the_future_of_your_immortal_soul._The_angel_said_that_your_only_chance_of_eventually_going_to_Heaven_lies_entirely_upon_my_work_as_a_preacher._You_are_my_responsibility._So,_I_beg_you_to_accept_me_again_in_your_shield_wall._Maybe_this_time_you_will_pay_heed_to_the_word_of_God.
str_npc1_home_intro Warlord,_perhaps_you_didn't_know_this_about_Hadrian's_Wall._Near_here_is_a_cave_where_I_was_born_eighteen_years_ago._This_is_a_special_place_that_we_should_stop_and_visit,_for_it_has_long_history._Romans,_those_legendary_warriors,_dwelt_here.
str_npc2_home_intro Ribe!_That's_where_I_was_born_twenty_years_ago._Son_of_a_king_and_yet_a_slave,_but_the_best_skald_in_all_Danmark.
str_npc3_home_intro Can_you_smell_that?_It_is_the_smell_of_evil._It_is_the_smell_of_Kennemer._How_I_hate_that_place!_I_spent_the_worst_years_of_my_life_there._Just_being_around_this_site_makes_me_nauseous.
str_npc4_home_intro Perhaps_you_didn't_know_about_Dun_Onlaigh,_a_magnificent_Dal_Riata_fortress.
str_npc5_home_intro Oh,_perhaps_you_didn't_know_this_about_Din_Tagell,_one_of_the_mightiest_forts_of_Cornubia._I_served_in_the_shield_wall_of_its_lord,_as_a_dryhten,_long_before_I_was_forced_into_exile.
str_npc6_home_intro Perhaps_you_don't_know_about_Cantwareburh,_in_the_kingdom_of_West_Seaxe._This_is_the_city_where_the_ship,_the_Woden_Ric,_should_have_brought_me,_but_the_Viking_attack_near_the_coast_of_Friese_changed_all_that._Changed_my_fate_forever.
str_npc7_home_intro Pay_attention,_and_be_careful._We_are_now_in_Alban,_near_Dun_Taruo._The_kingdom_of_Alban_is_the_most_powerful_in_the_north.
str_npc8_home_intro We_are_in_the_kingdom_of_Friese,_where_Dorestad_is_the_main_town._Years_ago,_we_Frisians_were_subjects_of_the_Franks,_but_later,_a_Dane_became_king._Well,_really,_Frisians_do_not_recognize_these_kings,_but_have_to_accept_their_power._We_prefer_to_live.
str_npc9_home_intro Behold_the_horizon,_for_there_lies_the_fortress_of_Rendlaesham,_seat_of_power_of_the_kings_of_East_Engle.
str_npc10_home_intro Look,_the_trading_town_of_Lundenwic,_home_to_the_Saxons_of_East_Seaxna._This_beautiful_site_has_a_glorious_past_and,_I_might_bet,_a_bright_future.
str_npc11_home_intro That_smell_is_of_salt_and_the_sweat_of_the_people_that_work_the_sea._It_is_the_warmth_of_home..._Tunsberg.
str_npc12_home_intro Perhaps_you_don't_know_about_Heidabyr,_if_that_interests_you.
str_npc13_home_intro East,_past_the_land_of_the_Norwegians,_are_my_people,_the_Sviar,_a_warlike_and_strong_people._Our_destiny_is_to_rule_others.
str_npc14_home_intro Ah,_Caiseal!_Such_a_lovely_spot,_at_the_foot_of_the_Eriu._The_region_of_Mhumhain,_or_Munster,_is_certainly_the_most_poetic_and_beautiful_part_of_what_Romans_called_Hibernia.
str_npc15_home_intro Do_you_see_that_small_settlement_over_there?_It_is_Hordaland.
str_npc16_home_intro Oh_my_God!_That_is_Witan_Ceaster._I_lived_near_here,_in_a_village._My_parents,_travelers,_could_not_take_care_of_me_and_gave_me_to_the_monks_of_Witan_Ceaster.
str_npc1_home_description My_name,_Caio,_has_passed_from_generation_to_generation._The_first_who_had_it_was_an_ancestor_of_mine,_descended_from_a_man_named_Virio,_who_was_the_grandson_of_a_man_who_had_served_defending_the_wall.
str_npc2_home_description People_say_that_the_Danish_are_a_bunch_of_bloodthirsty_men,_but_they_have_a_good_head_for_trade,_if_you_ask_me._People_up_and_down_the_coast_produce_pottery,_textiles_and_leather._Ribe_is_also_famous_for_its_women,_if_you_understand_what_I_mean.
str_npc3_home_description Kennemer_is_a_Danish_fort_now,_but_it_was_not_always_so._In_fact,_before_the_Danish,_the_Franks_ruled_from_there._We_Frisians_did_not_like_the_Franks_as_much._They_imposed_their_religion,_Christianity,_and_their_lords_are_very_controlling._So_when_the_Danish_first_came,_we_did_not_mind._These_masters_are_a_little_more_indulgent,_allowing_use_more_freedom_as_long_as_we_pay_tribute.
str_npc4_home_description You_know_I_do_not_talk_much,_but_I_would_say_that_I_am_proud_to_be_a_Scot_of_the_Dal_Riata._You've_heard_many_stories_about_the_Scots,_or_maybe_none._People_thought_we_were_just_pirates_who_looted_the_coast,_and_cursed_us_for_it._Then_came_the_Norwegians,_who_are_worse.
str_npc5_home_description Cornubia_used_to_be_a_strong_kingdom_called_Dumnonia._People_from_Dumnonia_usually_call_themselves_'Defnas,'_which_simply_means_'men_of_Dumnonia.'_Our_land_was_famous_for_the_high_quality_of_tin_extracted_from_its_many_mines._Now_our_kingdom_is_small_and_poor.
str_npc6_home_description You_know_that_Cantwareburh_was_the_capital_of_the_kingdom_of_Cent_until_very_recently._I_read_about_this_before_I_came_here,_and_I_talked_to_a_Saxon_scholar_who_had_been_invited_to_Asturias._In_my_kingdom,_we_call_everybody_here_'Saxons,'_but,_really,_in_Cent_lived_Jutes,_people_who_preceded_the_Saxons_from_across_the_sea.
