str_yes|是 
str_npc10_kingsupport_1|好 吧 ， 領 主 閣 下 。 我 真 心 覺 得 英 格 蘭 需 要 一 個 強 勢 的 國 王 ， 由 於 威 爾 士 人 和 盎 格 魯 人 都 是 懦 夫 ， 而 且 是 不 折 不 扣 的 蠢 貨 ， 而 不 可 思 議 的 是 ， 撒 克 遜 人 在 這 種 情 況 下 居 然 也 無 法 統 一 和 征 服 這 整 個 島 嶼 … 
str_npc11_kingsupport_1|噢 ， 那 是 個 不 錯 的 主 意 ， {reg59?我 的 美 人 兒 :帥 哥 } ！ 我 覺 得 我 應 該 開 始 學 習 怎 麼 稱 呼 你 為 「 國 王 」 ， 然 後 … 如 果 你 能 叫 我 「 王 家 {reg59?戰 友 :顧 問 } 」 的 話 ， 我 會 更 開 心 的 。 
str_npc12_kingsupport_1|我 很 確 定 你 將 來 可 以 做 一 個 好 國 王 ， 閣 下 。 我 自 詡 有 一 雙 識 人 慧 眼 ， 同 時 你 已 經 你 展 示 了 決 心 遠 超 其 他 稱 王 者 的 能 力 。 
str_npc13_kingsupport_1|好 吧 ， {reg59?女 士 :先 生 } ， 上 天 給 這 個 世 界 創 造 了 等 級 制 度 ， 而 我 一 般 不 會 爭 取 自 己 的 地 位 改 變 。 然 而 我 認 為 這 個 土 地 上 的 國 王 非 常 脆 弱 ， 根 本 不 配 國 王 這 個 頭 銜 ， 而 在 這 種 情 況 下 ， 王 冠 自 然 而 然 的 會 流 入 到 更 好 的 統 治 者 手 裡 ， 比 如 你 本 人 。 
str_npc14_kingsupport_1|那 將 會 是 不 錯 的 事 情 ， {reg59?我 的 女 士 :先 生 } ！ 有 很 多 關 於 國 王 的 傳 說 ， 他 們 都 會 以 力 量 和 勇 氣 證 明 自 己 擁 有 戴 上 王 冠 的 資 格 。 也 許 你 知 道 關 於 庫 丘 林 的 傳 說 ， 他 的 勇 猛 與 功 勳 是 在 海 伯 利 亞 或 者 不 列 顛 所 無 法 比 擬 的 。 一 個 輝 煌 的 傳 說 ！ 
str_npc15_kingsupport_1|好 吧 ， 一 般 來 說 ， 你 手 頭 寬 裕 的 時 候 總 是 准 時 付 給 手 下 薪 水 。 在 我 的 字 典 裡 ， 這 是 一 個 王 者 的 最 佳 品 格 。 你 賞 罰 分 明 。 
str_npc16_kingsupport_1|看 來 你 聽 取 了 我 的 建 議 ， 你 的 靈 魂 在 面 對 基 督 教 義 時 顫 抖 了 。 是 的 ， 我 確 定 上 帝 不 只 承 認 了 你 ， 同 時 也 安 排 你 攀 到 合 法 的 王 位 上 ， 來 拯 救 在 這 個 大 陸 受 罪 的 人 們 。 
str_npc1_kingsupport_2|我 一 定 會 的 ， 領 主 閣 下 。 但 是 讓 我 告 訴 你 ， 你 可 能 會 把 其 他 人 帶 到 你 這 個 陣 營 — — 尤 其 是 我 們 這 些 窮 人 。 他 們 說 ， 在 古 老 的 日 子 裡 ， 那 些 偉 大 的 羅 馬 領 主 — — 他 們 稱 之 為 執 政 者 或 者 上 議 員 ， 我 記 不 住 了 — — 他 們 會 奮 起 奪 取 權 力 ， 並 發 起 大 赦 ， 除 了 監 獄 裡 十 惡 不 赦 的 人 之 外 ， 他 們 會 給 人 們 第 二 次 機 會 重 新 做 人 。 
str_npc2_kingsupport_2|這 片 土 地 上 的 大 部 分 領 主 — — 好 吧 ， 讓 我 們 說 他 們 從 來 不 懂 得 儲 蓄 ， 無 論 錢 是 來 自 稅 收 或 掠 奪 。 而 你 ， 恰 恰 相 反 ， 你 有 一 些 商 業 和 貿 易 的 經 驗 ， 治 理 起 你 的 領 地 會 更 加 有 條 不 紊 。 如 果 你 想 成 為 一 名 霸 主 ， 我 覺 得 我 應 該 能 在 這 個 王 國 裡 尋 到 支 持 。 
str_npc3_kingsupport_2|我 會 的 ， 我 的 {reg59?女 士 :閣 下 } 。 但 是 我 會 請 求 你 給 奴 隸 設 定 一 些 最 基 本 的 權 利 ， 他 們 需 要 避 免 更 多 未 來 的 虐 待 。 你 知 道 我 也 是 一 個 奴 隸 ， 我 們 是 在 這 個 大 陸 上 最 底 層 的 人 。 奴 隸 們 需 要 一 個 公 平 公 正 的 統 治 者 來 保 護 他 們 。 
str_npc4_kingsupport_2|當 然 了 ， 領 主 閣 下 。 現 在 的 當 務 之 急 是 找 到 你 的 追 隨 者 。 正 如 你 所 知 ， 一 個 人 的 血 統 在 很 大 程 度 上 決 定 他 的 價 值 。 或 許 你 有 失 傳 已 久 的 祖 先 ， 你 之 前 還 沒 告 訴 過 我 ？ 
str_npc5_kingsupport_2|我 會 的 。 但 我 不 得 不 說 ， 代 表 自 己 和 像 我 一 樣 曾 經 犯 錯 的 人 。 一 定 有 一 種 辦 法 ， 可 以 在 不 流 血 的 情 況 下 合 理 地 解 決 貴 族 間 的 沖 突 。 我 失 去 了 我 生 活 中 所 珍 惜 的 一 切 ， 因 為 我 的 國 王 只 留 給 我 一 條 殺 敵 的 榮 譽 之 路 。 法 律 是 必 需 的 ， 一 種 …普 遍 的 法 律 ， 一 種 能 解 決 爭 端 或 者 矛 盾 的 法 律 ， 建 立 在 這 個 地 方 的 實 踐 與 傳 統 之 上 。 
str_npc6_kingsupport_2|我 會 的 。 我 會 告 訴 任 何 傾 聽 者 ， 關 於 你 幫 助 弱 者 和 無 助 者 的 善 舉 ， 還 有 你 帶 領 人 們 去 挑 戰 成 功 和 機 遇 的 能 力 ， 我 還 會 說 如 果 你 成 為 了 {reg59?女 王 :國 王 } ， 將 出 現 統 一 的 法 律 與 和 平 — — 從 皮 克 特 的 高 地 到 戈 伊 德 爾 的 叢 林 ， 從 低 窪 地 到 南 部 的 海 岸 。 你 必 須 要 有 更 遠 大 的 目 標 ， 光 復 昔 日 羅 馬 帝 國 的 榮 耀 。 
str_npc7_kingsupport_2|是 的 ， 領 主 閣 下 ， 我 會 的 。 一 個 {reg59?女 王 :國 王 }的 責 任 是 充 分 地 尊 重 在 他 旗 幟 下 效 忠 的 所 有 人 。 你 證 明 了 自 己 能 做 到 這 一 點 ， 不 論 是 對 你 ， 獵 人 ， 追 蹤 者 ， 女 人 或 皮 克 特 人 ， 你 對 勇 者 和 士 兵 也 一 樣 重 視 ， 包 括 男 人 和 布 立 吞 人 。 
str_npc8_kingsupport_2|我 會 的 — — 在 一 定 的 條 件 下 。 我 可 以 隨 意 統 治 哪 個 地 方 ， 但 在 你 平 定 一 切 之 後 ， 你 要 幫 我 解 放 弗 裡 斯 的 土 地 。 
str_npc9_kingsupport_2|我 會 的 ， 領 主 閣 下 ， 其 他 人 也 會 願 意 的 。 但 是 我 要 說 一 下 自 己 的 看 法 — — 你 需 要 給 貴 族 們 證 明 ， 你 能 保 證 他 們 從 祖 先 那 裡 繼 承 的 權 利 。 但 是 ， 現 在 這 片 大 陸 亂 得 一 團 糟 。 一 個 領 主 擁 有 一 片 地 ， 但 是 國 王 則 擁 有 領 地 上 的 森 林 ， 各 個 城 市 都 有 權 在 大 門 口 上 收 上 一 道 關 稅 。 到 目 前 為 止 ， 任 何 一 個 人 都 可 以 在 奇 妙 的 星 期 二 使 用 牧 草 地 ， 除 了 皮 克 特 的 地 方 ， 那 裡 完 全 沒 有 一 點 秩 序 的 氣 息 。 要 我 說 你 就 把 事 情 弄 簡 單 點 ， 就 像 過 去 羅 馬 人 征 服 不 列 顛 一 樣 。 首 先 是 {reg59?女 王 :國 王 } ， 然 後 是 領 主 ， 最 後 是 剩 下 的 人 。 
str_npc10_kingsupport_2|當 然 了 ， 閣 下 。 不 過 我 希 望 你 考 慮 下 我 的 想 法 。 如 果 你 想 成 為 {reg59?女 王 :國 王 } ， 我 希 望 把 你 的 門 戶 只 對 撒 克 遜 貴 族 開 放 。 他 們 非 常 弱 小 ， 脆 弱 而 且 膽 小 ， 他 們 在 你 的 王 國 安 身 的 身 份 只 有 農 夫 ， 僕 從 和 奴 隸 。 
str_npc11_kingsupport_2|當 然 了 ， 我 會 的 ！ 我 確 信 ， 如 果 按 你 指 揮 ， 戰 斗 ， 行 走 ， 談 吐 和 博 愛 的 作 風 … 你 是 唯 一 一 個 有 資 格 稱 得 上 不 列 顛 統 治 者 的 人 。 
str_npc12_kingsupport_2|當 然 了 ， 領 主 閣 下 。 如 果 說 我 從 旅 途 中 學 會 了 什 麼 ， 那 就 是 維 京 人 ， 撒 克 遜 人 ， 法 蘭 克 人 以 及 其 他 堅 守 傳 統 的 民 族 ， 他 們 還 記 得 羅 馬 帝 國 時 代 的 東 西 。 尤 其 是 法 蘭 克 人 ， 他 們 自 稱 是 羅 馬 時 代 的 正 統 繼 承 人 。 
str_npc13_kingsupport_2|我 的 確 會 的 ， {reg59?女 士 :先 生 } 。 我 認 為 你 可 以 統 一 這 片 大 陸 ， 並 且 培 養 出 一 支 傲 視 英 格 蘭 的 雄 師 — — 撒 克 遜 人 ， 盎 格 魯 人 ， 皮 克 特 人 ， 挪 威 人 ， 甚 至 布 立 吞 人 ， 各 方 精 英 都 聚 集 到 你 的 旗 下 。 我 們 將 乘 著 精 銳 的 戰 艦 去 征 服 大 陸 的 所 有 法 蘭 克 領 地 ！ 
str_npc14_kingsupport_2|當 然 了 ， 我 的 {reg59?女 士 :閣 下 } 。 當 你 宣 稱 王 座 的 擁 有 權 的 時 候 ， 這 個 行 為 不 會 改 變 史 詩 的 客 觀 性 ， 它 會 在 營 火 與 爐 火 之 間 被 人 傳 頌 ， ？ 用 來 描 述 一 個 人 的 偉 大 之 舉 。 毫 無 疑 問 ， 如 你 所 知 ， 我 把 自 己 幻 想 為 一 名 出 色 的 押 韻 的 工 匠 。 如 果 你 允 許 我 歌 頌 你 的 所 作 所 為 ， 你 的 名 氣 會 和 庫 丘 林 一 樣 廣 為 人 知 。 
str_npc15_kingsupport_2|我 會 的 。 人 們 可 能 說 也 許 你 骨 子 裡 就 沒 有 忠 臣 之 血 ， 不 過 在 我 看 來 ， 忠 臣 之 血 只 能 讓 你 變 得 一 毛 不 拔 。 國 王 和 貴 族 會 從 人 們 那 裡 拿 走 收 獲 和 傭 金 來 實 施 他 們 自 己 的 建 設 計 劃 ， 他 們 半 點 都 沒 想 過 怎 麼 去 償 還 那 些 普 通 民 眾 ， 這 些 人 只 不 過 想 在 一 天 的 辛 勞 後 能 有 所 收 獲 。 如 果 你 問 我 ， 只 有 誠 實 的 品 德 能 讓 一 個 {reg59?女 人 :男 人 }成 為 {reg59?女 王 :國 王 } ， 而 不 是 什 麼 高 貴 的 出 身 。 
str_npc16_kingsupport_2|當 然 了 。 我 認 為 你 應 該 好 好 計 劃 ， 在 這 片 大 陸 搜 尋 並 摧 毀 任 何 剩 余 的 異 端 和 異 教 徒 。 只 有 當 惡 魔 在 你 所 有 的 子 民 的 心 靈 中 無 跡 可 尋 ， 而 所 有 人 把 聖 經 當 作 他 們 的 人 生 向 導 ， 牧 師 則 把 聖 經 的 意 義 正 確 詮 釋 的 時 候 ， 你 才 能 歇 一 口 氣 。 你 的 靈 魂 能 純 潔 到 去 做 我 說 的 事 情 嗎 ？ 
str_npc1_kingsupport_2a|請 繼 續 說 ……
str_npc2_kingsupport_2a|請 繼 續 ……
str_npc3_kingsupport_2a|我 對 這 個 很 有 興 趣 … 
str_npc4_kingsupport_2a|當 然 — — 讓 我 告 訴 你 他 所 有 的 事 情 。 
str_npc5_kingsupport_2a|請 繼 續 說 ……
str_npc6_kingsupport_2a|漂 亮 ！ 跟 我 想 的 一 模 一 樣 。 
str_npc7_kingsupport_2a|噢 ， 沒 錯 ， 我 試 著 對 大 家 一 視 同 仁 … 
str_npc8_kingsupport_2a|有 道 理 。 
str_npc9_kingsupport_2a|那 聽 起 來 很 明 智 ……
str_npc10_kingsupport_2a|當 然 了 — — 誰 都 知 道 只 有 撒 克 遜 人 擁 有 稱 為 貴 族 的 資 格 。 
str_npc11_kingsupport_2a|再 告 訴 我 一 些 。 
str_npc12_kingsupport_2a|有 趣 。 請 繼 續 說 …… 
str_npc13_kingsupport_2a|請 繼 續 … 
str_npc14_kingsupport_2a|好 的 ， 隊 長 。 
str_npc15_kingsupport_2a|說 得 很 對 ， 將 軍 閣 下 。 
str_npc16_kingsupport_2a|理 所 當 然 ， 我 以 及 我 們 所 有 人 都 只 是 上 帝 的 工 具 。 
str_npc1_kingsupport_2b|算 了 吧 。 
str_npc2_kingsupport_2b|我 沒 有 尋 求 他 們 的 支 持 ， 因 為 他 們 無 疑 打 算 在 這 件 事 當 中 獲 益 。 
str_npc3_kingsupport_2b|抱 歉 ， 我 幫 助 過 的 奴 隸 已 經 夠 多 的 了 。 
str_npc4_kingsupport_2b|真 不 走 運 ， 我 沒 有 更 多 的 了 。 
str_npc5_kingsupport_2b|不 ， 我 相 信 只 有 血 與 劍 能 夠 解 決 領 主 們 的 爭 執 。 法 律 是 留 給 弱 者 的 。 
str_npc6_kingsupport_2b|抱 歉 ， 我 未 來 的 王 國 是 不 會 攙 和 到 大 陸 的 事 務 之 中 的 。 
str_npc7_kingsupport_2b|抱 歉 ， 即 使 我 很 尊 重 你 的 能 力 、 戰 士 和 人 手 ， 但 是 布 立 吞 人 遠 比 這 些 更 重 要 。 
str_npc8_kingsupport_2b|這 是 一 個 相 當 高 的 條 件 — — 在 我 成 為 {reg59?王 後 :國 王 }之 後 ， 弗 裡 斯 將 掙 脫 丹 麥 人 的 奴 役 。 
str_npc9_kingsupport_2b|我 沒 有 尋 求 他 們 的 支 持 ， 因 為 他 們 無 疑 打 算 在 這 件 事 當 中 獲 益 。 
str_npc10_kingsupport_2b|你 瘋 了 ， 世 界 上 還 有 來 自 各 國 的 眾 多 貴 族 。 
str_npc11_kingsupport_2b|算 了 吧 ， 我 不 想 成 為 不 列 顛 的 統 治 者 。 
str_npc12_kingsupport_2b|夠 了 ， 先 生 。 我 不 會 再 允 許 你 嘲 笑 我 們 的 傳 統 。 
str_npc13_kingsupport_2b|實 際 上 ， 我 盼 著 在 當 上 國 王 後 能 夠 歇 口 氣 ， 而 且 我 並 不 想 插 手 歐 洲 其 他 該 死 的 地 方 ！ 
str_npc14_kingsupport_2b|嗯 ， 我 對 這 並 不 肯 定 。 庫 丘 林 的 死 過 於 蹊 蹺 了 ， 我 可 不 想 步 其 後 塵 。 
str_npc15_kingsupport_2b|你 大 概 只 是 窮 弱 者 的 {reg59?王 後 :國 王 }吧 。 我 不 想 再 多 費 口 舌 。 
str_npc16_kingsupport_2b|無 意 冒 犯 ， 但 是 我 不 確 定 這 是 我 能 接 受 的 方 法 — — 你 知 道 的 ， 可 能 上 帝 根 本 就 不 喜 歡 這 樣 。 
str_npc1_kingsupport_3|如 果 讓 我 四 處 游 走 幾 周 ， 告 訴 老 百 姓 你 會 像 羅 馬 人 一 樣 大 赦 四 方 ， 嗯 …我 想 長 老 們 會 開 始 認 為 你 是 個 合 法 的 國 王 ， 這 樣 一 來 你 的 稱 王 之 路 就 暢 通 無 阻 了 。 要 我 去 這 麼 做 嗎 ， 閣 下 ？ 
str_npc2_kingsupport_3|如 果 您 願 意 ， 閣 下 ， 我 可 以 花 上 幾 周 時 間 去 找 我 的 聯 系 人 ， 並 向 他 們 解 釋 ， 您 是 一 位 明 哲 的 {reg59?統 治 者 :國 王 } ， 將 對 貪 得 無 厭 的 貴 族 們 展 開 調 查 ， 他 們 為 了 軍 費 和 宴 會 征 收 高 額 的 關 稅 和 賦 稅 ， 這 正 是 貿 易 發 展 的 絆 腳 石 。 您 說 怎 麼 樣 ， 閣 下 ？ 
str_npc3_kingsupport_3|如 果 你 保 護 窮 奴 ， 甚 至 女 奴 隸 ， 那 我 敢 肯 定 許 多 老 百 姓 會 把 你 當 作 和 藹 公 正 的 {reg59?女 王 :國 王 } 。 所 以 ， 如 果 你 給 我 幾 周 時 間 ， 我 會 去 鄉 村 告 訴 每 個 害 怕 因 債 務 或 者 戰 爭 而 被 奴 役 的 窮 人 ， 在 你 的 統 治 之 下 ， 他 們 仍 然 會 得 到 一 些 保 護 ， 擁 有 一 些 權 利 。 
str_npc4_kingsupport_3| {reg59?女 王 :國 王 } ， 我 接 下 來 幾 周 會 去 鄉 村 和 城 堡 ， 宣 揚 你 的 權 利 。 當 然 ， 我 希 望 你 戴 上 王 冠 成 為 強 大 的 {reg59?女 王 :國 王 }之 後 ， 在 分 封 土 地 的 時 候 還 能 記 得 那 些 信 誓 旦 旦 的 話 語 。 
str_npc5_kingsupport_3|不 管 怎 樣 ， {reg59?女 士 :閣 下 } ， 如 果 給 我 幾 周 時 間 去 告 訴 人 們 ， 當 上 {reg59?女 王 :國 王 }之 後 你 會 頒 布 基 於 傳 統 習 俗 之 上 的 習 慣 法 ， 無 論 貴 族 還 是 平 民 都 適 用 ， 以 此 來 解 決 國 境 內 的 糾 紛 。 我 很 確 信 他 們 會 對 你 的 聲 明 表 示 萬 分 歡 迎 ， 因 為 在 你 的 統 治 之 下 ， 你 會 帶 來 一 視 同 仁 的 公 正 。 
str_npc6_kingsupport_3|非 常 好 。 盡 管 現 在 我 已 經 與 自 己 的 家 族 翻 臉 了 ， 但 我 在 你 的 培 養 下 去 過 不 少 貴 族 大 廳 ， 我 覺 得 回 去 應 該 沒 問 題 。 我 會 走 遍 這 片 大 地 ， 告 訴 貴 族 們 你 當 上 {reg59?女 王 :國 王 }後 ， 會 竭 盡 全 力 保 護 勢 弱 一 方 、 消 除 不 和 ， 這 樣 就 不 會 有 人 可 以 肆 意 攻 擊 別 人 而 免 於 受 罰 ， 這 樣 一 來 ， 也 許 有 一 天 大 不 列 顛 會 支 配 全 世 界 。 
str_npc7_kingsupport_3|長 官 ， 聽 我 說 。 給 我 幾 周 ， 我 先 去 一 些 盡 管 都 是 又 破 又 髒 的 村 莊 ， 但 我 會 告 訴 那 兒 的 人 們 在 你 統 一 了 這 片 土 地 之 後 ， 各 行 各 業 的 人 們 ， 無 論 男 女 ， 在 你 的 統 治 下 都 會 被 平 等 對 待 、 被 給 予 同 等 的 尊 敬 。 這 樣 一 來 ， 人 們 就 會 把 你 看 作 是 這 樣 一 名 {reg59?女 子 :男 子 } ， 一 個 在 秉 承 著 公 平 正 義 的 稱 王 者 。 
str_npc8_kingsupport_3|好 ！ 再 給 我 幾 周 時 間 ， 我 會 走 遍 這 片 土 地 的 宮 廷 ， 讓 大 家 知 道 你 就 像 那 些 古 代 的 傳 奇 戰 士 ， 你 的 力 量 、 魄 力 、 勇 氣 和 能 力 就 足 以 稱 王 。 每 個 人 都 會 把 你 看 作 是 現 世 的 貝 奧 武 甫 ， 亞 瑟 王 的 傳 人 ， 以 及 唯 一 能 把 和 平 帶 給 這 片 混 亂 之 地 的 人 。 
str_npc9_kingsupport_3|十 分 有 道 理 ， {reg59?女 士 :先 生 } ， 這 樣 一 來 ， 我 們 就 能 從 那 些 該 死 的 商 人 求 見 、 請 願 和 文 書 中 解 放 了 ， 那 時 我 們 就 能 全 身 心 為 王 國 榮 耀 而 戰 了 。 請 允 許 我 離 開 ， 我 會 對 這 片 土 地 上 的 貴 族 領 主 們 說 你 會 恢 復 往 日 時 光 ， 我 肯 定 那 樣 就 會 有 很 多 人 追 隨 你 去 戰 斗 。 
str_npc10_kingsupport_3|那 麼 好 吧 ， 長 官 ， 請 允 許 我 離 開 幾 周 ， 我 在 這 片 大 地 上 四 處 游 走 ， 讓 每 一 個 撒 克 遜 貴 族 知 道 英 格 蘭 都 將 會 是 屬 於 他 們 的 ， 而 且 當 你 成 為 他 們 國 王 後 ， 英 格 蘭 也 只 會 是 他 們 的 。 我 確 信 他 們 中 的 許 多 人 會 非 常 樂 意 參 與 你 的 事 業 ， 支 持 你 這 樣 一 個 慧 眼 如 炬 而 又 高 貴 的 人 。 
str_npc11_kingsupport_3|那 麼 ， 我 請 求 你 讓 我 離 開 一 段 時 間 ， 即 使 對 我 來 說 這 很 痛 苦 。 我 會 四 處 游 走 ， 歌 頌 你 在 戰 場 和 情 場 的 偉 大 之 舉 ， 我 會 訴 說 你 是 多 麼 的 像 雷 神 索 爾 ， 並 且 沒 有 人 比 你 更 適 合 當 不 列 顛 統 治 者 了 。 在 我 的 家 鄉 ， 有 許 許 多 多 的 人 翹 首 以 待 一 個 合 法 的 統 治 者 。 對 於 其 他 異 見 者 ， 我 可 以 讓 他 們 嘗 嘗 長 矛 的 滋 味 。 雖 然 我 知 道 這 對 你 來 說 也 是 痛 苦 的 ， 但 我 還 是 請 求 你 給 我 幾 周 時 間 。 我 也 非 常 期 待 你 成 為 他 們 的 下 一 任 {reg59?女 王 :國 王 } 。 
str_npc12_kingsupport_3|王 位 應 該 讓 給 最 適 合 來 統 治 的 人 ， 自 然 也 就 是 你 。 給 我 幾 周 時 間 ， 我 寫 張 證 實 這 點 的 傳 單 ， 找 個 抄 寫 員 在 這 片 土 地 上 的 每 個 領 主 大 廳 裡 貼 上 。 你 說 說 這 個 主 意 怎 麼 樣 ， 閣 下 ？ 
str_npc13_kingsupport_3|請 允 許 我 離 開 幾 周 ， {reg59?女 士 :先 生 } 。 我 會 讓 這 片 土 地 上 的 所 有 名 士 知 道 ， 你 不 僅 僅 能 統 一 英 格 蘭 、 還 能 統 治 全 世 界 。 就 我 而 言 ， 除 非 有 人 能 夠 統 治 全 世 界 ， 不 然 沒 人 應 該 當 {reg59?國 王 或 女 王 :國 王 } ， 只 有 你 有 這 個 能 力 ， {reg59?女 士 :先 生 } 。 
str_npc14_kingsupport_3|啊 ， 勇 士 ， 請 允 許 我 離 開 幾 周 ， 我 會 講 述 你 的 傳 奇 ， 甚 至 讓 麻 木 的 心 靈 都 為 你 的 美 德 所 折 服 ， 為 你 的 不 幸 而 悲 哀 ， 為 你 的 敵 人 而 憤 怒 ， 全 因 你 是 當 代 的 庫 丘 林 ， 整 個 世 界 都 會 屈 服 於 你 的 意 志 之 下 。 當 然 ， 我 想 還 要 加 入 一 些 藝 術 描 寫 ， 比 如 像 您 能 單 手 掃 平 一 支 佛 莫 爾 軍 隊 ？ 
str_npc15_kingsupport_3|我 很 高 興 你 能 這 樣 想 。 那 麼 ， 我 的 建 議 是 ， 我 知 道 一 些 像 我 一 樣 靠 銀 子 生 活 的 人 ， 他 們 現 在 由 於 財 源 斷 了 ， 生 活 環 境 每 況 愈 下 。 我 會 去 告 訴 他 們 ， 你 是 個 正 直 的 人 ， 你 尊 重 商 人 ， 並 會 償 還 他 們 的 債 務 ， 而 且 你 不 會 半 途 而 廢 。 
str_npc16_kingsupport_3|請 允 許 我 離 開 幾 周 ， 我 會 去 訪 遍 這 片 土 地 上 的 每 座 教 堂 、 修 道 院 和 寺 院 。 整 個 教 會 都 會 知 道 你 會 讓 黑 暗 之 地 也 能 永 久 地 沐 浴 在 基 督 教 的 聖 光 之 中 。 每 一 個 真 正 敬 畏 上 帝 的 人 ， 每 一 個 虔 誠 的 基 督 徒 都 會 支 持 你 ， 並 把 你 當 作 是 上 帝 在 人 間 指 派 的 合 法 統 治 者 。 你 覺 得 怎 麼 樣 ？ 
str_npc1_kingsupport_objection|長 官 ， 你 把 別 的 人 派 出 去 對 貴 族 們 說 他 們 會 擁 有 牧 地 、 市 集 和 森 林 的 所 有 權 ？ 我 不 喜 歡 這 樣 。 這 樣 一 來 ， 這 些 人 會 在 這 片 土 地 上 的 每 個 村 落 立 起 絞 刑 架 ， 對 我 們 這 樣 的 窮 人 為 所 欲 為 ， 比 如 拿 起 一 張 弓 去 樹 林 裡 打 獵 ， 然 後 在 桌 上 擺 滿 菜 餚 。 而 我 們 得 被 吊 死 。 
str_npc2_kingsupport_objection|嗯 ， 長 官 。 你 對 某 人 說 過 你 當 上 國 王 後 ， 會 幫 助 他 實 現 願 望 ， 是 吧 ？ 我 覺 得 這 個 主 意 糟 透 了 ， 他 不 是 個 好 人 ， 我 不 喜 歡 那 些 沉 默 獨 飲 的 人 。 我 不 信 任 他 。 
str_npc3_kingsupport_objection|閣 下 ， 雷 因 哈 德 出 發 到 遠 方 了 ， 他 說 已 經 得 到 你 的 同 意 。 他 說 他 會 走 遍 村 莊 ， 告 訴 那 些 窮 鄉 下 人 你 當 上 {reg59?女 王 :國 王 }後 ， 你 會 平 等 對 待 無 論 是 男 是 女 還 是 不 同 行 業 的 人 。 然 後 我 問 了 他 ， 那 奴 隸 怎 麼 說 ， 他 說 奴 隸 和 人 不 一 樣 ， 對 待 他 們 只 需 要 狠 狠 鞭 打 。 我 真 希 望 你 沒 這 樣 對 他 說 過 ， 是 嗎 ？ 
str_npc4_kingsupport_objection|我 感 覺 你 在 戲 弄 我 ， 別 人 在 稱 王 問 題 上 的 觀 點 你 全 都 同 意 。 真 是 搞 不 懂 你 。 
str_npc5_kingsupport_objection|長 官 ， 我 偶 然 間 聽 到 了 你 說 的 一 些 話 。 但 是 我 在 想 ， 如 果 你 給 了 奴 隸 過 多 的 權 利 和 保 護 ， 就 沒 人 會 想 要 購 買 奴 隸 了 。 當 然 ， 很 可 能 多 數 人 會 過 著 一 種 沒 有 奴 隸 的 生 活 ， 但 是 多 數 富 人 真 的 很 喜 歡 有 一 兩 個 奴 隸 幫 他 們 干 家 務 活 。 貴 族 對 於 奴 隸 和 奴 隸 女 孩 也 有 許 許 多 多 的 用 途 。 所 以 ， 你 得 做 好 富 人 和 貴 族 因 此 不 支 持 你 的 准 備 。 在 我 看 來 ， 這 對 想 稱 王 的 人 來 說 是 不 利 的 。 
str_npc6_kingsupport_objection|我 理 解 你 把 埃 吉 爾 派 出 去 編 造 你 的 皇 家 血 統 的 行 為 。 但 我 得 告 訴 你 ， 我 覺 得 即 使 是 出 於 好 意 ， 上 帝 也 不 會 眷 顧 試 圖 通 過 欺 騙 來 獲 得 王 位 的 人 。 
str_npc7_kingsupport_objection|我 聽 到 你 在 這 個 問 題 上 對 別 人 說 的 話 了 。 我 特 別 注 意 到 他 說 皮 克 特 人 和 農 民 、 奴 隸 沒 有 區 別 。 這 真 是 荒 謬 ， 如 果 你 不 把 土 地 分 給 皮 克 特 人 ， 他 們 的 戰 士 會 把 你 的 王 國 大 卸 八 塊 的 。 我 真 希 望 你 質 疑 過 他 的 觀 點 。 
str_npc8_kingsupport_objection|長 官 ， 你 說 過 你 當 上 不 列 顛 統 治 者 後 ， 你 的 第 一 場 戰 爭 將 會 是 對 抗 敵 人 的 。 這 不 對 ， 你 應 該 先 幫 助 我 從 丹 麥 人 手 上 解 放 弗 裡 斯 。 那 樣 的 話 我 們 兩 族 人 民 就 能 一 起 對 抗 敵 人 ， 一 起 從 戰 爭 中 獲 利 。 但 我 們 首 先 應 該 著 眼 於 弗 裡 斯 。 
str_npc9_kingsupport_objection| {reg59?女 士 :先 生 } ， 當 我 聽 到 你 准 備 頒 布 習 慣 法 來 處 理 王 國 內 的 法 律 糾 紛 時 ， 我 感 到 十 分 遺 憾 。 這 一 點 道 理 也 沒 有 ， 眾 所 周 知 ， 只 有 羅 馬 帝 國 法 適 合 進 步 國 家 。 即 使 是 軟 弱 的 法 蘭 克 國 王 達 戈 伯 特 一 世 也 費 盡 心 思 來 施 行 羅 馬 法 ， 你 應 該 遵 循 這 個 先 例 。 
str_npc10_kingsupport_objection|我 聽 到 你 對 阿 格 霍 斯 說 ， 你 當 上 {reg59?女 王 :國 王 }後 ， 你 會 召 集 一 支 由 各 個 國 家 戰 士 組 成 的 軍 隊 去 恢 復 古 羅 馬 帝 國 的 疆 域 。 這 真 是 荒 謬 之 極 。 只 有 一 支 真 正 的 、 完 全 由 撒 克 遜 人 組 成 的 軍 隊 才 能 達 到 古 羅 馬 人 的 榮 光 。 只 要 隊 伍 中 有 布 立 吞 人 的 存 在 ， 就 不 可 能 征 服 這 片 大 陸 。 如 果 你 想 把 撒 克 遜 人 和 布 立 吞 人 放 在 一 起 作 戰 來 實 現 你 的 「 帝 國 」 計 劃 ， 別 指 望 我 會 幫 你 。 
