
qstr_Next_Page|다음 페이지
qstr__You_see_the_banner_o| 도시의 성문 위로 {s7}의 깃발이 보입니다.
qstr_The_{reg6?town_s:cas|{reg6?도시의:성의} 식량 저장분이 {reg3}일치가 남아 있습니다.
qstr_The_{reg6?town_s:cast|{reg6?도시의:성의} 저장된 식량이 바닥이 났고 수성측 병사들이 굶주리고 있습니다.
qstr_You_re_preparing_to_|당신은 성벽을 공격하기 위한 준비를 하고 있고 그 작업이 완성되는데 {reg9} 시간이 걸릴 것 같습니다.
qstr_Your_forces_are_buil|당신의 부대는 공성탑을 건설하고 있습니다. 병사들이 예상하기로 공성탑을 완성하는데 {reg9}의 시간이 더 필요합니다.
qstr_You_are_ready_to_att|당신은 언제든지 성벽을 공격할 준비가 되었습니다.
qstr_The_siege_tower_is_b|공성탑이 완성되었고 공격할 준비를 합니다.
qstr_As_a_last_defensive_|지키기 위한 마지막 노력에도 불구하고 당신은 지키고 있던 중앙 홀에서 후퇴하였습니다. 당신과 당신의 병사들은 앞으로 험난한 싸움에 놓이게 되었습니다. 여기서 만약 당신이 패배한다면 더 이상 물러설 곳이 없습니다.
qstr_You_ve_been_driven_a|당신이 성벽에서 밀려 났습니다.이제 적 부대가 거리로 밀려들 것입니다. 당신이 그들을 물리친다면, 아마도 형세가 바뀌어 오늘을 넘길 수 있을 것입니다.
qstr_You_ve_breached_the_|당신은 성벽을 돌파하였습니다, 하지만 거리에서 아직도 적들이 격렬하게 저항하고 있습니다! 도시 중앙부를 공격하기 위하여 당신은 그들을 물리쳐야 합니다.
qstr_The_town_centre_is_y|도시 중앙부는 당신이 점령하였습니다, 하지만 남은 적들이 성에서 아직 저항을 하고 있습니다. 당신이 승리를 완벽하게 쟁취하기 위해서는 그들을 처리해야 합니다.
qstr_The_remaining_defend|남은 수비군들이 마지막 방어선인 성으로 후퇴하였습니다. 당신은 성으로 진격하여 남은 저항병들을 쳐부숴야 합니다.
qstr_However_since_you_ar|당신은 {s9}에 맹세하지 않은 {남자/가신}이기에 당신은 이 {reg8?도시:성}의 {영주/영주}가 될 자격이 없네.
qstr_The_enemy_has_been_f| 적 부대가 위협하고 있습니다. 공격은 끝났지만 포위는 계속 되고 있습니다.
qstr_As_you_approach_you_|당신이 접근하자, 당신은 그들의 {왕/여왕}을 위해 환영하며 문을 열어줄 문지기를 발견하였습니다.
qstr_As_you_approach_you_a|당신이 접근하자, 당신은 그들의 {영주/영주}을 위해 환영하며 문을 열어줄 문지기를 발견하였습니다.
qstr__This_village_and_th| 이 마을 및 주변 지역은 당신의 관할 지역입니다.
qstr__You_remember_that_t| 당신은 이 마을과 주변의 땅이 {s7}에 속해 있다는 것을 기억해야 합니다.
qstr__These_lands_belong_| 이 땅은 소유하고 있는 사람이 없습니다.
qstr__The_village_is_infe| 마을이 {reg8} {s35}명 에게 침략당했습니다.
qstr__The_village_has_bee| 마을이 약탈당했습니다. 불타버린 집들 사이로 당신이 걸어가는 길에는 작은 희망이 산산이 부서져 있었습니다.
qstr__The_village_is_bein| 마을이 급습당하고 있습니다.
qstr_No_one_here_seems_to|당신의 부대에 합류하려는 사람이 아무도 없습니다.
qstr_One_{s3}_volunteers_|한 명의 {s3}이 당신을 따르기 위해 나섰습니다.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3}이 당신을 따르기 위해 나섰습니다.
qstr_Try_as_you_might_you|당신처럼하면 도적을 물리칠 수 없을 것이네. 화가 나지만, 그들은 농노들을 혹사시키고 주변에 있는 마을을 파괴시킨다네. 그리고 찾은 푸른 목장을 약탈하여 황폐한 땅만을 남겨놓고 떠나지.
qstr_village|마을
qstr_town|도시
qstr_castle|성
qstr_The_{s17}_has_no_imp|{s17}에는 건설된 것이 없습니다.
qstr_The_{s17}_has_the_fo|{s17}에 건설된 것은 다음과 같습니다: {s18}.
qstr_The_assasins_beat_yo|암살자가 당신을 때려 눕혔고 당신을 죽게 버려두고 떠났습니다.
qstr_You_have_fallen._The|당신은 쓰러졌습니다. 도적이 빠르게 당신의 몸을 뒤져 찾은 모든 돈을 가지고 어둠 속으로 사라졌습니다. 그들은 간신히 살아있는 당신을 남겨두고 떠났습니다.
qstr_Luckily_some_of_your|운 좋게도 몇몇 당신의 동료들이 늦어도 돌아오지 않는 당신을 찾았 나섰고 길가에 누워있는 당신을 발견하였습니다. 그들은 서둘러 안전하게 당신의 상처를 치료해 주었습니다.
qstr_Luckily_some_passing|운 좋게도 지나가는 시민이 길가에 쓰러진 당신을 발견하였고 단순한 거지가 아니라는 걸 알아차렸습니다. 그들은 당신을 가까운 여관으로 옮겨 상처를 치료했습니다.
qstr_You_fail_to_steal_an|소를 약탈하는데 실패하였습니다.
qstr_You_drive_away_{reg1|당신은 {reg12?마리의} 소들을 마을 촌장에게 가져다 주어야 합니다.
qstr_You_are_at_{s2}.|당신은 {s2}에 있습니다.
qstr__This_castle_has_no_| 이 성에는 주둔지가 없습니다.
qstr__This_town_has_no_ga| 이 도시에는 주둔지가 없습니다.
qstr__You_have_successful| 당신은 잠입에 성공했습니다.
qstr_{s13}_A_tournament_w|{s13} 조만간 이 곳에서 토너먼트가 열립니다.
qstr___{reg1}_denars_per_| (하루 {reg1} 디나르)
qstr_Moreover_you_earn_{r|게다가, 당신은 영리하게 자신에 돈을 걸어 {reg8} 디나르를 대가로 받았습니다...
qstr_Victory_is_yours!_Yo|승리는 당신의 것입니다! 당신은 이 라운드에서 이겼습니다. 하지만 당신은 곧 다음 시합을 준비해야 합니다.
qstr_You_have_been_bested|당신은 이 라운드에서 최고였고 행사의 주최자가 당신의 실력과 용기를 인정하여 다음 단계로 진행할 수 있도록 허락해주었습니다. 
qstr_You_were_beaten._The|당신은 쓰러졌습니다. 농부는 공격이 성공한 것에 용기를 얻었지만 아마도 당신이 가르치고자 했던 내용은 소용이 없었을 것입니다...
qstr_After_beating_your_l|마지막 상대를 쓰러뜨린 후,당신은 농부들에게 어떻게 자기 스스로를 적의 공격으로부터 좀 더 잘 보호할수 있는지 가르쳐 주었습니다. 희망적이게도 그들은 잘 새겨들었고 다음에는 준비가 될 것입니다.
qstr_The_bandits_are_brok|도적들이 와해되었습니다! 그들은 몇 몇만 살아남았고 공포스러운 농부들과 그들의 새로운 챔피언으로 부터 혼비백산하여 꽁지가 빠지도록 줄행랑을 쳤습니다.
qstr_{s1}_s_Ship|{s1}'s Ship
qstr_However_{reg3?You_ar|^그러나, {reg3?당신은:{s1}는(은)} 이익을 가져올 그 어떤 무역 상품도 찾아낼 수 없었습니다.
qstr_^Buying_{s4}_here_an|^{s4}를 여기서 사다가 {s5}에서 판다면 개당 {reg6} 디나르만큼의 이익을 얻을 수 있을거에요.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?당신은:{s1}은(는)} 다음과 같은 것을 알아내었습니다:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{s1} {reg1}명은 {reg0} 만큼의 경험치를 얻었습니다.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1}은(는) 추가적으로 {reg0} 만큼의 경험치를 얻었습니다.
qstr_^You_earned_{reg0}_e|^당신은 {reg0} 만큼의 경험치를 얻었습니다.{s2}
qstr_The_training_didn_t_|훈련이 전혀 되지 않았습니다.
qstr_The_training_didn_t_g|훈련이 제대로 되지 않았습니다.
qstr_The_training_went_qu|훈련이 그럭저럭 되었습니다.
qstr_The_training_went_ve|훈련이 제대로 되었습니다.
qstr_The_training_went_pe|훈련이 완벽하게 제대로 되었습니다.
qstr_{s13}_asked_you_to_r|{s13}이(가) 적어도{reg13}기의 군사를 모은 후 보고하라고 했습니다.
qstr_{s13}_ordered_you_to|{s13}은(는) {s14}에 대한 공성전에 참전하라고 명령했습니다..
qstr_Find_and_speak_with_|{s4}에 {s3}을 찾아서 그에게 당신의 주군으로서 섬길 것을 맹세하십시오.
qstr_There_has_been_an_al|영유권 주장이 있는 지역: {s9}
qstr_^^Note_that_so_long_|^^당신이 총사령관으로 너무 오랫동안 남아있게 된다면, 국왕은 당신이 원정을 이끌기를 원한다는 걸 명심하세요. 그래서 당신이 결혼이나 다른 목적으로, 연회를 기다린다면, 국왕께 사임을 하겠다고, 고하세요.
qstr_Breaking_camp...|야영을 중지합니다.
qstr_Your_party_is_spotte|당신의 부대는 {s1} 근처를 지나고 있습니다.
qstr_Party_has_nothing_to|부대의 군량이 없습니다.
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1}가 {reg2} 어둠을 틈타 부대의 감시망을 뚫고 도주에 성공했습니다.
qstr_{s1}_of_{s3}_has_bee|{s3}의 {s1}가 감금 상태에서 풀려났습니다.
qstr_Building_of_{s0}_in_|{s4}에 있는 {s0}의 건설이 완료되었습니다.
qstr_{s1}_has_won_the_tou|{s1}는 {s2}에서의 토너먼트에서 승리하였습니다.
qstr_{s1}_is_no_longer_in|{s1}은(는) 더 이상 강도들에게 침입을 당하고 있지 않습니다 (at night).
qstr_You_pay_for_accommod|숙박비를 지불합니다.
qstr_Betrothal_to_{s5}_ex|{s5}와(과) 파혼했습니다.
qstr__Your_tactics_skill_| 전술이 1 증가 했습니다.
qstr__Your_persuasion_ski| 설득이 1 증가 했습니다.
qstr__Your_leadership_ski| 통솔이 1 증가 했습니다.
qstr__Your_intelligence_h| 지력이 1 증가 했습니다.
qstr__Your_trade_skill_ha| 교역이 1 증가 했습니다.
qstr__Your_weapon_master_| 무기장악이 1 증가 했습니다.
qstr__Your_engineer_skill| 공학이 1 증가 했습니다.
qstr_You_have_finished_re|책읽기 완료.
qstr_Book_Read|책 읽기
qstr_{s1}_is_scouted.|{s1}을 정찰하였다.
qstr_{s1}_has_switched_fr|{s1}은(는) {s2}에서 {s3}(으)로 국가를 바꿨습니다.
qstr_{reg65?my_Lady:my_Lo|{reg65?마님:주군}
qstr_{reg65?My_Lady:My_Lo|{reg65?마님:주군}
qstr_{reg65?madame:sir}|{reg65?부인:경}
qstr_{reg65?Madame:Sir}|{reg65?부인:경}
qstr__no_fiefs_|(영지 없음)
qstr__fiefs:_{s0}_|(영지: {s0})
qstr_It_s_your_money_or_y|돈을 내놓던가 아니면 목숨을 내놓던가, {친구/아가씨}. 허튼짓만 않는다면 우린 별 탈 없이 보내줄 수 있어.
qstr_Lucky_for_you_you_ca|넌 운이 좋은 거야. 좋은 분위기에 방문했으니. 자 우리에게 네가 가진 돈을 다 준다면 살려보내줄 수 있어.
qstr_This_a_robbery_eh?_I|보시다시피 우린 강도야, 응? 한번만 기회를 줄 테니 손 올리고 가지고 있는 모든 것을 주라구. 그렇지 않으면 나와 내 친구들이 널 죽일지도 몰라. 알아들었어?
qstr_we_have_made_very_li|우리 갈 곳이 먼데 너무 이야기 진행이 적게 되었군.
qstr_we_have_suceeded_in_|우리는 영토를 조금 얻는데는 성공했지만 아직도 가야할 길이 멀군요.
qstr_we_have_become_a_sig|우리는 중요한 힘이 되어야 하고 이런 승리의 기회를 가져야해요.
qstr_we_are_winning_the_w|우리는 전쟁에서 이기고 있지만 우리의 적들은 아직도 그대로예요.
qstr_we_are_on_the_verge_|우리는 승리의 가장자리에 있을 뿐이에요. 남은 적들은 위협 하지 못하는 형상이지만 우리는 아직 그들을 쓰러뜨려야할 필요성이 있어요.
qstr_{playername}_when_we|{playername}, 우리가 긴 여정을 시작했을 때, 소수만이 우리에게 용기를 주었네. 그리고 그보다 소수만이 나의 뜻을 위해 기꺼이 목숨을 맡기고 있네. 하지만, 너는 나의 적들에게 몸을 던지는걸 망설이지 않았지. 우리는 오랜 시간 함께해왔지만, 나는 모든 희망을 잃기 직전이라네. 하지만, 신이 우리를 도와 승리로 이끌 것이네. 이제 나는 너의 부대를 떠나, 나 스스로 옳은 것을 할 것이네. 이제부터, 나는 {s3}을(를) 내 모든 책임감을 가지고서 통치하겠네. 앞으로도 많은 시련들이 놓여있고, 그것을 극복할 때 너의 도움을 믿을걸세. 그리고 역시나, 너는 내가 가장 아끼는 영주로서 남을 것이라네.
qstr__We_will_of_course_n|우리는 물론 왕국의 군사작전이 끝날 때까지, 기다릴 필요가 있소.
qstr_I_am_{s4}_the_ruler_|나는  {s6}의 통치자 {s4}이다.
qstr_I_am_{s4}_a_vassal_o|나는 {s4}이다, {s6}의 가신이다.
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? 그리고 {s8}의 영주다.:.
qstr_{s13}_asked_you_to_g|{s13}은(는) {reg3}마리의 소를 모아서 그에게 데려올 것을 요청했습니다.
qstr_{s9}_asked_you_to_sc|{s9}는 당신에게 {s13}, {s14} 그리고 {s15}를 정찰한 후 보고해달라고 요청했습니다.
qstr_you|당신
qstr_You_are_challenging_|너는, 내가 너와 결투하도록 시험하는가? 웃기는 녀석이군! {playername} 너의 뜻대로 해주지. 너의 머리가 잘리는데 이만한 운동은 없을 것이다!
qstr_{s16}_and_{s17}|{s16} 와(과) {s17}
qstr_Very_well_I_will_acc|매우 좋네, 자네가 장엄한 서약을 한 번 더 나에게 맹세한다면 나는 자네가 나의 가신이 되는걸 받아들일 것이네.
qstr_A_pardon_will_only_b|자네가 {s17} 을 나에게 양도 할 때에만 용서가 가능할 것이네. 자네 나의 의견에 동의 하는가?
qstr_No._There_is_no_chan|아니. 우리들에게 평화가 오지 않을거야. 난 관심이 없네.
qstr_Our_marshal_{s1}|우리의 총사령관, {s1}
qstr_{s11}_and_{s12}|{s11} 와(과) {s12}
qstr_We_are_not_at_war_wi|우리는 누구와도 전쟁을 진행하고 있지 않다.
qstr_We_are_at_war_with_{|우리는 {s12}과 전쟁 중이다.
qstr_go_on_the_offensive_|이제 공격할 차례다.
qstr_act_to_defend_our_la|우리의 땅을 지키자.
qstr_take_more_time_to_ga|병사를 모집하는데 시간이 더 필요하오.
qstr_You_promised_to_help|당신은 {s13}를 도와 {s14}의 왕권에 도전하기로 약속하였습니다.
qstr_What_do_you_say_to_e|{s9}에 용병대장으로서 복무하고 싶다는 건가? 나는 네가 임무를 수행하는 것에 의심이 없다.
qstr_{s9}_asked_you_to_ta|{s9}가 {s13}에게 서신을 전달해 달라고 당신에게 요청했습니다. {s13}은 당신이 이 요청을 받았을 때 {s4}에 있었습니다.
qstr_{s9}_asked_you_to_tak|{s9}가 당신에게 {s15}의 {s13}에게 서신을 전달해 달라고 요청했습니다. {s13}은 당신이 이 요청을 받았을 때 {s4}에 있었습니다. 
qstr_{s11}_asked_you_to_e|{s11}가 당신에게 그의 {s17}인 {s13}를 {s14}까지 호위해달라고 부탁했습니다.
qstr_{s13}_asked_you_to_d|{s13}은 당신에게 {s15}마을에 은신해 있는 도적들을 없앤 후 보고해 달라고 요청했습니다.
qstr_{s9}_asked_you_to_ra|{s9}가 당신에게 {reg1} {s14}기를 양성해 자신에게 데려오기를 요청했습니다.
qstr_{s9}_asked_you_to_co|{s9}가 당신에게 {s3}으로부터 세금을 징수해 달라고 요청했습니다. 그는 당신에게 그곳에서 징수한 돈의 20%를 남겨주겠다고 제안했습니다.
qstr_{s9}_asked_you_to_hu|{s9}가 당신에게 {s4}라고 불리는 도망자를 추적하여 잡아 달라고 요청했습니다. 그는 현재 {s3}에 있다고 알려져 있습니다.
qstr_{s9}_asked_you_to_as|{s9}가 당신에게 {s3}의 지역 상인을 암살해 달라고 요청했습니다.
qstr_{s9}_has_asked_you_t|{s9}가 당신에게 {s13}에 있는 스파이와 접선해달라고 요청했습니다.
qstr_{s11}_asked_you_to_f|{s11}가 당신에게 {s12}를 떠날 스파이를 따라가 달라고 했습니다. 당신은 스파이가 여행 중 당신을 알아채지 못하도록 조심해야하며, 그렇지 않으면 그는 의심스러움을 느끼고 돌아갈 것입니다. 스파이가 공범을 만나면, 그들을 기습하고 잡아서 {s11}으로 데려가야 합니다.
qstr_{s11}_asked_you_to_c|{s11}가 {s13}의 어떤 영주든지 잡아서 안전을 위해 {s11}로 데려오길 요청했습니다.
qstr_{s9}_asked_you_to_le|{s9}는 당신의 동료 {s3}를 일주일간 빌려달라고 당신에게 요청했습니다.
qstr_{s9}_asked_you_to_col|{s9}는 당신에게 {s3}가 그에게서 빚진 {reg4}디나르의 빚을 회수해 달라고 요청했습니다.
qstr_{s11}_gave_you_a_fak|{s11} 은 당신에게 가짜 서신을 주며 멍청한 {s13}가 그의 가신인 {s16}를 추방하도록 하여야합니다. 당신은 {s14} 근처로 가야합니다, 당신은 서신을 당신의 {s15} 중 한명에게 주고 그에게 전령으로서 도시로 가게 하십시오. 그의 제의가 진심인 것처럼 믿게하여야 합니다.
qstr_{s9}_has_requested_y|{s9}가 당신에게 {reg1}명의 {s3}을(를) 포로로 잡아와달라고 요청했습니다.
qstr_Lend_your_experience|당신의 노련한 군의관 {s3}을(를) {s1}에게 빌려주십시오.
qstr_Then_take_it_with_my|자 가져가게, 진심으로 감사하네. 자네는 신사로군. 내가 도움이 필요할 때 자네가 손을 내민 것을 잊지 않겠네.
qstr_Forgive_me_{playerna|날 용서하게. {playername}, 하지만 나로서는 자네가 이것을 받아들였으면 하네. 이 돈은 나에게는 매우 작은 것이지만 자네가 해준 것은 많으니. 자, 가져가게, 그리고 이일에 관해서 더 이상 말하지 않았으면 하네.
qstr_{playername}_what_a_|{playername}, 친애하는 {남성/여성}, 하지만 난 자네가 이것을 거절하는 것을 허락하지 않겠네. 난 자네가 내가 말 할 수 있던 것보다 더 해주었고 난 자네가 이 돈을 가지면 나보다 더 나은 곳에 쓸 수 있다고 확신하네.
qstr_{s11}_asked_you_to_r|{s11}는 그녀의 {s17}인 {s13}을(를) 옷을 바꿔 입고 그의 감옥에 들어가는 방법으로 {s14}에서 구출해달라고 했습니다.
qstr_{s11}_asked_you_to_re|{s11}는 그녀의 {s17}인 {s13}을(를) {s14}에서 구출해달라고 했습니다.
qstr_{s11}_asked_you_to_d|{s11}는 {s14}에 갇혀있는 {s13}에게 을(를) 전해달라고 요청했습니다.
qstr_You_agreed_to_challe|당신은 {s11}의 명예를 지키기 위해서 {s13}에게 도전하는 것에 승낙했습니다.
qstr_{s5}__Persuasion_str|{s5} (설득력: {reg5})
qstr_Persuasion_Attempt|요구를 받아들인다.
qstr_A_villager_from_{s7}|{s7}의 주민이 그들의 마을에 은신 중인 도적들로부터 마을을 구해줄 것을 부탁했습니다.
qstr_You_chose_well_{sir/|잘 선택하셨어요, {선생/선생}. 나의 아이들은 입을 다물 줄 알고 있고 그들의 대가를 받을 것입니다.
qstr_Well_done_{sir/madam|좋아요, {선생/선생}. 우리의 길에 돈과 술만 차려준다면 칼라디아 안에서 당신이 공포를 느낄만한 적은 없을 것입니다.
qstr_We_are_at_your_servi|이젠 당신을 따르겠소, {선생/선생}. 우리에게 쳐야할 적이 있는 방향을 지정해준다면 우리는 그곳에서 휴식을 취할 것이오.
qstr_The_Guildmaster_of_{|{s13}의 길드 마스터가 당신에게 도시 외곽에 있는 도적들을 처리해 달라고 요구했습니다.
qstr_{s9}_of_{s3}_asked_y|{s3}의 {s9}이(가) 당신에게 {reg5}만큼의 {s6}을(를) {s4}에 있는 선술집에 7일 안에 배달해달라고 요청했습니다.
qstr_Escort_the_merchant_|상단을 {s8}까지 호위하십시오.
qstr_Merchant_{s9}_of_{s4|{s4}의 상인인 {s9}이(가) 당신에게 도시 주변의 성가신 도적들을 처리해달라고 요청했습니다.
qstr_Guildmaster_of_{s4}_|{s4}의 길드 마스터는 도적들에게 유괴된 소녀를 되찾아오기 위하여 당신에게 {reg12} 디나르를 주었습니다. 당신은 {s3} 근처에서 도적들을 만나고 그들에게 몸값을 주어야만 합니다. 그 뒤 당신은 소녀를 {s4}로 다시 데리고 돌아와야 합니다.
qstr_Guildmaster_of_{s4}_p|{s4}의 길드 마스터가 만약 당신이 {s12}와 {s13}이 더 이상 {s15}와 {s14}사이의 평화를 위협하지 않게 하면 {reg12} 디나르를 준다고 약속했습니다. 그것을 위해, 당신은 양쪽을 납득시키던지 평화협정이 만들어질 때까지 포로로 잡아둬야 합니다.
qstr_The_Guildmaster_of_{s|{s14}의 길드마스터가 {s14}의 밤도적을 처리해달라고 요청했습니다. 그들은 밤에만 나오고, 혼자 여행하는 여행자만을 공격합니다.
qstr_Guildmaster_of_{s10}|{s10}의 길드 마스터가 소 떼를 {s13}까지 이동시켜달라고 요청했습니다. 당신은 보답으로 {reg8} 디나르를 받게 될 것입니다.
qstr_He_is_not_commanding|그는 지금으로서는 어떤 사람도 지휘할 수 없습니다.
qstr_He_currently_command|그는 지금 {reg0}의 {reg1?, 약 {reg1} 부상당한:}사람을 지휘합니다.
qstr_The_elder_of_the_vil|{s3}의 장로가 당신에게 {reg5}꾸러미의 밀을 가져와 달라고 요청했습니다.
qstr_The_elder_of_the_vill|{s13}의 촌장이 도적에 대항할 {reg5}명의 농부를 훈련시켜달라고 요청했습니다.
qstr_The_elder_of_the_villa|{s3}의 촌장이 당신에게 {reg5}마리의 소를 데려다 달라고 요청했습니다.
qstr_{s16}_{s15}|{s16} 그리고 {s15}
qstr_I_can_smell_a_fat_pu|난 두둑한 지갑의 냄새는 1마일이 떨어져 있어도 맡을 수 있지.내가 생각하기에는 자네 것을 좀 더 가볍게 할 수 있을 거 같은데, 응?
qstr_Why_it_be_another_tr|이야, 또 다른 여행자로군, 길에서 마주치는 우연이 있다니! 난 자네가 걱정스럽군, 이 나라는 자네 같은 사람 좋은 {소년/소녀}이(가) 여행하기에는 위험한 곳이네. 하지만 나의 아이들에게 작은 기부를 한다면 난 자네를 목적지까지 확실히 가게 해줄 수 있네, 어때?
qstr_Well_well_look_at_th|좋아, 좋아, 이거 보라구! 자네가 돈을 조금 토해낸다면 최고의 시작을 하는거야, 친구, 그렇지 않으면 나와 내 아이들이 너를 부숴 버릴거야.
qstr_There_s_a_toll_for_p|여기는 지나가려면 통행세가 있다고, 물론 우리에게 내야지, 그리고 자네가 상관치 않는다면 우리의 권리로서 자네의 지갑을 가져가겠네.
qstr_Another_fool_come_to|또 다른 바보가 나의 무기에 {자기/자기}자신을 던지는군, 에? 좋아, 싸우자고!
qstr_We_re_not_afraid_of_|{이봐/아가씨}.우리는 당신을 두려워하지 않아. 대가리를 부수어줄 시간이군!
qstr_That_was_a_mistake._|자네 실수하는 거야. 자 이제 자네에게 길고 고통스러운 죽음을 선사해줘야겠군.
qstr_Brave_words._Let_s_s|용감한 말이야. 그러고보니 그것들이 자네를 지원해 주는군, 개자식!
qstr_A_{s5}?_Well..._Yes_|{s5}? 음... 예, 제 생각에는 그것인 것 같네요. 묻는 게 그 이상한 거라면요.
qstr_Eh?_No_it_most_certa|에? 아뇨, 그건 거의 정확한데 {s5}가 아니에요. 만일 제가 당신이라면 자신의 관점으로 질문을 시작하겠습니다.
qstr_This_is_the_{reg4?to|이곳은 {s5}입니다, {나리/부인}.
qstr_{s6}_Our_{reg4?town:|{s6}^우리의 {reg4?도시:마을} 및 주변지역은 당연히 당신의 관할입니다. {영주님/영주님}.^
qstr_{s6}_Our_{reg4?town:v|{s6}^우리의 {reg4?도시:마을} 및 그 주변 지역은 {s8}의 {s7}의 관할구역입니다.^
qstr_{s3}_and_{s5}|{s3} 그리고 {s5}
qstr_{reg20?We_mostly_pro|{reg20?이곳의 주요 생산품은 {s5}입니다:이곳은 아무런 생산품이 없습니다}.^만약 당신이 더 많은 것을 알고 싶다면 {reg4?길드 마스터와:마을 촌장과} 얘기를 해보세요.^그는 가까운 맞은 편에 있습니다.
qstr_Factions|세력
qstr_Show_towns|도시
qstr_Show_castles|성
qstr_Show_villages|마을
qstr_Tip:_move_the_mouse_|팁: 검은 점 위에 마우스를 대면 지명이 표시됩니다.
qstr_The_World_Map|칼라디아 지도
qstr_Done|확인.
