
str_no_string|NO STRING!
str_npc9_personalitymatch_speech_b|그녀는 고귀한 혈통이엿어.나는 그녀에게 도움을 받곤 햇지.그건 상인의 딸로서 나에 대한 동정이였겟지.하지만 그녀와 이야기 할때는 마치 오래전 봄날을 다시 가는 기분이었어.
str_npc10_personalitymatch_speech_b|이봐.꼭 젊은게 다는 아니다는걸 보여주는거 같지,경험이 전투의 승리를 가져오지. 내가 생각해봣는데 그녀와 내가 이 세상에 젊은 귀염둥이들을 조금 가르쳐 줄 수 있을거같아.안그래?
str_npc11_personalitymatch_speech_b|특별히 나이든 {s11}을 그들에게 조금 보여주는거야,생각해봣는데.우리에게 손해는 아니잖아,생각해보니,우리들 사이에 있으면 우린 아마도 100살은 들어보일거야.
str_npc12_personalitymatch_speech_b|그의 동료가 새상을 떠났다는 것이 그를 깊게 슬프게 했어. 어쨌든 이런 이유로, 그와 나는 함께 고민끝에 이 사소한 이유로 전쟁중인 칼라디아의 왕국들을 하나로 통일한 밝은 미래에 대한 이야기를 해보았지.
str_npc13_personalitymatch_speech_b|또한, 난 일반적으로 차가운 Amazonesque를 좋아하지만,  전투에 가려진 그녀가 실제로는 여성스러워 지기위해 노력하는 모습을 발견한 사실을 밝히지... 사실 그녀가 캠프와, 행군중에 냉담해 보이기도 하지만, 내 따뜻한 한마디가 그녀의 심장을 감싼 북유럽의 얼음을 녹일 수 있을거라고 생각해.
str_npc14_personalitymatch_speech_b|그는 직업 군인이긴 하지만, 다른사람들처럼 쉽게 부대에 합류하지 못할 지도 몰라. 그는 엄격한 전투상황을 겪어왔고, 현명하지. 당신은 그런 그를 우리 부대와 어울리도록 좋은 본보기가 되었어.
str_npc15_personalitymatch_speech_b|전쟁은, 다른 어떤일 처럼, 신중한 계획과 준비, 그리고 전략적 원칙의 확고한 이해가 필요해. 최고로 훈련된 병사들로 전투에서 승리할 것이고, 곰처럼 적을 관찰하는 것이 최후의 승리를 얻는 거라고 난 생각하지.하지만 지금 남자들에게 전쟁은 저주일 수 도 있어, 하지만 그들은 전쟁에 고마워 해야해, 내가 장담하지.
str_npc16_personalitymatch_speech_b|그녀의 이야기를 들어본 적이 있나? 그녀에게 한 잘못을 믿을 수 있어?
내가 너에게 말하지, 난 피가 마르도록 분해. 난 그녀를 괴롭히는 모든 놈들을 잘라 없애버리고 싶어. -- 그리고 또한 만약 우리들 여행중에 그런일이 있다면 난 정말 그렇게 할거야.
str_npc1_retirement_speech|나는 다른 누군가의 목적때문에 내 피를 흘리며 대륙을 이리저리 행군하는데 좀 지쳐버렸습니다. 전리품을 얻는건 좋긴 한데 지금은 이미 충분히 가졌다는 생각이 드네요. 나는 나의 고향마을로 돌아가 아내를 얻고, 정착하여 아마도, 여유가 있다면 말을 키우며 살아갈 계획입니다.
str_npc2_retirement_speech|나는 전사의 삶에 조금씩 지쳐가는 것 같습니다. 나는 우리의 전리품중에서 나의 몫을 모피, 린넨, 벨벳등의 상품을 구입하는데 투자하려고 합니다.그리고 그것들을 가지고 산으로 되돌아 갈 생각입니다. 나는 당신이 나를 고용한 것에 대해 다시 한번 감사드리고 싶습니다. 당신에게 행운이 있기를 빕니다.
str_npc3_retirement_speech|나는 당신에게 말하기 곤란한 것이 있습니다. 나는 전사로써의 삶이 나에게 맞지 않다는 것을 결정하였습니다. 나는 휼륭한 결혼을 하기에는 너무 늦었는지도 모릅니다. 아무도 군인의 아내가 되려는 사람은 없기 때문입니다. 그러나 나는 상인으로 시작하기에 충분한 돈을 가지고 있습니다. 나는 당신이 화 내지 않길 바랍니다, {경/부인}.
str_npc4_retirement_speech|나는 롤프 집안의 자손에 걸맞게 당신과 명예롭게 잘 싸웠습니다. 하지만 나는 당신의 지도력에 전부 만족하지는 않는습니다. 나는 조상들이 물려주신 충분한 재산이있는 고향으로 떠날 것 입니다.
str_npc5_retirement_speech|나으리 -- 제가 당신에게서 소금을 받은 뒤부터 저는 당신을 위하여 충성스럽게, 그리고 맹렬하게 싸웠습니다.그런데 당신은 제가 대접받아야할 정도의 대접을 언제나 해주지 않았고 그래서 저는 집으로 가겠습니다. 칸의 부하들이 나를 잊었기를 바라며, 저는 아버님과 형제들과 재회하러 집으로 갈 생각입니다.
str_npc6_retirement_speech|난 당신이 날 어둠 밖으로 이끌어주길 바라며 당신의 부대에 들어왔습니다. 그리고 실제로도 여기서 어느정도의 평화를 되찾을 수 있었죠. 그러나 당신의 영도에 불안을 느낍니다. 그리고 이제 다른 곳에서도 구원의 길을 찾을 수 있지 않을까 싶습니다.
str_npc7_retirement_speech|나는 이 끝없는 전투의 비루한 인생에서 노력해왔고, 공포나 탐욕, 굶주림, 그리고 수백의 다른 죄악 속에서 타락해가는 인간을 보아왔습니다. 지금 나는 지갑에 돈이 있습니다. 나는 카날디아보다 나은 땅을 찾아 바다 넘어로 나갈 겁니다. 당신이 나 없이도 잘지낼거라고 생각해요.
str_npc8_retirement_speech|나는 당신의 방패의 벽에서 싸워왔습니다. 그리고 잘해왔죠. 그러나 당신의 지도력이 언제나 내 마음에 드는건 아니였어요. 그리고 어쨌든 나는 다른 할일이 있습니다. 나는 내가 약탈한 것을 내가 갖을 거에요. 그리고 내가 이끄는 전투단을 일으킬 겁니다. 그리고 노르드땅으로 항해하여 배신자 시동생으로 부터 내 남편의 저택을 되찾을 겁니다. 당신이 잘되길 바랄게요.
str_npc9_retirement_speech|우리는 함께 잘 싸워왔죠. 그리고 많은 영광을 거머쥐었습니다. 그런데 나는 당신의 지도력에는 약간의 의문이 있습니다. 그리고 어느 정도든 나는 내 자리를 되찾을 자산을 가지고 있어요. 그리고 나는 당신을 떠날 겁니다. 아마도 우린 다시 만나겠죠.
str_npc10_retirement_speech|나는 칼라디아의 사방팔방에서 충분히 날뛰었습니다. 나는 그리고 어딘가의 조그마한 땅을 사기 충분한 돈을 모았죠. 그래서 나는 그걸 어떻게 해볼 생각입니다. 잘 지내길, 그리고 운이 함께 하길 빕니다.
str_npc11_retirement_speech|당신은 한 노파를 당신의 부대에 합류시키는 호의를 베푸셨어요. 그러나 나는 이 생활이 짐마차를 모는것 만큼이나 좋을게 없다는 사실을 알게되어 염려가 됩니다. 너무 모진 추위와 , 극심한 허기의 끝에 내 앞에 보이는 것이라고는 무덤밖에 없었습니다. 그래서 난 어디로 갈지는 모르겠지만 이만 부대에서 빠지고 싶습니다.
str_npc12_retirement_speech|당신의 부대에서 난 다 괜찮게 해왔어요. 나는 배도 채웠고, 지갑에 돈도 챙겼으며, 상처와 부상에 대한 지식도 넓혔습니다. -- 내가 거기에 불평할 수는 없죠! 그러나, 지금은 부대생활이 나의 발전을 막고있어요.나는 내가 익힌 지식을 다른 외과의사들과 함께 나눠야할 의무가 있어요. 그리고 그것을 집필하기 위해 칼라디아에서 찾기 드문 저술가도 고용해야하죠. 그러니 나는 집으로 가야겠습니다.
str_npc13_retirement_speech|당신의 이름이 더없이 빛나길 갈망하는 사람으로서, 내 자신의 평판이 당신과 비교되어 태양때문에 달이 빛이 바래는 것처럼 희미해질까 우려되는군요. 그래서 스스로 독립하기로 결정했습니다. 그렇다해도 비할바 없는 행운이 당신과 함께 하길!
str_npc14_retirement_speech|저는 당신과의 관계를 끝내고 싶군요. 나는 다른 일을 찾을 생각이에요.
str_npc15_retirement_speech|저 안녕하세요, {playername}. 당신을 봐서 정말 기분나쁘다고는 못하겠네요. 사실은 나는 떠나기 전에 또다른 계약이 있었어요. 그리고 아니나 다를까, 대금을 받으러 갔을때 영주는 아무것도 없이 말과 변명과 내 제작물에 대한 좀스러운 불평을 늘어놓았죠. 당신의 부대에서 항상 행복했다고 말할 수는 없어요. 그래도 적어도 매번 전투 뒤에는 돈은 제깍제깍 지갑으로 들어왔죠. 아직 사람 구하십니까?
str_npc16_retirement_speech|당신의 부대에선 좋은 시간을 보냈어요. 그리고 전장에서 들러리나 2류인 자신을 발견했죠. 그러나 그건 지금 상관이 없군요. 내 재능을 다른데다 쓰기 위해 당신을 떠나야 겠어요.
str_npc1_rehire_speech|대장 -- 다시 보니 좋군요. 과거에 우리에게 다툼이 좀 있었다는 걸 압니다. 그러나 진실을 말하자면, 그건 내가 아는한 최고의 날들이였어요. 그리고, 솔직히 말해 일을 찾는데 약간의 어려움이 있었습니다. 들어봐요, 만약 당신이 다시 나를 원한다면, 난 다시 당신의 부대에 들어가겠습니다.
str_npc2_rehire_speech|{Sir/Madame}!다시 보게 되어 좋군요. 그러나 나는 털어놓을께요 -- 나는 당신을 찾고 있었어요. 언젠가 내가 당신에게 사리라 말했던 상품을 가득 샀어요. -- 그러나 당신이 몰랐겠지만, 케르지트에게 다시 습격받았고 그걸 다 잃어버렸습니다. 내 생각엔 난 그냥 내 행운을 위해 싸우도록 운명지어진 것 같아요. 또한, 사람들이 당신은 그동안 잘해왔다고 말하더군요. 그러니 말해주세요, {경/부인}, 나를 다시 고용해주시겠습니까?
str_npc3_rehire_speech|좋아, 안녕하세요 {경/부인}! 다시보니 정말 좋군요. 우리가 갈라선 뒤로 나는 그리 잘 지내지 못했어요, 난 두렵습니다. 내가 장사를 시작하길 바라는 내 외가친척들이 내가 기대한 만큼 날 환영해주지 않더군요. 나는 용병대 생활이 얼마나 나의 결혼 가능성을 망가트리는지에 대한 친척아주머니들의 강의 외엔 아무것도 받지 못했습니다. 아마 나는 벨루카의 시민들과 와인을 마시는 무역보다는 모닥불에서 거친 동료들과 밥을 먹는 전쟁이 어울리는 것 같아요. {경/부인}, 나는 당신에게 물을 수 밖에 없어요. -- 나를 다시 데려가주겠습니까?
str_npc4_rehire_speech|에... 안녕하세요, 대장님. 오랜만이군요. 내가 듣기로는 그동안 잘해온 모양이더군요. 내 경우엔, 내 영지에서 살기위해 바둥거리는데 좀 어려움이 있었습니다. -- 메뚜기 떼, 폭우, 말 안듣는 농노들, 그런 종류의 것들이죠. 나는 내가 다시한번 더 칼을 들어야 한다고 생각하게 되었어요. 우리 사이에 약간의 불화가 있었다는건 알아요. 그러나 당신의 부대에서 다시 한번 싸울 수 있다면 영광이겠습니다.
str_npc5_rehire_speech|{playername} 나으리! 당신의 명성은 계속 높아져가는군요 -- 산 넘어 내 고향에 들릴마큼 말입니다. 칸의 부하들이 모두 잊었길 바라며 그곳으로 돌아갔었습니다. 그런데 그렇지 않았죠. -- 내가 내 골짜기에 발을 딪기도 전에, 친족들로부터 칸과 Humyan 모두가 나를 찾고 있다는 말을 들었습니다. 그래서 내가 다시한번 당신과 함께 싸울 수 있도록 당신이 내가 떠든 불쾌한 말들을 잊길 바라며 나는 다시 돌아왔죠.
str_npc6_rehire_speech|{경/부인}. 내가 가는 어디든 사람들은 당신의 업적에 경외하더군요. 내가 떠난 뒤로 난 잘지내본 적이 없어요. 내가 어딜 가든, 나는 나의 악마들이 돌아오는걸 느끼죠. 내 영혼은 혼란 속에 있다구요. 이유를 제대로 설명할 수 없지만, 내가 당신의 지휘에 의문을 느낀다해도 나는 당신의 부대에서 평온을 찾을 수 있었어요. 내가 다시 당신을 모실 수 있게 허락해주겠습니까?
str_npc7_rehire_speech|대장님! 뵙게되어 좋군요. 우리가 갈라설때 내가 했던 말들을 용서해주세요. 나는 웨르체그에서 배를 끌고 동방으로 나아갔습니다. 그러나 해적들에게 잡혔고 몸값을 치룬뒤 여기에 내려졌죠. 그곳은 세계에서 칼라디아보다 나은 곳일 겁니다. 하지만 여전히 직접 보진 못했죠. 그래서 나는 생각하게 되었어요. 만약 내가 이 대륙에서 살 운명이라면 다른 것보단 당신의 부대에서 살아가는게 나을 것 같다고. 나를 다시 써주시겠습니까?
str_npc8_rehire_speech|인사드려요, {playername}. 과거에 내가 했던 심한 말들이 잊혀졌다면 놀라운 일이겠죠. 나는 내 남편의 저택을 찾기 충분한 인원을 찾길 바라며 여기 노르드를 뒤졌어요. 그러나 내가 모은 인원은 기다란 배를 운용할만큼도 되지 못했죠. 그리고 그것에 곧 질리고 흥미를 잃었어요. --- 아니, 덧붙여 말하자면 그건 그들이 내가 모은 자금을 술에 취해 잃어버리기 전의 일이에요. 그래서 전장으로 돌아가우리가 함께 싸워야 한다고 생각하게 되었어요. 좋은 날들이였잖아요. 돈벌이도 되고 말이에요.
str_npc9_rehire_speech|나의 친애하는, 친애하는 {신사/숙녀}여! 당신을 볼수 있게 되어 정말 좋군요! 나는 이땅의 군주들을 위해 헌신 할 일을 찾아다녔습니다. 그러나 통탄스럽도록 실망 밖에 할게 없었죠. 그들의 절반은 나를 견습 은행원처럼 생각했는지 동료 영주들로부터 빚이나 받아오도록 했습니다. 아니면 나를 농장 감시자로 생각했는지 그의 농노들이나 뒤쫓아다니게 했죠. 어떤 놈은 나에게 자신이 빚진 사람을 죽여달라고 했습니다! 난 당신이 날 다시 합류시켜주지 않을까 하며 당신을 찾았어요,
str_npc10_rehire_speech|대장님! 다시 뵈니 좋군요. 보시다시피 별로 농부가 되진 못했어요. 내가 계획보다 일꾼들에게 너무 무르게 대했는지, 그놈들이 날 등쳐먹게 해버렸습니다. 아무래도 내가 젤 잘 아는건 싸움질인 것 같아요. 그러니 대장님, 말해주세요. 당신 아직 쓸만한 사람을 찾고 있죠?
str_npc11_rehire_speech|대장님! 보게되어 정말 좋군요! 당신은 나는 그저 안절부절 못하는 뼈로 된 낡은 거죽 가방에 불과하죠, 인정해요. 나는 전사로써의 삶이 편안하지 못했기 때문에 당신을 떠났어요. 그러나 나는 약간의 시간을 도시에서 보냈고, 거기서 겪은 것들은 배불리 채운 배나, 성실한 동료들, 그리고 당신 앞에서 적들이 도망치는 모습을 보며 즐기던 것보다는 나빴어요. 그래서 말인데, 나를 다시 고용해주겠어요
str_npc12_rehire_speech|대장님! 당신의 성실한한 얼굴을 보는건 참 좋은 일이군요. 이 세상은 거짓말로 가득해요. 나는 내가 찾아낸걸 저술하러 고향으로 갔죠. 그리고 집필가를 고용해서 약간의 교본을 만들었어요. 그리고 내가 쓴 책의 인세를 기다렸죠. 그러나 그것들은 진정한 의학지식에 재탕한 Galerian만큼도 신경쓰지 않는 대학에서 내쳐졌어요. 그리고 출판업자들 -- 말해드리죠, 당신은 그런 썩어빠진 놈들은 보지 못했을겁니다. 그들은 내 책을 장 단위로 학생들에게 대여해 복사하게 했죠. 그러나 절반도 반납되지 않았어요. 그리고 돌아온 것들은 와인의 남은건 술에 흠뻑 젖어 있었죠. 그리고 이제 내 작업의 완전한 사본은 어디에도 남아있지 않아요. 나는 계속 노력할테지만, 일단 주머니에 약간의 돈을 넣는게 우선입니다. 외과의를 찾고 계셨습니까?
str_npc13_rehire_speech|자 안녕하십니까, 오 용감한이여. 당신을 다시 보길 바래왔어요. 내가 어딜가든 나는 당신의 업적에 대한 이야기와 노래를 들었어요. 솔직히 말해 우리가 갈라지고 나는 후회의 쓰라림을 느꼈죠. 고백하자면 당신의 명성에 질투의 아픔이 있었죠. 나는 다시 한번 당신의 편에 서서 싸울 수 있을 것 같습니다. 그리고 이처럼 반사되는 당신의 영광을 쬐는거죠. 아마도 우린 함께 나아가갈 수 있을 겁니다. 한동안은 말입니다.
str_npc14_rehire_speech|대장님, 보게되니 좋군요. 우리가 마지막에 헤어질때, 다시는 당신을 모시지 않으리라 맹세할 준비가 되어있었어요. 그러나 아마도 난 당신을 너무 나쁘게 보았나봐요. 칼라디아 어디든 사람들은 당신을 찬양하죠. 나는 다른 영주들의 군대에 복무하려 했고, 그들을 보면서 당신의 지도력에 대한 내 평가가 회복되었음을 믿어주길 바래요. 만약 당신이 날 부대에 넣어주신다면, 나는 다시 당신을 위해 싸우겠어요.
str_npc15_rehire_speech|저 안녕하세요, {playername}. 당신을 봐서 정말 기분나쁘다고는 못하겠네요. 사실은 나는 떠나기 전에 또다른 계약이 있었어요. 그리고 아니나 다를까, 대금을 받으러 갔을때 영주는 아무것도 없이 말과 변명과 내 제작물에 대한 좀스러운 불평을 늘어놓았죠. 당신의 부대에서 항상 행복했다고 말할 수는 없어요. 그래도 적어도 매번 전투 뒤에는 돈은 제깍제깍 지갑으로 들어왔죠. 아직 사람 구하십니까?
str_npc16_rehire_speech|대장님! 우리가 마지막으로 만난 이래로 사람들이 당신이 잘해왔다고 하더군요. 우리가 갈라설때 당신의 이름을 저주했다는 걸 털어놓고 인정할께요. 그러나 생각해보면 당신이 그렇게 나쁘지만은 않았어요. 모든 영주들은 나를 작은 부업에 보내는 것에 충분히 기뻐했어요. 그러나 그들의 중요한 전열에선 내게 별로 신경쓰지 않았어요. 분명 나는 남자들을 두렵게 했어요. 난 날더러 마녀라던가, 자신이 죽인 자들의 심장을 먹는다던가하는 헛소리를 중얼거리는걸 들었어요. 사람이 자는 동안 살해하는걸 싫어하는건 아니에요. 그러나 깨어있을 때 걷어차는게 더 훨씬 더 유쾌하더군요. 그래서 난 당신이 나를 써줄까하며 당신을 다시 찾아야 겠다고 생각하게 된거죠.
str_npc1_home_intro|보스 -- 이곳이 고지 스텝에 있을 때 내가 태어난 곳이란 곳을 아시나요? 이곳은 말이 살기 좋은 땅이라서 말고기가 유명하죠, 비록 사람이 살기 어려운 곳이지만요. 난 케르지트 인들이 왜 이곳을 좋아하는지 가정해 봤어요.
str_npc2_home_intro|우린 사르고스 도시에 다다랐어요. 이곳은 케르지트들이 날 잡아갈 때 지난 곳입니다.
str_npc3_home_intro|이 향기 느껴져요? 레몬 나무, 사과랑 크로커스 꽃, 이게 바로 벨루카의 향기예요. 내가 아직 어린 소녀였을때, 아버지는 멀리 교역하러 가시곤 해서 엄마의 가족들과 함께 정원에서 매년 즐거운 여름을 보냈었답니다.
str_npc4_home_intro|엘라르다(Ehlerdah)의 숲이로군. 흥, 여긴 산적들과 무법자들이 빽빽하게 들어찬 곳이지.
str_npc5_home_intro|바하두르(나리), 저지 스텝의 가장 큰 도시인 할마에 거의 다다랐군요. 제 이모가 이곳 도시사람과 결혼해서 저는 여기서 제 주군을 찾으려고 생각했죠. 그래서 제가 나리와 합류하게 된겁니다.
str_npc6_home_intro|포도나무와 언덕 위의 집들이 보이는걸 보니 저희집 근처에 다온거 같군요. 가족들을 보고싶진 않으니, 도시에 들어가신다면 저는 밖에서 좀 미적대고 있죠. 이해하시길 바래요.
str_npc7_home_intro|이 냄새 맡아져요? 소금에 절인 생선, 썩어가는 아마와 강의 진흙. 이게 제 어릴적 냄새들이예요. 토할거 같네요.
str_npc8_home_intro|흠, 들리시나요? 이건 틀림없이 곶에 파도가 부서지는 소리네요. 우린 군디그(Gundig) 곶 가까이에 있는게 틀림없어요.
str_npc9_home_intro|리바체그의 굳건한 바위들을 봐! 칼라디아의 가장 강력한 요새임이 틀림없어. 노드인들이 해안에서 내지로 밀고들어올때 우리아버지가 여기 최전선에서 노드인들을 막아냈지.
str_npc10_home_intro|신선한 공기가 느껴지나, 전우? 여기가 내가 돈벌러 떠나기 전에 내 집이었던 곳이네. 언덕 위에 다시 오르니 참 기분좋군. 이게 바로 자유의 향기지. 이곳이 바로 로독 독립의 산실인 그룬발더 성이라네.
str_npc11_home_intro|산들이 보이네요. 저희 집 근처에 온 게 틀림없어요.
str_npc12_home_intro|여긴 내 경이로운 의학적 업적들 중에 하나가 있었던 곳이로군요. 물론 당신이 관심이 있다면 말이지요.
str_npc13_home_intro|아, 아르겔론 성! 깊은 호수가 정말 사랑스러운 곳이지요. 지난 여름에 행복한 날들을 여기서 보냈습니다.
str_npc14_home_intro|저기 박차모양 협곡 위에 있는 요새가 보이시나요? 이스미랄라? 몇 년 전에 군인이 되기 위해 훈련받으려고 한 겨울을 꼬박 여기서 보냈었지요.
str_npc15_home_intro|저기 언덕 위의 성이 보이십니까? 쿨마라고 불리는 곳이죠. 예전에 저기서 일을 했었는데, 이 땅 위의 다른 성들과 비해서 특별히 눈에 띄는 곳은 아니지만, 보신 중에서 가장 뛰어난 석조건축물일겁니다.
str_npc16_home_intro|이야, 두목, 저거 보이세요? 저기 눈 밭 위에 산토끼 발자국들이 있네요. 제 고향 근처에 다 온게 틀림없어요.
str_npc1_home_description|글쎄, 케짓인들은 저 옛날, 황제가 돈과 땅을 주고 다른 부족들로 부터 그들을 지키라고 명령한 이후 늘 여기서 살았지. 내가 우리 할아버지가 케짓의 한 족장이었다고 말했었지만, 내 어머니는 내 할아버지를 모른다고 하고 내가 내 아버지를 알기로도 그게 맞는거 같네. 내 어머니가 처녀적에 케짓인들은 산들을 넘어 대규모로 이주해 왔고 바로 그게 지금 툴가에 있는 케짓의 칸 이라네.
str_npc2_home_description|사람들은 노드인들을 피에 굶주린 야만인 떼거리라고 생각하지만, 나에게 묻는다면 그들은 통상에도 좋은 능력을 가지고 있다고 말할겁니다. 해변 각지에서 아마를 키우게 해서, 여기서 리넨을 짜죠. 물론 젤카라 비단과 벨벳같은 값비싼 직물에는 비할 바가 못 되지만, 좋은 여름용 의복이기도 하고 배의 돛을 만들 수도 있어요. 더 중요한건 리넨은 칼라디아인들이 만들지 못하고 있던 몇몇 물품 중에 하나라는 겁니다.
str_npc3_home_description|벨루카는 겨울에 비가 많고 여름에는 더운 도시지만, 여기 사람들이 아주 뛰어난 저수조들을 만들어서 작물들에게 물을 공급하곤 했어요. 그들은 포도를 키워서 -- 아시겠지만 벨루칸 와인은 유명하죠, {주군/부인} 담장으로 둘러친 정원을 만들 여유가 있고, 과실 나무들이 풍족하게 열리면 우린 밤에 둘러앉아 노래를 듣거나 체스를 두거나 아니면 신선한 밤공기를 들이키곤 했죠.
str_npc4_home_description|알다시피, 스와디아의 왕이 이곳을 왕실 전용 사냥터로 선언했고, 말하기를 여기서 사냥하는 어떠한 사람이라도 교수형에 처할꺼라고 공언했다네. 그래서 무슨 일이 있었나? 몇몇은 굶주리게 되자 밀렵의 유혹에 굴복했고, 그러자 왕의 치안감들이 나타나, 교수형에 처하고 그들의 땅을 빼앗아갔지. 그들의 아들들은 굶주리기 보다는 산적이 되기를 택했다네. 그리고 자연스럽게 이 계곡은 빚쟁이들로 부터 도망치거나, 잔소리 심한 부인으로 부터 도망치거나, 아니면 복수심에 불타는 귀족들이 산적들과 합류해서, 야생 돼지를 키우고 산딸기를 따먹거나 그렇지 않으면 불운한 여행객들의 지갑을 털게 되었지.
str_npc5_home_description|제국의 말기에 우리가 여기에 정착하면서 케짓인들은 늘 여기에 와서 교역하고 약탈하곤 했죠. 베기어인들, 스와디아인들, 로독과 노드인들과 마찬가지로 우리는 황제의 돈으로 다른 부족들을 막아오고 있었습니다. 하지만 우리 조부 시절에 유목민들이 우리 고향을 쳐들어왔기 때문에 우리는 이 지역으로 옮겨올 수 밖에 없었죠. 우린 베기어인들을 밀어내고 그들의 요새를 차지했습니다.
str_npc6_home_description|여기가 슈노의 계곡입니다. 우리 말씨와 관습들은 칼라디아의 어떤 다른 지방들보다 옛 칼라드 제국의 그것과 흡사하죠. 우리는 올리브와 포도를 재배했는데 황제들이 바다 건너로부터 옛 칼라드 가도들을 따라 이 땅에 가져온 것들입니다. 우리는 맹세에 따라 부채들을 갚고 있죠.
str_npc7_home_description|내가 결혼하기 전에, 그리고 산적들에게 붙잡히기 전에, 여기에 살았었죠. 오두막집에서 태어나 내 어릴적을 들판에서 보냈었답니다. 우리 땅주인들은 노드인들이었지만 우리는 그들을 한번도 본 적이 없고, 단지 그들의 빌어먹을 앞잡이들과 감독관들 밖에 볼 수 없었죠. 내 아버지는 겁장이었는데, 그들에게 굽실거렸답니다.
str_npc8_home_description|그 이야기 들어보지 못했어요? 군디그 털복숭이 반바지(Hairy-Breeks)가 노드랜드에서 칼라디아로 왔을 때, 곶에 그의 깃발을 꽂고는 이것이 이곳에 남아있을 동안 그의 '유산'을 되찾겠노라 라고 말했죠. 그의 '유산', 그는 그렇게 말했죠. 군디그는 음유시인들이 '황제가 칼라디아를 노드인들에게 유산으로 남겼다'라는 말을 믿었고, 그 때 우리는 해안가에 작은 한조각의 땅을 가지고 있었을 뿐이었어요. 그리고 그의 갤리선에 선원을 대어 주었죠. 
str_npc9_home_description|노드인들이 롱쉽을 타고 강을 거슬러 올라왔지. 해안의 주민들이 그들을 막아야만 했지만 그들은 지금과 같이 겁장이들이었고, 그래서 그들은 노드겔드라고 알려진 연공금을 내고 평화를 샀어야만 했지. 하지만 베기어의 왕은 내기를 거부했어. 내 아버지는 산으로 올라가서 베기어 주인들과 함께 싸우기로 했지. 세번의 여름동안 그들은 바위들을 공략하려고 올라왔고 매번 베기어 군주들은 그들을 격퇴했다네.
str_npc10_home_description|내 아버지 시절에 스와디아인들이 와서 우리의 이마를 바닥에 대게 하고 그들을 지배자로 부르라고 선언했지. 하지만 언덕에서 온 늙은 베테랑인 그룬발더가 우리에게 어떻게 창과 쇠궁으로 무장해서 전열을 짜는지 알려주고, 스와디아인들의 돌격을 분쇄해 내도록 가르쳤지. 그는 비록 전장에서 전사했지만, 로독 사람들은 그가 전사한 곳에 성을 세우고 그의 이름을 붙였지. 그렇게 우리는 기병들의 맹공에서 우리를 굳건하게 일으켜세워준 이를 이 성으로 기억한다네.
str_npc11_home_description|저는 프라벤 태생이예요. 이 말 아시지 않나요, {주군/부인} -- 유스칼에서 자란 보리는 프라벤에서 에일 맥주로 만들어지고, 우리는 모두 그로인해 행복해진다 -- 그게 의미하는 바가 뭔지 확실하진 않지만, {주군/부인}, 보리와 밀 귀리는 확실해요. 우리는 유스칼계곡에서 많은 곡식들을 키워서 모든 칼라디아가 먹게하고, 또 우리의 에일맥주는 최고죠. 이 흙을 보세요 -- 검으면서 기름지고, 좋은 수확과 만복의 냄새가 나죠. 
str_npc12_home_description|저기 알메라 성의 성주가 부종에 걸려서, 유스칼에 있던 내가 초청받아 그곳에 가서 그를 진료했지. 전형적인 대학교육받은 의사처럼, 그는 치료를 위해 갈레리안의 저서를 참조했지. 갈레리안은 부종에는 썬메탈을 추천하더군. 대부분의 갈레리안의 저술들은 칼라디아 황제들의 시대에도 쓸모가 없었고, 지금에 와서는 두배로 더 쓸모가 없지만, 때때로 올바른 치료점들을 제시하기도 한다네. 썬메탈은 소량으로 복용할때는 부종에게 효과가 있지. 하지만 갈레리안 추종자들은 절대 인정하지 않는 부분이지만, 많이 복용할때는 썬메탈이 독으로 작용한다네.
str_npc13_home_description|여기에 작은 스와디아 군대들과 함게 왔었는데, 그들은 숲속에서 로독인들에게 습격당해서, 기병들이 나무 사이에서 줄줄이 베어 넘어졌었지.나는 도망쳐서 숲가로 은신처를 찾아나섰는데, 자네가 본 누구보다도 아름다운 소치는 소녀를 만났다네. 그녀는 울타리 근처의 동굴로 나를 데려가고는 치즈와 산딸기들을 가져다 주고, 언덕들의 이야기들을 들려주었지. 그들이 말하기를 호수는 지하세계로 통하는 관문이고, 때때로 유독한 가스들이 호수가로 부글거리며 올라오기도 한다더군. 얼마나 순박한 사람들인지!
str_npc14_home_description|내가 "되기 위해" 라고 말했던데는 내 개인 사견 때문인데, 베기어인들은 도무지 기강이 서질 않는 다네. 물론 자네가 본 중에 가장 좋은 궁수들이고, 좋은 기마병들이긴 하겠지만, 지휘 하에서 싸우는 것은 내켜하지를 않는다네. 그들의 기술은 성벽 위에 섰을때는 케르지트인들과 노드인들을 대항하는데는 충분하지만, 내가 보기에 스와디안 기사들은 베기어인들을 칼로 버터 자르듯 갈라버릴 수 있네. 지금에 와서는 로독인들의 스피어월만이 스와디아의 돌격을 막을 수 있다네.
str_npc15_home_description|근방의 다른 많은 성들처럼, 저 성도 옛 칼라디아 제국의 기반하에 세워진 겁니다. 모두 재건축되서 그 흔적을 찾아보실 순 없겠지만, 석벽 하나가 집 한채만 합죠. 분명 진짜 마법사들이 옛날에는 있었던 모양인데, 왜냐하면 저것들을 어떻게 옮겼는지 짐작도 할 수 없기 때문이죠. 입지도 아름다운데, 쿨마르는 칼라디아로 향하는 길의 맨 앞에 위치해 있고, 그 덕분에 군주들은 눈으로 길이 막히지 않는 동안 꽤 많은 통행료를 챙길 수 있죠.
