str_yes|是 
str_npc4_home_description|你 知 道 我 不 太 常 这 么 说 ， 但 我 作 为 一 个 达 里 尔 它 人 和 苏 格 兰 人 很 自 豪 。 你 可 能 已 经 或 多 或 少 地 听 过 关 于 苏 格 兰 人 的 故 事 。 人 们 常 常 认 为 我 们 只 是 一 群 抢 劫 沿 海 地 区 的 人 们 的 海 盗 ， 并 因 此 诅 咒 我 们 ， 知 道 他 们 到 达 了 挪 威 ， 并 了 解 到 他 们 比 我 们 更 糟 糕 。 
str_npc5_home_description|康 比 亚 以 前 是 一 个 叫 做 杜 姆 诺 尼 亚 的 更 强 大 的 王 国 。 杜 姆 诺 尼 亚 的 人 们 自 称 “ 杜 范 思 ” ， 大 概 意 思 是 “ 杜 姆 诺 尼 亚 的 人 ” 。 我 们 的 土 地 以 大 量 高 质 量 的 锡 矿 而 闻 名 。 然 而 如 今 我 们 的 王 国 却 又 小 又 贫 弱 。 
str_npc6_home_description|如 你 所 知 坎 特 伯 雷 之 前 都 是 肯 特 王 国 的 首 都 。 我 在 来 之 前 读 过 关 于 这 些 的 东 西 ， 而 我 也 曾 跟 一 位 被 邀 请 到 阿 斯 图 里 亚 斯 的 撒 克 逊 学 者 聊 过 。 在 我 们 的 王 国 里 ， 我 们 称 呼 人 们 为 “ 撒 克 逊 人 ” ， 但 是 实 际 上 ， 在 肯 特 生 活 的 朱 特 人 们 已 经 在 几 个 世 纪 前 就 跨 越 海 洋 来 到 这 里 了 。 
str_npc7_home_description|奥 尔 本 王 国 只 是 简 单 地 将 两 类 人 混 合 了 起 来 ， 这 两 类 人 分 别 是 达 里 尔 它 人 ， 爱 尔 兰 人 的 后 裔 ， 还 有 我 们 ， 皮 克 特 人 。 我 们 的 贵 族 和 王 们 结 交 得 是 如 此 的 深 ， 所 以 我 们 现 在 是 一 个 王 国 。 然 而 普 通 人 之 间 仍 存 有 分 歧 ， 于 是 就 有 许 许 多 多 的 战 争 在 这 么 多 年 里 发 生 在 我 们 之 间 。 
str_npc8_home_description|弗 里 西 人 是 一 群 比 较 内 敛 的 人 。 他 们 喜 欢 单 独 聊 他 们 的 事 务 。 而 丹 麦 人 是 比 法 兰 克 人 士 更 好 的 领 主 。 只 要 我 们 纳 税 ， 并 接 受 和 同 意 他 们 的 权 威 ， 他 们 就 会 离 开 我 们 。 
str_npc9_home_description|东 恩 格 尔 王 国 是 来 自 于 武 芬 王 朝 的 ， 这 个 王 朝 的 名 字 是 源 自 传 奇 君 主 武 法 的 。 他 们 的 起 源 要 回 溯 到 济 兹 ， 就 像 贝 奥 武 甫 的 传 说 一 样 ， 那 时 他 们 是 最 强 大 的 盎 格 鲁 撒 克 逊 王 国 。 但 现 在 不 是 了 ， 现 在 他 们 只 是 丹 麦 的 附 庸 。
str_npc10_home_description|这 里 是 伦 狄 尼 姆 ， 不 列 颠 尼 亚 的 罗 马 省 会 。 伦 敦 威 克 位 于 伦 狄 尼 姆 废 墟 的 附 近 ， 现 在 通 常 被 称 为 伦 敦 堡 。 他 的 名 字 意 思 是 “ 伦 狄 尼 姆 的 商 贸 中 心 ” 或 者 差 不 多 的 意 思 ， 而 我 们 撒 克 逊 人 称 之 为 “ 伦 敦 ” 。 
str_npc11_home_description|如 你 所 知 ， 我 来 自 这 里 。 我 认 为 我 已 经 努 力 地 成 为 了 你 身 边 的 一 个 好 的 战 士 。 因 为 战 斗 本 性 流 动 在 每 一 个 诺 维 格 王 国 男 人 和 女 人 的 血 液 之 中 。 有 很 多 的 战 争 曾 发 生 在 在 这 片 土 地 上 ， 在 雅 尔 不 断 互 相 争 斗 的 地 方 。 
str_npc12_home_description|海 德 贝 尔 并 不 是 丹 麦 历 史 最 悠 久 地 区 。 事 实 上 它 仅 仅 成 立 在 几 代 之 前 。 但 它 成 为 了 在 六 十 多 个 冬 天 之 前 因 为 城 市 被 戈 里 克 国 王 摧 毁 而 来 丹 麦 的 里 克 商 人 们 必 经 之 路 上 重 要 的 地 方 。 
str_npc13_home_description|正 如 丹 麦 人 和 挪 威 人 在 西 方 的 繁 荣 ， 矿 石 在 东 方 斯 拉 夫 人 以 及 更 遥 远 的 土 地 上 则 有 它 自 己 所 针 对 的 目 标 ， 甚 至 在 米 克 利 加 尔 泽 交 易 繁 多 。 
str_npc14_home_description|这 里 是 这 片 土 地 上 吟 游 诗 人 们 和 他 们 最 好 的 歌 曲 的 家 。 从 这 个 地 方 来 的 人 ， 即 使 是 小 男 孩 和 小 女 孩 ， 他 们 都 是 比 这 个 世 界 上 其 他 地 方 来 的 吟 游 诗 人 们 更 好 的 歌 手 。 很 多 人 也 遵 守 和 敬 畏 旧 时 的 传 统 和 神 ， 因 此 明 斯 特 是 整 个 Eriu 大 陆 上 最 繁 荣 的 地 方 。 
str_npc15_home_description|霍 达 兰 是 挪 威 的 小 王 国 之 一 ， 由 埃 里 克 国 王 统 治 ， 他 曾 是 我 的 主 人 。 我 很 了 解 他 ， 他 是 一 个 强 硬 的 ， 感 情 强 烈 的 人 ， 除 了 让 他 的 王 国 独 立 之 外 ， 他 什 么 都 不 喜 欢 。 所 以 他 并 不 喜 欢 通 过 哈 罗 德 不 梳 头 的 誓 言 来 让 挪 威 统 一 化 。 
str_npc16_home_description|在 西 撒 克 逊 王 国 ， 维 坦 要 塞 是 撒 克 逊 人 的 中 心 。 西 撒 克 逊 的 国 王 现 在 是 这 片 被 我 们 成 为 不 列 颠 尼 亚（ 或 者 说 英 格 兰） 的 土 地 上 权 力 最 大 的 人 。 随 着 麦 西 亚 的 衰 颓 ， 西 撒 克 逊 现 在 是 唯 一 能 够 阻 挡 丹 麦 人 的 力 量 了 。 
str_npc1_home_description_2|自 那 时 以 来 ， 已 经 更 替 了 一 代 人 。 我 的 父 亲 ， 你 所 知 道 的 那 个 叫 做 卡 约 的 罗 马 人 ， 这 个 名 字 还 没 有 失 传 ， 我 所 有 的 兄 弟 们 也 叫 做 卡 约 。 我 的 母 亲 分 别 叫 我 们 卡 约· 迈 奥 尔 ， 卡 约· 塞 古 杜 ， 和 卡 约· 麦 诺 ， 并 以 此 来 区 分 我 们 。 
str_npc2_home_description_2|总 有 一 天 我 会 去 里 伯 附 近 买 座 农 场 ， 也 会 娶 两 三 个 老 婆 来 侍 奉 我 ， 生 几 个 孩 子 。 或 者 不 会 这 样 ， 我 可 能 会 很 快 感 到 厌 倦 …
str_npc3_home_description_2|但 是 现 在 看 来 ， 丹 麦 人 实 际 上 也 许 比 法 兰 克 人 更 糟 糕 ， 很 多 弗 里 斯 人 都 在 反 抗 他 们 的 统 治 。 而 丹 麦 人 更 是 那 种 为 了 他 们 想 要 的 东 西 而 不 顾 手 段 ， 哪 怕 伤 害 他 人 ， 并 且 用 他 们 的 力 量 来 蔑 视 我 们 的 法 律 的 人 。 我 讨 厌 他 们 ！ 他 们 让 我 成 为 了 一 个 奴 隶 ！ 
str_npc4_home_description_2|其 实 对 很 多 盖 尔 人 来 说 ， 成 为 苏 格 兰 人 实 际 上 是 一 个 脱 离 贫 困 的 方 法 ， 尤 其 是 在 一 个 像 Eriu一 样 封 闭 的 社 会 里 面 。 我 们 加 入 了 一 个 兄 弟 会 ， 并 把 自 己 的 性 命 交 给 了 大 海 。 抢 劫 跟 盗 窃 是 我 们 的 行 动 方 式 。 这 跟 现 在 其 他 人 的 谋 生 行 为 没 什 么 区 别 ， 但 我 们 并 不 像 挪 威 人 一 样 嗜 血 成 性 。 
str_npc5_home_description_2|我 们 所 拥 有 的 只 有 回 忆 跟 历 史 。 你 知 道 那 个 叫 做 丁 泰 格 尔 的 地 方 吗 ？ 那 是 吟 游 诗 人 所 吟 唱 的 亚 瑟 王 的 出 生 地 。 
str_npc6_home_description_2|自 从 罗 马 人 离 开 了 不 列 颠 之 后 ， 朱 特 人 就 从 布 立 吞 人 手 中 征 服 了 这 片 土 地 。 但 奇 怪 的 是 ， 朱 特 人 的 远 亲 或 者 说 后 裔 们 ， 丹 麦 人 ， 现 在 反 而 成 为 了 他 们 的 敌 人 ， 并 侵 略 这 片 土 地 。 我 还 记 得 跟 那 个 撒 克 逊 学 者 在 一 起 的 漫 长 下 午 ， 那 个 向 我 介 绍 这 个 世 界 ， 并 为 我 准 备 这 次 旅 行 的 老 人 ， 他 的 名 字 是 贝 达 。 
str_npc7_home_description_2|皮 克 特 人 都 是 一 群 优 秀 的 猎 人 和 放 牧 者 ， 但 这 些 苏 格 兰 人 则 是 一 伙 海 盗 。 但 我 不 能 这 样 说 ， 因 为 我 们 现 在 正 在 同 一 战 线 为 国 王 战 斗 。 
str_npc8_home_description_2|我 们 之 中 的 大 多 数 人 更 喜 欢 我 们 自 己 掌 权 的 政 府 ， 不 受 法 兰 克 人 也 不 受 丹 麦 人 干 预 。 但 只 要 我 们 还 存 在 分 歧 ， 而 且 不 能 组 建 军 队 的 话 ， 这 是 不 可 能 的 。 我 们 的 王 子 们 ， 我 们 的 贵 族 们 ， 都 更 喜 欢 为 丹 麦 人 服 务 。 如 果 没 有 一 位 领 导 者 的 话 ， 贵 族 们 和 自 由 人 们 根 本 不 可 能 团 结 起 来 。 也 许 我 们 的 命 运 就 是 受 他 人 支 配 。 
str_npc9_home_description_2|他 们 这 些 沿 海 居 民 都 比 较 排 外 。 奇 怪 的 是 ， 他 们 的 领 土 刚 好 在 不 列 颠 少 雨 干 旱 的 一 部 分 。 因 此 我 不 确 定 你 是 否 会 为 这 么 一 小 块 领 土 去 和 他 们 战 斗 — — 我 并 不 认 为 这 片 土 地 值 得 你 这 么 去 做 。 
str_npc10_home_description_2|弗 利 特 河 口 是 伦 敦 维 克 的 贸 易 和 渔 业 港 口 ， 从 欧 洲 各 国 来 的 商 人 们 成 群 结 队 地 前 来 ， 不 停 搜 寻 商 业 良 机 。 在 这 里 ， 多 神 教 仍 然 很 受 人 们 的 尊 敬 ， 但 我 不 会 再 多 说 关 于 这 些 的 东 西 … 
str_npc11_home_description_2|一 个 名 为 哈 罗 德· 唐 戈 海 尔 的 男 人 统 治 着 图 斯 伯 格 ， 而 我 认 为 他 将 会 在 很 短 的 时 间 里 统 治 整 个 挪 威 ， 因 为 他 是 最 强 大 的 领 主 ， 拥 有 冷 酷 的 领 袖 才 能 。 像 你 一 样 ， {reg59?我 的 小 美 人 :小 帅 哥 } 。 之 后 他 说 他 将 换 一 个 帅 气 的 发 型 ， 迎 娶 吉 塔· 埃 里 克 杜 缇 ， 但 前 提 他 必 须 先 杀 死 她 的 父 亲 。 无 论 如 何 ， 图 斯 伯 格 是 一 个 重 要 的 商 贸 中 心 ， 我 也 肯 定 你 将 会 在 这 里 找 到 品 种 繁 多 的 商 品 和 来 自 世 界 各 地 的 消 息 。 那 么 我 们 可 以 走 了 吗 ？ 
str_npc12_home_description_2|我 敢 保 证 ， 你 对 戈 特 里 克 国 王 这 个 名 字 很 耳 熟 ， 不 是 吗 ？ 他 是 一 个 声 名 显 赫 的 人 ， 因 为 担 心 法 兰 克 人 从 南 方 进 攻 ， 所 以 筑 起 了 一 道 巨 大 的 防 线 来 保 护 丹 麦 。 我 们 叫 它 丹 纳 维 基 ， 在 丹 麦 半 岛 的 颈 部 ， 这 是 一 个 很 重 要 的 线 性 防 御 工 事 。 
str_npc13_home_description_2|不 管 怎 样 ， 我 都 不 会 用 长 篇 大 论 来 烦 你 了 。 我 们 可 以 一 直 聊 到 人 类 世 界 灭 亡 ， 然 后 等 到 诸 神 的 黄 昏 降 临 ， 哈 ！ 
str_npc14_home_description_2|我 不 得 不 承 认 ， 他 们 与 我 拥 有 同 样 高 贵 的 血 脉 。 这 是 因 为 我 们 所 有 人 都 至 少 有 九 女 神 的 一 滴 血 在 体 内 ， 时 刻 在 保 佑 我 们 的 家 园 。 她 们 分 别 是 安 娜 ， 艾 妮 ， 葛 丽 安 ， 柯 娜 纳 ， 爱 梅 ， 摩 穆 曼 ， 贝 比 ， 艾 泊 ， 还 有 那 位 声 名 狼 藉 却 非 常 美 丽 的 蒙 法 德 女 王 。 噢 ， 请 你 在 这 里 定 居 吧 ， 勇 者 ， 总 有 一 天 ， 这 几 位 女 神 的 其 中 一 位 就 会 在 漆 黑 的 夜 晚 来 到 你 的 床 前 ， 就 像 蒙 法 德 在 十 二 个 冬 天 之 前 来 找 我 一 样 。 
str_npc15_home_description_2|埃 里 克 是 吉 塔 的 父 亲 ， 正 是 那 个 女 孩 儿 将 统 一 挪 威 的 念 头 植 入 哈 罗 德 的 脑 中 。 现 在 这 个 傻 男 孩 决 定 在 赢 得 她 之 前 不 再 梳 头 ， 她 就 相 当 于 特 洛 伊 的 海 伦 。 也 许 你 应 该 自 己 去 看 看 她 。 
str_npc16_home_description_2|我 在 维 坦 要 塞 长 大 ， 在 不 得 不 学 习 之 前 就 在 泥 泞 的 街 道 上 玩 闹 ， 而 我 也 曾 经 很 喜 欢 在 市 场 绕 着 摊 位 跑 。 维 坦 要 塞 在 罗 马 时 代 曾 经 是 一 个 很 重 要 的 城 镇 ， 这 是 我 从 书 籍 上 了 解 到 的 ， 直 到 赛 沃 尔 国 王 在 这 里 修 建 起 第 一 座 教 堂 之 前 ， 它 几 乎 都 被 荒 废 了 。 他 也 是 第 一 位 把 基 督 教 传 入 西 撒 克 逊 的 国 王 ， 为 此 ， 他 与 第 一 任 妻 子 离 婚 了 ， 那 是 麦 西 亚 国 王 潘 达 的 妹 妹 ， 而 潘 达 信 仰 的 是 多 神 教 。 
str_npc1_home_recap|我 来 自 附 近 的 哈 德 良 长 城 ， 我 住 在 那 里 的 洞 穴 中 。 
str_npc2_home_recap|我 出 生 在 丹 麦 的 里 伯 ， 我 是 一 个 战 士 ， 同 时 也 是 一 个 国 王 的 儿 子 和 一 个 奴 隶 。 
str_npc3_home_recap|我 以 奴 隶 的 身 份 一 直 生 活 在 {s20} ， 不 过 我 非 常 快 乐 的 童 年 是 在 道 琴 嘉 度 过 的 。 我 只 是 希 望 我 的 父 亲 索 里 克 别 对 我 评 价 太 糟 糕 ， 毕 竟 我 不 得 不 以 奴 隶 身 份 存 活 … 如 果 我 敢 违 反 贵 族 的 命 令 的 话 ， 我 脑 袋 早 就 和 身 体 分 家 了 。 一 个 做 父 母 的 最 好 永 远 不 要 知 道 他 的 孩 子 堕 落 到 什 么 地 步 。 
str_npc4_home_recap|我 是 一 个 苏 格 兰 人 ， 来 自 达 里 安 塔 。 
str_npc5_home_recap|我 出 生 在 康 比 亚 ， 但 是 我 被 永 久 驱 逐 出 自 己 的 故 乡 。 因 为 在 你 的 势 力 照 顾 之 下 ， 我 才 能 回 到 这 个 地 方 ， 无 论 如 何 ， 还 需 要 一 点 儿 伪 装 。 
str_npc6_home_recap|如 你 所 知 ， 我 出 生 在 阿 斯 图 里 亚 斯 王 国 的 坎 塔 布 里 亚 ， 那 个 地 方 在 希 斯 帕 尼 亚 的 北 方 。 我 们 都 是 好 战 的 家 伙 ， 当 我 们 不 去 杀 戮 穆 斯 林 人 的 时 候 ， 我 们 会 为 了 支 持 不 同 的 国 王 相 互 残 杀 。 我 们 现 在 的 国 王 是 阿 达 方 索 ， 俄 东 尼 奥 的 儿 子 。 俄 东 尼 奥 是 一 个 好 国 王 ， 可 惜 他 最 近 去 世 了 。 我 希 望 他 的 儿 子 是 一 个 配 得 上 成 功 者 称 号 的 人 。 
str_npc7_home_recap|我 出 生 在 奥 尔 本 王 国 的 泰 罗 丘 。 
str_npc8_home_recap|我 出 生 在 弗 里 斯 ， 但 是 我 从 来 没 想 过 会 离 开 这 片 土 地 。 我 父 亲 是 一 个 拥 有 地 产 的 自 由 人 。 我 继 承 了 这 些 地 产 ， 但 是 在 我 的 家 族 成 员 都 去 世 后 ， 我 就 把 这 片 地 卖 出 去 了 。 我 现 在 除 了 双 手 之 力 外 ， 一 无 所 有 。 
str_npc9_home_recap|我 来 自 大 陆 ， 而 我 那 里 的 人 称 呼 他 们 自 己 为 法 兰 克 人 。 
str_npc10_home_recap|我 是 撒 克 逊 人 ， 而 不 是 盎 格 鲁 人 ， 我 来 自 伦 敦 威 克 。 
str_npc11_home_recap|怎 么 了 ， {reg59?我 的 美 女 :帅 哥 } ？ 我 来 自 挪 威 的 顿 士 伯 格 。 
str_npc12_home_recap|我 是 一 名 领 主 的 小 儿 子 ， 来 自 奥 丁 斯 弗 。 我 为 了 探 索 医 学 知 识 而 旅 行 到 法 兰 克 和 罗 马 。 
str_npc13_home_recap|我 是 一 个 斯 维 亚 人 。 我 的 人 民 注 定 要 统 治 整 个 东 方 ， 如 果 丹 麦 国 王 还 在 抱 着 我 们 的 土 地 不 放 ， 他 们 也 会 被 摧 毁 掉 。 
str_npc14_home_recap|哦 ， 我 来 自 穆 梅 殷 最 宏 伟 的 地 区 ， 那 是 在 海 伯 里 亚 的 南 方 ， 也 是 盛 产 吟 游 诗 人 和 女 神 的 地 方 。 
str_npc15_home_recap|我 来 自 君 士 坦 丁 堡 ， 世 界 上 最 大 和 最 美 丽 的 城 市 之 一 。 与 君 士 坦 丁 堡 相 比 ， 这 里 的 大 城 市 只 不 是 小 乡 村 。 见 鬼 ， 所 有 人 都 会 喜 欢 那 里 。 你 要 是 有 空 的 话 真 应 该 去 一 趟 。 
str_npc16_home_recap|我 来 自 维 坦 要 塞 。 那 个 城 市 给 我 带 来 了 美 好 的 回 忆 ， 但 是 我 知 道 自 己 不 属 于 那 里 。 
str_npc1_honorific|阁 下 
str_npc2_honorific|{reg59?女 士 :先 生 }
str_npc3_honorific|{reg59?女 士 :先 生 }
str_npc4_honorific|{reg59?女 士 :先 生 }
str_npc5_honorific|{reg59?女 士 :先 生 }
str_npc6_honorific|总 督 
str_npc7_honorific|首 领 
str_npc8_honorific|{playername}
str_npc9_honorific|我 的 好 {reg59?女 士 :先 生 }
str_npc10_honorific|主 
str_npc11_honorific|{reg59?我 的 美 女 :帅 哥 }— — 我 是 指 阁 下 
str_npc12_honorific|阁 下 
str_npc13_honorific|阁 下 
str_npc14_honorific|队 长 
str_npc15_honorific|将 军 
str_npc16_honorific|{reg59?女 士 :先 生 }
str_npc1_kingsupport_1|这 个 主 意 棒 极 了 ， 领 主 阁 下 。 这 些 统 治 领 地 的 贵 族 们 ， 设 立 着 他 们 的 监 狱 和 绞 刑 架 ， 鞭 笞 着 群 众 ， 吊 死 任 何 一 个 因 为 孩 子 饥 饿 而 偷 窃 一 片 面 包 或 者 一 匹 马 的 人 — — 这 个 世 界 应 该 要 变 得 更 美 好 。 
str_npc2_kingsupport_1|好 吧 ， 阁 下 — — 我 会 支 持 你 。 我 认 为 你 能 够 将 光 明 的 秩 序 带 给 这 个 世 界 ， 这 种 东 西 已 经 遗 失 已 久 了 。 
str_npc3_kingsupport_1|好 吧 ， 我 的 {reg59?女 士 :阁 下 }— — 我 对 你 表 示 担 心 。 历 史 告 诉 我 们 ， 权 力 导 致 腐 败 。 但 是 ， 你 作 为 这 个 盾 墙 的 领 导 者 ， 展 现 出 了 仁 慈 与 正 义 的 品 德 ， 我 对 此 非 常 满 意 。 
str_npc4_kingsupport_1|我 认 为 你 能 够 成 为 那 种 {reg59?女 王 :国 王 } ， 让 像 我 这 样 出 身 高 贵 的 战 士 愿 意 为 你 浴 血 沙 场 。 
str_npc5_kingsupport_1|好 主 意 — — 你 已 经 展 现 过 管 治 人 民 的 能 力 了 。 但 是 千 万 要 注 意 统 治 的 合 法 性 …
str_npc6_kingsupport_1|我 无 法 判 断 你 所 声 称 的 功 绩 的 合 法 性 。 但 是 我 认 为 和 其 他 国 王 不 一 样 ， 你 有 统 一 这 片 大 陆 的 能 力 — — 这 样 才 可 以 终 结 无 止 尽 的 ， 在 上 帝 眼 睛 里 让 我 们 蒙 羞 的 战 争 ， 王 国 ， 贵 族 以 及 兄 弟 之 间 的 战 争 。 
str_npc7_kingsupport_1|好 的 — — 你 会 成 功 的 。 你 知 道 如 何 正 确 地 对 待 跟 踪 者 ， 皮 克 特 ， 以 及 女 人 。 
str_npc8_kingsupport_1|贝 奥 武 甫 的 传 奇 告 诉 我 们 ， 如 果 一 个 人 的 行 为 比 同 一 个 时 代 其 他 人 的 行 为 更 伟 大 ， 那 么 他 就 可 以 声 称 拥 有 王 位 。 我 想 说 你 拥 有 称 王 的 资 格 。 
str_npc9_kingsupport_1|很 好 ， 阁 下 。 我 拥 有 法 兰 克 人 的 血 统 ， 但 是 达 葛 伯 特 一 世 在 我 的 继 承 权 被 欺 骗 的 时 候 从 来 没 有 站 在 我 这 边 。 所 以 我 不 欠 他 任 何 东 西 ， 相 反 我 会 更 乐 意 让 你 作 为 我 们 的 {reg59?女 王 :国 王 }
str_npc10_kingsupport_1|好 吧 ， 领 主 阁 下 。 我 真 心 觉 得 英 格 兰 需 要 一 个 强 势 的 国 王 ， 由 于 威 尔 士 人 和 盎 格 鲁 人 都 是 懦 夫 ， 而 且 是 不 折 不 扣 的 蠢 货 ， 而 不 可 思 议 的 是 ， 撒 克 逊 人 在 这 种 情 况 下 居 然 也 无 法 统 一 和 征 服 这 整 个 岛 屿 … 
str_npc11_kingsupport_1|噢 ， 那 是 个 不 错 的 主 意 ， {reg59?我 的 美 人 儿 :帅 哥 } ！ 我 觉 得 我 应 该 开 始 学 习 怎 么 称 呼 你 为 “ 国 王 ” ， 然 后 … 如 果 你 能 叫 我 “ 王 家 {reg59?战 友 :顾 问 } ” 的 话 ， 我 会 更 开 心 的 。 
str_npc12_kingsupport_1|我 很 确 定 你 将 来 可 以 做 一 个 好 国 王 ， 阁 下 。 我 自 诩 有 一 双 识 人 慧 眼 ， 同 时 你 已 经 你 展 示 了 决 心 远 超 其 他 称 王 者 的 能 力 。 
str_npc13_kingsupport_1|好 吧 ， {reg59?女 士 :先 生 } ， 上 天 给 这 个 世 界 创 造 了 等 级 制 度 ， 而 我 一 般 不 会 争 取 自 己 的 地 位 改 变 。 然 而 我 认 为 这 个 土 地 上 的 国 王 非 常 脆 弱 ， 根 本 不 配 国 王 这 个 头 衔 ， 而 在 这 种 情 况 下 ， 王 冠 自 然 而 然 的 会 流 入 到 更 好 的 统 治 者 手 里 ， 比 如 你 本 人 。 
str_npc14_kingsupport_1|那 将 会 是 不 错 的 事 情 ， {reg59?我 的 女 士 :先 生 } ！ 有 很 多 关 于 国 王 的 传 说 ， 他 们 都 会 以 力 量 和 勇 气 证 明 自 己 拥 有 戴 上 王 冠 的 资 格 。 也 许 你 知 道 关 于 库 丘 林 的 传 说 ， 他 的 勇 猛 与 功 勋 是 在 海 伯 利 亚 或 者 不 列 颠 所 无 法 比 拟 的 。 一 个 辉 煌 的 传 说 ！ 
str_npc15_kingsupport_1|好 吧 ， 一 般 来 说 ， 你 手 头 宽 裕 的 时 候 总 是 准 时 付 给 手 下 薪 水 。 在 我 的 字 典 里 ， 这 是 一 个 王 者 的 最 佳 品 格 。 你 赏 罚 分 明 。 
str_npc16_kingsupport_1|看 来 你 听 取 了 我 的 建 议 ， 你 的 灵 魂 在 面 对 基 督 教 义 时 颤 抖 了 。 是 的 ， 我 确 定 上 帝 不 只 承 认 了 你 ， 同 时 也 安 排 你 攀 到 合 法 的 王 位 上 ， 来 拯 救 在 这 个 大 陆 受 罪 的 人 们 。 
str_npc1_kingsupport_2|我 一 定 会 的 ， 领 主 阁 下 。 但 是 让 我 告 诉 你 ， 你 可 能 会 把 其 他 人 带 到 你 这 个 阵 营 — — 尤 其 是 我 们 这 些 穷 人 。 他 们 说 ， 在 古 老 的 日 子 里 ， 那 些 伟 大 的 罗 马 领 主 — — 他 们 称 之 为 执 政 者 或 者 上 议 员 ， 我 记 不 住 了 — — 他 们 会 奋 起 夺 取 权 力 ， 并 发 起 大 赦 ， 除 了 监 狱 里 十 恶 不 赦 的 人 之 外 ， 他 们 会 给 人 们 第 二 次 机 会 重 新 做 人 。 
str_npc2_kingsupport_2|这 片 土 地 上 的 大 部 分 领 主 — — 好 吧 ， 让 我 们 说 他 们 从 来 不 懂 得 储 蓄 ， 无 论 钱 是 来 自 税 收 或 掠 夺 。 而 你 ， 恰 恰 相 反 ， 你 有 一 些 商 业 和 贸 易 的 经 验 ， 治 理 起 你 的 领 地 会 更 加 有 条 不 紊 。 如 果 你 想 成 为 一 名 霸 主 ， 我 觉 得 我 应 该 能 在 这 个 王 国 里 寻 到 支 持 。 
str_npc3_kingsupport_2|我 会 的 ， 我 的 {reg59?女 士 :阁 下 } 。 但 是 我 会 请 求 你 给 奴 隶 设 定 一 些 最 基 本 的 权 利 ， 他 们 需 要 避 免 更 多 未 来 的 虐 待 。 你 知 道 我 也 是 一 个 奴 隶 ， 我 们 是 在 这 个 大 陆 上 最 底 层 的 人 。 奴 隶 们 需 要 一 个 公 平 公 正 的 统 治 者 来 保 护 他 们 。 
str_npc4_kingsupport_2|当 然 了 ， 领 主 阁 下 。 现 在 的 当 务 之 急 是 找 到 你 的 追 随 者 。 正 如 你 所 知 ， 一 个 人 的 血 统 在 很 大 程 度 上 决 定 他 的 价 值 。 或 许 你 有 失 传 已 久 的 祖 先 ， 你 之 前 还 没 告 诉 过 我 ？ 
str_npc5_kingsupport_2|我 会 的 。 但 我 不 得 不 说 ， 代 表 自 己 和 像 我 一 样 曾 经 犯 错 的 人 。 一 定 有 一 种 办 法 ， 可 以 在 不 流 血 的 情 况 下 合 理 地 解 决 贵 族 间 的 冲 突 。 我 失 去 了 我 生 活 中 所 珍 惜 的 一 切 ， 因 为 我 的 国 王 只 留 给 我 一 条 杀 敌 的 荣 誉 之 路 。 法 律 是 必 需 的 ， 一 种 …普 遍 的 法 律 ， 一 种 能 解 决 争 端 或 者 矛 盾 的 法 律 ， 建 立 在 这 个 地 方 的 实 践 与 传 统 之 上 。 
str_npc6_kingsupport_2|我 会 的 。 我 会 告 诉 任 何 倾 听 者 ， 关 于 你 帮 助 弱 者 和 无 助 者 的 善 举 ， 还 有 你 带 领 人 们 去 挑 战 成 功 和 机 遇 的 能 力 ， 我 还 会 说 如 果 你 成 为 了 {reg59?女 王 :国 王 } ， 将 出 现 统 一 的 法 律 与 和 平 — — 从 皮 克 特 的 高 地 到 戈 伊 德 尔 的 丛 林 ， 从 低 洼 地 到 南 部 的 海 岸 。 你 必 须 要 有 更 远 大 的 目 标 ， 光 复 昔 日 罗 马 帝 国 的 荣 耀 。 
str_npc7_kingsupport_2|是 的 ， 领 主 阁 下 ， 我 会 的 。 一 个 {reg59?女 王 :国 王 }的 责 任 是 充 分 地 尊 重 在 他 旗 帜 下 效 忠 的 所 有 人 。 你 证 明 了 自 己 能 做 到 这 一 点 ， 不 论 是 对 你 ， 猎 人 ， 追 踪 者 ， 女 人 或 皮 克 特 人 ， 你 对 勇 者 和 士 兵 也 一 样 重 视 ， 包 括 男 人 和 布 立 吞 人 。 
str_npc8_kingsupport_2|我 会 的 — — 在 一 定 的 条 件 下 。 我 可 以 随 意 统 治 哪 个 地 方 ， 但 在 你 平 定 一 切 之 后 ， 你 要 帮 我 解 放 弗 里 斯 的 土 地 。 
