str_yes|Evet.
str_npc12_personalityclash_speech|Efendim, {s11} ortalıkta benim savaş alanına uygun olmayan bir korkaktan başka bir şey olmadığım yalanını konuşup duruyor.
str_npc13_personalityclash_speech|Afedersiniz kumandanım. Kendine {s11} diyen o böceği öldürmeye çok yaklaşmıştım. Disiplin olmadan cesaretin yalnızca yenilgi ve utanç getireceği şakasını hiç anlamamış.
str_npc14_personalityclash_speech|Kaptan, {s11} diye tanınan çirkin kadının adamlarımız için tehlikeli olduğunu bilmenizi isterim. Benim onu kullanmak istediğimi her yerde söyleyip duruyormuş ancak bunun gerçeklikle alakası yok. Onun kokusuna bile tahammül edemiyorum.
str_npc15_personalityclash_speech|Afedersiniz umarım söylememde sakınca yoktur ama bence {s11} birlik için tehlikeli. Sadece dine ve cehenneme önem veriyor ve otoriteye karşı çıkıyor.
str_npc16_personalityclash_speech|Bilesiniz diye söylüyorum, --  {s11}'de şeytani bir şeyler var. Toprağa garip şekiller çiziyor ve savaş öncesi hep kendi kendine bir şeyler mırıldanıyor.
str_npc1_personalityclash_speech_b|O özel bir değil ve şuanda bana yaptığı gibi ona mesafeli durmamı söyleme hakkı yok.
str_npc2_personalityclash_speech_b|{s11}'in yalın bir hayat hakkında böbürlenmesini dinlemekle ilgilenmiyorum. {s11}'in azizlerinin peşinden değil Valhalla'ya gidebilme hevesinde bir savaşçıyım. 
str_npc3_personalityclash_speech_b|Ordunun genellikle erkeklerin yeri olduğunu biliyorum fakat benim de saygı duyulmayı hakettiğime inanıyorum. Kimsenin fahişesi değilim. Umarım bu şekilde söylememin sakıncası yoktur.
str_npc4_personalityclash_speech_b|Bu Sakson {s11}, ecelini arıyor, hepsi bu.
str_npc5_personalityclash_speech_b|Eğer savaşçının yolunu kendine yakıştıramıyorsa gidip rahip ya da dilenci olmasını önerdim, ki bu işler bir daha dert olmasın. Bunları dile getirmem canınızı sıkmıyordur umarım.
str_npc6_personalityclash_speech_b|En iyi adam değilim ama tövbekarım ve bir cadının batıllıklarına malzeme olmaktan daha iyisini hak ediyorum. Bilmeniz gerektiğini düşündüm.
str_npc7_personalityclash_speech_b|Yemekten sonra dişlerini karıştırarak kamp ateşi üzerinden beni incelemesi hiç hoşuma gitmiyor. Sanırım onu çapulcu olduğum günlerden hatırlıyorum. Kaba ve cahildir. Bu tip insanlarla seyahat etmek istemiyorum.
str_npc8_personalityclash_speech_b|Okuma yazma ve Latince konuşmayı bilmediğim doğru. Fakat hayatı ve savaşmayı {s11}'den iyi biliyorum. Benim arkamdan yaptığı şakaları duyduğumda onun boğazını kesmediysem bu sadece size olan saygımdandır. Sizi bu konuda uyarmak istedim.
str_npc9_personalityclash_speech_b|Ona askerlerinin en azından Frank savaşçılarından daha disiplinli olup olmadıklarını, Danimarkalı düşmanlarını nasıl kuşatamayıp küçümsediği Saksonlarla sürgüne gittiğini sordum. Bana cevap vermedi, sadece yüzü kızardı ve sonra bana ve tüm atalarıma küfretti ve hatta beni düelloya çağırdı. Çok disiplinli olduğunu söyledi ama bence onu biraz daha disiplinli hale getirmelisin.
str_npc10_personalityclash_speech_b|Burada herkes hiçbir Gallerlinin gerçek asil bir soydan gelmediğini bilir. Soylu kandan gelmiş gibi davranan her Gallerli basit, aptal ve tahammül edilemezdir. Neyse, az önce onun için fazla sert bir şey söylemiş olabilirim - "gerçek bir soyluysa babası Sakson'dur" gibi bir şey söyledim. Küsmüş görünüyordu. Sadece bilmeni istedim. 
str_npc11_personalityclash_speech_b|O gökler tarafından lanetlenmiş ve şüphesiz ki hepimize kara talih ve acı getirecek. Onun etrafında olmaktan rahatsız oluyorum ve bence o da bizim yanımızda olmamalı. Hepsi bu kadar. Başınızı ağrıttıysam özür dilerim.
str_npc12_personalityclash_speech_b|Bu aptal barbarların tıp dünyasının güzelliğini anlayamayacak seviyede olmaları ya da benim insan bedeni ve doğa hakkındaki bilgimden yararlanmayıp enfeksiyon kapmış yaradan ölmeyi seçmeleri benim hatam değil. Kumandanım, bu vefasız ve cahillere karşı durmaktan çok yoruldum. 
str_npc13_personalityclash_speech_b|{s11}, halkımın savaşcı ruhu ile alay ediyor. Benim Danimarkalılara karşı bir savaşta yenildiğim için Englaland'a gittiğimi yayıyor ki böyle bir şey olmadı. Benim adamlarım önünde inançlarımı ve yöntemlerimi sorgulamasına izin vermeyeceğim ve buna izin veren kumandanlar için çalışmayacağım. Bunları anlatmama izin verdiğiniz için teşekkür ederim.
str_npc14_personalityclash_speech_b|O kadın geceleri birçok kez benim çadırıma girmeyi denedi ve benimle yalnız kalmak için her şansı kullanıyor, beni yüksek sesle söyleyemeyeceğim bir şey için kışkırtıyor. Lütfen bu utanmaz kadına benim sadece güzel kadınlarla ilgilendiğimi ve onun gibilerle işimin olmayacağını söyle.
str_npc15_personalityclash_speech_b|Onu savaşçılara vaaz verirken duydum ve bizim savaş öncesi hazırlıklarımızın yersiz olduğunu zafere sadece tanrının izni olursa erişebileceğimizi söylüyordu. Ben de Hz. İsa'ya inanmama rağmen, bir hristiyan ruhun hiç bir orduda zafer için tek başına yeterli olmayacağına eminim. Bence ona hemen bu tip vaazlar vermesini bırakmasını söylemelisiniz.
str_npc16_personalityclash_speech_b|Cadılıktan korkarak, ne olduğunu sordum, o da benim gibi bir veledin kendi işine bakmasını söyledi. Ben de onun yüküne biraz baktım ve garip planlar ve Odin şekilleri buldum. Bu işaretlerin şetyan işi olduğuna eminim. Kendi ölümsüz ruhlarımızı kurtarmak için {s11}dan biran önce kurtulmalıyız.
str_npc1_personalityclash2_speech|Kumandanım -- alınmayın ama benim bir deli ve aptal olduğumu sürekli tekrarlayan {s11}'den bıktım.
str_npc2_personalityclash2_speech|{Efendim/Hanımım}. Eğer kızmazsanız, {s11} yakınında olmayan bir yere gönderilmek isterim. En son savaşta bana söylediklerinden sonra onun yanında durmak istemem.
str_npc3_personalityclash2_speech|{Efendim/Hanımım}. Bu birliğe katıldığımdan beri nasıl bir asker hayatı yaşayabileceğimi ve savaşçının desturunu nasıl uygulayacağımı öğrenmeye çalıştım. Fakat bazı adamlarınız bana aynı şekilde saygılı davranmıyor.
str_npc4_personalityclash2_speech|Size Piktlerden nefret ettiğimi söylemiştim ve siz {s11}'i bize katılması için davet ettiniz. Ona benimle konuşurken gözümde basit bir Pikt izcisinden farklı olmadığını söyleyin. Ben bir İskoç'um.
str_npc5_personalityclash2_speech|Komutanım! {s11} dilinin sökülüp atılmasını istiyor!
str_npc6_personalityclash2_speech|Komutanım,  {s11} hiç savaş sırasında gözünüze ilişti mi? Düşman hareketsiz ve savunmasız bir şekilde yerde yatarken onu aşağılayıp hakaret ediyor, soyuna sopuna sövüyor ve bizimle savaşmakla ne kadar aptalca bir iş yaptıklarını söylüyor.
str_npc7_personalityclash2_speech|Kumandanım --  {s11} adındaki adamın küstahlığından bıktım. Ben bir izci ve özellikle bir kadın izci olduğumdan kendisinden daha düşük bir savaşçı olduğumu düşünüyor. Evet, bir kadının evini ve eşini bırakması çok yaygın bir şey değil ancak benim geldiğim yerde, Piktler arasında diğer topraklardan fazla olarak birkaç seçeneğimiz var.
str_npc8_personalityclash2_speech|Komutanım. {s11} çok terbiyesiz bir kız. Kibar olmaya çalıştım, hatta arkadaşça yaklaştım. Samimiyet gösterince ilk yaptığı şey beni terslemek oldu.
str_npc9_personalityclash2_speech|{Efendim/Hanımım}, umarım söylememe kızmazsınız, ama bence şu gerzek {s11}, pek düşüncesiz biri. Son savaşta önüme geçip benim gözüme kestirip kendime ayırdığım düşmanla arama girdi.
str_npc10_personalityclash2_speech|Kumandanım --  size bir soru. Bu birliği siz mi yönetiyorsunuz yoksa {s11} mi?
str_npc11_personalityclash2_speech|{Efendim/Hanımım}, {s11} denen adamı aramızda tutmamalıyız. Lütfen kalbimden gelen sese kulak verin.
str_npc12_personalityclash2_speech|Komutanım. Artık bu {s11} rütbe ve mevki tanımamazlıkta iyice ayarını kaçırdı. Son savaşta ben yaralılar ile ilgilenirken, ameliyat sırasında acıyı hafifletmek için Galenion'unkinin yerine afyon ruhu kullanmamı ve yaralara bal merhemi uygulamamı söyleyerek aşağılamaktan geri durmadı!
str_npc13_personalityclash2_speech|Şunu söylemeliyim ki {s11}'in varlığı beni üzüyor. O bir Danimarkalı ve benim halkımla Danimarkalılara karşı kaybettiğim bir karşılaşmayla alay ediyor.
str_npc14_personalityclash2_speech|{Beyim,Hanımım}. {s11} berbat bir yoldaş ve nesiller boyunda dilden dile dolaşacak destanımızın bir parçası olma onurunu hak etmiyor.
str_npc15_personalityclash2_speech|Komutan, size söyleyeyim, {s11} tıbbi konularda çok hatalı işler yapıyor. En son savaştan sonra yaralılarla ilgilenirken, ona yaralara kullandığı merhemin aslında iyimserliğini kaybetmiş olan askerlere yapay yoldan keyif veren bir madde olduğunu hatırlatmam gerekti.
str_npc16_personalityclash2_speech|Eğer içinizde bir tanrı korkusu varsa söylediğim şeylere kulak vermelisiniz. Kendine {s11} şeytan derhal öldürülmeli.
str_npc1_personalityclash2_speech_b|İçimde en ufak bir hristiyan olma isteği yok ve bence rahipler bize sadece kötü şans getiriyor. Belki de onu yakmalıyız.
str_npc2_personalityclash2_speech_b|Düşman üzerimize çullanmak üzereydi ve o dedi ki, 'İyi bir savaşçı savaşta likör içmez.' Bir dahakine kenara çekileceğim ki mızrağı dalağına yesin!
str_npc3_personalityclash2_speech_b|Son zaferimizden sonra meydandaki düşman leşlerinden malzeme ayıklıyordum ve Reginhard adında bir Frisyalı beni kenara iterek bu işlerin basit bir köle kızın işi olmadığını ve benim yalnızca orduyla seyahat etmeme izin verildiğini söyledi. Ben de herkes gibi kalkan duvarında savaştıysam o ganimetleri almak benim de hakkım diye düşünüyorum. Diğerlerinden daha az tecrübeli olmama rağmen ben de hayatımı tehlikeye attım.
str_npc4_personalityclash2_speech_b|Sonunda o kuzeyli kadının icabına bakmak zorunda kalacaksın. Ya yerini bilir ya da kırbaçlanır.
str_npc5_personalityclash2_speech_b|Anladığım kadarıyla o sadece bir kadın. Fakat dün gece ondan bana biraz yahni getirmesini istediğimde bana gidip kendim almamı söyledi. Dün ona gününü göstermek için çok yorgundum o yüzden boşverdim fakat bir daha böyle bir saygısızlığı hoşgörmeyeceğim.
str_npc6_personalityclash2_speech_b|Ona burada müsama göstermemeliyiz. Savaş alaycılar için bir yer değildir ve gerçek bir savaşçı düşmüş bir düşmanın peşini bırakmaz. Bırakın da o ahmağı öldüreyim. İşkence gören ruhumu bu düşman kanıyla rahatlatayım.
str_npc7_personalityclash2_speech_b|Ayrıca ona adıyla değil de lordum diye hitap etmem için ısrar ediyor. Sana söyliyeyim, bir gün kendi savaşçılarım olduğunda onu aşağı indireceğim ve baltamı kafasına saplayıp ne kadar iyi bir savaşcı olduğunu soracağım.
str_npc8_personalityclash2_speech_b|Son savaştan sonra silahlarımızı temizlediğimiz sırada onun güzelce bir kız olduğunun farkına vardım ve onu topraklarımı geri kazanır kazanmaz savaşçılarımdan biriyle baş göz etmeye karar verdim. Bunun cömert bir teklif olacağını düşünmüştüm. Kendi babası tarafından reddedilmiş bir kadın olarak büyük olasılıkla kendini oradan oraya sürüklenirken bulacak. Ama o teşekkür etmek yerine tek kelime bile etmeden bana sırtını döndü. Sadece sizin liderliğinize olan saygımdan dolayı hemen oracıkta ona nasıl davranması gerektiğini öğretmekten vazgeçtim.
str_npc9_personalityclash2_speech_b|Savaşta hayatını ortaya koymasına saygı duyuyorum, ancak bu tek başına bir erkeği beyefendi yapmıyor. Soylu biri değil, ailesinin varlığı da ticaret ve aşırı faizden geliyor. Yanımızda bir destekçi gibi savaşıyor olabilir, ancak bu kazanılan ihtişamı kendinden daha iyi olanlardan çalmaya çalışmasına yol açmamalı!
str_npc10_personalityclash2_speech_b|O son savaşta sürekli bizi zafere, üne ve zenginliğe götüren kumandan olduğunu söylerek kendini yüceltti. Üzgünüm ama siz değil de o bizim liderimizse kaderimi başka yerde aramaya hazırım.
str_npc11_personalityclash2_speech_b|Bildiğim kadarıyla o, hiçbir zaman huzura erişemeyecek ve ana vatanına dönemeyecek bir sürgün. Ve bunların tümü yarlının emirlerine itaat etmediği için. Eğer kendi dürüst efendisine itaat etmediyse size eder mi dersiniz? Lütfen beni yanlış anlamayın {hanımım, beyim} -- herhangi bir emrinize itaat ederim, hatta size Thor'a olduğumdan çok daha bağlıyım fakat bence o hepimiz için tehlike oluşturuyor. Bence en iyisi ondan kurtulun.
str_npc12_personalityclash2_speech_b|Komutanım, eğer bu adam tıp ile ilgili bir şey bildiğini iddia ediyorsa, hastanın doktora olan güvenini zedeleyecek söylemlerden kaçınması gerektiğini de bilmesi gerekirdi, özellikle de öylesine ciddi bir operasyondan önce. Eğer onu birliğinizden salıvermeyi düşünürseniz, hepimize çok büyük bir iyilik yapmış olursunuz.
str_npc13_personalityclash2_speech_b|Bana sürekli arkamı kollamamı söyleyip bir gün mızrağını kalbime saplayacağını tekrarlıyor. Bir sonraki savaşta beni öldüreceğine yemin etti. Bu aptal üzerinden gözünü ayırmasan iyi edersin.
str_npc14_personalityclash2_speech_b|Son savaşımızda sizin liderliğinizde birçok savaşta nasıl liderliğe gittiğimizi anlatan şarkılar söylüyordum. O yere tükürüp benim o kibirli çenemi kapatmamı söyledi. Eğer bu adam bizim başarımızı anlayacak yapıda değilse, bizim zafer ve zenginliğimizi paylaşmasına izin verilmemeli. 
str_npc15_personalityclash2_speech_b|{s11} bana Hipokrat'ın hiçbir şeyden anlamadığını söyledi. Reis, hiçbir doktor eskilerin üstatlarına bu şekilde saygısızca konuşamaz. Böyle üçkağıtçı bir adamı birliğinizde tutmamanızı öneririm.
str_npc16_personalityclash2_speech_b|Bu korkunç kadın pagan tanrıları Odin ve Thor'a inandığını açıkça beyan etti, ve Hz. İsa'nın öğretileri zayıf adamların lakırtılarından başka bir şey değil onun için. Ve hatta benim gibi bir rahibe vaazlarımdan dolayı lanetlendiğimi de söyledi. Bu kadın hemen yakılarak öldürülmeli. 
str_npc1_personalitymatch_speech|Kumandanım. {s11} geçen akşam hiç fena değildi. İyi iş çıkardı.
str_npc2_personalitymatch_speech|{Efendim/Hanımım}. Sadece söylemek istedim ki {s11} biraz kaba olabilir, ben de biraz kaba bir maceracı sayılabilirim gerçi ama onu yoldaşım olarak görmekten mutluyum.
str_npc3_personalitymatch_speech|Merhaba, {efendim/hanımım}! Sadece söylemek istedim ki {s11} gerçekten görkemli ve cesur bir savaşçı. Son çarpışmada onu izlediniz mi?
str_npc4_personalitymatch_speech|Sadece {s11} için birkaç güzel söz söylemek istedim. Son savaşta epey iyi iş çıkardı.
str_npc5_personalitymatch_speech|Bu iyi bir savaştı, {playername}! {s11} bir kapışmada yanınızda bulunması iyi olacak bir adam.
str_npc6_personalitymatch_speech|Her ne kadar barışın sağlanabilmesi için Lordların etkilenmesi ve haydutların hizaya gelmesi gerektiğini bilsem de bazen bu kadar kan dökülmesi beni rahatsız ediyor.
str_npc7_personalitymatch_speech|Kumandanım. Az önce {s11} ile konuşuyordum. Biraz vahşi olduğu doğru, ama aynı zamanda iyi biri.
str_npc8_personalitymatch_speech|Bu iyi bir savaştı komutanım. Söylemeliyim ki {s11} düşmana sataşırken söylediklerini çok beğendim.
str_npc9_personalitymatch_speech|Kumandan. {s11} son savaşta gayet iyi iş çıkardı. Pek hoş, mütevazi bir kadın kendisi.
str_npc10_personalitymatch_speech|Dryhten!  Zaferin tadını iyi çıkarasınız! O Solveig'in yoldaşlığından hoşlandığımı söyle. Görüyorum ki kendini bizim kalkan duvarımıza son derece adamış.
str_npc11_personalitymatch_speech|Ah {beyim;hanımım}, kalkan duvarınızda {s11} gibi bir kadını barındırdığınız için sizi övemeyeceğim. Onun bir Frisialı olmasıyla ilgilenmiyorum.
str_npc12_personalitymatch_speech|Kanlı bir iş, kumandanım, kanlı bir iş; ama aynı zamanda gerekli de tabii. Sanırım {s11}, bu sürekli savaşla ilgili çelişkili hislerimi paylaşıyor.
str_npc13_personalitymatch_speech|Tarafımda {s11} gibi iyi bir Frisialı ile savaşa gitmek benim için bir zevk.
str_npc14_personalitymatch_speech|Bugün şöhreti hak ederek aldın! {s11} de öyle! O hoşuma gidiyor. Savaşa girerken insanlarının şarkılarını dillendiriyor ki bu benimki gibi sanatçı bir ruha çok hitap ediyor.
str_npc15_personalitymatch_speech|Şef. Az önce {s11} ile son savaşla ilgili konuşuyordum ve o an fark ettim ki o gerçekten aklı başında bir insan.
str_npc16_personalitymatch_speech|Söylemem gerekir ki {s11} ne kadar kaba ve huysuz davranıyor olsa da onun kalbindeki belki kendinin de bilmediği o iyiliği, iyi bir hristiyanın ruhunu görüyorum. 
str_npc1_personalitymatch_speech_b|{s11}, şakacı, gururlu, cesur ve kızları nasıl baştan çıkaracağını bilen müthiş biri. Size garanti veriyorum. Bizimle olmasından mutluyum.
str_npc2_personalitymatch_speech_b|Son savaşta yaptıklarına dayanarak şunu söyleyebilirim ki heran ona güvenebilirim, aynı zamanda iyi bir savaşın hikayesini nasıl anlatacağını da biliyor. Onu bir gün İskandinav salonuna götüreceğime söz bile verdim.
str_npc3_personalitymatch_speech_b|Ayrıca onun eğlenceli bir yoldaş olduğunu itiraf etmeliyim, hem erdem hem ahlak sahibi biri. Belki de... Ah, ne çok konuştum. İyi günle {hanımım, beyim}.
str_npc4_personalitymatch_speech_b|Onu kalkan duvarımıza ekleyebilirsin. Savaş hakkında az çok bilgisi var.
str_npc5_personalitymatch_speech_b|Savaş cesarestinden onun cesur bir savaşçı ve savaş alanında onurlu biri olduğu açık.
str_npc6_personalitymatch_speech_b|{s11} benim için bir rahatlık kaynağı. Ona günahımdan bahsettim ve bana eğer gerçekten inanıp affedilmeyi yürekten istersem Hz. İsa'nın  günahımı affedeceğini söyledi. Bilge biri ve bizimle olduğuna memnunum.
str_npc7_personalitymatch_speech_b|Bana herhangi biriymişim gibi vaaz veriyor ve tüm vücudum savaş dövmeleriyle kaplı olsa bile tanrının kalbimdeki iyi niyeti görebileceğini ekliyor. Emin değilim ama söylediği şey çok hoşuma gitti-- basit bir ev hanımı değil bir savaşçı olduğumdan--, ama yine de içimden bir ses bu rahibe ve öğretilerine güvenebileceğimi söylüyor.
str_npc8_personalitymatch_speech_b|İkimiz de kıdemliyiz ve savaş sırasında bu toprakların askerlerinin uygulayacağı taktikleri kolayca kavrarız. Kalkan duvarımız onunla daha da güçlü. 
str_npc9_personalitymatch_speech_b|Basit bir köle olmasaydı, o kızla evlenebilirdim. Onun özgür bir kadın olmaması büyük şanssızlık. Fakat hudut boyunca onunla konuşmak zaman geçirmenin en keyifli yolu.
str_npc10_personalitymatch_speech_b|Aslında onun kendini tamamen sana adadığını görüyorum. Lütfen utanma. Onun gibi kendini adamış bir kadın bin savaşçıdan daha değerlidir.
str_npc11_personalitymatch_speech_b|Sana saygı ve itaat gösteren bir kahraman o. Ve bu da beni mutlu ediyor. Keşke tüm halkımız onun gibi olsa. Bu deneyimler, özellikle de zor olanlar insanlar arasında en iyilerini ortaya çıkarıyor, sence de öyle değil mi?
str_npc12_personalitymatch_speech_b|Davası ne kadar haklı olursa olsun kendi adamlarının canlarını almak onu çok üzüyor. Englaland'ın sürekli savaş içinde olan krallıklarını birleştireceğimiz ve bütün sıkıntıları tarihe gömeceğimiz parlak bir gelecekten konuştuk.
str_npc13_personalitymatch_speech_b|Diğerleri kadar hızlı olmasa da ve çömlek sanatına daha uygun olsa da onda da bir savaşçı kalbi var ve disiplinli bir savaş hattında nasıl birlik olunması gerektiğini çok iyi biliyor. Onu bu kalkan duvarına getirerek ne kadar iyi biri olduğunuzu gösterdiniz.
str_npc14_personalitymatch_speech_b|Kamp ateşinin etrafında kendi topraklarından anlattığı hikayeler savaş ve savaş alanına dair çok şey öğretti. Ben özellikle Truva savaşı sırasındaki kahramanlık hikayelerini çok beğendim. Yakında bizim kalkan duvarımız da Agamemnon zamanındaki savaşçıların ihtişam ve zaferleri gibi olacak.
str_npc15_personalitymatch_speech_b|Kibirli bir liderden başka br şey olmasa da tüm ilişkilerdeki gibi savaşta da strateji prensiplerine sahip olup planlı ve hazır olunması gerektiğini biliyor. Bunun bir kanıtı onun Truva kuşatmasındaki askeri yanları dinlerken gösterdiği ilgidir.
str_npc16_personalitymatch_speech_b|{s11} bilge ve zeki biri. Onu kamp ateşi etrafında dinlemek çok keyifli ve ne zaman Hristiyanlık hakkında konuşsam can kulağıyla dinler. Onunla çok ilginç tartışmalar yaptığımız doğrudur. Sen de bir gün bize katılmalısın.
str_npc1_retirement_speech|Diyar boyunca oradan oraya koşturmaktan ve başkasının davası adına kan akıtmaktan yoruldum. Ganimet iyi ama sanırım artık yeterince topladım. Köyüme geri döneceğim, bu kadar macera bana yeter.
str_npc2_retirement_speech|Bu savaşçı hayatından iyice yorulmaya başladım. Biriktirdiğim parayı kervan mallarına yatıracağım -- kürkler, kumaşlar, ipek, gibi – ve öylece yola koyulacağım. Beni birliğinize dahil ettiğiniz için size çok teşekkür ederim.
str_npc3_retirement_speech|Korkarım size söylemem gereken bir şey var... Bir savaşçı hayatı istemediğime karar verdim. Muhtemelen güzel bir ev kurma fikri için artık çok geç. Benim insanlarım arasından kimse askerlerle beraber bir hayat sürmüş bir kadını kendisine eş olarak almaz, ama sanırım bir tüccar işine girebilecek kadar param var. Umarım kızmamışsınızdır, {beyim/hanımım}.
str_npc4_retirement_speech|Birliğinde size yaraşır şekilde şerefle hizmet verdim ancak liderliğinizden memnun değilim. Hoşçakalın.
str_npc5_retirement_speech|{Hanımım ; beyim} -- sizin kalkanınızda savaşmaya başladığımdan beri sizin için gözü kara bir şekilde savaştım. Ancak verdiğim hizmetleri karşılık hak ettiğim liderliği göremedim. Böylece Kağan'ın adamlarının beni unutmuş olduklarını umarak eve dönüyorum,babamı ve kardeşlerimi tekrar görebilme umuduyla...
str_npc6_retirement_speech|Bu birliğe; beni, içinde yaşadığım karanlıktan kurtarabilme ihtimali için katıldım ve gerçekten de burada bir dereceye kadar iç huzur buldum. Ancak liderliğinizle ilgili sıkıntılarım oluştu ve arınmama giden yolu başka bir yerde aramamın da mümkün olduğunu düşünmeye başladım.
str_npc7_retirement_speech|Hiç bitmeyen savaşların olduğu, insanların korku, hırs, şehvet ve daha yüzlerce günah yüzünden kendilerini kaybettikleri bu pis hayattan sıkıldım artık. Kesemde param var. Şimdi gidip denizin diğer tarafında, buradan daha yaşanabilir bir diyar arayacağım. Sanıyorum bensiz de gayet iyi devam edeceksiniz.
str_npc8_retirement_speech|Sizin kalkanınızın ardında savaşlara girdim ve ondan iyilik gördüm. Ancak liderliğiniz her zaman hoşuma gitmiyor. Neyse, şu anda başka bir görevim var. Toparladığım ganimetleri alıp ayrılacağım ve kendi birliğimi kuracağım. Ardından Friese'ye yelken açıp kocamın meclisini hain kayınbiraderimden geri alacağım. Kendinize iyi bakın...
str_npc9_retirement_speech|Beraber iyi savaştık ve iyi şan şöhret kazandık. Ancak liderliğinle ilgili bazı çekincelerim var ve her şekilde zaten almam gereken şu miras var. Birliğinden ayrılıyorum, belki ileride tekrar görüşebiliriz.
str_npc10_retirement_speech|Bu adalarda oradan oraya koşturmaktan yoruldum. Bir yerlerde kendime azıcık toprak alacak kadar para biriktirdim, sanırım bu şekilde şansımı deneyeceğim. Buraya kadarmış, iyi şanslar...
str_npc11_retirement_speech|Tüm bu zaman içinde bana karşı hep naziktin. Fakat ben... {Kıskançlığın; aşkın} acısına artık katlanamaycağım. Senden özür dileyerek seni yakınımda görmek istemediğimi söylemeliyim. Senin gözünde sonsuza kadar silik bir ışık gibi kalacağıma eminim. {Dahası bir Skaldmo olduğum için bekaretimi korumalıyım. } Bu yüzden nereye gideceğimi bilmesem de gidiyorum. Hoşçakalın {beyim;hanımım}.
str_npc12_retirement_speech|Birliğinizde iyi zaman geçirdim. Karnımı doyurdum, cebime biraz para koydum ve yaralanmalar üzerine bilgi dağarcığımı genişlettim – Bunlardan şikayet edemem! Ama şu aşamada birliğinizde hizmet veriyor olmak beni alıkoyuyor. Bulgularımı başka cerrahlarla paylaşmak gibi bir görevim var ve bunun için katipler bulmalıyım, ki Englaland'da katip bulmak çok zor. Yurduma, Roma'ya dönmeliyim. 
str_npc13_retirement_speech|Artık bu iş ilişkimizi bitirmeye karar verdiğimi bildirmek isterim. Alternatif olarak meslek dalları takip etmeye karar verdim.
str_npc14_retirement_speech|Sizin isminiz gittikçe daha da çok parıldarken, korkarım benim şöhretim soluklaşıyor. Aynı Ay'ın, Güneş'in doğuşunda soluklaşıp sönmesi gibi. Bundan sonra kendi başıma devam etmeye karar verdim. Size iyi şanslar diliyorum.
str_npc15_retirement_speech|Beni birliğe kattığınız için teşekkür ederim, ancak işlerin geldiği noktadan hiç memnun değilim. Buradan gidiyorum – belki eve dönerim, belki başka bir iş bulurum, henüz tam karar vermiş değilim.
str_npc16_retirement_speech|Sen ve adamların inanç yoksunusunuz. Birçoğunuz pagan tanrılara inandığından şimdiden ruhlarınızı şeytana sattığınızı görüyorum. Benim sözlerim sizi ve şeytani tavrınızı değiştirmeyeceğinden tek yapabileceğim tüm o korkunç günahlarınıza rağmen tanrının sizi affetmesini ummak. Ben gidiyorum.
str_npc1_rehire_speech|Komutanım -- sizi yeniden görmek ne güzel. Geçmişte tartışmalarımız olduğunu biliyorum ama yine de o zamanlar hayatımda geçirdiğim en güzel günlerdi. Gerçeği söylemek gerekirse, son zamanlarda iş bulma konusunda epey zorlandım. Bakın, eğer beni tekrar birliğine almak isterseniz, size katılmaktan mutluluk duyarım.
str_npc2_rehire_speech|{Beyim/Hanımım}! Sizi tekrar görmek çok güzel. Hatta itiraf edeyim: ben de sizi arıyordum. Söylediğim gibi bir yük dolusu mal aldım, yükledim ve stepleri geçmek üzere yola koyuldum – ancak yine saldırıya uğradım ve elimdeki her şeyi kaybettim. Sanırım para kazanmak için savaşmak benim kaderim. İnsanlar kendinizi epey ihya ettiğini anlatıyorlar. Şimdi söyleyin, {beyim/hanımım}, beni birliğinize geri almak ister misiniz?
str_npc3_rehire_speech|Merhabalar {efendim/hanımım}! Sizi tekrar görmek çok güzel. Korkarım en son yollarımızı ayırdığımızdan beri kendimi pek toparlayamadım. Tüccarlığa girişimde bana yardımcı olacaklarını düşündüğüm ailem, bu işi umduğum kadar hoş karşılamadılar. Teyzelerim kiralık askerlerle dolu bir birliğe katılmakla evlilik şansımı nasıl ortadan kaldırdığım hakkında nasihat vermekten başka bir şey yapmadılar. Belki gerçekten ticaretten çok savaşa ve Veluca halkıyla ziyafetlere değil de kamp ateşinde sertleşmiş eti paylaşmaya daha yatkınım. {Beyim/Hanımım}, beni birliğinize geri alır mısınız?
str_npc4_rehire_speech|Selam şef! Epey zaman oldu. Duyduğuma göre kendinizi ihya etmişsin. Bana gelince, topraklarımdan fayda sağlamakla ilgili sorunlarım oldu – çekirge sürüleri, kuraklık, işe yaramayan köleler, vesaire. Tekrar kılıcı ele alabileceğimi düşündüm. Aramızda sıkıntılarımız oldu, farkındayım ancak tekrar size hizmet ediyor olmaktan gurur duyacağım.
str_npc5_rehire_speech|{playername}! Şöhretiniz gittikçe büyüyor – hatta dağların ötesindeki anavatanıma kadar bile genişlemiş. Evet, oraya geri döndüm. Kralın adamlarının beni hatırlamayacağını düşünerek. Ama unutmamışlar: vadiye daha adımımı bile atmadan ailemden arandığımın haberini aldım. Bunun üzerine geri döndüm, söylemiş olabileceğim kaba sözleri unutmuş olduğunu umarak, sizin yanında tekrar savaşa katılabilmek için.
