qstr_{reg1}.0|{reg1}.0
qstr_BEDA_CHRONICLE^^{s2}|BEDA KRONOLOJİSİ^^{s2}^^ {s3}
qstr_{s1}On_head.___{reg2|{s1}Kafada. (-{reg2} zeka)^{s2}^^
qstr_{s1}On_face.___{reg2|{s1}Yüzde. (-{reg2} karizma)^{s2}^^
qstr_{s1}On_body.___{reg2|{s1}Gövdede. (-{reg2} güç)^{s2}^^
qstr_{s1}On_limbs.___{reg|{s1}Kol ve Bacaklarda. (-{reg2} çeviklik)^{s2}^^
qstr_Injuries:^^none|Yaralanmalar:^^yok
qstr_Injuries:^^{s1}A_phy|Yaralanmalar:^^{s1}Bu yaraları daha büyük bir şehirdeki doktor tedavi edebilir. 
qstr_Healing_wounds:^^non|İyileşen yaralar:^^yok
qstr_Healing_wounds:^^{s1|İyileşen yaralar:^^{s1} Bu yaralar tedavi edildi ve kendi kendine iyileşecekler. 
qstr_{s1}On_head.___{reg1|{s1}Kafada. (-{reg1} zeka)^^
qstr_{s1}On_face.___{reg1|{s1}Yüzde. (-{reg1} karizma)^^
qstr_{s1}On_body.___{reg1|{s1}Gövdede. (-{reg1} güç)^^
qstr_{s1}On_limbs.___{reg1|{s1}Kol ve bacaklarda. (-{reg1} çeviklik)^^
qstr_Scars:^^none|Kesikler:^^yok
qstr_Scars:^^{s1}These_in|Kesikler:^^{s1} Bu yaralar kalıcı olmuş ve artık tedavi edilemez. 
qstr_Lifetime_wounds:_{re|Ömür boyu yaralanmalar: {reg1} şuana kadar.
qstr_Current_Party_size_l|Mevcut Taraf büyüklük sınırı: {reg0}.^^Değiştiriciler:^^Temel ölçü: {s5}{reg31}^Kombide liderlik: {s2}{reg32}^Karizma: {s3}{reg33}^Nam: {s4}{reg34}^TOPLAM:  {reg0}
qstr_^No_food:___{reg7}|^Hiç yemek yok:  -{reg7}
qstr_^Wage_debt:___{reg7}|^Ücret Borcu:  -{reg7}
qstr_{s11}_{s12}|{s11} {s12},
qstr_These_christian_troo|Bu hristiyan birlikleri bazı moral sorunlarına neden olabilir: {s11}
qstr_These_pagan_troops_c|Bu pagan birlikleri bazı moral sorunlarına neden olabilir:{s11}
qstr_Current_party_morale|Mevcut taraf morali: {reg5}.^^Değiştiriciler:^^Temel moral:  +{reg8}^Taraf büyüklüğü cezaı: {s2}{reg1}^Dinlenme eksiği: {s3}{reg2}^Yiyecek çeşitliliği: {s4}{reg3}{s5}{s6}^Son zamanlardaki etkinlikler: {s7}{reg4}^{s13}^^{s19}^^TOPLAM:  {reg5}^^^
qstr_{s18}^^_____________|{s18}^^----------------^^{s20}
qstr_{s17}_^_{s18}|{s17} ^ {s18}
qstr_{s15}_^_{s16}|{s15} ^ {s16}
qstr_{s22}^^Friends:_^{s8|{s22}^^Dostlar: ^{s8} ^^Düşmanlar: ^{s6}^{s19}
qstr_^^Your_estates_are:_|^^Arazilerin: ^{s18}^{s19}
qstr_Report:_^^_{s19}|Rapor: ^^ {s19}
qstr_On_loan|ödünç olarak,
qstr_is_{s16}_for_your_ch|arkadaş seçiminiz için {s16} , liderlik biçiminiz için {s17} , ve dış ilişkileriniz için {s18} . Moraliniz {reg0}
qstr_Companions_Info:^^_{|Arkadaşlarınızın bilgisi:^^ {s19} ^^-----------^^ Mevcut:^^ {s7}{s1}
qstr_Loyal|Sadık
qstr_Devoted|Kendini adamış
qstr_Fond|Düşkün
qstr_Gracious|Merhametli
qstr_Friendly|Dostane
qstr_Supportive|Destekçi
qstr_Favorable|İyi niyetli
qstr_Cooperative|İşbirlikçi
qstr_Accepting|Kabulcü
qstr_Indifferent|İlgisiz
qstr_Suspicious|Şüpheci
qstr_Unhappy|Mutsuz
qstr_Resentful|Kırgın
qstr_Angry|Kızgın
qstr_Hostile|Düşmanca
qstr_Hateful|Nefret Dolu
qstr_Vengeful|Kinci
qstr_Sworn_Enmity|Yeminli Düşmanlık 
qstr_Your_relation_with_t|Krallıklarla ilişkin:^^{s2}
qstr_Build_your_personal_|Kişisel sığınağını inşa et.
qstr_You_already_have_a_r|Zaten bir sığınağın var. Sığınağını buraya taşımak istiyorsan mevcut olanı yık. 
qstr_You_don_t_have_enough|Yeterli paran yok! Senin için sığınak inşa edecek işçiler 1000 pening talep ediyorlar.
qstr_You_need_to_have_mor|Bu işe başlamak için otuzdan fazla adama ihtiyacın olabilir. 
qstr_Your_men_await_your_|Sığınağın inşaatı için adamların senin emrini bekliyor. Şimdiye kadar yeterli malzeme toplandı ve eksik olan malzemeler yakın köylerden temin edilebilir.^^Toplam maliyet: 1000 pening.^Gerekli zaman: 6 saat.
qstr_{s2}^^_{s3}|{s2}^^ {s3}
qstr_Camping_allows_your_|Kamp yapmak adamlarının biraz dinlenmesini ve yolculuğun zorluklarını üzerlerinden atmalarını sağlar.  Aynı zamanda avlanmana da olanak sağlar ve yiyecek stoğunu artırırsın. Bu özellikle düşman bölgesinde, erzak almanın zor olduğu durumlarda faydalıdır.
qstr_Traveling_by_sea_exh|Denizde yolculuk adamlarını çok yorar. Savaşçılarına dinlenmeleri için zaman tanıman yolculuğu biraz daha dayanılır kılar. 
qstr_Plain.|Plato.
qstr_Snow.|Kar.
qstr_Forest.|Orman.
qstr_Snow_Forest.|Kar Ormanı.
qstr_Ocean.|Okyanus.
qstr_Sea.|Deniz.
qstr_Standard_Bearer:_{re|Sancaktar: {reg1}^Liderlik Bonusu: {reg2} (max 3)
qstr_Musician:_{reg1}^Tac|Müzisyen: {reg1}^Taktik Bonusu: {reg2} (max 3)
qstr_Note:_You_re_close_t|Not: Düşman yerleşimine yakınsın, temkinli davranmaya zorlanıyorsun.
qstr_You_are_in_Kingdom_o|DANİMARKA Krallığındasın.^^Danimarka Viking Döneminin en önemli Nors devleti. Yalnızca güçlü Frank devletine karşı bağımsızlıklarını devam ettirmekle kalmayıp ayrıca batı Avrupa boyunca şehirlere, kiliselere ve manastırlara saldırıp oraları yağmaladılar. Bildikleri yerlerin hemen hepsiyle ticaret yaparak Danimarka Vikingleri çok iyi birer tüccar olduklarını gösterirler. Jutland'ta güçlü bir merkezi otorite vardır  ve Danimarkalılar kendi bölgelerinin dışında da toprak, ticaret ve istila aramya başladılar. Erkekler denize açıldığında çiftliklerin yönetimlerini kadınlar devralır. 
qstr_You_are_in_Kingdom_of|NORTHVEGR Krallığındasın.^^Northvegr'de dağlık bölge ve haliçler doğal bir sınır oluşturur, topluluklar birbirinden bağımsız kalır ve bu ülkede otuz küçük krallık vardır. Bu küçük krallıkların daha büyük olanları tek güç için mücadeleye başlamıştır. Norveç krallıkları arasında deniz iletişimin en kolay yoludur ve insanlar istilacıların yanında tüccar ve kaşif de olur. Tarım alanının az olması Norveçlileri kuzey denizinin nadir yerleşimli adalarını kolonileştirmeye zorlamıştır. Britanya'ya ilk Viking istilaları Norveçliler tarafından başlamış, sonradan Danimarkalılar da katılmıştır.
qstr_You_are_in_Kingdom_of_|LAITHLIND Krallığındasın.^^Laithlind, İskoçya'nın Nors kontrolündeki tarafı ve Vikingler tarafından elli altmış yıl önce kuşatıldı. Laithlind Alban Piktlerine sık sık saldırır, bu yüzden bu krallık Britanya adalarında Norveç yayılmasının harekat merkezi olmuştur.        Diğer taraftan, kralın oğulları arasında taht kavgaları yaygındır.
qstr_You_are_in_Kingdom_of_F|FRIESE Krallığındasın.^^Friese, Kuzey denizinin güneydoğu kıyıları boyunca uzanan, dilleri nedeniyle Anglo Saksonlara yakın bulunan Frizyalıların ana vatanı krallıktır. xons by language. Utrecht şehri güçlerinin merkezidir ve kuzey Frankia'dan Danimarka sınırına uzanan önemli ticari bölgedir. Frizyalılar bağımsızlıklarını uzun zaman önce Franklere yenilerek kaybetmiş ancak şimdilerde ülke Danimarka yönetimindedir.
qstr_You_are_in_Kingdom_of_W|BATI SEAXE Krallığındasın.^^Batı Seaxe, Batı Saksonların güney Britanya'da kurduğu krallıktır. Elli altmış yıl önce kral Egbert Mierce'i fethetmiş ve derebeylerini Northhymbre kralından korumuştur. Böylece Brytenwalda, yani Britanya'nın yüce kralı olmuş, fakat bu konum kısa süreli olmuştur. Egbert'in sonraki yılları Batı Seaxe'in Vikingler tarafından istilarını gördü. Danimarkalılar Aclea savaşında Egbert'in oğlu ve varisi Kral Aethelwulf tarafından katı biçimde ezilmiştir. Bu zafer İngiltere'de Danimarka fetihlerini on beş yıl ertelemiş ancak Batı Seaxe'deki istilalar devam etmiştir. Aethelwulf'tan sonra yerine sırasıyla dört oğlu geçmiştir: Aethelbald, Ethelbert, Aethelred ve son olarak Alfred.
qstr_You_are_in_Kingdom_of_E|DOĞU ENGLE Krallığındasın.^^Doğu Engle krallığı, Britanya'nın en doğusunda diğer bir çok bölgeden önce Anglo Saksonlar tarafından kurulmuş küçük bağımsız bir krallıktır. Wuffingas hanedanlığı tarafından yönetilmiş fakat Mierce'ye düşmüştür. Vikingler Doğu Engle'i yıkmış ancak sonrasında Saksonlar iki büyük savaşta bölgeyi savunmuşlardır. Sonrasında nispeten barışçıl bir dönem başlamış ve sadece bir Viking saldırısı olmuştur. Danimarkalılar istilaları bırakmış ve Doğu Engle'de kalıcı olarak yerleşmişlerdir.
qstr_You_are_in_Kingdom_of_M|MIERCE Krallığındasın.^^Mierce, Trent Nehri vadilerini merkez olarak belirlemiş Anglo Saksonların en güçlü krallıklarından bir tanesidir. Anglo Sakson ve Kelt kabileleri arasındaki alanda Midlands'ın sınırlarını oluşturmuştur. Krallığın başkenti Mercian Krallının yaşadığı Tamworth'tır. 300 yıl boyunca altı Anglo Sakson krallığın beşinden itaat kazanarak Mercia Mercia Egemenliği diye bilinen dönemde Anglo Sakson bçlgelerini hakimiyeti altına almıştır. Ancak Yüce Heathen ordusunun istilaları sonrasında büyük bir Mercian toprağı Danelaw'a eklenmiştir. 
qstr_You_are_in_Kingdom_of_N|NORTHHYMBRE Krallığındasın.^^Northhymbre, kuzey Anglo Sakson bölgesinin Anglian krallığıdır. Alban'ın güneyinden Humber ırmağının kuzeyine kadar genişlemiştir. Başlarda Bernicia ve Deira krallıklarının birleşmesiyle oluşmuş, sonradan kuzeyde Gododdin toprakları ile ve batıda Kelt krallılarıyla birleşerek genişlemiştir. Daha sonra Northhymbre, Halfdan Ragnarsson ve Ivar kardeşlerin fetihleri ile Danelaw'ın bir parçası olmuştur.
qstr_You_are_in_Kingdom_of_G|GWYNEDD Krallığındasın.^^Gwynedd krallığı Roma imparatorluğu yıkılırken ve Saksonlar Britanya'ya gelirken doğan varis devletlerden biri. Gallerin kuzeydoğusunda kurulu Gwynedd, iç savaşta ve istilalarda gücünü kaybetmeden önce "Britonların Kralı" ilan edilmişti. Gwynedd'in Galler kesimi Roman-Britanyalı mirasına sadık kaldı ve Hristiyanlık dinini ve Latin alfabesini kullanmaya devam ederek krallar eski Roma hükümdarlığına bağlanmayı denediler. Yine de Roma bilgisi büyük ölçüde kayboldu ve Gwynedd Britonları askeri kabile toplumu olmaya yöneldi.
qstr_You_are_in_Kingdom_of_B|BRYCHEINIOG Krallığındasın.^^Brycheiniog, güney Galler'de küçük bağımsız bir krallıktı. Genellikle İngiltere ile doğu ve Galler ile batı arasında bir tampon devlet görevi gördü. Brycheiniog Krallığı büyük olasılıkla Ui Liathain gibi İrlandalı istilacılar tarafından kuruldu ve Cunedda'nın oğulları güçlerini kesene kadar Gallerde güçlerini artırdılar. 
qstr_You_are_in_Kingdom_of_A|ALT CLUT Krallığındasın.^^Alt Clut, Anglo Sakson bölgelerinde ve Alban'ın güneyinde kurulmuş bir Briton krallığı. Roma imparatorluğunun yıkılmasının ardından başkenti Alt Clut olarak kuruldu. Alt Clut Britonları Piktlerin üç kez saldırıp başarısız olduğu Dal Riata'nın adamlarını yendi. Bundan sonra Piktlerle Northumbrialıların ittifakı Alt Clut'u kuşattı ve şehir yıllar sonra ele geçirildi. Ancak 18 yıl önce Alt Clut'un adamları Pikt şehri Dunblane'ı yakmayı başarmıştı.
qstr_You_are_in_Kingdom_of_C|CORNUBIA Krallığındasın.^^Cornubia krallığı güney doğuda Büyük Britanya, batıda Kelt denizi ve güneyde İngiliz Kanalı ile çevrelenmiş bir yarımadadır. Cornubia, Deorhem savaşından sonra Galler Britonlarından ayrılan Cornovoli diye bilinen ve genellikle Batı Seaxe Sakson Krallığı ile savaşta olan Kelt kabilesinin vatanıdır. Kanal kıyılarında yapılan ticaret sayesinde Briton dili ve kültürü paylaşılmaktadır. Kalay madenciliği ekonomi için önemli yer tutar.
qstr_You_are_in_Kingdom_of_GL|GLYWYSSING Krallığındasın.^^Küçük bir Kelt krallığı olan Glywyssing eski Silures'in batı kısmında yüce kral Magnus Maximus'un oğlu Eugenius tarafından kurulmuştur. Demir çağından bu yana Silures kabilesinden ayrı olmalarına rağmen, burası Galler'in Roma'ya en bağlı yerlerindendir. Glywyssing'ın efsanevi hanedanlık Glywylerden sonra bu adı aldığı biliniyor.
qstr_You_are_in_Kingdom_of_U|ULADH Krallığındasın.^^Uladhlar adanın kuzeyine, Ulaidlerin memleketine ve Cruithne kabilesine adlarını veren Gael halkıdır. Ui Neill hanedanlığı Uladh'tan ayrılmış ve merkezleri olan Tir Eoghain'dan Ulster'a taşınmışlardır.
qstr_You_are_in_Kingdom_of_L|LAIGIN Krallığındasın.^^İrlanda'nın doğusunda, Dun Ailinne'i kuran Laigin'in tarihi kralı Ugaine Mor tarafından birleştirilmiş kabilelerdir. Roma orduları Britanya'yı terkettiklerinde Laigin halkı Kuzey Galler'de yerleşti. Uzun yıllar boyunca Laigin iki ayrı hanedanlık Ui Dunlainge ve the Ui Cheinnselaig tarafından yönetildi, ama son olarak ilki tahtın hakimiyetini kazandı. 19 yıl önce, bir Nors ordusu Sciath Nechtain'de Laiginli Lorcan mac Cellaig ve Mumainli Olchobar mac Cinaeda tarafından bozguna uğratılmıştır.
qstr_You_are_in_Kingdom_of_MU|MUMAIN Krallığındasın.^^İrlanda'nın güneyinde kurulmuş, Eoganachta hanedanlığı tarafından yönetilmektedir. 19 yıl önce Norsları bir çok kez yenerek,  Olchobar, Sciath Nechtain'da Viking ordusunu yenmek için doğudaki komşusu Laigin Kralı Lorcan mac Cellaig ile anlaşır. 200 Viking öldürülür, daha sonra ölü sayısı Laithlind kralı Tomrair de dahil çok artar. 
qstr_You_are_in_Kingdom_of_CO|CONNACHTA Krallığındasın.^^Connachta, adanın batısında bulunan bir İrlanda krallığıdır. İrlanda'nın efsanevi kralı Conn, aynı adı taşıyan Connachta kabilelerini de yönetir. Birkaç yüzyıl sonra Connacht krallarının antik çizgisinin yerini merkezleri Tara'da olan ortadünya yöneticileri alır. Tara hanedanlığının iki üyesi, Brion ve Fiachra, tüm Connaught krallarının ait olacağı Ui Briuin ve Ui Fiachrach klanlarını kurar. Connachta'nın Ui Briun kolundan Conchobar mac Taidg Mor, Connacht'ın kralıdır. Limerick'e giderken Connacht boyunca bir Nors pususuna düşmüş ve Connachtlılar tarafından yenilmişlerdir.
qstr_You_are_in_Kingdom_of_Ui|AİLEACH Ui Niell Krallığındasın.^^Aileach, kuzey batı İrlanda krallığıdır. Ailech kralları kuzey Ui Neil'e bağlıdır ve hükümdarlarının Niall'den ayrılıp Ailech'in Grianan kalesinden adlarını aldıkları söylenir. Bu krallık Uladh Krallığından kopmuş, Cenel nEogain ırkından egemenlik kurmuştur.
qstr_You_are_in_Kingdom_of_MI|MIDE Krallığındasın.^^Mide 'orta' anlamına gelir, ve bu krallık İrlanda'nın ortasında bulunur. Tara tepesi yakınlarındaki dört diğer alandan eklediği yerler üzerine Tuathal Teachtmhar tarafından kurulmuştur. Niall kendini Tara kralı ilan etmiş ve soydaşları altı yüzyıl boyunca neredeyse hiç kesintisiz İrlanda'nın en yüksek kralları arasında yer almışlardır. Oğlu Loegaire kendisinin yerine geçmiş ve St. Patrick'i sarayında ağırlamıştır. Niall'in oğulları ve torunları Mide ve Brega alt krallıkları oluşturabilmek için kuzey Laigin bölgelerine fethi sürdürdü. 
qstr_You_are_in_Kingdom_of_AL|ALBAN Krallığındasın.^^Büyük Britanya'nın kuzeyinde Pikt ve İskoçyalılar kendi dilleri ile geleneksel düşmanlardır. Ancak bu insanlar arasında birliktelik Dal Riata kralı Kenneth MacAlpin'in çabalarından sonra geldi. Pikt bölgesinde merkezi Forteviot olan Alban krallıklarını kurdu ve dini merkezini, Iona'dan St. Columba mezarı ile birlikte Dunkeld'e taşıdı. MacAlpin Laithlind'deki Norsların ve Northhymbre'deki Anglelerin gitgide artan düşmanlığına göğüs germiştir. 
qstr_You_are_in_Kingdom_of_O|OSRAIGE Krallığındasın.^^Osraige, Osraige halkının İrlanda'daki krallığıdır. Resmi olarak ayrılıp, kralları hiçbir zaman İrlanda krallığı için rekabete girmese de, Mumain ve Laigin arasında tampon devlet halini almadan önce Mumain krallığı içinde en doğudaki bölgeydi. Osraige kralı Cerball mac Dunlainge, Viking istilacılarını yenmiş ve sonrasında Mael Sechnaill'e karşı Olaf ve Ivar ile müttefik olmuştur. Ayrıca Mael Sechnaill'in Mide'deki ana topraklarına akınlar düzenlemiş ancak bozguna uğratılmıştır. 
qstr_{s16}^^_____________|{s16}^^-------------------^^Kamp Info:^^^{s6}^^{s7}^^Etraftaki Alanlar: {s2}^^İzciler: {s5}^^Avcılar: {s3}^^Güçlendirilmiş Kamp {s4}^^{s11}
qstr_Camp_Info:^^^^Positi|Kamp Bilgisi:^^^^Pozisyon: {s2}^^Botunda gidiyorsun. 
qstr_Camp_Info:^^^^Positio|Kamp Bilgisi:^^^^Pozisyon: {s2}^^Geminle demir almış durumdasın.^^^^Gemi Yönetimi:^^Deniz savaşlarında gemilerine dokuzuncu gruba emir vererek (tıpkı normal savaşlarda farklı asker gruplarına emir vermek gibi) "yerini koru" veya "saldır" emirlerini verebilirsin. Ordu listendeki ilk birlikler seninle beraber sancak gemisinde, diğer birlikler ise geri kalan gemilerde olacaktır. Sancak gemini, denizde kamp halindeyken değiştirebilirsin. Ayrıca, eğer kıyıya yakınsan, donanmanın bir kısmını (yine denizde kamp halindeyken), partinin üzerine farenin sağ tuşuyla tıklayarak, en yakın karaya çıkma noktasını bulmaları üzere ayırabilirsin. 
qstr_Priests_in_followers|Takipçilerin takımındaki rahipler: {reg1}^Cerrah Bonusu: {reg2} (max 3)
qstr_Women_in_followers__|Takipçilerin takımındaki kadın bonusu: {reg1}^Yara iyileştirme Bonusu: {reg2} (max 3)^^Not: Her 10 kadın ( mülteci, kampçı, asker eşi ve köylü olarak) her 72 saatte +1 moral kazandırır. Maksimum +10 moral puanı.
qstr_^^^^Followers:^^{s2}|^^^^Takipçiler:^^{s2}^^--------------^^{s3}
qstr_{s7}^{s8}|{s7}^{s8}
qstr_{s21}._The_{s14}_has|{s21}. En kötü savaş {s14}'{.a} ait.
qstr_{s5}_has_been_defeat|{s5} yenildi!
qstr_This_lord_is_a_priso|Bu lord bir {s10} tutsağı.
qstr_Christian_Lord|Hristiyan Lord
qstr_Pagan_Lord|Pagan Lord
qstr_{s40}._His_love_inte|{s40}. Sevdiği kişi {s39}.
qstr_{s40}._He_is_betroth|{s40}. Nişanlısı {s39}.
qstr_{s1}^^{s4}^Kingdom:_|{s1}^^{s4}^Krallık: {s3}^İlişki: {reg4}^Mülkler: {reg5}^{s5}^{s47}
qstr_Army_size:_{reg26}|Ordu Büyüklüğü: {reg26}
qstr_{s1}^^{s2}_of_the_{s|{s3}{.nin} {s1}^^{s2} ^İlişki {reg3}^Son ziyaret {reg4} gün önce
qstr_{reg2}_warriors_acco|{reg2} savaşçı krala eşlik ediyor.
qstr_{s2}^^{reg2}_warrior|{s2}^^{reg2} savaşçı krallığın çeşitli lordlarına hizmet ediyor. 
qstr_{s2}^^{reg2}_warriors|{s2}^^{reg2} savaşçı şehirlerimizde garnizon kuruyor. 
qstr_{s2}^^{reg2}_warriors_|{s2}^^{reg2} savaşçı kalemizde garnizon kuruyor.
qstr_Kingdom_Armies_Repor|Kraliyet Ordusu Raporu:^İcralar hariç toraklar^^^{s2}
qstr_Rents_and_taxes_from|Kralın mülklerinden kira ve vergiler: {reg0} pening.
qstr_{s2}^Taxes_from_king|{s2}^Krallığın lordlarından vergiler: {reg0} pening.
qstr_{s2}^^Kingdom_Total_|{s2}^^Krallığın toplam geliri: {reg0} pening.
qstr_Payroll_for_the_king|Kralın ordusu için ödenek: {reg1} pening.
qstr_{s3}^Payroll_for_gar|{s3}^Garnizon için ödenek : {reg1} pening.
qstr_{s3}^^Kingdom_Total_|{s3}^^Krallığın toplam masrafları: {reg1} pening.
qstr_Kingdom_Economy_Repo|Krallığın ekonomi raporu:^^GELİR:^Vergi kayıpları çok değişken^^{s2}^^^^MASRAFLAR:^Olaylar ve sıradışı harcamalar nedeniyle bu değerler değişebilir.^^{s3}^^^^Ülkenin hesap sonuçları: {reg0} pening
qstr_{s4}^^{s2}^Relation:|{s4}^^{s2}^İlişki: {s3}^Varlık: {s50}^Kiralar: {reg0}^Vergiler: {reg1}
qstr_{s5}^^{s2}^Relation:|{s5}^^{s2}^İlişki: {s3}^Varlık: {s50}^Kiralar: {reg0}^Vergiler: {reg1}
qstr_{s2}^No_information.|{s2}^Bilgi yok. Bu köy haydutlarca ele geçirilmiş.
qstr_{s6}^^{s2}^Relation:|{s6}^^{s2}^İlişki: {s3}^Varlık: {s50}^Kiralar: {reg0}^Vergiler: {reg1}
qstr_Kingdom_Centers_Repo|Krallık merkezi raporu:^^^--Şehirler-- {s4}^^^^--Kaleler-- {s5}^^^^--Köyler--{s6}^^
qstr_Appoint_next_marshal|Sonraki mareşali ata
qstr_Award_{s12}_as_fief|Ödül {s12} 
qstr_Kingdom_Global_Info:|Krallık Genel Bilgi:^^{s10}^^{s9}
qstr_From_this_area_you_c|Bu alandan aşağıdaki krallık emirlerini verebilirsin:
qstr_>_Order_the_army_to_|> Orduya toplanmasını emret.^> Tüm güçlere krallığın savunulmasına odaklanmalarını emret.^^> Tüm sakinlerin orduya katılmalarını emret. Askere alma tüm boşta ve dövüşebilecek yaşta kişileri gerektirdiğinden bu durum yalnızca genel tehlike ve büyük sefer durumunda yapılabilir. 
qstr_>_Kingdom_Strategy|> Krallık Stratejisi
qstr_You_have_given_the_o|Krallığındaki tüm lordların ordularının sana gelmeleri emrini verdin. 
qstr_You_have_given_the_or|Krallığı savunmak için çaba harcamaları emrini verdin. 
qstr_The_landed_levy_of_t|Krallığın tümündeki sakinler toplandı. Pratikte dövüşebilecek tüm erkekler sana katılacak. 
qstr_^^^^^^^^{s2}^^{s3}|^^^^^^^^{s2}^^{s3}
qstr_script_battlegroup_p|liderin etrafında savaş grubunun yerini çiz: geçersiz lider vekili (kötü karar)
qstr_script_battlegroup_pl|liderin etrafında savaş grubunun yerini çiz: lider takımı yanlış eşleşti (kötü karar)
qstr_ranks|askerler
qstr_shield_wall|kalkan duvarı
qstr_wedge|kama
qstr_square|kare
qstr_up|yukarı
qstr_{s2}_forming_{s1}.|{s2}, {s1} biçimlendiriyor.
qstr_Not_enough_troops_in|{s2}{.de} {s1}{.i} biçimlendirmek için yeterli birlik yok.
qstr_{s2}_is_an_{s3}_divi|{s2}, bir {s3} parçasıdır ve {s1} biçimlendiremez.
qstr_{s1}:_infantry_forma|{s1}: piyade biçimlendirmesi ayrıldı.
qstr_{s1}:_archer_formati|{s1}: okçu biçimlendirmesi ayrıldı.
qstr_{s1}:_skirmisher_for|{s1}: avcı biçimlendirmesi ayrıldı.
qstr_{s1}:_cavalry_format|{s1}: süvari biçimlendirmesi ayrıldı.
qstr_{s1}:_formation_disa|{s1}: biçimlendirme ayrıldı.
qstr_Cavalry_formation_di|Süvari biçimlendirmesi ayrıldı.
qstr_The_placement_of_{s1|{s1} yerleştirmesi {reg0} hududu hafızaya alındı.
qstr_The_placement_of_{s1}|{s1} yerleştirmesi {reg0} hududu varsayılan olarak ayarla. 
qstr_Your_party_s_tactica| Tarafının taktiksel yeteneği birliklerini ne kadar uzağa yerleştirebileceğini belirler!
qstr_...and_attack_enemy_|...ve düşmanın {s1} hududuna saldır!
qstr_{s2}:_returning_afte|{s2}: düşmanın {s1} hududunu yıkıp geri dönme. 
qstr_infantry|piyade
qstr_archer|okçu
qstr_cavalry|süvari
qstr_polearm|sırıklı silah
qstr_skirmisher|avcı
qstr_mounted_archer|atlı okçu
qstr_support|destek
qstr_bodyguard|koruma
qstr_undetermined_type_of|belirsiz tip
qstr_battlegroup_get_acti|savaş grubu saldırı çapı alıyor: takım {reg0} hudud {reg1} biçimlendirme {reg2} için negatif çap
qstr_Lame|Topal
qstr_Swaybacked|Kambur
qstr_Timid|Çekingen
qstr_Meek|Sakin
qstr_Stubborn|İnatçı
qstr_Heavy|Ağır
qstr_Spirited|İyi huylu
qstr_Champion|Şampiyon
qstr_Cracked|Çatlak
qstr_Battered|Ezilmiş
qstr_Thick|Kalın
qstr_Reinforced|Güçlendirilmiş
qstr_Rusty|Paslı
qstr_Tattered|Bakımsız
qstr_Ragged|Yırtık
qstr_Crude|Ham
qstr_Sturdy|Sağlam
qstr_Hardened|Sertleştirilmiş
qstr_Lordly|Asil
qstr_Broken|Kırık
qstr_Bent|Bükük
qstr_Chipped|Yontulmuş
qstr_Strong|Güçlü
qstr_Balanced|Dengeli
qstr_Tempered|Tavlanmış
qstr_Masterwork|Şaheser
qstr_Large_Bag_of|Büyük çanta
qstr_Strength.|Güç.
qstr_Shield_skill.|Kalkan yeteneği.
qstr_Power_Throw_skill.|Güçlü fırlatma yeteneği.
qstr_Power_Draw_skill.|Güçlü çekme yeteneği.
qstr_Riding_skill.|Ata binme yeteneği.
qstr_{s2}_needs_{reg1}_mo|{s2} 'nin daha fazla {reg1} {s1}'a ihtiyacı var
qstr_You_do_not_have_the_m|{s0} almak için yeterli paran yok.
qstr_you|Sen
qstr_You_place_the_{s0}_t|{s0}'i yerleştir. {s1} ordunda kullanılıyordu.
qstr_You_dump_a_{s2}_in_o|{s0}'ı tutmak için bir {s2} attın böylece {s1} kullanılabilirdi.
qstr_Unable_to_Equip_Item|Eşyayı alma başarısız
qstr_You_need_five_tool_k|Sığınağını iyileştirmek için beş araç kitine ihtiyacın var!
qstr_You_need_five_timber|Sığınağını iyileştirmek için beş ağaç palete ihtiyacın var!
qstr_No_staff_have_been_h|Tutulmuş işçi yok.
qstr_To_hire_workers_you_|İşçi kiralamak için onları listeden seçmelisin. Liste boşsa namını artırmalı ya da gelmeleri ve iş teklif etmeleri için sığınağını iyileştirmelisin. 
qstr_Name:_Marcus.|İsim: Marcus.
qstr_Occupation:_This_cap|Meslek: Bu kaptan zaten senin için çalışıyor.
qstr_Occupation:_Captain^|Meslek: Kaptan^Başlangıç maliyeti: 500^Haftalık Maliyet: 55^Notlar: sığınağını yönetmeye yardım eder ve ihtiyacın olan iyileştirmeleri yapar.
qstr_Name:_Father_Beda.|İsim:Beda Baba.
qstr_Occupation:_This_pri|Meslek: Bu rahip zaten senin için çalışıyor.
qstr_Occupation:_Priest^I|Meslek: Rahip^Başlangıç maliyeti: 250^Haftalık Maliyet: 30^Notlar: birliğinin içinde Hristiyan öğretilerini yayar.
qstr_Name:_Godi_Olafr.|İsim: Godi Olafr.
qstr_Occupation:_Godi^Ini|Meslek: Godi^Başlangıç maliyeti: 250 ^Haftalık Maliyet: 30^Notlar: birliğinin içinde pagan öğretilerini yayar.
qstr_Name:_Skald_Bragi.|İsim: Halk Ozanı Bragi.
qstr_Occupation:_This_bar|Meslek: Bu ozan zaten senin için çalışıyor.
qstr_Occupation:_Skald^In|Meslek: Halk Ozanı^Başlangıç maliyeti: 200^Haftalık Maliyet: 40^Notlar: salonlarını büyüleyici İskandinav müziği ile doldurur.
qstr_Name:_Bard_Siwi.|İsim: Ozan Siwi.
