str_yes|Sí.
str_npc10_backstory_c|Si alguna vez encuentro un hombre así, le serviré en su muro de escudos.
str_npc11_backstory_c|Lo importante es que te he seguido durante los últimos días, estudiándote, y he decidido acompañarte. De momento, me uniré a tu hueste. Creo que tienes un gran futuro por delante, si mi intuición no me falla, y quiero compartir tu suerte.
str_npc12_backstory_c|Lo cierto es que no estaba interesado en volver a Odinsve tan pronto, pues todavía soy joven y tengo la oportunidad de viajar a otros lugares y aprender más. Pero las Nornas han entrelazado destinos. Necesitas a alguien que pueda atender las heridas de tus guerreros, y yo necesito a alguien con tu fortuna, que brilla por encima del resto de hombres que he conocido.
str_npc13_backstory_c|Por tanto, si conoces algún señor que crea que su deber es ganar las batallas, en lugar de mimar a sus hombres, te agradecería que me lo presentaras.
str_npc14_backstory_c|Lo cual me hacer recordar... en algún lugar de la ciudad un enemigo me acecha para desbaratar mi destino -- un enfadado e infeliz marido. Y también un padre. Creo que también hay una madre, y un tío. Supongo que no es posible que me ayudes a abandonar la ciudad, ¿verdad?
str_npc15_backstory_c|Lo cierto es que los años han pasado, y no he vuelto a Konstantinoupolis. Había planeado quedarme en la casa del jarl de Hordaland, pues tenía muy buena relación con su hijo. Pero el jarl no se mostró de acuerdo y me echó. Veo que tienes una hueste, así que me uniré a vosotros, si me dejas; puedo ayudar si hay algún asedio.
str_npc16_backstory_c|Soy de origen anglo, de la zona de Witan Ceaster, ya sabes: el centro de West Seaxe. Serví durante algunos años al rey Aethelred, aunque la verdad es que en su corte no había mucha gente de letras, al contrario que su hermano Aelfred. Más tarde, el destino me llevó a Dommoc, en East Engle, hasta que vinieron los daneses y el reino dejó de ser seguro para los servidores de Dios. Soy un hombre honesto y servicial, que siempre se lleva bien con todo el mundo. ¿Qué piensas?
str_npc1_backstory_later|¿Qué opinas? Un buen rastreador siempre resulta útil, ¿verdad?
str_npc2_backstory_later|¿Te he dicho alguna vez que detesto a los anfitriones que me sirven leche agria a sus huéspedes, mientras esconden hidromiel en la despensa?
str_npc3_backstory_later|La vida Kennemer resultó terrible. ¿Por eso has venido, {reg59?señora:señor}? ¿Para abusar de mí, al igual que todos los que ha pasado por mi vida tras convertirme en esclava?
str_npc4_backstory_later|Ahora lo veo más claro. Si deseas reclutarme, me interesa cualquier oferta que me saque de este estercolero y me permita ganarme la vida.
str_npc5_backstory_later|He estado vagando por esta tierra, devastada por la guerra, en busca de un líder que valga la pena seguir. Más digno que el rey, ahora estoy avergonzado de haber obedecido.
str_npc6_backstory_later|He deambulado de un sitio a otro, como un vagabundo, mas aún debo hallar la redención. Tal vez la guerra, a la que amo por encima de todo, me haga olvidar mi pecado...
str_npc7_backstory_later|He vagado de un sitio a otro, buscando trabajo como rastreador, pero no ha sido fácil. Tanto britones como sajones son, en general, una raza enferma, unos piojosos ignorantes; no es fácil relacionarse con esa clase de gente. Tampoco es que los pictos seamos mucho mejores. Yo soy con diferencia una honrosa excepción, como te habrás dado cuenta.
str_npc8_backstory_later|Aún busco a un señor para pelear en su muro de escudos. Deseo sentirme entre hermanos, con la muerte a mi espalda, para olvidar la familia que perdí hace un par de años.
str_npc9_backstory_later|He ofrecido mi espada a unos cuantos señores de estas tierras. Pero rara ver me encargan algo que no sea llevar mensajes o entrenar campesinos, en lugar de algún trabajo digno de mi alcurnia.
str_npc10_backstory_later|He viajado por toda Englaland, pero aún no he tenido la suerte de hallar a un hombre digno de ser mi rey. Bueno, el otro día al menos maté a algunos britanos.
str_npc11_backstory_later|¿Qué opinas? ¿Tienes alguna idea de lo afortunado que eres porque me haya unido a tu causa?
str_npc12_backstory_later|La gente necesita alguien que les preste atención médica, pero sé que mi destino no está en este lugar.
str_npc13_backstory_later|He deambulado de una corte en otra, pero aún no he encontrado un señor que sea de mi agrado.
str_npc14_backstory_later|He deambulado de ciudad en ciudad, dejando una legión de enamoradas y cornudos a mi paso. Hastiado de tales desafíos, he decidido dedicarme a los pasatiempos marciales.
str_npc15_backstory_later|Mis años en Northvegr no fueron fáciles. En Konstantinoupolis, solía construir suntuosos edificios de sillería adornada con mármol, pero en el frío norte no hay más que madera y zarzo. Con el tiempo, descubrí que incluso esos materiales innobles pueden ser la base para una hermosa construcción. Los varegos fabrican sus viviendas con troncos y tablas, lo cual hace que no extrañen sus hogares durante las largas travesías en barco.
str_npc16_backstory_later|Mi misión aun continúa. Cada día hago aumentar el rebaño de Cristo.
str_npc1_backstory_response_1|Le agradezco que me proporcione un rastreador experto.
str_npc2_backstory_response_1|Bueno, tal vez podría ofrecerte trabajo. ¿Sabes luchar?
str_npc3_backstory_response_1|He de admitir que me inspiras lástima. Eso, y tus habilidades curativas, podrían sernos útiles tanto a mí como a mis guerreros.
str_npc4_backstory_response_1|Tal vez podría contratar alguna espada más para el muro de escudos.
str_npc5_backstory_response_1|¡Así se habla! Yo podría ofrecerte algo.
str_npc6_backstory_response_1|Debes unirte a nosotros. Nuestros destinos han de ser uno.
str_npc7_backstory_response_1|Hmm... ¿No estarás, por casualidad, buscando trabajo?
str_npc8_backstory_response_1|Puedo ofrecerte un porvenir.
str_npc9_backstory_response_1|Tal vez querrías unirte a mi hueste por un tiempo.
str_npc10_backstory_response_1|Si estás buscando trabajo, podría contratar guerreros veteranos.
str_npc11_backstory_response_1|¿Así que deseas unirte a mí para compartir mi suerte? ¡Por supuesto!
str_npc12_backstory_response_1|Un médico, ¿eh? Sí, eres bienvenido.
str_npc13_backstory_response_1|Podrías servirme en mi muro de escudos.
str_npc14_backstory_response_1|Tal vez podría contratar a una nueva espada.
str_npc15_backstory_response_1|Supongo que podré hacer uso de ese talento.
str_npc16_backstory_response_1|¿Qué sabes hacer exactamente?
str_npc1_backstory_response_2|No puedo hacerme responsable de ti. Regresa con él.
str_npc2_backstory_response_2|Mala suerte. Que tengas un buen día.
str_npc3_backstory_response_2|Vuelve con tu amo, muchacha. Olvídate de tu antigua vida y acepta tu destino como esclava.
str_npc4_backstory_response_2|No, lo siento.
str_npc5_backstory_response_2|No deseo ser un nuevo arma en tu feudo.
str_npc6_backstory_response_2|Tu destino sin duda no junto al mío. Lo siento.
str_npc7_backstory_response_2|Lo que yo percibo es el fanatismo. Buenos días, señora.
str_npc8_backstory_response_2|Que tengas buena suerte, borracho. Deberías buscarte una nueva esposa, o algo.
str_npc9_backstory_response_2|Algunos de mis mejores amigos son gentuza. Buenos días, señor.
str_npc10_backstory_response_2|Sin duda encontrarás a tu rey sajón. O tal vez algún britano te mate. Que pases un buen día.
str_npc11_backstory_response_2|Bueno, sigo sin saber qué es un skjaldmo, pero al menos ahora sé que no me gusta!
str_npc12_backstory_response_2|Lo siento, no puedo permitirme contratar a alguien más..
str_npc13_backstory_response_2|Ya te diré si me entero de alguien. Que lo pases bien.
str_npc14_backstory_response_2|No, lo siento. No puedo hacer nada por ti.
str_npc15_backstory_response_2|Lo lamento, ya tengo todos los hombres que de momento puedo mantener.
str_npc16_backstory_response_2|Lo siento, sacerdote. Podrías suponerme un problema, pues muchos de mis guerreros creen en varios dioses, y eso es algo que respeto.
str_npc1_signup|Te serviré con lealtad y dedicación, para hacerme digno de tu confianza.
str_npc2_signup|Fui entrenado por Thorgil. Mírame bien, pues, a diferencia de muchos de los que te acompañan, soy guerrero de profesión. Podría ganar a cualquiera de ellos con la lanza o la espada. Yo valgo lo mismo que cinco de tus hombres.
str_npc3_signup|¿De verdad me ayudarás a escapar y me protegerás? ¡Bueno, no estoy en condiciones de ser exigente! Estaría encantada de unirme a vosotros a cambio de mi libertad.
str_npc4_signup|En tal caso, soy tu hombre. No esperes que hable demasiado; tan sólo dame un hacha y un escudo, y déjame hacer mi trabajo.
str_npc5_signup|Es una oferta muy generosa.
str_npc6_signup|El destino está escrito con sangre, y la redención se logra mediante el acero.
str_npc7_signup|Podría ser. No me siento feliz aquí. Al principio, pensé que este sería un lugar seguro, rodeado de gente que busca alejarse de todo y sentirse cerca de los antiguos dioses. Pero ese hombre, el alto druida, está loco. Mata a la gente por diversión, diciendo que invoca a los dioses, y sin embargo no sabe nada sobre ellos.
str_npc8_signup|¡Gracias, amigo! Sé que mis modales son rudos. A Dios doy gracias porque haya gente como tú, dispuesta a darme una oportunidad.
str_npc9_signup|Me encantaría, {reg59?señora:señor}
str_npc10_signup|Supongo que puedo darte una oportunidad de demostrar tu valía. Daré la cara por ti.
str_npc11_signup|Este es un mundo cruel, {reg59?guapa:guapo}. Los tímidos mueren jóvenes, y los audaces lo hacen poco después.
str_npc12_signup|Me alegro. Soy joven y mi sed de conocimientos no tiene límites. Espero que nuestros viajes aumenten mi experiencia.
str_npc13_signup|Estaría encantado de viajar contigo, al menos por un tiempo, a cambio de un salario y una parte justa del botín.
str_npc14_signup|¿De verdad? Harías bien en reclutarme.
str_npc15_signup|Me encantaría viajar contigo, por el momento. Quisiera saber qué hay en el norte, más allá de este lugar.
str_npc16_signup|Bueno, {reg59?señora:señor}, déjame decirte algo. Puesto que mi principal misión aquí es espiritual, traeré la paz a todas las almas de esta hueste.
str_npc1_signup_2|He cabalgado por esta accidentada región durante más tiempo del que recuerdo. Soy un excelente rastreador y tengo un buen ojo para el terreno, la cerveza y la hidromiel. ¿Qué me dices?
str_npc2_signup_2|Puedo ser un gran bebedor si me lo propongo, y he sido elogiado como escaldo.
str_npc3_signup_2|Creo que descubrirás que soy un valioso añadido a tu hueste. Conozco las tradiciones antiguas y puedo recitar muchos poemas épicos de mi pueblo. También podría emplear las enseñanzas médicas de mi abuela para mantener sanos al resto.
str_npc4_signup_2|Si eres listo, me darás un puesto de mando, y me mantendrás alejado de los pictos.
str_npc5_signup_2|No te traicionaré... por supuesto, mientras cumplas con tu obligación de pagarme, darme de comer y no llevarme a ninguna batalla en la que no exista posibilidad de victoria. Prométeme esto, y seré su mejor guerrero.
str_npc6_signup_2|¡Erudino ha respondido a mis plegarias, y te ha llevado hasta mí! No encontrarás a un compañero más leal o un amigo más cercano.
str_npc7_signup_2|Pero haz saber a tu hueste que no tolero a los patanes. Cualquiera que la pifie estando yo presente se encontrará con una flecha en la garganta.
str_npc8_signup_2|Me ganaré tu respeto. Descubrirás que puedes confiar en mí.
str_npc9_signup_2|Soy de noble cuna, prefiero luchar con espada y lanza. Admito que tu linaje es menos ilustre que el mío, mas no encuentro motivo de vergüenza en servir a un señor de la guerra con experiencia -- suponiendo, eso sí, que tus hombres no se muestren demasiado familiares conmigo, ni envidien en exceso mi valentía. Supongo que todo esto no será un problema...
str_npc10_signup_2|No te arrepentirás de tenerse bajo tu mando, {reg59?señora:señor}. Soy un guerrero experimentado, mortal cuando se trata de esos malditos galeses. He entrenado a más reclutas bisoños que tú disfrutado de cenas calientes, si me permites la confianza.
str_npc11_signup_2|Pero soy una skjaldmo. Lucho como una valkiria y sé cantar como lo hizo Balder antes de que el taimado Loki acabara con él a media estrofa. Todos los jarls de Northvegr y Danmark darían una fortuna y su pulgar izquierdo por tenerme a su lado; pero te elijo a ti, {reg59?guapa:guapo}.
str_npc12_signup_2|Es curioso cómo las Nornas trenzan sus hilos. Hasta hace unos días, antes del Thing, pensaba que regresaría a mi hogar en Odinsve, para terminar mis días sanando heridas y estornudos. Sin embargo, en cuanto te conocí supe que eso iba a cambiar.
str_npc13_signup_2|Soy un hábil espadachín, y también puedo instruir a sus hombres en el arte del combate. Pero te advierto, desde ahora, que no lucharé por un líder que no trate con disciplina a sus hombres, porque, a la hora de la verdad, ellos jamás le respetarán.
str_npc14_signup_2|Espada, lanza, arco -- mi habilidad en cualquier armas es digna de un canto épico. Juntos podremos realizar hazañas que se relatarán tanto en las tabernas de rufianes como en los salones de los reyes, una y otra vez, durante generaciones.
str_npc15_signup_2|Estarás contento conmigo. Los asedios son mi especialidad, aunque, si es necesario, puedo manejarme bastante bien en una batalla a campo abierto. Las fortalezas de por aquí no pueden compararse a las de mi patria; en verdad, puedo ayudarte a expugnar cualquier plaza que desees.
str_npc16_signup_2|Te resultaré útil en cualquier batalla, ya sea mundana o espiritual... ya sea contra las mismas hordas del infierno.
str_npc1_signup_response_1|Bien. Nos puedes ser útil.
str_npc2_signup_response_1|No necesito saber más, Egil. Eso sí, no me des problemas.
str_npc3_signup_response_1|Vaya, eso es un comienzo. Podemos enseñarte lo demás. De prisa, te rescataré ahora.
str_npc4_signup_response_1|Muy bien. Estaré encantado de tenerte con nosotros.
str_npc5_signup_response_1|Ciertamente. Esas son mis obligaciones hacia los hombres que tengo bajo mi mando.
str_npc6_signup_response_1|Recoge tus cosas. Tenemos mucho que hacer.
str_npc7_signup_response_1|Se bienvenido.
str_npc8_signup_response_1|De acuerdo, recoge tus cosas. Un largo camino nos espera.
str_npc9_signup_response_1|Eso no debería suceder. Tendré una charla con ellos.
str_npc10_signup_response_1|Buen chico. Pero debes respetar cualquier britano que forme parte de nuestro muro de escudos.
str_npc11_signup_response_1|Creo que podrías serme útil. Muy bien, estás contratada. Pero deja de llamarme «{reg59?guapa:guapo}».
str_npc12_signup_response_1|En ese caso, bienvenido a nuestra hueste, loeknir.
str_npc13_signup_response_1|Bien. Estoy encantado de contratar a alguien como tú.
str_npc14_signup_response_1|Bien. Prepárate y nos marchamos.
str_npc15_signup_response_1|Me parece bien. Estoy dispuesto a contratarte.
str_npc16_signup_response_1|Da la impresión de que puedes hacer el trabajo. Voy a contratarte.
str_npc1_signup_response_2|Preferiría no tenerte en mi hueste. Que tengas un buen día, señor.
str_npc2_signup_response_2|No, prefiero otra clase de acompañante. Que tengas un buen día.
str_npc3_signup_response_2|A decir verdad, me resultas inútil. Vuelve con tu amo, esclava.
str_npc4_signup_response_2|En realidad, no suelo contratar a hombres como tú. Buenos días, señor.
str_npc5_signup_response_2|A decir verdad, pensándolo bien, prefiero no contratar a un desterrado.
str_npc6_signup_response_2|Lo siento, pero no te necesito. Prefiero no tenerte cerca.
str_npc7_signup_response_2|En realidad, pensándolo bien, me da la impresión de que podrías serme un problema. Que pases un buen día.
str_npc8_signup_response_2|Mmmm... tal vez deberías buscar fortuna en alguna otra parte.
str_npc9_signup_response_2|Supones mal, señor. En mi hueste sólo se respeta el coraje y la destreza, no la alcurnia. La mera palabrería no convierte a nadie en un auténtico guerrero.
str_npc10_signup_response_2|Pensándolo bien, no quiero ver a ninguno de mis hombres degollado durante la noche, sólo porque no son sajones. Que tengas un buen día.
str_npc11_signup_response_2|Lo siento, señora. En mi hueste tenemos más cantantes de los que podemos soportar. Tal vez deberías llamar a otra puerta.
str_npc12_signup_response_2|La guerra no es un lugar apropiado para los eruditos. Tal vez deberías buscar trabajo en alguna otra parte.
str_npc13_signup_response_2|Mis guerreros ya cuentan con disciplina. Buenos días, señor.
str_npc14_signup_response_2|Pensándolo bien, no existe mayor peligro que luchar junto a un guerrero ansioso de mujeres y gloria en el muro de escudos.
str_npc15_signup_response_2|Ahora que lo pienso, creo que no voy a necesitar tu experiencia a corto plazo.
str_npc16_signup_response_2|Para ser honesto, prefiero a alguien que no sea un fanático religioso.
str_npc1_payment|Voy a serte muy útil, {reg59?señora:señor}, puedes estar seguro. Sólo una cosita más antes de irnos... ¿podrías prestarme {reg3} peniques? Me da un poco de vergüenza decirlo, pero llevo varias semanas en esta taberna y los dueños ya no se creen que tenga la plata que les aseguré que tenía. Las cosas pueden ponerse feas si me voy sin pagar.
str_npc2_payment|Antes de alistarme, necesito 300 monedas.
str_npc3_payment|¡Entonces me enfrentaré a tus enemigos por ti!
str_npc4_payment|Antes de partir, ¿serías tan amable de prestarme {reg3} peniques? Tuve que dar como garantía una reliquia familiar a un prestamista, aquí en {s20}, y me gustaría recuperarla antes de irnos.
str_npc5_payment|Gracias. Ahora, de cara a sellar nuestro acuerdo, necesito {reg3} peniques, y así poder equiparme con las armas necesarias para cumplir con mis nuevas obligaciones.
str_npc6_payment|Antes de inscribirme, necesito 300 monedas como paga.
str_npc7_payment|Muy bien, iré contigo. Pero quiero {reg3} peniques por adelantado. ¿No esperarás que trabaje gratis, verdad?
str_npc8_payment|¡Entonces lucharé contra tus enemigos por ti!
str_npc9_payment|Muy amable de su parte. Y antes de que me una a tu hueste, ¿podrías prestarme {reg3} peniques, para comprarme una ropa adecuada a mi rango, alguien de noble cuna? Tengo el manto hecho jirones a causa de mi reciente mala fortuna, y no puedo permitir que los guerreros de a pie me confundan con uno de ellos.
str_npc10_payment|Es una buena noticia. Pero he de pedirte una última cosa, señor. Tengo una mujer aquí, en {s20}, una viuda alegre, no sé si me entiendes... y asegura tener un hijo mío en el vientre. Maldita sea, es sólo una furcia britana, pero quisiera darle algo de dinero antes de irme. Para el niño, ya sabes. Incluso si sólo es medio sajón, merece un porvenir. ¿No te sobrarán {reg3} peniques?
str_npc11_payment|Claro, {reg59?guapa:guapo}. Pero antes de unirme a tu hueste, quiero {reg3} peniques. Ya sabes, como pago por cuidar de ti durante todo este tiempo.
str_npc12_payment|Antes de inscribirme, he de resolver algunos gastos, relacionados con el alojamiento y la comida. ¿Podrías cubrirlos? Bastará con 300 monedas.
str_npc13_payment|Una última cosa. Me gustaría recibir una paga inicial de {reg3} peniques antes de unirme a tu hueste. Por principios, jamás entro a servicio de alguien sin recibir antes la remuneración que merezco.
str_npc14_payment|Antes de alistarme, está el pequeño detalle de algunos gastos a los que he incurrido durante mi estancia aquí -- {reg3} peniques. ¿Crees que puedes abonarlos por mí, para honrar nuestra ya legendaria amistad?
str_npc15_payment|Bien. Por cierto, como experto ingeniero espero una remuneración acorde a mis servicios. Un pago por adelantado de {reg3} peniques creo que sería justo.
str_npc16_payment|Antes de unirme a tu gente, necesito 200 monedas.
str_npc1_payment_response|Muy bien, aquí tienes {reg3} peniques. Ahora reúnete con el resto.
str_npc2_payment_response|Muy bien. Tú sales perdiendo.
str_npc3_payment_response|Muy bien.
str_npc4_payment_response|Ciertamente. Aquí tienes {reg3} peniques.
str_npc5_payment_response|En fin... aquí tienes {reg3} peniques. Tu primer pago.
str_npc6_payment_response|Muy bien.
str_npc7_payment_response|No, claro que no. Aquí tienes {reg3} peniques.
str_npc8_payment_response|Oh, no soy un mendigo, gran guerrero. Aquí tienes {reg3} peniques.
str_npc9_payment_response|Muy bien, aquí tienes {reg3} peniques.
str_npc10_payment_response|Ja, ja, por supuesto. Toma {reg3} peniques.
str_npc11_payment_response|Estupendo. Ahí van {reg3} peniques. Ahora volvamos a lo nuestro. Y deja de... bueno, olvídalo.
str_npc12_payment_response|Excelente.
str_npc13_payment_response|De acuerdo, ahí van {reg3} peniques. Sé bienvenido a mi hueste.
str_npc14_payment_response|Claro, aquí tienes {reg3} peniques. Prepárate, nos marchamos.
str_npc15_payment_response|De acuerdo, ahí van {reg3} peniques. Me alegro de tenerte con nosotros.
str_npc16_payment_response|Estupendo.
str_npc1_morality_speech|{reg59?Señora:Señor}... Por favor, no lo tomes a mal, pero esta es una vida dura y algo como {s21} nos supera. Ten más cuidado en el futuro, señor, si no te importa que lo diga.
str_npc2_morality_speech|No me importa {s21}. Nadie con la reputación de ser un cobarde será respetado por su hueste.
str_npc3_morality_speech|Tal vez no es asunto mío, {reg59?señora:señor}, pero confieso estar un poco sorprendida de que hayamos {s21}. Soy consciente de que la guerra es cruel, pero no hay necesidad de sea más cruel de lo necesario.
str_npc4_morality_speech|A los escotos no les importa {s21}. No me hará mucha gracia que sigues actuando de ese modo.
str_npc5_morality_speech|Perdóneme, {reg59?señora:señor}. No es conveniente {s21}. Su deber está ante todo con los hombres que forman en tu muro de escudos. Lo menos que pueden recibir a cambio es algo de comida, la paga, una oportunidad de saquear, y que no arriesgues sus vidas de forma innecesaria.
str_npc6_morality_speech|Oye, {playername}. Como sabes, soy un hombre leal y de principios. Conseguiré redimirme. No espero a {s21}.
str_npc7_morality_speech|Señor, no me gusta que {s21}. Son acciones propias de un jefe de bandidos, que no tiene en cuenta a sus hombres.
str_npc8_morality_speech|Me desagrada que hayas decidido {s21}. Caer en la lucha siempre es un honor, pero luchar en un muro de escudos liderado por un cobarde supone una vergüenza.
str_npc9_morality_speech|{reg59?Señora:Señor}, no es mi estilo {s21}. Los miembros de mi linaje acepta la muerte, mas no la deshonra. Por favor, no me hagas sentirme avergonzado de estar a tu servicio.
str_npc10_morality_speech|Disculpe, {reg59?señora:señor}. En verdad no puedo decir que me complazca vernos {s21}. Son sólo gente sencilla, que trata de ganarse la vida. Si tratásemos mejor a esos infelices, me sentiría mucho mejor.
str_npc11_morality_speech|Perdona, {reg59?guapa:guapo}. No está bien que {s21}. Lo mínimo que un guerrero espera es un líder que les de comida, paga y se preocupe por mantener su cuello a salvo, lo mejor que sepa.
str_npc12_morality_speech|{reg59?Señora:Señor}, no me gusta vernos {s21}. Deseo ser un hirdman, pero no un bandido. Tratemos de mostrar un poco más de compasión.
str_npc13_morality_speech|No me importa {s21}. Ningún reputado cobarde será temido por sus hombres.
str_npc14_morality_speech|{reg59?Señora:Señor}, si pudiéramos evitarlo, preferiría no {s21}. Este mundo es un lugar pequeño, y la reputación es preciosa. No diré más por respeto a tu persona.
str_npc15_morality_speech|{reg59?Señora:Señor}, sólo para dejar constancia de mi opinión, creo que cualquier comandante que tenga algo de sentido común no deja que a su hueste {s21} . Espero que no te importe que te haya hablado sin rodeos.
str_npc16_morality_speech|{reg59?Señora:Señor}, no me gusta {s21}. Dios no aprueba este tipo de actos. Sin duda caerás en desgracia ante él, si no te guías por mis santas enseñanzas.
str_npc1_2ary_morality_speech|Señor, sólo para que lo sepas, no tengo problemas en {s21}. Poder vivir para contarlo no es ninguna estupidez.
str_npc2_2ary_morality_speech|Sabes, amigo {playername}, no me resulta muy tranquilizador ver cómo tú {s21}. Si traicionas tu palabra hacia ellos, también puedes hacerlo conmigo, o al menos así es como yo lo veo.
str_npc3_2ary_morality_speech|{reg59?señora:señor} , he de admitir que me asquea vernos {s21}. No hay de qué avergonzarse si se busca un modo de evitar el derramamiento de sangre.
str_npc4_2ary_morality_speech|No importa si has {s21}. En estos tiempos difíciles, debes recurrir a cualquier artimaña para poder sobrevivir.
str_npc5_2ary_morality_speech|Creo que fue una valiente decisión el {s21}. No hay vergüenza en buscar un modo de evitar el derramamiento de sangre.
str_npc6_2ary_morality_speech|{playername}, puedes elegir {s21}, pero preferiría no formar parte de ello. Este no es el mejor camino para mi redención.
str_npc7_2ary_morality_speech|Creo que fue una decisión valiente el {s21}. No hay vergüenza en buscar un modo de evitar el derramamiento de sangre.
str_npc8_2ary_morality_speech|Creo que fue una decisión valiente el {s21}. No hay vergüenza en buscar un modo de evitar el derramamiento de sangre.
str_npc9_2ary_morality_speech|Señor, estoy consternado de {s21}. Un noble como tú debería mostrar honradez en todo momento.
str_npc10_2ary_morality_speech|{reg59?Hermana:Hermano}... no puedo decir que me agrade ver {s21}. Si das un buen trato a tus hombres bien, ellos te lo devolverán con intereses.
str_npc11_2ary_morality_speech|No me convence la decisión que tomaste de {s21}. Creo que eso está lejos de ser una solución honorable. Me siento desconcertado, aunque seguro que sólo es un hecho aislado, ¿verdad?
str_npc12_2ary_morality_speech|Creo que fue una buena decisión el {s21}. Cuentas con mi apoyo en ese punto, pues no es deshonroso el vivir para seguir luchando.
str_npc13_2ary_morality_speech|Señor, no debería quitarte el sueño el {s21}. Los ejércitos están para cumplir órdenes, y las dificultades son parte de la vida del guerrero.
str_npc14_2ary_morality_speech|Señor, para que lo sepas, no tengo ningún problema en que {s21}. Hacemos lo necesario para sobrevivir, y ellos hubieran hecho lo mismo de estar en nuestro lugar.
str_npc15_2ary_morality_speech|Estratego, no resulta alentador ver cómo {s21}. Si puedes traicionar tu palabra con ellos, también puedes hacerlo conmigo, o al menos así es como yo lo veo.
str_npc16_2ary_morality_speech|Creo que fue una decisión valiente el {s21}. No hay que sentir vergüenza por evitar que se derrame sangre.
str_npc1_personalityclash_speech|Señor, sin ánimo de ofender... estoy bastante cansado de {s11}. Me mira siempre por encima del hombro, como si fuera mejor que yo, tu humilde servidor Caio.
str_npc2_personalityclash_speech|{reg59?Señora:Señor}, como sin duda recordarás, he vivido en Ribe. Respeto a los hombres a los que les gustan las mujeres y la hidromiel, pero no a los que son tan estrictas e insoportables. Hablo de {s11}.
str_npc3_personalityclash_speech|{reg59?Señora:Señor}, en mi opinión {s11} es un hombre despreciable. Ha tratado de seducirme varias veces, y le he descubierto espiándome cuando me desnudo para lavarme en el río. Estoy bastante asustada.
str_npc4_personalityclash_speech|Ese {s11} me falta tanto al respeto que, si no cambia de actitud, lo mataré. Te lo digo por si quieres hacer algo al respecto.
str_npc5_personalityclash_speech|Sólo le robaré un momento, señor. {s11} debe considerarme un simple bandido, sólo por el hecho de que, en el pasado, obtuve un legítimo botín a costa de los comerciantes que atravesaban las tierras de mi familia.
str_npc6_personalityclash_speech|Perdona, {playername}, pero no puedo contener mi lengua un momento más. Cada vez que esa ramera de {s11} me ve, levanta cinco dedos de la mano. Es un gesto contra el mal de ojo.
str_npc7_personalityclash_speech|Señor, lo he puesto todo de mi parte para no hablar mal de los rudos modales de tus hombres. Pero ése que se llama a sí mismo {s11} se encuentra más allá de lo soportable.
str_npc8_personalityclash_speech|Para tu información, no puedo aguantar más a ese insolente de {s11}. Sí, ése que se llama a sí mismo «filósofo». A esa rata del sur le encanta hablar en esa jerga incomprensible llamada «latín», y se ríe de mí a mis espaldas porque no entiendo nada.
str_npc9_personalityclash_speech|{reg59?Señora:Señor}, {s11} es un fantoche, alguien que no demuestra ningún respeto hacia el resto, como Svia. Estoy hastiado de escuchar cómo él y sus compañeros se jactan de ser capaces de derrotar a cualquiera, porque dice ser un maestro en la disciplina militar.
str_npc10_personalityclash_speech|Perdone, señor. Odio molestarte con esas cosas, pero sólo quiero que sepas que no puedo soportar a {s11}. No para de decir que es una especie de escudero de reyes.
str_npc11_personalityclash_speech|Lo lamento, pero no puedo callar más. Esto no va contigo, {reg59?guapa:guapo}. Pero ese hombre, {s11}, es estúpido, arrogante y pesado a más no poder. Ama a la batalla con una pasión sanguinaria, aunque desprecia el sentido del honor y la poesía de la guerra, por mucho que trate de imitar a los bardos. Además, sus continuas insinuaciones me resultan cargantes...
str_npc12_personalityclash_speech|Mi {reg59dama: señor}. Ese idiota de {s11} ha estado difundiendo mentiras acerca de mí, en las que asegura que sólo soy un cobarde, inútil en el campo de batalla.
str_npc13_personalityclash_speech|Perdone, señor. Estoy a punto de matar a {s11} con mis propias manos. Esa parodia de guerrero es incapaz de entender que el valor sin disciplina sólo conduce a la derrota y el fracaso.
str_npc14_personalityclash_speech|Capitán, has de saber que ese adefesio de {s11} es una mala influencia para nosotros. No para de quejarse de que intento seducirla, pero nada más lejos de la realidad, pues ni siquiera puedo soportar su olor.
str_npc15_personalityclash_speech|Espero que no te importe que te lo diga, pero, en mi opinión, {s11} supone un peligro para la hueste. A él sólo le preocupa la religión; desprecia la autoridad y los fundamentos del arte de la guerra.
str_npc16_personalityclash_speech|Sólo para que sepas - hay algo demoníaco en {s11}. No deja de hacer extraños dibujos en la tierra, y murmura palabras extrañas justo antes de cada batalla.
str_npc1_personalityclash_speech_b|No es nadie especial, y no tiene derecho a pedir que me aleje de ella, tal y como acaba de decirme.
str_npc2_personalityclash_speech_b|Estoy aburrido de escuchar los sermones de {s11} acerca de las virtudes de una existencia casta y pura. Soy un guerrero y busco mi lugar en el Walhalla, no junto a los santos de {s11}.
str_npc3_personalityclash_speech_b|Soy consciente de que un ejército no es un buen lugar para una mujer, pero creo que, aun así, me merezco respeto. No soy la ramera de nadie. Espero que no te moleste que te lo diga.
str_npc4_personalityclash_speech_b|Ese sajón, {s11}, parece que desea morir. Eso es todo.
str_npc5_personalityclash_speech_b|Le dije que, si la senda del guerrero le resulta tan dura, puede hacerse cura o vivir como un mendigo, y así no tener que preocuparse por esas cosas. Espero que no te importe que te lo diga.
