qstr_Breaking_camp...|Levantando el campamento...
qstr_Jarl?_You_promise_mu|¿Jarl? Prometes mucho, pero el rey me daría lo mismo por esta información. (Colérico)
qstr__Jarl?__I_like_that_|¿Jarl? Me gusta la idea, pero si hago todo el trabajo sucio, "rey" sonaría mejor. (Sanguíneo)
qstr_I_can_only_help_you_|Sólo puedo ayudarte si tú me ayudas. Si no soy el rey, no tendré un ejército o los recursos necesarios para cazar a Sven. Tú decides.
qstr_The_difference_is_th|La diferencia es que ya te has ganado mi confianza, y sólo te pido una cosa más: mata al rey y Sven será tuyo.
qstr_The_king_will_not_be|El rey no te creerá, pues eres un extraño para él. Si alguna vez le dices algo, le juraré que eres un mentiroso, y él ordenará tu muerte.
qstr_I_admire_your_ambiti|Admiro tu ambición, pero aquí sólo puede haber un rey, y los daneses de Friese sólo aceptarán a alguien como yo, conocido y de confianza.
qstr_{s11}_wants_me_to_ki|{s11} quiere que mate a su rey, {s9}, su propio tío, para ascender al trono de {s3} y me entregará los hombres y recursos para poder cazar Sven.
qstr_{s11}_wants_me_to_kil|{s11} quiere que mate a su rey, {s9}, su propio tío, para tener libre acceso al trono de {s3} y me entregará los hombres y recursos para poder cazar Sven.
qstr_Note_3:_You_have_cho|Nota 3: Has elegido convertirte en enemigo de {s9} por su traición y su alianza con {s11}, patrono de Sven Cuello de Toro. Sabes que él enviará asesinos para matarte.
qstr_I_did_not_know_your_|No conocía tus planes. Doccinga me pidió ayuda, y por eso acudí. (Flemático)
qstr_Calm_down_and_tell_me|Cálmate y dime cuál es el problema. Somos personas civilizadas. (Melancólico)
qstr_There_is_only_one_tr|Aquí sólo hay un traidor, y eres tú. ¡Maldito zopenco! Te costará muy caro. (Colérico)
qstr_These_Vikings_were_f|Esos vikingos eran pocos y débiles. Fuiste un tonto por intentar tomar así el trono. (Sanguíneo)
qstr_Note_3:_You_chose_no|Nota 3: Decidiste no convertirte en un enemigo declarado de {s9}, por su traición y su alianza con {s11}, señor de Sven Cuello de Toro.
qstr_Note_3:_You_chose_to_b|Nota 3: Decidiste convertirte en un enemigo declarado de {s9}, por su traición y su alianza con {s11}, señor de Sven Cuello de Toro. Sabes que enviará asesinos para matarte.
qstr_Note_3:_You_chose_not|Nota 3: Decidiste no convertirte, de forma abierta, en un enemigo declarado de {s9}, por su traición y su alianza con {s11}, señor de Sven Cuello de Toro.
qstr_Leave_Friese:_Your_r|Abandonar Friese: Tu relación con el jarl ha terminado mal. Ahora sois enemigos y enviará asesinos en tu busca, y no mostrará compasión si te encuentra en su camino.
qstr_Leave_Friese._Your_r|Abandonar Friese: Tu relación con el jarl ha terminado mal. Te acusa de arruinar sus planes para subir al trono. Es mejor no cruzarte en su camino durante mucho tiempo, o hasta que seas capaz de recuperar su amistad.
qstr_You_were_wrong._Thes|Estábais equivocados. Estos hombres iban a tomar y fortificar el pueblo, para luego esperar a más tropas de Danmark. Ahora eso es imposible. Has arruinado mis sueños. Sigurd Serpiente en el Ojo pensará que soy un traidor y querrá mi cabeza, y todo por tu culpa. ¡Vete! Ya no eres bienvenido aquí. Si nos encontramos de nuevo, no sé si podré controlarme y no matarte.^^Te aconsejo que te marches de Friese.
qstr_There_s_nothing_to_t|No hay nada de qué hablar. Estos hombres iban a tomar y fortificar el pueblo, para luego esperar a más tropas de Danmark. Ahora eso es imposible. Has arruinado mis sueños. Sigurd Serpiente en el Ojo pensará que soy un traidor y querrá mi cabeza, y todo por tu culpa. ¡Vete! Ya no eres bienvenido aquí. Si nos encontramos de nuevo, no sé si podré controlarme y no matarte.^^Te aconsejo que te marches de Friese.
qstr_Leave_Friese._Your_re|Abandonar Friese: Tu relación con el jarl ha terminado mal. Te acusa de arruinar sus planes para subir al trono. Es mejor no cruzarte en su camino durante mucho tiempo, o hasta que seas capaz de recuperar su amistad.
qstr_You_are_bold_rat_to_|Una rata descarada, para hablarme así después de lo que has hecho. Para honrar tus servicios prestados, te daré la ventaja de unos días. A partir de entonces serás perseguido, pues voy a poner precio a tu cabeza. Tendrás que dormir con un ojo abierto y un cuchillo bajo la almohada.^Si no abandonas Friese o nos encontramos de nuevo, te mataré con mis propias manos.
qstr_Leave_Friese._Your_rel|Abandonar Friese: Tu relación con el jarl ha terminado mal. Ahora sois enemigos y enviará asesinos en tu busca, y no mostrará compasión si te encuentra en su camino.
qstr_No_you_are_a_fool._T|No, eres un idiota. Estos hombres iban a tomar y fortificar el pueblo, para luego esperar a más tropas de Danmark. Ahora eso es imposible. Has arruinado mis sueños. Sigurd Serpiente en el Ojo pensará que soy un traidor y querrá mi cabeza, y todo por tu culpa. Para honrar tus servicios prestados, te daré la ventaja de unos días. A partir de entonces serás perseguido, pues voy a poner precio a tu cabeza. Tendrás que dormir con un ojo abierto y un cuchillo bajo la almohada.^Si no abandonas Friese o nos encontramos de nuevo, te mataré con mis propias manos.
qstr_Investigate_events_i|Investigar sucesos en {s3}.
qstr_Help_defend_{s3}.|Ayudar a defender {s3}.
qstr_The_king_does_not_be|El rey no te cree. Necesita una evidencia de la traición. Quizás Thonkrik, de {s3}, pueda ayudarte.
qstr_It_seems_you_will_not|Parece que no recibirás la ayuda del rey. Tendrás que hablar con {s11} Serpiente en el Ojo directamente.
qstr_{s10}_won_t_support_y|{s10} no te ayudará con {s9}.
qstr_I_did_not_want_to_ki|Yo no quería matar a Atli, pero no tuve alternativa. (Flemático)
qstr_I_am_aware_of_the_se|Soy consciente de la gravedad del peligro. No es necesario que me lo recuerdes. (Melancólico)
qstr_I_did_this_for_you._|Lo hice por ti. De no ser por mí, la carta estaría en manos de Sigurd. (Colérico)
qstr_Come_on_sire_I_left_|Vamos, señor, no dejé testigos. El Thing no me culpará de nada. (Sanguíneo)
qstr_I_see._Well_it_is_yo|Ya veo. Bien, se trata de tu cuello.
qstr_Well_if_Ulf_doesn_t_|Bin, si Ulf no testifica en tu contra, y algunos jarls te apoyan, podrías tener una oportunidad.
qstr_Mark_my_words_{reg59|Presta atención mis palabras, {reg59?mujer:hombre}. Si Sigurd sube al trono, tu vida no valdrá nada. No me digas que lo haces por mí, cuando sólo estás protegiendo tus intereses.
qstr_Remember_that_I_am_t|Cuando te dirijas a mí, recuerda que soy el rey.
qstr_It_seems_that_everyt|Parece que todo está listo para el juicio. {s10} te enviará un mensajero para que te avise en cuanto tu presencia sea requerida por el Thing.
qstr_{s9}_wants_you_back_|{s9} te quiere de vuelta con {s11}.
qstr_{s9}_wants_you_to_me|{s9} quere que te reúnas con {s11} de West Seaxe en {s3} para entregarle una carta solicitando una tregua.
qstr___You_perceive_that_|--Percibes que tu noticia le ha perturbado profundamente.--
qstr_I_guess_you_ve_weigh|Supongo que has sopesado todas las opciones antes de tomar la decisión. (Flemático)
qstr_So_all_is_not_lost!_|¡Así que no todo está perdido! (Melancólico)
qstr_Retreat_is_dishonora|Retirarse supone una deshonra. Si yo dirigiera el ejército, lo llevaría a la victoria. (Colérico)
qstr_Come_come._Retreat?_|Vamos, vamos... ¿Retirarse? ¿Acaso eres un cobarde? (Sanguíneo)
qstr_We_must_be_realistic|Debemos ser realistas. De lo contrario, podemos perderlo todo.
qstr_You_need_not_be_so_d|No tienes por qué ser tan dramático. ¡Nada está perdido, maldita sea! Sólo expongo la estrategia más lógica.
qstr_Well_I_happen_to_lik|En fin, me gusta la gente con cojones. Escucha con atención, porque creo que esto te interesa.
qstr_No_I_d_rather_be_a_c|No, prefiero ser un hombre inteligente antes que uno muerto. ¡Y cuidado con tus palabras! Recuerda que estás hablando con uno de los hijos de Ragnar. Si todos en Northhymbre no respondieran al insultar a nuestra familia, ¿qué posibilidades crees que tendríamos?
qstr_{s9}_wants_you_hunt_|{s9} te quiere dar caza y destruir la partida de forrajeo de West Seaxe próxima a {s3}.
qstr_{s9}_wants_you_deliv|{s9} quiere que entregues un mensaje a sus hermanos en {s3}, para advertirles que no llegarán refuerzos de Danmark y que Bjorn solicitará una reunión con los sajones para una tregua y retirada de Mierce.
qstr___You_perceive_your_|--Percibes que tus noticias le han alterado profundamente. Él resopla como un toro antes de contestar.--
qstr___He_looks_into_your_|--Te mira a los ojos con una honda preocupación, luego llama a un criado para leer la carta en voz alta hasta el final. Entonces Rathbarth te mira y sonríe.--
qstr___He_bites_his_lower|--Se muerde el labio inferior un instante, pensativo.--
qstr_Note_1:_You_gave_the|Nota 1: Has entregado la carta a los hijos de Ragnar. {s9} te dio las gracias, y ahora le estás ayudando.
qstr___He_rests_a_hand_on|--Deposita una mano en tu hombro.--
qstr___He_laughs_loudly._|--Se ríe a carcajadas.--
qstr_{s9}_wants_you_find_|{s9} desea que encuentres y hables con {s3} del {s4} para que le jures lealtad. Entonces, él desea que regreses para un encargo.
qstr_As_he_rejoins_his_br|Cuando se reúne con sus hermanos para decidir qué hacer con la carta de Bodo, {s11} te ha pedido que vayas al reino de Alban, para conquistar {s3} y defenderlo durante treinta días, para debilitar a los pictos y asegurar la retaguardia danesa en Northhymbre.
qstr___He_takes_a_deep_bre|--Inspira profundamente.--
qstr___He_smiles_pleased.|--Sonríe, complacido.--
qstr_The_time_to_meet_wit|El momento de reunirse con las tropas del reino de Asturias ha llegado. La carta de Bodo asegura que fondearán en {s3}, y {s11} quiere que vayas hasta allí para reunirte con ellos. Hay un traidor, de nombre Silo. Úsalo para ganarte el favor de las tropas astures y que apoyen la causa de los hijos de Ragnar. Pero si no eres capaz de convencerlos, {s11} los quiere muertos.^^Mas antes de que marches de Englaland, debes ir a {s3} y hablar con el Viejo Capitán en el puerto, pues {s11} ha reunido barcos y hombres para ayudarte en Douar-an-Enez.
qstr_The_king_wants_no_le|El rey no quiere cartas. Has sido enviado para hablar con su hermano, {s11}.
qstr___He_takes_the_letter_|--Toma la carta de tus manos, y ves que sus dedos están manchados de tinta. Aelfred lee el documento lentamente, estudiando con interés el contenido. Al finalizar, sin pronunciar palabra, Aelfred llama Bodo y habla con él en privado durante mucho tiempo.--
qstr_Note_1:_You_gave_the_|Nota 1: Le entregaste la carta a West Seaxe. {s9} te dio las gracias, y ahora le estás ayudando.
qstr___For_a_moment_he_sh|--Por un instante, parece sorprendido.--
qstr___He_studies_you_slo|--Te escruta con atención, como al examinar a un caballo.--
qstr_{s9}_wants_you_to_fi|{s9} quiere que encuentres y hables con {s3} del {s4}, para que le jures lealtad.
qstr_{s11}_has_asked_you_|{s11} te ha pedido que vayas a la tierra de los galeses. Debes conquistar {s3} y defenderlo durante veinte días.
qstr_The_time_to_meet_with|El momento de reunirse con las tropas del reino de Asturias ha llegado. La carta de Bodo asegura que fondearán en {s3}, y {s11} quiere que vayas hasta allí para reunirte con ellos. Hay un traidor, de nombre Silo. Tienes que desenmascararlo y acabar con él con diplomacia, sin romper las buenas relaciones con los astures.^^{s11} ha reunido barcos y hombres para ayudarte en Douar-an-Enez. Debes ir a {s3} para hablar con el Viejo Capitán en el puerto.
qstr___He_snaps_his_finge|--Chasquea los dedos.--
qstr_You_must_enter_the_s|Debes entrar al servicio de {s11}, preparado para la batalla que se avecina.
qstr___He_looks_at_you_co|--Te mira condescendiente.--
qstr___He_scratches_his_c|--Se rasca la barbilla, pensativo. Él es un joven delgado de sólo veinte años, pero ya inspira respeto.--
qstr_{s13}_asked_you_to_ga|{s13} te pide que reúnas {reg3} cabezas de ganado y las entregues en Aescesdun. Entonces, regresa con él.
qstr_{s13}_asked_you_to_gat|{s13} te pide que reúnas {reg3} cabezas de ganado y las entregues en Aescesdun. Entonces, regresa con él.
qstr___He_puts_his_hand_on_|--pone su mano en tu hombro y te mira a los ojos.--
qstr_You_ve_joined_your_a|Has unido tu ejército a {s11} y estás a la espera del gran ejército danés. Parece que el destino de West Seaxe está a punto de decidirse.
qstr___He_pats_your_back.|--Te palmea la espalda.--
qstr_You_must_enter_the_se|Debes entrar al servicio de {s11} y prepararte para la batalla que se avecina.
qstr___Halfdan_laughs_lou|--Halfdan se ríe a carcajadas.--
qstr___He_confidently_tou|--Te despeina con confianza.--
qstr_{s13}_asked_you_to_gath|{s13} te ha pedido que reúnas {reg3} cabezas de ganado y que las entregues en Readingum. Después has de volver con él.
qstr___He_hugs_you_tightl|--Te abraza con fuerza, como un oso.--
qstr_You_ve_joined_your_ar|As unido tu ejército al de {s11} y estás dispuesto a marchar contra los sajones en Aescesdun. Parece que el destino de West Seaxe pronto estará decidido.
qstr_{s9}_told_you_that_S|{s9} te dijo que Sven Cuello de Toro ha ido a Readingum. Allí ha tomado el poder. Es el momento de acabar con lo que empezó a bordo del Woden Ric. Sven Cuello de Toro no puede volver a huir. Ve a Readingum.
qstr_You_already_have_my_|Ta tienes mi permiso para hacerlo. Por favor, no me vuelvas a molestar con el mismo asunto.
qstr_You_are_an_enemy_of_|Eres enemigo de mi reino.
qstr_You_must_earn_my_tru|Debes ganarte mi confianza si quieres reclutar hombres en mis tierras. Ahora mismo nuestra relación es mala.
qstr_I_don_t_know_if_I_tr|Me parece que no me fío de ti lo suficiente como para que reclutes hombres en mis tierras y te los lleves a la guerra. Demuéstrame de lo que eres capaz y vuelve entonces a pedírmelo.^^(150 o más de prestigio).
qstr_No._I_do_not_know_wh|No. No sé quién eres. Debes ganarte mi confianza si quieres reclutar hombres en mis tierras.^^(150 ó más de prestigio y 5 ó más de relación positiva)
qstr_Well_I_ve_come_to_kn|Bien, creo que te conozco, y me place permitirlo. Por tanto doy orden para que, si cualquier hombre quiere unirse a ti, será libre de hacerlo, siempre y cuando, y como siempre, esté libre de ataduras con otros señores.
qstr_you|tú
qstr_You_are_challenging_|¿Me desfías a un duelo? ¡Qué gracioso! Como prefieras, {playername}, será un buen pasatiempo aplastarte la cabeza.
qstr_{s16}_and_{s17}|{s16} y {s17}
qstr_Very_well_I_will_acc|Muy bien, volveré a aceptarte en mis filas, siempre y cuando vuelvas a jurarme lealtad.
qstr_A_pardon_will_only_b|El perdón sólo será concedido si me cedes {s17}. ¿Aceptas esos términos?
qstr_No._There_is_no_chan|No. No habrá paz entre nosotros. No me interesa.
qstr_I_may_be_able_to_hel|Quizá pueda echarte una mano con esa situación tan delicada ¿Llevas encima {reg7} peniques?
qstr_I_have_heard_of_your|Me han contado como trataste a mis súbditos, {playername}, y estoy bastante seguro de que mi gente aún se acuerda de lo que les hiciste. Pero lo pasado, pasado está, así que afloja la bolsa. ¿He oído {reg7} peniques?
qstr_{playername}_your_tr|{playername}, tu forma de tratar a mis súbditos fue atroz en el pasado, pero así es la guerra. Estoy dispuesto a ayudarte en esto. Dame esa bolsa con {reg7} peniques y ya me encargo yo del asunto.
qstr_{playername}_we_all_|{playername}, todos cometemos errores en nuestras vidas, y así como tu forma de tratar a mis súbdito ha sido nefasta, no guardo rencor. Te ayudaré a que recuperes la confianza de la gente y que vuelvan a considerarte un gobernante justo. Deja que aligere el peso de esa bolsa con {reg7} peniques, y ya me encargo yo del asunto.
qstr_Rumor_has_it_that_{s|Se rumorea que {s35} cogió el dinero y ni siquiera se digno a hablar con la gente.
qstr_Rumor_has_it_that_{s3|Se rumorea que {s35} se ha quedado con el dinero.
qstr_{s34}|{s34}
qstr_Your_efforts_to_brib|Tus esfuerzos por sobornar a la población local no han tenido éxito.
qstr_Our_marshal_{s1}|Nuestro dux, {s1}
qstr_We_are_not_at_war_wi|No estamos en guerra con nadie.
qstr_go_on_the_offensive_|pasa a la ofensiva ahora.
qstr_act_to_defend_our_la|actúa para defender tus tierras.
qstr_take_more_time_to_ga|s toma más tiempo para reclutar al ejército.
qstr_You_promised_to_help|Prometiste ayudar a {s13} a conseguir el trono de los {s14}.
qstr_What_do_you_say_to_e|¿Qué te parecería entrar al servicio de los {s9} como capitán mercenario? Estoy seguro de que estarás a la altura.
qstr_{s8}_asked_you_to_tr|{s8} te ha pedido que sigas el rastro de un grupo de hombres sin señor que saquearon su aldea, {s9}.
qstr_{s9}_asked_you_to_ta|{s9} te ha pedido que lleves un mensaje a {s13}. Se cree que {s13} estaba en {s4} cuando se te encargó esta misión.
qstr_{s9}_asked_you_to_tak|{s9} te ha pedido que lleves un mensaje a {s13} de los {s15}. Se cree que {s13} estaba en {s4} cuando se te encargó esta misión.
qstr_{s11}_asked_you_to_e|{s11} te ha pedido que escoltes al obispo desde {s22} hasta {s14}.
qstr_{s11}_asked_you_to_r|{s11} te ha pedido que saquees un monasterio en {s14} y que le traigas {reg33} peniques.
qstr_{s11}_asked_you_to_es|{s11} te ha pedido que escoltes a sus {s17} {s13} hasta {s14}.
qstr_{s13}_asked_you_to_d|{s13} te ha pedido que te encargues de los bandidos que están ocupando el poblado de {s15} y que vuelvas para informarle.
qstr_{s9}_asked_you_to_ra|{s9} te ha pedido que reclutes {reg1} {s14} y que se los hagas llegar.
qstr_{s9}_asked_you_to_co|{s9} te ha pedido que recaudes impuestos de {s3}. Ofrece darte una quinta parte de lo recaudado.
qstr_{s9}_asked_you_to_hu|{s9} te ha pedido que captures a un fugitivo llamado {s4}. Se cree que ahora está en {s3}.
qstr_{s9}_asked_you_to_as|{s9} te ha pedido que asesines a un comerciante local en {s3}.
qstr_{s9}_has_asked_you_t|{s9} te ha pedido que enlaces con un espía en {s13}.
qstr_{s11}_asked_you_to_f|{s11} te ha pedido que sigas al espía que saldrá de {s12}. Ten cuidado, no dejes que el espía te vea o sospechará y se dará la vuelta. Una vez que el espía enlace con su cómplice, debes capturar a ambos y llevarles de vuelta a {s11}.
qstr_{s11}_asked_you_to_c|{s11} te ha pedido que captures a un señor de los {s13}, cualquier señor, y que arrastres a tu víctima de vuelta a {s11}.
qstr_{s9}_asked_you_to_le|{s9} te ha pedido que le dejes a tu compañero {s3} durante una semana.
qstr_{s9}_asked_you_to_col|{s9} te ha pedido que recaudes una deuda de {reg4} peniques que {s3} le debe. {s3} estaba en {s4} cuando se te encomendó esta misión.
qstr_{s11}_gave_you_a_fak|{s11} te ha hecho entrega de una carta falsa para engañar a {s13} y que destierre a su vasallo {s16}. Debes acercarte a {s14}, darle la carta a uno de tus {s15} y enviarle a la ciudad como mensajero, haciéndole creer que sus órdenes son reales.
qstr_{s9}_has_requested_y|{s9} te ha pedido que le lleves {reg1} {s3} como prisioneros.
qstr_Lend_your_experience|Presta a tu cirujano {s3} a {s1}.
qstr_Oh_Dear!_We_have_bee|¡Dios nos ha concedido un muchacho!
qstr_Oh_Dear!_We_have_rec|¡Dios mío, hemos tenido una niña!
qstr_Oh_Dear!_Twins_are_b|¡Dios mío, hemos sido bendecidos con gemelos!
qstr_Oh_dear_{playername}|Oh {playername}, estoy tan cansada. (Ella te sonríe). Debes ser paciente, llevaré al niño durante nueve meses.
qstr_I_m_thinking_of_a_na|Estoy pensando en un nombre para la criatura. Si tenemos un niño, su nombre será {playername}, pero si tenemos una niña su nombre será el mío.
qstr_I_m_fine._I_will_not|Estoy bien, y no voy a prestar atención a las bromas de los siervos. El niño no es hijo del porquero.
qstr_Time_flies_away_from|El tiempo transcurre lejos de la guerra, el miedo y los rigores del viaje... En nueve meses tendrás un hijo.
qstr_Then_take_it_with_my|Tómalo, y con él mi eternal gratitud. Eres una persona noble. Nunca olvidaré que me ayudaste cuando tuve necesidad.
qstr_Forgive_me_{playerna|Disculpa, {playername}, pero insisto en que lo aceptes. El dinero me importa poco, y te debo mucho. Tómalo y no hablemos más de esto.
qstr_{playername}_what_a_|{playername}, qué gran {reg59?mujer:hombre} eres, pero no permitiré que lo rechaces. Te debo más de lo que puedo darte y estoy seguro de que podrás utilizar este dinero mejor que yo.
qstr_I_know_you_re_at_war|Lo sé, estás en guerra con su reino, así que puedes tener un problema si le das mi mensaje, o quizás tu valentía te abandone.
qstr_{s11}_asked_you_to_d|{s11} te ha pedido que lleves un mensaje a {s3}.
qstr_Oh_{playername}_my_h|Oh, {playername}, mi marido está demasiado ocupado en asuntos de estado, ¿Serías tan amable de traerme {reg25} {reg1?piezas:pieza} de {s17}?
qstr_Oh_{playername}_coul|Oh, {playername} ¿Podrías hacerme un pequeño favor? Vi a un comerciante el otro día que vendía novedades junto a las puertas. Muy a mi pesar no puedo gastar el dinero a mi antojo ¿Serías tan amable de traerme {reg25} monedas de {s17}?
qstr_{s11}_asked_you_to_b|{s11} te ha pedido que le traigas {reg25} monedas de {s17}.
qstr_Oh_{playername}_my_hu|Oh, {playername}, mi marido, {s15}, está demasiado ocupado atendiendo cuestiones de estado, y me encantaría hacer una fiesta sorpresa en su honor. ¿Serías tan amable de traerme {reg25} botellas de {s17} y 2 quesos?
qstr_Oh_{playername}_could|Oh, {playername}, ¿Podrías hacerme un favor? Algunas amigas vienen a visitarme y me gustaría dar una fiesta en su honor. Muy a mi pesar no puedo gastarme el dinero a mi antojo... ¿Serías tan amable de traerme {reg25} botellas de {s17} y dos quesos?
qstr_{s11}_asked_you_to_br|{s11} te ha pedido que le traigas {reg25} botellas de {s17} y dos quesos.
qstr_{s11}_asked_you_to_re|{s11} te ha pedido que rescates a su {s17}, {s13}, de {s14} cambiando tus ropas por las suyas y ocupando su lugar en prisión.
qstr_{s11}_asked_you_to_res|{s11} te ha pedido que rescates a su {s17}, {s13}, de {s14}.
qstr_{s12}_asked_you_to_d|{s12} te ha pedido que entregues un mensaje a {s13}, que está prisionero en {s14}.
qstr_You_agreed_to_challe|Has aceptado retar a {s13} para defender el honor de {s11}.
qstr_{s11}_asked_you_to_di|{s11} te ha pedido que elimines, de forma discreta, a su antiguo amante, se cree que está en {s33}.
qstr_{s5}__Persuasion_str|{s5} (Fuerza de persuasión: {reg5})
qstr_Persuasion_Attempt|Intento de persuasión
qstr_I_think_your_dilemma|Creo que tu dilema puede arreglarse con {reg22} peniques.
qstr_Thank_you_for_the_wa|Gracias por la advertencia. {reg22} peniques harán que me olvide de todo el asunto.
qstr_Pay_{reg22}_peningas|Pagar {reg22} peniques por tu mala educación o bien...
qstr_{reg22}_peningas_is_|{reg22} peniques es el precio por mi silencio. De lo contrario...
qstr_I_understand_you_wer|Entiendo que te viste obligado a hacerlo, pero merezco una compensación, y creo que {reg22} peniques deberían ser suficiente. No me gustaría chivarme, pero tampoco tengo otra opción.
qstr_Prepare_to_die_you_i|¡Prepárate a morir, ladrón insolente!
qstr_Ah_a_duel._Well_if_y|Ah, un duelo. Bien, si insistes, {playername}, lo haré obligado.
qstr_Hmm_are_you_sure?_I_|Hmm... ¿Estás seguro? No creo que estés dispuesto a echar por tierra nuestra relación.
qstr_Hmm_isn_t_this_all_a|Hmm, ¿No resulta todo esto un poco precipitado? Tal vez tú y yo podríamos resolver este problema de un modo más gratificante...
qstr_I_always_knew_{playe|Siempre supe, {playername},de tu bajeza moral. En verdad, sólo el más miserable de entre los miserables pretendería ultrajar y chantajear a alguien que, sin lugar a dudas, es superior a {reg59?él:ella}. Pero, por muy grave que resulte semejante acusación, no me rebajaré a contestarte.
qstr_{playername}_is_it_w|{playername} ¿De verdad merece la pena batirse por esto? He aceptado que cometí un error al hacer eso ¿Qué más quieres de mí?
qstr_I_can_pay_you_{reg22|Puedo darte {reg22} peniques por las molestias ¡Pero ni uno más!
qstr_Given_my_poor_financ|Teniendo en cuenta lo ligera que anda mi bolsa, creo que {reg22} peniques por las molestias deberían ser suficiente.
qstr_I_only_have_mere_{re|Sólo tengo unos míseros {reg22} peniques. Tómalos y déjame en paz.
qstr_I_have_no_money_to_p|No tengo dinero que darte. 
qstr_Bless_you_{playernam|Que Dios te bendiga, {playername}. Esta es una decisión honorable, y no lo olvidaré.
qstr_This_is_not_only_an_|Esta no es sólo una decisión honorable, sino también una muestra de tu madurez política, {playername}.
qstr_Well_thank_you_{play|Bien, gracias, {playername}. Agradezco mucho tu amabilidad.
qstr_Maybe_I_was_wrong_ab|Puede que me haya equivocado contigo, {playername}. El tiempo lo dirá.
qstr_Welcome_to_Maedelste|Bienvenido a Maedelstede, lugar donde los extranjeros son bienvenidos, especialmente si vienen con plata. 
qstr_My_mead_hall_is_the_|Mi casa larga es la más grande de la ciudad. Eres bienvenido.
qstr_Make_yourselves_comf|Poneos cómodos. Os daré de beber y un lugar donde dormir. 
qstr_has_put_together_a_b|ha ofrecido una recompensa por algunos bandidos que han asaltado una de sus aldeas.
qstr_This_is_not_that_sim|No es tan fácil, pero puedo intentarlo. Creo que 300 peniques bastarán. ¿A qué facción te refieres?
qstr_Aha_my_favorite_one.|¡Aha! Creo que es mi favorito. 150 peniques deberían bastar. ¿Puedes decirme cuál es la facción del Señor en cuestión?
qstr_Doable_since_so_many|Doable, dado que hay tantos señores dispuestos a desenvainar la espada 250 peniques serán más que suficiente, creo. ¿Cuál es la facción del primer señor?
qstr_You_get_an_elite_Sax|Consigues una espada sajona de élite.
qstr_You_get_a_Long_Seax.|Consigues un Longseax.
qstr_You_get_a_beautiful_|Consigues una hermosa hacha larga.
qstr_You_get_a_great_long|Consigues un buen arco largo.
qstr_You_get_an_expensive|Consigues una carísima cota de malla.
qstr_You_get_an_expensive_|Consigues un carísimo camisa de malla.
qstr_You_get_an_expensive_h|Consigues un valioso yelmo.
qstr_A_villager_from_{s7}|Un campesino de {s7} te ruega que salves su poblado de los bandidos que se han refugiado allí.
qstr_Hey_what_do_you_want|¿Qué quieres? Estamos bebiendo.
qstr_Are_you_looking_for_|¿Estás buscando hombres dispuestos a arriesgar la piel a cambio de Gloria y riquezas?
qstr_There_is_food_and_dr|Hay comida y bebida para todos ¿Quieres unirte?
qstr_You_chose_well_{reg5|Habéis elegido bien, {reg59?señora:señor}. Mis muchachos saben mantener su palabra y ganarse la paga.
qstr_Well_done_{reg59?mad|Bien hecho, {reg59?señora:señor}. Haz que el dinero y el vino sigan fluyendo en nuestra dirección, y no habrá enemigo en el mundo que debas temer.
qstr_We_are_at_your_servi|Estamos a tu servicio, {reg59?señora:señor}. Señala a aquellos que necesitan un correctivo y nosotros haremos el resto.
qstr_Oh..._well..._I_do_n|Oh... bueno... no sé... creo que estoy bien. (Flemático).
qstr_Even_bad_dreams_spea|Hasta los malos sueños nos hablan. A mí me gusta escuchar. Puede que aprenda algo. (Melacólico)
qstr_Yes_I_had_a_nightmar|Sí, tuve una pesadilla, pero ahora estoy despierto. Lo único que importa es lo que hay delante. (Colérico)
qstr_All_is_well._Believe|Todo en orden. Créeme, sólo ha sido una estúpida pesadilla. (Optimista)
qstr_No_need_to_get_shy!_|¡No te avergüences! Me alegra verte repuesto, amigo mío.
qstr_I_prefer_not_to_drea|Prefiero no soñar. Los sueños traen recuerdos y anhelos. Me alegra verte repuesto, amigo mío.
qstr_Yes_we_are_finally_n|Sí, al fin estamos cerca de Friese. Allí, después de tantos días, nos separaremos. Mi viaje hacia West Seaxe continúa. Por ahora basta con verte bien, amigo mío.
qstr_I_agree_completely._|Estoy completamente de acuerdo. Por fortuna no suelo recordar mis sueños una vez despierto. Me alegro de verte recuperado, amigo mío.
qstr___She_has_aged_sever|--Ha envejecido mucho desde que enfermó. Está tan débil que da la sensación de que se romperá si la tocas. No es la mujer que conociste, es sólo una vaga sombra de ella, pero sigue siendo tu madre.--
qstr___She_smiles_and_look|--Sonrie y te mira con cariño.--
qstr___She_looks_past_you|--Mira detrás de ti.--
qstr___She_opens_her_eyes|--Abre los ojos y te mira. Sus manos tiemblan.--
qstr___She_shifts_her_gaz|--Mira hacia el mar. Está llorando.--
qstr___He_smiles_and_show|--Sonríe y te enseña el timón.--
qstr___He_stares_at_you_f|--Te mira un segundo, luego sonríe.--
qstr___He_nods.__|--Asiente.--
qstr___You_notice_his_han|--Notas que sus manos tiemblan de nervios.--
qstr___Now_he_looks_scare|--Ahora parece asustado.--
qstr___He_scratches_his_b|--Se rasca la espalda y luego sonríe.--
qstr___He_touches_the_hil|--Toca la empuñadura de su espada.--
