str_no_string|NO STRING!
str_npc_sange_2ary_morality_speech|{s21}.에 대한 여론은 당신에 대한 비난으로 이어질지도 몰라요. 그 전에 이런일이 없게 하는게 좋을테죠.
str_npc_paintrain_2ary_morality_speech|우리가 또 {s21}.한다면 나는 더 이상 이곳에 있을 수 없다네.
str_npc_hammertime_2ary_morality_speech|모두가 우릴 보고있어요. 그런 와중에 {s21}이라니. 명예를 잃으면 머지않아 병력도 잃게 될 거에요.
str_npc_tank_2ary_morality_speech|네 이놈 {playername}, 내가 언제 {s21}..따위를 하라고 가르치더냐. 스승의 얼굴에 똥칠을 할 셈이로구나 못난놈!
str_npc_backwoodsharry_2ary_morality_speech|아시잖아요. {s21}.라는건 결코 해선 안될 행동이라구요.
str_npc_deadeye_2ary_morality_speech|우리가 {s21}.같은 일을 반복한다면 부대는 사기를 잃고 뿔뿔히 흩어집니다. 스위스 반군이 성공할 수 있었던 것도 그들의 사기가 하늘같이 높아서죠.
str_npc_probulator_2ary_morality_speech|또 이런 일이 벌어진다면 모두가 의지를 잃고 제갈길을 떠나겠죠. 저는 혹독한 여행을 해봐서 잘 알고 있습니다.
str_npc_grim_2ary_morality_speech|너도 잘 알것이다 나의 안다 {playername}, {s21}...내가 가장 싫어하는 일이 무엇인지 말이다.
str_npc_enchantress_2ary_morality_speech|{s21}. 우리는 좀 더 신중해져야 할 것 같소
str_npc1_personalityclash_speech|들어주세요. {s11} 때문에 점점 지쳐가네요, 그녀의 난폭한 행동은 도무지 이해할 수가 없어요.
str_npc2_personalityclash_speech|친구. 내가 귀족들의 착취에 대항해서 도적이 되었다는 얘긴 들었지? 영국만이 아니야. 모든 선량한 사람들은 자신들의 삶을 지키며 살아갈 권리가 있다고.
str_npc3_personalityclash_speech|{playername}, 한가지 조언하자면 {s11}는 포악하고 잔인한 인물인 것 아요. 부하를 아무렇게나 다루는 군요.
str_npc4_personalityclash_speech|제 검은 녹슨 갑주의 거인에게 받는 것이죠. 이 얘기를 {s11} 에게 했더니 말도 안 된다며 비웃더군요.
str_npc5_personalityclash_speech|잠시 시간 좀 빌려주세요, 대장. {s11} 는 저를 포악한 약탈자로 취급하는 것 같아요, 제 고향에서는 부족마을이 다른 부족마을을 공격해서 전리품을 얻는 것은 흔한 일은 아니었지만 불명예스러운 일은 아니었는데 말이죠.
str_npc6_personalityclash_speech|주군,  {s11}는 대체 뭐 하는 여자입니까? 얼마 전 제 안대에 손을 대고 이상한 주문을 외우더군요. 그러면서 하는 말이 종교를 믿으랍니다.
str_npc7_personalityclash_speech|대빵, 나는 동양여자에게 편견은 없지만 너무 내숭떠는 여자는 좋아하지 않아. {s11} 하는 짓을 보면 가끔 토가 쏠린다고.
str_npc8_personalityclash_speech|한가지 조언을 하겠습니다. {s11}. 이 작자는 대체 뭐 하는 사람이죠? 그의 말을 믿고 이상한 약재를 먹은 제 훈련병들이 배탈에 시달리고 있습니다. 
str_npc9_personalityclash_speech|{playername} -- {s11}는 부하들을 좀더 부드럽게 다뤄야 합니다. 매일 같은 대련으로 모두 피멍이 들어있어요. 그래서 한마디 했더니 도통 듣질 않는군요.
str_npc10_personalityclash_speech|실례합니다, {playername}. 전 동료와 다투고 싶지 않지만 {s11}는 도가 지나치군요. 그는 저를 부엌데기 취급한다구요.
str_npc11_personalityclash_speech|대장 용서하십시오. 하지만 가만히 있을 순 없군요. {s11}은 예전에 모시던 여포라는 자를 아직도 잊지 못하고 있습니다.
str_npc12_personalityclash_speech|대장님, 부관 중에 원시인이 한 명 있는 것 같습니다. {s11}가 머리가 아프다길래 뇌수술을 권장했더니 그게 뭐냐고 묻더군요. 그래서 자세히 설명해줬습니다.
str_npc13_personalityclash_speech|{s11}, 나는 이 사람이 의심스럽군. 그의 옛 주군이라던 여포라는 자에 대한 이야기 하던 중이었다네.
str_npc14_personalityclash_speech|대장. 어째서 {s11} 같은 여자를 부대에 두는 겁니까? 그녀는 전투의 초보가 분명합니다.
str_npc15_personalityclash_speech|죄송합니다만, {s11}은 우리 부대에 있어서 위험한 존재인 것 같습니다. 그저 제 생각이겠지만 그녀는 흉악하고, 잔인하며 동료를 존중할 줄 모릅니다.
str_npc16_personalityclash_speech|너도 알겠지만 {s11}, 이년은 완전히 미쳤어. 벽에 이상한 낙서를 하고, 혼자 중얼거리더라고.
str_npc_bashe_personalityclash_speech|나으리, 저는 {s11}에게 완전 지쳤어요, 말이 도통 통하질 않는다구요.
str_npc_sange_personalityclash_speech|지휘관님, 저는 {s11}에게 할말이 아주 많습니다.
str_npc_paintrain_personalityclash_speech|{s11}은 유쾌한 미친놈이군.
str_npc_hammertime_personalityclash_speech|{s11}은 저와 잘 맞지 않는군요.
str_npc_tank_personalityclash_speech|{s11}도 미친놈이 틀림없다.
str_npc_backwoodsharry_personalityclash_speech|친애하는 대장, {s11}는 이상해요. 전 그가 마음에 들지 않아요.
str_npc_deadeye_personalityclash_speech|{s11}는 계속 제게 독설일 내뱉는군요.
str_npc_probulator_personalityclash_speech|{s11}는 절 싫어합니다.
str_npc_grim_personalityclash_speech|{s11}란 놈은 정신이 있는 자인가!
str_npc_enchantress_personalityclash_speech|허생은 정말 괴팍한 자로군.
str_npc1_personalityclash_speech_b|그녀는 싸움에 미친 여자입니다, 제게도 한번 붙어보자고 하더군요. 오 맙소사!
str_npc2_personalityclash_speech_b|내 말은 {s11}이 마을을 약탈한 일에 대해서 으스대는 것을 더 이상 들어줄 수 없다 이거야, 그 미친놈은 선량한 사람들의 삶을 파괴한 일을 자랑하고 다닌다고.
str_npc3_personalityclash_speech_b|군대에서는 강한 자제심이 중요하다고 알고 있는데, 잔인한 행위를 대놓고 즐기고 있다구요. 실례.
str_npc4_personalityclash_speech_b|절 망상에 빠진 허언증환자 따위로 취급했어요!...그러고 보니 당신도 처음에 그랬던 것 같은데....
str_npc5_personalityclash_speech_b|용병일을 하면서 느낀거지만 남에 것을 뺏는 것에 일일이 죄책감을 느껴서는 이 험한 일을 할 수가 없어요. 그는 우리와 맞지 않는 것 같네요.
str_npc6_personalityclash_speech_b|저는 가상의 아무개 따윈 믿지 않습니다. 그녀가 저를 계속 귀찮게 해서 지치는 군요.
str_npc7_personalityclash_speech_b|우린 싸움꾼들이라고. 싸우는 주제에 치마를 입고 다리를 감추는 일에만 신경 써서는 병사들이 죽어나간다고. 조만간 덮쳐서 바지를 입혀 버리겠어.
str_npc8_personalityclash_speech_b|뻔뻔스러운 {s11}가 제 항의를 듣고서는 사실 실험이었다 라고 자백하더군요. 이 작자를 막지 않으면 적과 싸우기도 전에 전멸할 겁니다.
str_npc9_personalityclash_speech_b|그가 계속해서 고집을 피운다면, 저는 그와 결투를 할지도 모릅니다. 말을 듣지 않는다면 무력을 사용할 수 밖에요.
str_npc10_personalityclash_speech_b|제가 전투에 그리 도움이 되지 못한 것은 사실이지만 그 외에 부분에선 항상 노력하고 있다고요. 그는 제 노력을 완전히 무시하고 자기가 살던 곳의 여자들은 어땠느니 하면서 말 같지도 않은 소릴 하고 있어요.
str_npc11_personalityclash_speech_b|만일 그 여포라는 자와 대면한다면 그는 배반할 지도 모릅니다. 이래도 그를 부대에 계속 나두실 겁니까?
str_npc12_personalityclash_speech_b|그랬더니 저를 미친 사람 취급하더군요. 아니 요즘 시대에 뇌수술 한번 안해본 사람이 어디있습니까? 이 여자는 오지의 산속에 틀어박혀있다 이제 막 나온게 틀림없어요.
str_npc13_personalityclash_speech_b|그가 여포의 무용은 천하제일이라고 하자 내가 대답했지. 그 또한 내 검 앞에 쓰러질 것이다. 그러자 노발대발하며 동료만 아니었다면 나를 쳤을 거라는군 허허 참. 지금 그의 주군이 어느 쪽인지 매우 의심스럽군.
str_npc14_personalityclash_speech_b|의무병으로의 능력은 인정하지만 그것만으로는 우리와 동행하기에 역부족입니다.
str_npc15_personalityclash_speech_b|그녀가 우리의 병사들 두들겨 패려고 하는 것을 제가 말렸습니다. 그랬더니 저에게 검을 향하는 군요. 현명한 지휘관이라면 그런 여자를 부대에 두지 않을 겁니다.
str_npc16_personalityclash_speech_b|악마를 소환하려는 거라면 도와주겠다고 했더니 미친 소리하지 말라더군. 수학공식이라나 뭐라나 둘러대는 꼴이 우스워서 나 원.
str_npc_bashe_personalityclash_speech_b|제가 제 방식대로 사는 것에  왜 참견 받아야하죠? 제 일도 나쁘지만은 않다구요.
str_npc_sange_personalityclash_speech_b|어쩌면 저도 모르게 저주를 걸어버리게 될지도 모르겠군요. 그 전에 그 사람이 제게 시비걸지 못하게 막아주셔야 할겁니다.
str_npc_paintrain_personalityclash_speech_b|{s11}이 내가 하는 일에 대해 궁금해 하길래 좀 알려줬더니 나더라 치매걸린 노인이라 하지 뭔가!
str_npc_hammertime_personalityclash_speech_b|{s11}는 제가 하는 모든 일에 사사건건 반대하고 있어요. 제가 무언가 잘못한 기억은 없는데. 어디서 미운털이 박힌건지 알수가 없군요.
str_npc_tank_personalityclash_speech_b|{s11}가 혼자 중얼거리는 것을 들었다, 정신나간 무당을 보는 듯 하더구나. 나는 저 미친놈이 언제 내게 칼춤을 추게 될지 두렵기만 하다.
str_npc_backwoodsharry_personalityclash_speech_b|{s11}은 제게 말투가 정말 공격적이에요. 그는 정말 예의가 없어요. 전 그를 증오해요
str_npc_deadeye_personalityclash_speech_b|{s11}가 왜 저를 싫어하는지는 알것 같지만 계속 이런다면 둘 중 하나는 떠나야 할 겁니다.
str_npc_probulator_personalityclash_speech_b|그는 저같은 북유럽인을 좋아하지 않는 것 같습니다. 바이킹들에 대한 좋지않은 소문들 때문일까요. 그런데 전 바이킹이 아니란 말입니다. 물론 그런 친구들은 많이 알고 지내지만...{s11}는 참 편견이 많은 사람이군요.
str_npc_grim_personalityclash_speech_b|어째서 벌거벗고 다니는 원숭이 같은 {s11}를 데리고 있는 것인가, {안다여/안다여}, 그놈이 더러운 냄세를 풍기며 천막을 기웃거리는 꼴을 언제까지 봐야하는 것이냐?
str_npc_enchantress_personalityclash_speech_b|저런 인간은 본적이 없어. 하는 말 하나 하나가 마치 독약을 푸는 것 같은 남자군.
str_npc1_personalityclash2_speech|아아 -- 저 뒤쪽에서 부상당한 적의 목을 베는 {s11}을 도저히 좋아할 수 없습니다. 제 상식으로는 도저히 상상할 수 없는 짓을 하는군요.
str_npc2_personalityclash2_speech|{s11}은 분별없는 살인자 같군! 지난번 전투에서 민간인이 말려들었는데 가차없이 그 씨뻘건 창을 던져 적병과 민간인을 창꽂이로 만들어 버렸다고.
str_npc3_personalityclash2_speech|{playername}, 제가 당신의 일행이 된 이후, 저는 전사로 살기 위한 방법과 명예스러운 전사의 규범을 배우려고 부단히 노력했습니다. 만일 제가 가끔식 실수를 저지르더라도 용서해주셨으면 합니다.
str_npc4_personalityclash2_speech|{s11}! 그녀가 저를 모욕했습니다!. 제 검과 녹슨 갑주 거인의 이야길 듣더니 자기 모자를 가리키곤 엉덩이가 세 개인 붉은 속옷의 거인에게 받은 마법 모자라 하더군요.
str_npc5_personalityclash2_speech|대장. {s11}은 제게 편견을 가지고 있는 것 같습니다.
str_npc6_personalityclash2_speech|주군. 지난 전투에서 {s11}을 보셨습니까? 그는 적 장수와의 일대일 싸움에 집착해서 적 병사들의 처리를 다른 사람에게 떠맡기고 있습니다.
str_npc7_personalityclash2_speech|대빵. 얼마 전에 {s11}와 대화를 하는 중에 이상한 얘길 들었어. 글쎄 자기가 불사신이고 성배를 찾고 있다나 뭐라나.
str_npc8_personalityclash2_speech|{playername}. {s11}은 아주 무례한 여자더군요. 제가 한층 친절하게 예의를 갖추어도 불손하기만 하군요.
str_npc9_personalityclash2_speech|{playername}, 제 생각에 {s11} 이 녀석은 자기 분수를 모르는군요. 제가 던진 투창이 닿기도 전에 자신의 화살이 적을 맞춘 것을 확인하곤 저에게 윙크를 하더군요.
str_npc10_personalityclash2_speech|{playername}, 궁금한게 있어요. 어째서 당신 같은 사람이 {s11}과 함께 있는 거죠?
str_npc11_personalityclash2_speech|대장. {s11}의 태생이 야만스러운 것은 알고 있었지만 정도가 심하군요. 이 대륙에 온 것이 꽤 된 것으로 알고 있는데 그는 배운 것이 아무것도 없는 모양입니다.
str_npc12_personalityclash2_speech|대장님. 저는 더 이상 지독하게 무식한 {s11}와 함께 지내지 못하겠습니다. 지난 전투에서 제가 부상당한 병사의 수술 고통을 덜어주기 위해 아편제를 쓰는 것과 치료를 위해 꿀 습포제를 쓰는 것을 보고는 절 비웃더군요.
str_npc13_personalityclash2_speech|{s11}은 이 위대한 전사라는 말을 들었네. 군대는 위계질서가 중요하기에 동료와 싸울 생각은 없지만 가벼운 대련 정도는 해보고 싶었지.
str_npc14_personalityclash2_speech|대장. {s11}은 변덕이 심한 여자입니다. 작은 논쟁이 있었는데, 제가 그녀의 사연을 듣고 당신은 훌륭한 암살자다. 라고 칭찬했더니 오히려 화를 내는 군요.
str_npc15_personalityclash2_speech|대장님 -- {s11}가 군의로 적합한지 물어보고 싶군요. 지난 전투에서 그가 부상당한 병사들을 돌볼 때, 악숨뿌리의 증류수가 과다출혈로 인한 체액 불균형을 회복시켜 준다고 말했죠.
str_npc16_personalityclash2_speech|{s11}라는 계집은 대체 왜 있는 거야? 우린 전투집단이잖아? 설마 관상용인가?
str_npc_bashe_personalityclash2_speech|{s11}은 정말 신경질적이네요. 나에게만 그런가... 
str_npc_sange_personalityclash2_speech|{s11}은 절 마녀라고 부르더군요.
str_npc_paintrain_personalityclash2_speech|나는 {s11}을 포기했다.
str_npc_hammertime_personalityclash2_speech|{s11}에게 슬슬 지치려하네요.
str_npc_tank_personalityclash2_speech|{s11}. 이놈도 정상이 아니구나.
str_npc_backwoodsharry_personalityclash2_speech|저는 {s11}에게 조금 지쳤어요.
str_npc_deadeye_personalityclash2_speech|{s11}은 저와 맞지 않습니다.
str_npc_probulator_personalityclash2_speech|{s11}에게 두손 두발 다 들었습니다.
str_npc_grim_personalityclash2_speech|나는 {s11}에게 완전히 지쳤다.
str_npc_enchantress_personalityclash2_speech|{s11}은 귀찮은 자로군.
str_npc1_personalityclash2_speech_b|복수를 막기위한 행동이라며 자신을 변호하더군요. 그녀의 방식은 분명 문제가 있어요.
str_npc2_personalityclash2_speech_b|녀석의 실력이라면 굳이 그럴 필요가 없는데 도무지 이해할 수가 없군.
str_npc3_personalityclash2_speech_b|지난 전투에서 승리한 후, 좋은 검을 하나 얻었어요. 그때 {s11}이 제 손에 있는 검을 빼앗더니, 자신이 죽인 사람의 것이라고 하면서 자기가 가져야 한다고 하더군요. 단순히 무기 욕심이 동했을 뿐, 거짓말이 틀림없습니다. 만약 {s11}가 검을 가져야 마땅하다고 생각하신다면, 기꺼이 그녀에게 주겠습니다.
str_npc4_personalityclash2_speech_b|어이가 없어서 머리가 어떻게 된거 아니냐고 했더니 녹슨 갑주의 거인이나 엉덩이 세개 거인이나 뭐가 다르냐며 따지더군요! 절 완전히 바보 취급하는 것 아니겠습니까?
str_npc5_personalityclash2_speech_b|그녀는 흑인을 증오하는 것이 틀림 없어요, 쓰러진 적에게 제 부족의 주술을 외워 주었더니, {s11}이 기겁을 하면서 죽인 것도 모자라 저주를 내리다니 저더러 악마가 틀림없다고 하더군요. 전 단지 그에게 자연이 따스하게 품어주기를 빌어주겠다는 염을 외웠을 뿐인데 설명해서 통 믿질 않는군요.
str_npc6_personalityclash2_speech_b|주군. 전투는 적장을 잡는 것만으로 끝나지 않습니다. 일기토 따윈 허황된 얘기라는 거죠. 그는 병사들과의 전투에 좀 더 신경 써야 합니다.
str_npc7_personalityclash2_speech_b|어이가 없어서 조금 놀려주었더니 무진장 화를 내더라고. 농담도 구분 못하는 멍청이가 무슨 성배를 찾겠다는 건지 이해할 수가 없네. 이런 고지식한 남자랑 계속 함께 해야 하는 거야?
str_npc8_personalityclash2_speech_b|제가 검술을 알려주겠다고 하자 자긴 자기방식이 있다며 거절하더군요. 제가 보기에 그녀의 검술은 형편없습니다. 의무병으로의 능력은 인정하지만 자기 몸을 지키지 못해서야 의무병의 임무도 수행 할 수 있을 리 없습니다. 남에게서 배우는 것에 거부감을 느껴서는 안됩니다.
str_npc9_personalityclash2_speech_b|전투에서 전과를 올리는 것은 죄가 아니지만 저는 그의 행동에서 모욕감을 느꼈습니다..
str_npc10_personalityclash2_speech_b|그가 말하더군요. 자기는 살인이 업이라 의뢰만 있다면 저도 죽일 수 있다고요. 그가 의뢰만 있다면 당신을 죽일 수도 있다고 생각 안 해보셨나요?
str_npc11_personalityclash2_speech_b|적을 죽인 것은 당연한 겁니다. 칭찬할 일이죠. 하지만 그 시체를 모욕할 필요는 없다고 생각합니다. 그가 무슨 사악한 주술을 사용한 것인지는 알 수 없지만 다행히 노르드 신의 힘으로 정화할 수 있었습니다. 우리의 신은 용맹스럽게 싸우다 죽은 사람에게 신의 곁에서 권세를 누릴 것을 보장하였습니다. 그 시체를 농락하는 일은 있을 수 없는 일이죠.
str_npc12_personalityclash2_speech_b|대장님 ,그녀가 조금이라도 생각이 있다면 제가 행하는 의술이 굉장한 수준이라는 것을 눈치 챌 수 있어야 해요. 그녀 자신은 기계를 다루는 지식인인척 하지만 속은 텅텅 빈 것이 틀림 없다구요.
str_npc13_personalityclash2_speech_b|하지만 그는 거절하더군. 자신의 창은 무조건 적의 심장을 노리는 마창이라며 가벼운 싸움자체가 안된다는군. 그는 정신착란이 있는 것이 틀림없네. 어떻게 그런 정신 나간 말을 제정신으로 할 수 있단 말인가? 미친 사람과 등을 맞대는 것이 과연 잘하는 일인가는 자네의 판단이 필요할 것 같군.
str_npc14_personalityclash2_speech_b|그녀가 한일은 하샤신 교본에 적어도 될 만큼 훌륭한 암살공작이었습니다. 칭찬에 대해 감사할 줄 모르는 여자군요.
str_npc15_personalityclash2_speech_b|하지만 그것은 전혀 근거가 없어요. 의학에 대해 많은 지식을 가진 것은 아니지만 적어도 그가 사기꾼이라는 것은 보증할 수 있다구요. 어째서 그런 무능한 의사를 군의로 두신 거죠?
str_npc16_personalityclash2_speech_b|관상용이라기엔 그 여자에게 들어가는 돈이 너무 아깝다고. 쫓아내고 좀더 싼 걸로 구하는게 어떨까?
str_npc_bashe_personalityclash2_speech_b|{s11}는 절 아주 깔보고 있어요. 싸구려 취급에는 익숙하지만 동료에게 이런 취급을 받는건 참기 힘들군요.
str_npc_sange_personalityclash2_speech_b|전 마녀가 아닙니다. 하지만 {s11}이 절 마녀로 만들어 버릴지도 모르겠군요.
str_npc_paintrain_personalityclash2_speech_b|{s11}의 무식함은 자네를 초월하네. 무슨 말을 해도 통 알아듣질 못하니 당나귀에게 말을 가르치는 편이 빠르겠군.
str_npc_hammertime_personalityclash2_speech_b|대장님. {s11}는 전투에서 독불장군이라구요. 다른 사람의 의견을 귀담아 들을 줄 모르는 사람이로군요.
str_npc_tank_personalityclash2_speech_b|네 녀석이 무슨 생각으로 {s11}를 달고 다니는지 이해 할 수가 없다. 네놈만큼이나 괴상한 놈들으 모아서 무엇을 할 작정인게냐.
str_npc_backwoodsharry_personalityclash2_speech_b|언제부턴가 {s11}과 사이가 나빠지더니 이젠 저를 대놓고 없는 사람 취급이네요.
str_npc_deadeye_personalityclash2_speech_b|전투에서 {s11}과 다투다 죽을 뻔 했습니다. 이렇게 저와 안맞는 사람은 또 처음이군요.
str_npc_probulator_personalityclash2_speech_b|{s11}의 이기적이고 무모한 행동은 무리를 위험에 빠트릴 겁니다. 탐험대를 이끌던 제가 하는 말이니 틀림없죠.
str_npc_grim_personalityclash2_speech_b|안다여. 나는 더 이상 {s11}놈을 두고 볼 수 없다. 놈은 초원의 부족들을 양치기 무리라며 조롱했다. 양치기의 검이 얼마나 잘드는지 이제 보여줄 때다!
str_npc_enchantress_personalityclash2_speech_b|모든 것을 순리대로만 생각하는 샌님이 틀림없어. 그와 대화하면 머리가 지끈 거린다네.
str_npc1_personalitymatch_speech|{playername}, {s11}이 뒤에 있지 않앗다면 최근 싸움이 모두 나빠질수있엇을거에요.그는 역시 좋은 사람이에요. 
str_npc2_personalitymatch_speech|친구. {s11}이 우리와 함께해서 정말 다행이야. 그녀는 최고라고.
str_npc3_personalitymatch_speech|{s11}은 우리 중 가장 용감한 사람이에요. 목숨이 두 개인 사람처럼 몸을 사리지 않고 싸우는 분이죠.
str_npc4_personalitymatch_speech|실례. {s11}을 칭찬하고 싶다는 말을 전하고 싶군요. 그는 최근 전투에서 최고였습니다.
str_npc5_personalitymatch_speech|시원한 전투였어요. {playername}! {s11}은 전투에서 가장 앞섰고 수많은 적에게 둘러 쌓여서도 눈 한번 깜빡이지 않고 검을 휘두르더군요.
str_npc6_personalitymatch_speech|주군. 전투를 여러 차례 겪다 보면 반드시 부상당하는 일이 생기더군요. 제 눈을 보세요. 조조와의 마지막 결전에서 다쳤지만 제대로 치료받지 못해 애꾸가 되버렸습니다.
str_npc7_personalitymatch_speech|대빵. {s11}에 대해 이야기 해야겠어. 얘는 무슨 들짐승 같지만 나랑 잘 통하는 것 같아. 
str_npc8_personalitymatch_speech|교과서적인 전투였습니다. 이 말만은 해야겠군요. {s11}의 검술에 완전히 감동했습니다.
str_npc9_personalitymatch_speech|{s11}는 훌륭한 군의관입니다. 그녀 덕에 다친 팔이 말끔히 나았습니다.
str_npc10_personalitymatch_speech|{s11}는 정말 멋져요. 싸움도 잘할 뿐더러 냉철한 판단력을 가지고 있죠. 사실 겉은 냉정하지만 속은 따뜻한 사람이라구요.
str_npc11_personalitymatch_speech|{s11}은 나날이 발전하고 있습니다. 그녀를 처음 봤을 때와 지금은 하늘과 땅만큼이나 차이가 있죠.
str_npc12_personalitymatch_speech|역시 같은 고향을 가진 사람은 절 인정해주는군요. {s11}은 화타님을 알고 있고 제가 그 제자라는 말에 깜짝 놀라더군요.
str_npc13_personalitymatch_speech|당신의 부대에 굉장한 검술가가 있군. {s11}, 그녀는 자신의 아버지로 물려받은 검술을 내게 보여주었소. 지금 당장 나와 겨룰 경지는 아니지만 머지않아 호적수가 될 거요.
str_npc14_personalitymatch_speech|대장. 제 옆에 {s11}와 같은 사람이 함께 전투를 한다는 것은 영광입니다.
str_npc15_personalitymatch_speech|대장님. 최근 전투를 치른 후 저는 {s11}과 이야기를 나누었고 그 사람이 비록 어두운 과거를 가졌지만 매우 뛰어난 머리를 가진 사람이라는 것을 확신하게 됐어요.
str_npc16_personalitymatch_speech|오 이 부대에 얼치기들만 있는게 아니었나보군 {s11}는 정말 대단해! 
str_npc_bashe_personalitymatch_speech|나으리. {s11}는 참 좋은 사람이군요.
str_npc_sange_personalitymatch_speech|지휘관님. {s11}은 저와 죽이 잘 맞네요.
str_npc_paintrain_personalitymatch_speech|{s11}은...음 잘 빠졌구만!
str_npc_hammertime_personalitymatch_speech|흠 {s11}는 정말 말을 잘해요! 이야기를 듣다보면 밤을 꼬박 새는 줄도 모를 지경이랍니다.
str_npc_tank_personalitymatch_speech|흠흠 {s11}라는 처자가 아주 제법이구나. 저 잘록한 허리하며 흠흠...
str_npc_backwoodsharry_personalitymatch_speech|{s11}는 정말 멋집니다. 그가 절 보는 눈빛이 절 좋아한다고 말해주고 있거든요.
str_npc_deadeye_personalitymatch_speech|저는 아내가 있지만...당신도 이해하겠죠 {s11}은 정말 잘 빠졌군요.
str_npc_probulator_personalitymatch_speech|{s11}은 괴물입니다. 대장.
str_npc_grim_personalitymatch_speech|안다여 스파르타쿠스라는 자는 아주 흥미롭구나.
str_npc_enchantress_personalitymatch_speech|부대를 이끈다는 것은 어려운 일이지. 당신은 잘 해내고 있는 것 같군.
str_npc1_personalitymatch_speech_b|그가 아니었다면 전 버틸 수 없었을 거에요. 전 그가 우리와 함께해서 기뻐요.
str_npc2_personalitymatch_speech_b|우리 지금 당장 동양으로 가보는게 어떨까? 비슷한 아가씨들이 잔뜩 있겠지?
str_npc3_personalitymatch_speech_b|제가 본받아야 할 전사의 모습을 그에게서 찾은것 같아요.
str_npc4_personalitymatch_speech_b|당신은 그를 우리 부대에 아주 잘 데려온 거에요. 그는 싸움에 관해서 아주 잘 알고 있고 날 존중해 주는 편이죠.
str_npc5_personalitymatch_speech_b|그와 같은 사람과 같은 편이라는 게 정말 다행이에요. 적이었다면 용병의 맹세도 집어치우고 도망쳤을 겁니다. 그가 찾는 다던 성배를 꼭 찾았으면 좋겠군요.
str_npc6_personalitymatch_speech_b|제가 하고 싶은 말은, {s11}가 부대에 있다는 것은 큰 행운이라는 겁니다. 화타의 명성은 여포군에서도 자자 했었죠. 그의 제자라니 그와 함께 있는 것만으로도 큰 영광입니다.
str_npc7_personalitymatch_speech_b|나중에 배를 사게 되면 같이 바다를 주름잡기로 했지. 그러기엔 아직 멀었으니까 긴장타지 말라고.
str_npc8_personalitymatch_speech_b|그의 검은 마치 그림을 그리는 붓과 같이 유연합니다. 저는 검술에서 찌르기가 가장 효율적인 방식이라 생각했지만 검성에게는 그러한 상식이 통하지 않는 것 같더군요. 아버지가 살아계셨더라면 분명 그를 보고 경악하셨을 겁니다.
str_npc9_personalitymatch_speech_b|그녀는 아름답기도 하죠. 치료를 받을 때 마다 여러 가지 생각이 들어 감추는데 어려움이 있었습니다.
str_npc10_personalitymatch_speech_b|그녀를 보면서 저도 희망을 가져요. 언젠가 내가 저렇게 될 수도 있을까 하고.
str_npc11_personalitymatch_speech_b|언젠가 그녀는 훌륭한 지휘관이 될 겁니다. 제가 보장하죠.
str_npc12_personalitymatch_speech_b|다른 무식쟁이들과는 다른 것 같습니다. 이제야 제 의술을 인정해주는 사람을 만났군요. 그 보답으로 조만간 그에게 머리가 똑똑해지는 뇌수술을 해줄 생각입니다.
str_npc13_personalitymatch_speech_b|비록 그때가 되면 내가 늙어서 칼을 들 수 없을지도 모르지. 그녀의 검술에 대한 열정은 정말 대단하오. 고향에 두고 온 아내만 아니었더라면 혹했을지도 모르겠군.
str_npc14_personalitymatch_speech_b|그녀의 총포술은 제가 배우고 싶을 만큼 환상적입니다. 거기다 머리도 명석해서 각종 기계를 직접 만들고 다루더군요. 하샤신이 건재했다면 전 그녀를 수제자로 키웠을 겁니다.
str_npc15_personalitymatch_speech_b|전쟁을 머리로 하는 겁니다. 그와 같이 뛰어난 머리를 가진 사람이 부대에 한 명이라도 더 많아야 우리가 수월하게 대업을 이룰 수 있을 거라고 봅니다.
str_npc16_personalitymatch_speech_b|핸드건? 그녀의 무기도 대단해! 머리에 구멍을 뻥뻥 뚫어대는게 어찌나 통쾌한지. 배워보려고 했지만 관리가 너무 번거로워서 내 성격에 무리더군. 그녀가 총을 쏠 땐 꼭 옆에 붙어있어야겠어.
str_npc_bashe_personalitymatch_speech_b|제 일에 대해서 편견도 없고...오랜만에 진솔한 대화를 해본 것 같네요. 부대안에서 갑갑했는데 이제 좀 살 것 같달까.
str_npc_sange_personalitymatch_speech_b|이 사람은 세간의 평가는 전혀 신경쓰지 않고 절 있는 그대로 봐주었습니다. 정신이 똑바른 사람이에요.
str_npc_paintrain_personalitymatch_speech_b|내 수많은 선과 면을 그려봤네만 저렇게 아름다운 선과 면의 집합체는 본적이 없다네! 아...여체의 신비여...저 가슴크기와 저 하반신 크기를 어쩌구저쩌구 면에 세제곱으로 곱하면...이...이것이 황금비율? 유레카! 
str_npc_hammertime_personalitymatch_speech_b|물론 {s11}도 제 얘기를 잘 들어주고 있어요. 덕분에 제가 부대에서 버틸 수 있달까.
str_npc_tank_personalitymatch_speech_b|집에 돌아가면 바가지만 긁는 처가 기다리고 있으니... 내 실컷 {s11}를 보면서 눈요기라도 해야겠다. 스승도 남자이니라 험험.
str_npc_backwoodsharry_personalitymatch_speech_b|{s11} 덕분에 이 힘든 여정을 버틸 수가 있어요.
str_npc_deadeye_personalitymatch_speech_b|그녀를 부대에 둔것은 정말 잘한 일입니다. 눈이 즐겁군요. 제 시력이 좋아서 돌아가신 부모님께 감사드릴 지경입니다.
