dlga_event_triggered:upgrade_talk|네? {s65}?
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.16|Build a library.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_pretalk|아무것도.
dlga_dplmc_chamberlain_manage_fiefs_build_confirm_ask:dplmc_chamberlain_manage_fiefs_confirm|정말 {s2}에 {reg5} {s4}을 지으시 겠습니까? 그것은 {reg6}일쯤 걸릴 것입니다. 우리는 현재 금고에 {reg7}실버를 가지고 있습니다.
dlga_dplmc_chamberlain_manage_fiefs_confirm:dplmc_chamberlain_pretalk|그렇네.
dlga_dplmc_chamberlain_manage_fiefs_confirm:dplmc_chamberlain_pretalk.1|아니, 나는 돈이 없군.
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_pretalk|나는 재산목록을 관리하고 싶네.
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_dismiss_confirm_ask|당신을 해고하겠네.
dlga_dplmc_chamberlain_dismiss_confirm_ask:dplmc_chamberlain_dismiss_confirm|당신은 정말 재정 업무을 당신 스스로 다루시겠습니까?
dlga_dplmc_chamberlain_dismiss_confirm:dplmc_chamberlain_dismiss_confirm_yes|맞네. 그렇게 하겠네.
dlga_dplmc_chamberlain_dismiss_confirm:dplmc_chamberlain_pretalk|아니네.
dlga_dplmc_chamberlain_dismiss_confirm_yes:close_window|당신의 바램대로. 문서들과 당신의 재산들을 넘겨드리겠습니다.
dlga_dplmc_chamberlain_talk:close_window|아니오, 나는 단지 문서들의 점검하길 원했네.
dlga_spouse_talk:dplmc_spouse_staff_talk_ask|나는 새로운 참모를 고용하고 싶소.
dlga_dplmc_spouse_staff_talk_ask:dplmc_talk_staff|어느 참모를 고용하고 싶으십니까?
dlga_dplmc_talk_staff:dplmc_talk_appoint_constable|나는 군사 담당관을 임명하고 싶소.
dlga_dplmc_talk_appoint_constable:dplmc_talk_appoint_constable_confirm|현명한 생각이십니다. 제가 우리 가문과 친분이 있는 매우 유능한 귀족을 추천해도 되겠습니까? 그의 이름은 마일즈 드 글로스터 입니다. 그는 매주 15실버를 원합니다. 임명하는데는 20실버의 비용이 듭니다.
dlga_dplmc_talk_appoint_constable:dplmc_talk_appoint_constable_confirm.1|I have heard good things about a local nobleman, and I believe he would be well-suited for the job. He demands 15 scillingas each week, though. The appointment will cost us 20 실버.
dlga_dplmc_talk_appoint_constable:dplmc_talk_appoint_constable_confirm.2|That's a wise idea. May I suggest a very capable nobleman and friend of my family? He demands 15 scillingas each week, though. The appointment will cost us 20 실버.
dlga_dplmc_talk_appoint_constable_confirm:dplmc_talk_appoint_confirm_yes|그렇게 하게.
dlga_dplmc_talk_appoint_constable_confirm:spouse_pretalk|나중에 하세.
dlga_dplmc_talk_appoint_constable_confirm:minister_pretalk|나중에 하세.
dlga_dplmc_talk_appoint_confirm_yes:spouse_pretalk|제가 그에게 편지를 보낼테니 곧 궁전에 도착 할것입니다.
dlga_dplmc_talk_appoint_confirm_yes:minister_pretalk|제가 그에게 편지를 보낼테니 곧 궁전에 도착 할것입니다.
dlga_dplmc_talk_staff:dplmc_talk_appoint_chamberlain|나는 재정 업무를 다룰 재정 담당관을 임명하고 싶소.
dlga_dplmc_talk_appoint_chamberlain:dplmc_talk_appoint_chamberlain_confirm|현명한 생각이십니다. 제가 우리 가문과 친분이 있는 매우 유능한 귀족을 추천해도 되겠습니까? 그의 이름은 오브리 드 비어 입니다. 그는 매주 15실버를 원합니다. 임명하는데는 20실버의 비용이 듭니다.
dlga_dplmc_talk_appoint_chamberlain:dplmc_talk_appoint_chamberlain_confirm.1|I have heard good things about a local nobleman, and I believe he would be well-suited for the job. He demands 15 scillingas each week, though. The appointment will cost us 20 실버.
dlga_dplmc_talk_appoint_chamberlain:dplmc_talk_appoint_chamberlain_confirm.2|That's a wise idea. May I suggest a very capable nobleman and friend of my family? He demands 15 scillingas each week, though. The appointment will cost us 20 실버.
dlga_dplmc_talk_appoint_chamberlain_confirm:dplmc_talk_appoint_confirm_yes|그렇게 하게.
dlga_dplmc_talk_appoint_chamberlain_confirm:spouse_pretalk|나중에 하세
dlga_dplmc_talk_appoint_chamberlain_confirm:minister_pretalk|나중에 하세.
dlga_dplmc_talk_staff:dplmc_talk_appoint_chancellor|나는 서기관을 임명하고 싶소.
dlga_dplmc_talk_appoint_chancellor:dplmc_talk_appoint_chancellor_confirm|현명한 생각이십니다. 제가 우리 가문과 친분이 있는 매우 유능한 귀족을 추천해도 되겠습니까? 그의 이름은 허패스트 입니다. 그는 매주 15실버를 원합니다. 임명하는데는 20실버의 비용이 듭니다.
dlga_dplmc_talk_appoint_chancellor:dplmc_talk_appoint_chancellor_confirm.1|I have heard good things about a local nobleman, and I believe he would be well-suited for the job. He demands 20 scillingas each week, though. The appointment will cost us 20 실버.
dlga_dplmc_talk_appoint_chancellor:dplmc_talk_appoint_chancellor_confirm.2|That's a wise idea. May I suggest a very capable nobleman and friend of my family? He demands 20 scillingas each week, though. The appointment will cost us 20 실버.
dlga_dplmc_talk_appoint_chancellor_confirm:dplmc_talk_appoint_confirm_yes|그렇게 하게.
dlga_dplmc_talk_appoint_chancellor_confirm:spouse_pretalk|나중에 하세.
dlga_dplmc_talk_appoint_chancellor_confirm:minister_pretalk|나중에 하세.
dlga_dplmc_talk_staff:minister_pretalk|아무것도 아니오.
dlga_dplmc_talk_staff:spouse_pretalk|아무것도 아니오.
dlga_spouse_talk:dplmc_spouse_talk_buy_food_amount_ask|빵을 좀 사주겠소?
dlga_dplmc_spouse_talk_buy_food_amount_ask:dplmc_spouse_talk_buy_food_amount|빵을 얼마나 살까요?
dlga_dplmc_spouse_talk_buy_food_amount:spouse_pretalk|아니오.
dlga_dplmc_spouse_talk_buy_food:dplmc_spouse_talk_buy_food_confirm|네 물론입니다. {s6}의 상인에게 가서 빵을 사겠습니다. 비용으로 {reg0}실버가 듭니다.
dlga_dplmc_spouse_talk_buy_food:spouse_pretalk|현재 충분한 빵을 가진 상인이 없습니다. 우리는 기다려야 합니다.
dlga_dplmc_spouse_talk_buy_food_confirm:close_window|좋소, 우리는 그럴 여유가 되오. 고맙소.
dlga_dplmc_spouse_talk_buy_food_confirm:close_window.1|아, 나중에 합시다.
dlga_minister_talk:dplmc_minister_staff_talk_ask|나는 새로운 참모들을 고용하고 싶소.
dlga_dplmc_minister_staff_talk_ask:dplmc_talk_staff|어느 참모를 고용 하시겠습니까?
dlga_lord_talk:dplmc_lord_give_back_fief|{s66}, 당신이 나에게 하사한 영지를 포기를 하고 싶소.
dlga_dplmc_lord_give_back_fief:dplmc_lord_give_back_fief_select|아, 자네는 그것을 그렇게 관리하지 못하겠나? 좋네, 어느 영지를 염두해 두고있나?
dlga_dplmc_lord_give_back_fief_select:lord_pretalk|아무것도 아니오.
dlga_dplmc_lord_give_back_fief_confirm_ask:dplmc_lord_give_back_fief_confirm|그래서 자네는 {s11}을(를) 관리하겠다는 약속을 이행하지 못한다고 생각하는가?
dlga_dplmc_lord_give_back_fief_confirm:lord_pretalk|그렇소, 나는 {s11}을(를) 포기하고 싶소.
dlga_dplmc_lord_give_back_fief_confirm:lord_pretalk.1|아니오, 나는 약속을 계속 지킬것이오.
dlga_lord_talk:dplmc_lord_declare_war|{s66}, 당신은 타국에 전쟁을 선포해야 하오.
dlga_dplmc_lord_declare_war:close_window|어떻게 감히 그런 말을 하나? 자네가 누구라고 생각하나? 내 눈앞에서 꺼지게!
dlga_dplmc_lord_declare_war:dplmc_lord_declare_war_kingdoms_select|누구에게?
dlga_dplmc_lord_declare_war_kingdoms_select:dplmc_lord_declare_war_ask_why|{s11}
dlga_dplmc_lord_declare_war_kingdoms_select:lord_pretalk|아무것도 아니오
dlga_dplmc_lord_declare_war_ask_why:dplmc_lord_declare_war_why|왜 내가 {s11}에게 전쟁을 선포해야 되지?
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else|그들은 약하며 위는 쉽게 그들을 쳐부술 수 있소.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else.1|우리는 더 이상 그들의 도발을 묵인 할수 없소.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else.2|그들은 이미 전쟁 중이며 현재 흐뜨러져 있는 상태요.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else.3|공격할 수 있는 적기이기 때문이오.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else.4|우리는 잃어버린 영토를 되찾아야 하오.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_decision|나는 전쟁의 이유를 모두 언급했소. 그 점을 생각해 보시오!
dlga_dplmc_lord_declare_war_why:lord_pretalk|나는 평화와 평온에 대해서 생각할 필요가 있오.
dlga_dplmc_lord_declare_war_anything_else:dplmc_lord_declare_war_why|흠, 다른건?
dlga_dplmc_lord_declare_war_decision:close_window|자네의 칼을 준비하게. 우리는 {s11}과 전쟁을 하겠네.
dlga_dplmc_lord_declare_war_decision:close_window.1|글쎄, 나는 확신할 수 없군. 우리는 {s11}을(를) 공격하지 않을 걸세.
dlga_lord_talk_ask_something_2:dplmc_lord_family_affiliate_end|나는 당신의 가족으로 살아왔오. 하지만 나의 맹세를 내려놓고 싶소.
dlga_dplmc_lord_family_affiliate_leave:script_dplmc_affiliate_confirm|What did you say?.
dlga_script_dplmc_affiliate_confirm:dplmc_lord_family_affiliate_leave|나는 더 이상 당신의 가문과 관계를 맺고 싶지 않소.
dlga_script_dplmc_affiliate_confirm:lord_pretalk|오 아무것도 아니오.
dlga_dplmc_lord_family_affiliate_end:close_window|You dare stand and face me to declaim your disavowal ! Well, your betrayal cannot make up for frankness. You disappoint the confidence my clan have put in you, {playername}. Each will condemn you in all conscience... but since I avouched your phoney allegiance, I will personally report to Britannia and Hibernia's noblemen about your frivolous plot.
dlga_lord_talk_ask_something_2:dplmc_lord_family_affiliate|나는 당신의 혈통을 매우 존경하고 있오. 나는 당신 가문의 일원이 되고 싶소.
dlga_dplmc_lord_family_affiliate:lord_pretalk|불가하오. 내가 자네를 싫어 했을때 부터, 나는 자네의 후원자가 아니었오.
dlga_dplmc_lord_family_affiliate:lord_pretalk.1|Not a chance. Since I dislike you, I will not sponsor you.
dlga_dplmc_lord_family_affiliate_response:dplmc_lord_family_affiliate_persuasion|전하, 당신의 가문에 봉사하겠오.
dlga_dplmc_lord_family_affiliate_response:lord_pretalk|다시 생각하니, 나는 이 결정에 대해 다시 고려해봐야 겠오.
dlga_dplmc_lord_family_affiliate_persuasion:lord_pretalk|당신에 대한 우리 가문의 충분한 평가가 이루어지지 않았오. 나는 생각을 정리할 시간이 필요하오. 이일은 좀 더 있다 다음주에 합시다.
dlga_dplmc_lord_family_affiliate_thank:dplmc_lord_family_affiliate_conclusion|나는 당신 가문의 일원이 되어 영광 스럽고 고맙소.
dlga_dplmc_lord_family_affiliate_conclusion:lord_pretalk|당신은 우리 가문에 헌신하기로 맹세했오. 이제 나의 형제는 당신의 형제요. 우리의 연대는 기사의 명예와 같소 : 결코 당신의 가족을 배신하지 않고, 항상 그것을 지키시오.
dlga_spouse_talk:dplmc_spouse_move_residence_ask|나는 우리의 거주지를 옮기고 싶소.
dlga_dplmc_spouse_move_residence_ask:dplmc_spouse_move_residence_tools|우리의 거주지을 옮기기 위해서는 작은 재단장이 필요합니다. 특히, 우리의 재산 목록에 도구 한 세트와 양모 옷감 두 단이 필요합니다.
dlga_dplmc_spouse_move_residence_tools:dplmc_spouse_move_residence_select_ask|좋아, 우리는 거주지를 만드는데 필요한 것들을 전부 가지고 있군.
dlga_dplmc_spouse_move_residence_tools:spouse_pretalk|알겠오, 내가 먼저 연장 한 세트와 양모 옷감 두 단을 구해야겠군.
dlga_dplmc_spouse_move_residence_select_ask:dplmc_spouse_move_residence_select|어디로 거주지를 옮기시겠습니까?
dlga_dplmc_spouse_move_residence_select:dplmc_spouse_move_residence_ask_confirm|{s6}.
dlga_dplmc_spouse_move_residence_select:spouse_pretalk|마음이 바꼈소.
dlga_dplmc_spouse_move_residence_ask_confirm:dplmc_spouse_move_residence_confirm|정말 {s6}(으)로 당신의 거주지를 옮기시겠습니까?
dlga_dplmc_spouse_move_residence_confirm:dplmc_spouse_move_residence_moved|그렇소, 모든걸 준비해주시오.
dlga_dplmc_spouse_move_residence_confirm:spouse_pretalk|아니.
dlga_dplmc_spouse_move_residence_moved:spouse_pretalk|당신의 바람대로, 거주지를 {s6}(으)로 옮기겠습니다.
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary|전쟁으로 그들을 협박해 그들로 부터 무엇을 얻을 수 있는지 보고싶네.
dlga_event_triggered:dplmc_companion_threaten_request_response|반갑습니다, {s21}, 드디어 당신을 찾았습니다. {s31}에서 임무를 끝내고 돌아왔습니다.
dlga_dplmc_companion_threaten_request_response:companion_rejoin_response|T그들은 {s21}실버를 지불하면서 당신이 그들에서 떠나길 기대하고 있습니다. 저는 40일간의 정전에 동의했습니다.
dlga_dplmc_companion_threaten_request_response:companion_rejoin_response.1|그들은 당신에게 전쟁을 선포했습니다.
dlga_dplmc_companion_threaten_request_response:companion_rejoin_response.2|그들은 당신의 협박에 굴복할 의사가 없습니다.
dlga_minister_diplomatic_initiative_type_select:dplmc_minister_gift_type|나는 선물을 보내고 싶소.
dlga_dplmc_minister_gift_type:dplmc_minister_gift_type_select|우리는 그들에게 우리 왕국의 최고의 말 사육자로부터 뛰어난 말을 구해 보내거나 영지를 양도할 수 있습니다.
dlga_dplmc_minister_gift_type:dplmc_minister_gift_type_select.1|우리는 현재 재정 담당관이 없기에 영지을 양도하는 선택만 할수 있습니다.
dlga_dplmc_minister_gift_type_select:minister_diplomatic_emissary|3000실버 가량의 말을 보낸다.
dlga_dplmc_minister_gift_type_select:minister_diplomatic_emissary.1|6000실버 가량의 말을 보낸다.
dlga_dplmc_minister_gift_type_select:dplmc_minister_gift_fief|영지를 양도한다
dlga_dplmc_minister_gift_type_select:minister_pretalk|아무것도 아니다.
dlga_dplmc_minister_gift_fief:dplmc_minister_gift_fief_select|어느 영지를 양도 하시겠습니까?
dlga_dplmc_minister_gift_fief_select:minister_diplomatic_emissary|{s1}
dlga_minister_emissary_dispatch:minister_diplomatic_dispatch_confirm|아주 좋아요 --제가 {s11}을 {s12}으로 {s14}하러 보낼께요.
dlga_event_triggered:companion_rejoin_response|잘 있었나요, {s21}. 제가 다시 합류해도 되겠습니까?
dlga_minister_talk:dplmc_minister_exchange_prisoner_ask|나는 포로를 교환하고 싶소.
dlga_dplmc_minister_exchange_prisoner_ask:dplmc_minister_exchange_prisoner_select|어느 포로를 교환하시겠습니까?
dlga_dplmc_minister_exchange_prisoner_ask:minister_pretalk|유감스럽게도, 지금 당장 보낼 사람이 없습니다.
dlga_dplmc_minister_exchange_prisoner_select:dplmc_minister_exchange_prisoner_lord_ask|{s11}의 {s10}
dlga_dplmc_minister_exchange_prisoner_select:minister_pretalk|아무도.
dlga_dplmc_minister_exchange_prisoner_lord_ask:dplmc_minister_exchange_prisoner_lord_select|우리편 영주 중에 누가 풀려나길 원하십니까?
dlga_dplmc_minister_exchange_prisoner_lord_select:dplmc_minister_prisoner_emissary|{s10}.
dlga_dplmc_minister_exchange_prisoner_lord_select:minister_pretalk|아무도.
dlga_dplmc_minister_prisoner_emissary:minister_emissary_select|누가 교환 협상을 하게 하시겠습니까?
dlga_event_triggered:dplmc_companion_prisoner_exchange_confirm|반갑습니다, {s21}, 드디어 당신을 찾았습니다. 그들은 {s32}와(과) {s33}을(를) 교환하는것에 동의 하였습니다. {s33}은(는) 저와 동행해 이곳으로 돌아왔습니다. {s32}을(를) 풀어주시겠습니까?
dlga_dplmc_companion_prisoner_exchange_confirm:companion_rejoin_response|좋군. 그를 풀어주겠네.
dlga_dplmc_companion_prisoner_exchange_confirm:companion_rejoin_response.1|아니, 그를 풀어주지 않겠소.
dlga_event_triggered:companion_rejoin_response.1|으흐흐, {s21}, 드디어 당신을 찾았습니다. 저는 당신의 주장들을 펼치고 왔으며, 지금은 부대로 재합류할 준비가 되었습니다.
dlga_minister_talk:dplmc_minister_persuasion_fief_ask|나는 영주를 우리 왕국에 합류 하도록 설득하고 싶소.
dlga_dplmc_minister_persuasion_fief_ask:dplmc_minister_persuasion_fief|당신의 사자는 빈손으로 갈수 없습니다. 우리는 영지를 제시해야 합니다. 어느 영지를 제시 하시겠습니까?
dlga_dplmc_minister_persuasion_fief_ask:minister_pretalk|유감스럽게도, 지금 당장 보낼 사람이 없습니다.
dlga_dplmc_minister_persuasion_fief:dplmc_minister_persuade_lord_faction_ask|{s11}
dlga_dplmc_minister_persuasion_fief:minister_pretalk|아무것도 아니오 -- 내가 제시할 수 있는 영지가 없소.
dlga_dplmc_minister_persuade_lord_faction_ask:dplmc_minister_persuade_lord_faction|당신이 설득하길 원하시는 영주는 어디에 살고있습니까?
dlga_dplmc_minister_persuade_lord_faction:dplmc_minister_persuade_lord_ask|{s11}
dlga_dplmc_minister_persuade_lord_faction:minister_pretalk|어디에도.
dlga_dplmc_minister_persuade_lord_ask:dplmc_minister_persuade_lord|누구를 설득 하시겠습니까??
dlga_dplmc_minister_persuade_lord:dplmc_minister_persuasion_emissary|{s11}
dlga_dplmc_minister_persuade_lord:minister_pretalk|누구도 염두해 두고있지 않소.
dlga_dplmc_minister_persuasion_emissary:minister_emissary_select|누구를 보낼까요? 설득 기술을 가진 사람을 선택하셔야 합니다!
dlga_minister_emissary_dispatch:minister_diplomatic_dispatch_confirm.1|알겠습니다 -- {s11}을(를) {s12}(으)로 보내 {s14}을(를) 제시하며 {s13}을(를) 설득 하겠습니다.
dlga_event_triggered:companion_rejoin_response.2|흠, {s21}, 드디어 당신을 찾았습니다. {s11}. 제 보고의 나머지는 서면으로 제출하겠습니다.
dlga_event_triggered:companion_rejoin_response.3|당신에게 다시 가세해도 되겠나요?
dlga_minister_talk:dplmc_minister_spy_kingdoms|나는 다른 왕국에 첩자를 보내고 싶소.
dlga_dplmc_minister_spy_kingdoms:dplmc_minister_spy_kingdoms_select|누구에게 첩자를 보내시겠습니까?
dlga_dplmc_minister_spy_kingdoms:minister_pretalk|유감스럽게도, 지금 당장 보낼 사람이 없습니다.
dlga_dplmc_minister_spy_kingdoms_select:dplmc_minister_spy_emissary|{s11}{s14}
dlga_dplmc_minister_spy_emissary:minister_emissary_select|누구를 첩자로 보내시겠습니까? 당신은 믿을 수 있고 또한 감지 기술이 있는 사람을 선택하셔야 합니다!
dlga_event_triggered:dplmc_companion_spy_request_select_center|반갑습니다, {s21}, 드디어 당신을 찾았습니다. {s31}에 대한 정찰 임무에서 돌아왔습니다. 어느곳의 정보를 원하십니까?
dlga_event_triggered:close_window.1|저것봐! 나는 먼곳에 {s3}의 성벽을 봤오. 우리가 그것을 안전하게 만들었오. 여기, 내가 약속한 {reg3} 실버를 가져가시오. 나는 우리가 언젠가 다시 함께 여행할 수 있기를 바라오.
dlga_dplmc_companion_spy_request_select_center:dplmc_companion_spy_request_center_selected|{s60}
dlga_dplmc_companion_spy_request_center_selected:dplmc_companion_spy_request_select_newcenter|{s4} {s3} 그리고 그 곳에는 {s31} 병력이 모여있습니다.
dlga_dplmc_companion_spy_request_select_newcenter:dplmc_companion_spy_request_select_center|다른 지역의 정보도 필요하십니까?
dlga_dplmc_companion_spy_request_select_center:companion_rejoin_response|아무것도 아니네.
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary.1|{s10}에게 동맹을 맺고 싶다고 전하시오.
dlga_event_triggered:dplmc_companion_alliance_request_response|도착했습니다, {s21},  {s31}의 임무를 마치고 돌아왔습니다.
dlga_dplmc_companion_alliance_request_response:dplmc_companion_alliance_confirm|{s4}는 동맹에 참가할 의사가 있다고 합니다.
dlga_dplmc_companion_alliance_confirm:companion_rejoin_response|좋소. 당장 {s4}와 동맹을 맺도록 하시오..
dlga_dplmc_companion_alliance_confirm:companion_rejoin_response.1|다시 생각해보니. 지금은 그럴만한 시기가 아닌듯 하군.
dlga_dplmc_companion_alliance_request_response:companion_rejoin_response|{s4}는 동맹을 맺을 생각이 없다고 하는군요.
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary.2|{s10}에게 방위협력 조약을 맺자고 전하시오.
dlga_event_triggered:dplmc_companion_defensive_request_response|도착했습니다, {s21},  {s31}의 임무를 마치고 돌아왔습니다.
dlga_dplmc_companion_defensive_request_response:dplmc_companion_defensive_confirm|{s4}는 방위협력 조약에 관심이 있다고 전해왔습니다.
dlga_dplmc_companion_defensive_confirm:companion_rejoin_response|좋소. 당장 {s4}와 방위협력 조약을 맺도록 하시오.
dlga_dplmc_companion_defensive_confirm:companion_rejoin_response.1|다시 생각해보니. 지금은 그럴만한 시기가 아닌듯 하군.
dlga_dplmc_companion_defensive_request_response:companion_rejoin_response|{s4}는 방위협력 조약을 맺을 생각이 없다고 하는군요.
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary.3|{s10}에게 무역 협약을 맺자고 전하시오.
dlga_event_triggered:dplmc_companion_trade_request_response|도착했습니다, {s21},  {s31}의 임무를 마치고 돌아왔습니다.
dlga_dplmc_companion_trade_request_response:dplmc_companion_trade_confirm|{s4}는 무역 협약에 관심이 있다고 전해왔습니다.
dlga_dplmc_companion_trade_confirm:companion_rejoin_response|좋소. 당장 {s4}와 무역 협약을 맺도록 하시오.
dlga_dplmc_companion_trade_confirm:companion_rejoin_response.1|다시 생각해보니. 지금은 그럴만한 시기가 아닌듯 하군.
dlga_dplmc_companion_trade_request_response:companion_rejoin_response|{s4}는 무역 협약을 맺을 생각이 없다고 하는군요.
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary.4|{s10}에게 상호 불가침 조약을 맺자고 전하시오.
dlga_event_triggered:dplmc_companion_nonaggression_request_response|도착했습니다, {s21},  {s31}의 임무를 마치고 돌아왔습니다.
dlga_dplmc_companion_nonaggression_request_response:dplmc_companion_nonaggression_confirm|{s4}는 상호 불가침 조약에 관심이 있다고 전해왔습니다.
dlga_dplmc_companion_nonaggression_confirm:companion_rejoin_response|좋소. 당장 {s4}와 상호 불가침 조약을 맺도록 하시오.
dlga_dplmc_companion_nonaggression_confirm:companion_rejoin_response.1|다시 생각해보니. 지금은 그럴만한 시기가 아닌듯 하군.
dlga_dplmc_companion_nonaggression_request_response:companion_rejoin_response|{s4}는 상호 불가침 조약을 맺을 생각이 없다고 하는군요.
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary.5|그가 {s11}{s14}와 전쟁을 치르는데 협력해주기를 원하오.
dlga_event_triggered:dplmc_companion_war_request_response|도착했습니다, {s21},  {s31}의 임무를 마치고 돌아왔습니다.
dlga_dplmc_companion_war_request_response:companion_rejoin_response|{s4}는 {s31}과 전쟁을 치르는 것에 동의했습니다.
dlga_dplmc_companion_war_request_response:dplmc_companion_war_pay|{s4}는 {s31}과 전쟁을 치르는 것에 동의했습니다만 조건을 걸었습니다. {reg1}실버를 원한다고 하는군요.
dlga_dplmc_companion_war_pay:companion_rejoin_response|국고에서 {reg1}를 인출하게. 그에게 전달해서 당장 전쟁을 치르도록 하세.
dlga_dplmc_companion_war_pay:companion_rejoin_response.1|다시 생각해보니. 그만한 돈은 좀 아깝군.
dlga_dplmc_companion_war_request_response:companion_rejoin_response.1|{s4}는 {s31}과 전쟁을 치를 생각 따위 없다고 합니다.
dlga_companion_embassy_results:dplmc_companion_truce_pay|{s12}는 {reg0} 실버를 주면 휴전하겠다고 합니다.
dlga_companion_embassy_results:dplmc_companion_truce_pay.1|{s12}는 {reg0}실버를 지불하거나, {reg1}실버를 지불하고 {s18}를 넘기는것. 둘 중 하나의 조건으로 휴전을 하겠다고 합니다.
dlga_companion_embassy_results:dplmc_companion_truce_pay.2|{s12}는 {s18}을 넘기면 휴전하겠다고 합니다..
dlga_companion_embassy_results:dplmc_companion_truce_pay.3|{s12}는 {reg0}실버와 {s18}을 넘기면 휴전하겠다고 합니다.
dlga_companion_embassy_results:dplmc_companion_truce_pay.4|{s12}는 {reg0}실버를 주거나, {s18}을 넘기면 휴전하겠다고 합니다.
dlga_dplmc_companion_truce_pay:companion_rejoin_response|{reg0}실버를 지불하고 {s4}와 휴전을 맺는다.
dlga_dplmc_companion_truce_pay:companion_rejoin_response.1|{reg1}실버와 {s18}을 넘기고 {s4}와 휴전을 맺는다.
dlga_dplmc_companion_truce_pay:companion_rejoin_response.2|{s18}을 넘기고 {s4}와 휴전을 맺는다.
dlga_dplmc_companion_truce_pay:companion_rejoin_response.3|집어치우도록 하지.
dlga_minister_talk:close_window|지금은 이게 다요.
dlga_minister_change_marshal:minister_change_marshal_choose|누굴 새로운 총사령관으로 할까요?
dlga_minister_change_marshal_choose:minister_pretalk|내가 총사령관이 되겠소.
dlga_minister_change_marshal_choose:minister_pretalk.1|잠시동안, 우리는 총사령관이 없소
dlga_minister_change_marshal_choose:minister_pretalk.2|{s4}
dlga_minister_change_marshal_choose:minister_pretalk.3|아무것도 아니오
dlga_minister_diplomatic_kingdoms:minister_diplomatic_kingdoms_select|누구에게 특사를 보내길 원하십니까?
dlga_minister_diplomatic_kingdoms:minister_pretalk|유감스럽게도 특사로 보낼사람이 지금은 없군요
dlga_minister_diplomatic_kingdoms_select:minister_diplomatic_initiative_type|{s11}{s14}의 {s10}
dlga_minister_diplomatic_kingdoms_select:minister_pretalk|아무것도 아니오
dlga_minister_diplomatic_initiative_type:minister_diplomatic_initiative_type_select|그에게 무슨 말을 하고 싶으세요?
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary.6|우리 두 왕국은 평화 협정을 체결해야 한다고 보내시오..
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary.7|나는 그의 가신으로 그의 보호 아래 들어가고 싶다고 보내시오.
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary.8|나는 또 한 명의 군주로서 나의 친선을 표현하고 싶다고 보내시오.
dlga_minister_diplomatic_initiative_type_select:minister_declare_war|그들에게 전쟁을 선포한다고 보내시오.
dlga_minister_diplomatic_initiative_type_select:close_window|아무것도 아니오
dlga_minister_declare_war:minister_declare_war_confirm|{s12}
dlga_minister_declare_war_confirm:minister_declare_war_confirm_yes|나는 {s12}와(과) 전쟁을 바라오.
dlga_minister_declare_war_confirm:minister_pretalk|흠, 아니오.
dlga_minister_declare_war_confirm_yes:minister_pretalk|당신의 지시대로 우리는 이제 {s12}와 전쟁에 돌입합니다. 아마 하늘이 우리에게 승리를 내려주실 겁니다.
dlga_minister_diplomatic_emissary:minister_emissary_select|누구를 당신의 특사로 할 건가요? 당신은 신뢰할만하고 또한 상대를 화나지 않게 일을 성사 시킬 설득력있는 사람을 골라야 합니다.
dlga_minister_emissary_select:minister_emissary_dispatch|{s11}
dlga_minister_emissary_select:minister_pretalk|사실, 누구도 보내지 않겠소.
dlga_minister_diplomatic_dispatch_confirm:minister_pretalk|네, 그렇게 하시오
dlga_minister_diplomatic_dispatch_confirm:minister_pretalk.1|사실, 그것은 보류해야겠소
dlga_minister_replace:minister_replace_select|매우 좋아요. 누굴 나의 후임으로 임명할건가요?
dlga_minister_replace_select:minister_replace_confirm|{s4}
dlga_minister_replace_select:minister_replace_confirm.1|나의 아내, {s4}.
dlga_minister_replace_select:minister_pretalk|사실 자네가 계속 맡아주었으면 하네.
dlga_minister_replace_confirm:close_window|아주 좋아요. {s9}는 당신의 새 장관이에요. 나는 다시 합류할 준비를 할께요.
dlga_minister_replace_confirm:close_window.1|아주 좋아요. {s9}는 당신의 새 장관이에요. 당신을 섬긴 건 영광이었어요 .
dlga_minister_grant_fief:minister_grant_fief_select|당신의 어느 영지을 임명하시겠습니까?{s12}
